"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Synpr",0,3.29853042736076,0.887,0.116,0,"L2/3-Rorb","Synpr"
"Cux2",0,2.61466072913682,0.88,0.06,0,"L2/3-Rorb","Cux2"
"Rorb",0,2.48978803180344,0.845,0.139,0,"L2/3-Rorb","Rorb"
"Tnnc1",0,2.32934122406358,0.663,0.132,0,"L2/3-Rorb","Tnnc1"
"Krt12",0,2.30543237023644,0.84,0.14,0,"L2/3-Rorb","Krt12"
"A830036E02Rik",0,2.11119170190312,0.832,0.156,0,"L2/3-Rorb","A830036E02Rik"
"Camk2n2",0,2.00125450474278,0.993,0.495,0,"L2/3-Rorb","Camk2n2"
"Cpne4",0,1.9544212862126,0.965,0.392,0,"L2/3-Rorb","Cpne4"
"Prdm8",0,1.92408637893205,0.776,0.1,0,"L2/3-Rorb","Prdm8"
"Lcorl",0,1.85011719419821,0.946,0.402,0,"L2/3-Rorb","Lcorl"
"Coch",0,1.79250749574677,0.716,0.066,0,"L2/3-Rorb","Coch"
"Medag",0,1.78459081749239,0.734,0.141,0,"L2/3-Rorb","Medag"
"Vstm2l",0,1.78015129319962,0.948,0.288,0,"L2/3-Rorb","Vstm2l"
"Epha4",0,1.75249123974365,0.997,0.813,0,"L2/3-Rorb","Epha4"
"Fat3",0,1.6613129068482,0.961,0.531,0,"L2/3-Rorb","Fat3"
"Nrsn1",0,1.64769030064139,0.999,0.968,0,"L2/3-Rorb","Nrsn1"
"Nr2f1",0,1.63601357188458,0.994,0.81,0,"L2/3-Rorb","Nr2f1"
"Hpca",0,1.6302366944537,0.994,0.842,0,"L2/3-Rorb","Hpca"
"AI593442",0,1.5603021720085,0.994,0.8,0,"L2/3-Rorb","AI593442"
"Dock4",0,1.45088056744574,0.981,0.691,0,"L2/3-Rorb","Dock4"
"Mef2c",0,1.41001211114572,1,0.999,0,"L2/3-Rorb","Mef2c"
"Arpp21",8.3483754374733e-319,1.13208454962836,0.999,0.997,1.6186665135717e-314,"L2/3-Rorb","Arpp21"
"Atp1b2",5.34586538598046e-317,1.66656370607758,0.964,0.423,1.03650983968775e-312,"L2/3-Rorb","Atp1b2"
"Nrn1",8.36995301383727e-295,1.65463755266957,0.999,0.7,1.62285018985291e-290,"L2/3-Rorb","Nrn1"
"Scn7a",2.664028424553e-287,1.61939407866325,0.495,0.022,5.1652847123658e-283,"L2/3-Rorb","Scn7a"
"Cdkn1c",5.12391206087105e-282,1.97403863172559,0.687,0.104,9.93475309482288e-278,"L2/3-Rorb","Cdkn1c"
"D16Ertd472e",8.7838349930902e-278,1.57119662496944,0.639,0.078,1.70309776681026e-273,"L2/3-Rorb","D16Ertd472e"
"Marcksl1",4.54200456474509e-274,2.30677914151392,0.771,0.177,8.80649265058426e-270,"L2/3-Rorb","Marcksl1"
"Wls",6.67562899589571e-274,1.58872231192906,0.84,0.201,1.29433770601422e-269,"L2/3-Rorb","Wls"
"Camk2n1",2.58986183948214e-271,1.31583115777793,1,0.993,5.02148312057192e-267,"L2/3-Rorb","Camk2n1"
"Chn2",1.66358936049773e-265,1.62522309613465,0.848,0.277,3.22553341106905e-261,"L2/3-Rorb","Chn2"
"Cpne9",5.28851186082374e-260,1.6047131989154,0.666,0.106,1.02538956469512e-255,"L2/3-Rorb","Cpne9"
"Pkib",5.47743205704122e-259,1.59113729194566,0.898,0.34,1.06201930153972e-254,"L2/3-Rorb","Pkib"
"Slc30a3",6.93418858328518e-258,1.56926515873101,0.923,0.285,1.34446982441316e-253,"L2/3-Rorb","Slc30a3"
"Grm2",9.4421022630864e-258,1.53161774263761,0.807,0.259,1.83072920778982e-253,"L2/3-Rorb","Grm2"
"Rims3",1.6552817330494e-257,1.46894507852838,0.91,0.384,3.20942575220949e-253,"L2/3-Rorb","Rims3"
"Gpr83",2.57642014870898e-257,1.63931053854814,0.642,0.092,4.99542102633183e-253,"L2/3-Rorb","Gpr83"
"Nyap2",2.22350381874123e-254,1.34859941391089,0.927,0.549,4.31115155415738e-250,"L2/3-Rorb","Nyap2"
"Necab1",6.65140478676018e-253,1.39055075533829,0.983,0.687,1.28964087410493e-248,"L2/3-Rorb","Necab1"
"Igsf3",1.83044700700765e-250,1.56791290081819,0.633,0.102,3.54905370188714e-246,"L2/3-Rorb","Igsf3"
"Fam19a1",9.3855693207303e-248,1.11393061529814,0.835,0.215,1.8197680355964e-243,"L2/3-Rorb","Fam19a1"
"R3hdm1",3.23216939488206e-246,1.15586697114682,0.999,0.989,6.26685323973683e-242,"L2/3-Rorb","R3hdm1"
