"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Calb1",0,2.375098025584,0.969,0.134,0,"L2/3-Calb1","Calb1"
"Nectin3",0,2.09492065903424,0.936,0.13,0,"L2/3-Calb1","Nectin3"
"Cux2",0,1.71379074859226,0.919,0.088,0,"L2/3-Calb1","Cux2"
"Evc2",0,1.2132177892668,0.627,0.027,0,"L2/3-Calb1","Evc2"
"Otof",0,1.19842437413663,0.569,0.029,0,"L2/3-Calb1","Otof"
"Igfbp2",0,1.18769405881932,0.524,0.009,0,"L2/3-Calb1","Igfbp2"
"Ccbe1",0,1.00186312058186,0.552,0.037,0,"L2/3-Calb1","Ccbe1"
"Aldh1a3",0,0.921429804586934,0.44,0.023,0,"L2/3-Calb1","Aldh1a3"
"Lpl",1.34308303256e-305,1.55952331804948,0.717,0.093,2.60477523334687e-301,"L2/3-Calb1","Lpl"
"Car4",5.43826833595016e-298,1.34759697999434,0.784,0.124,1.05469776107417e-293,"L2/3-Calb1","Car4"
"Gpr88",8.54005936588733e-290,1.35792824100581,0.815,0.128,1.65625911342019e-285,"L2/3-Calb1","Gpr88"
"Pdyn",5.78544470425082e-286,0.932807766877315,0.406,0.026,1.1220291459424e-281,"L2/3-Calb1","Pdyn"
"Lamp5",2.41503374735139e-284,1.58968182594402,0.846,0.16,4.68371644961329e-280,"L2/3-Calb1","Lamp5"
"Fam84a",5.92042565959238e-271,1.32470476804856,0.815,0.147,1.14820735242135e-266,"L2/3-Calb1","Fam84a"
"Smoc2",2.00005173787335e-269,1.38461352603765,0.793,0.142,3.87890034043158e-265,"L2/3-Calb1","Smoc2"
"Bhlhe22",6.22540842291257e-262,1.95346978596909,0.93,0.249,1.20735570953966e-257,"L2/3-Calb1","Bhlhe22"
"Synpr",1.43994290391012e-259,1.13135112972621,0.854,0.145,2.79262526784328e-255,"L2/3-Calb1","Synpr"
"Myh14",1.63729936093938e-258,1.24351439142052,0.633,0.086,3.17537838060583e-254,"L2/3-Calb1","Myh14"
"Fbxl7",7.49215831954133e-254,0.678050655399596,0.328,0.018,1.45302918449184e-249,"L2/3-Calb1","Fbxl7"
"Pcdh8",8.40518518920531e-231,1.30945148273355,0.77,0.154,1.63010161559448e-226,"L2/3-Calb1","Pcdh8"
"Arhgef26",1.07250708188734e-229,0.90051691826896,0.401,0.034,2.0800202346123e-225,"L2/3-Calb1","Arhgef26"
"Stard8",5.41353077905202e-221,0.810227957010973,0.392,0.034,1.04990015928935e-216,"L2/3-Calb1","Stard8"
"Trpc6",1.16241268430074e-213,1.02433593833776,0.51,0.065,2.25438315993286e-209,"L2/3-Calb1","Trpc6"
"Zfhx4",1.29137376854247e-213,0.74675671689755,0.339,0.025,2.50449028671126e-209,"L2/3-Calb1","Zfhx4"
"Pcdh20",2.28879044396495e-209,0.914015257600838,0.465,0.053,4.43888018702562e-205,"L2/3-Calb1","Pcdh20"
"Fkbp1a",5.45651974325967e-202,0.818544107959173,1,0.997,1.05823743900778e-197,"L2/3-Calb1","Fkbp1a"
"Igfbp6",9.76904385225748e-199,1.57680866787475,0.969,0.369,1.89460836470682e-194,"L2/3-Calb1","Igfbp6"
"Wfs1",1.02402674850738e-198,1.77216630679307,0.885,0.325,1.98599747605522e-194,"L2/3-Calb1","Wfs1"
"Mgp",9.99496079406751e-198,0.8750420249208,0.317,0.024,1.93842269640145e-193,"L2/3-Calb1","Mgp"
"Necab2",9.81926216627643e-197,1.42361013609162,0.72,0.168,1.90434770452765e-192,"L2/3-Calb1","Necab2"
"Gm12371",1.37389744487945e-192,0.731280219474788,0.37,0.035,2.66453670459921e-188,"L2/3-Calb1","Gm12371"
"S100a6",1.08963869994944e-189,1.56051008265015,0.625,0.112,2.11324529468194e-185,"L2/3-Calb1","S100a6"
"Myh7",1.78487862180048e-187,1.46591311347469,0.717,0.176,3.46159359911986e-183,"L2/3-Calb1","Myh7"
"Acvr1c",6.27949920200925e-186,1.36587589442516,0.885,0.288,1.21784607523767e-181,"L2/3-Calb1","Acvr1c"
"Gabra2",1.44625119312825e-180,1.41964362497123,0.994,0.589,2.80485956395294e-176,"L2/3-Calb1","Gabra2"
"Rilpl1",1.34735799859843e-171,1.27315293192568,0.916,0.396,2.61306610248179e-167,"L2/3-Calb1","Rilpl1"
"Gucy1a1",2.68434088545253e-170,1.24899584589591,0.955,0.419,5.20601071324663e-166,"L2/3-Calb1","Gucy1a1"
"Prag1",6.93564025013523e-170,1.02831209606431,0.667,0.148,1.34509807011123e-165,"L2/3-Calb1","Prag1"
"Rasgrf2",8.15794524296008e-169,1.34253370265587,0.952,0.419,1.58215190041968e-164,"L2/3-Calb1","Rasgrf2"
