"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Synpr",0,2.2863670657163,0.887,0.116,0,"5","Synpr"
"Cux2",0,1.812344712522,0.88,0.06,0,"5","Cux2"
"Rorb",0,1.72578955443645,0.845,0.139,0,"5","Rorb"
"Tnnc1",0,1.61457630202172,0.663,0.132,0,"5","Tnnc1"
"Marcksl1",0,1.59893745811487,0.771,0.177,0,"5","Marcksl1"
"Krt12",0,1.59800394740102,0.84,0.14,0,"5","Krt12"
"A830036E02Rik",0,1.4633665757957,0.832,0.156,0,"5","A830036E02Rik"
"Camk2n2",0,1.38716391754535,0.993,0.495,0,"5","Camk2n2"
"Cdkn1c",0,1.36829931189701,0.687,0.104,0,"5","Cdkn1c"
"Cpne4",0,1.35470160416461,0.965,0.392,0,"5","Cpne4"
"Prdm8",0,1.33367504871054,0.776,0.1,0,"5","Prdm8"
"Lcorl",0,1.28240351686397,0.946,0.402,0,"5","Lcorl"
"Coch",0,1.24247151680945,0.716,0.066,0,"5","Coch"
"Medag",0,1.23698409359801,0.734,0.141,0,"5","Medag"
"Vstm2l",0,1.23390684985146,0.948,0.288,0,"5","Vstm2l"
"Epha4",0,1.21473436178431,0.997,0.813,0,"5","Epha4"
"Nrsn1",0,1.14209188632554,0.999,0.968,0,"5","Nrsn1"
"Gpr83",0,1.13628347785685,0.642,0.092,0,"5","Gpr83"
"Scn7a",0,1.1224784398409,0.495,0.022,0,"5","Scn7a"
"Cpne9",0,1.11230242943554,0.666,0.106,0,"5","Cpne9"
"Wls",0,1.10121839120631,0.84,0.201,0,"5","Wls"
"D16Ertd472e",0,1.08907051070287,0.639,0.078,0,"5","D16Ertd472e"
"Igsf3",0,1.08679440656569,0.633,0.102,0,"5","Igsf3"
"Spats2l",0,0.978451183625894,0.756,0.176,0,"5","Spats2l"
"Mef2c",0,0.977345919396031,1,0.999,0,"5","Mef2c"
"Tcap",0,0.942040737960452,0.376,0.027,0,"5","Tcap"
"Ptgfrn",0,0.940811301223584,0.621,0.101,0,"5","Ptgfrn"
"Adcyap1",0,0.938973410452197,0.64,0.112,0,"5","Adcyap1"
"Ptchd4",0,0.85005709628928,0.425,0.044,0,"5","Ptchd4"
"Gm29674",0,0.761749585336107,0.405,0.038,0,"5","Gm29674"
"Hpca",8.85506480556114e-305,1.12999396840594,0.994,0.842,1.71735126839053e-300,"5","Hpca"
"Nr2f1",2.12499358359537e-302,1.1339981947096,0.994,0.81,4.12121255602487e-298,"5","Nr2f1"
"Atp1b2",1.7497478893402e-290,1.15517393409121,0.964,0.423,3.39346105658638e-286,"5","Atp1b2"
"Col26a1",1.11195695284872e-288,0.545023910602525,0.27,0.014,2.15652931435481e-284,"5","Col26a1"
