,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Pcp4,Ndn,Mef2c,C1ql3,Pex5l,Nap1l5,Calb1,Tshz2,Gm42418,Gria2,C1qb,Olig1,Car2,Ly6a,Ndnf
1,3110035E14Rik,Ubb,Epha4,Rasl10a,Pou3f1,Slc1a2,Fkbp1a,Lypd1,Actb,Snhg11,C1qa,Olig2,Apoe,Flt1,Reln
2,Ttc9b,Uchl1,Nrn1,Enc1,Rab3c,Rcan2,Nectin3,Cbln2,Calm2,Malat1,C1qc,Ptprz1,Dbi,Cldn5,Cacna2d2
3,Garnl3,Tuba1a,Nrsn1,Dgkb,Bcl11b,Serpini1,Gabra2,Myl4,Ubb,Ttc14,Cst3,C1ql1,Qk,Pltp,Ramp1
4,Rprm,Hsp90ab1,Atp1b2,Galnt14,Lamp5,Nxph3,Bhlhe22,Etv1,Ckb,Ptprd,Trem2,S100a16,Zbtb20,Klf2,H3f3b
5,Tle4,Gapdh,Cnr1,Tesc,Ppfia2,Elavl2,Cux2,Htr2c,Ppia,Kcnq1ot1,Selenop,Bcan,Csrp1,Ly6c1,Msi2
6,Trbc2,Slc25a4,Fat3,Nptxr,Gabra2,Etl4,Alcam,Il11ra1,Uchl1,Meg3,Hexb,S100a1,Cmtm5,Itm2a,Rpl13
7,Rnf152,Hsp90aa1,Lmo4,Cck,Ntng1,Pak1,2900055J20Rik,Neto2,Stmn1,mt-Co2,Csf1r,Gpr37l1,Tsc22d4,Bsg,Rps14
8,Rph3a,Mdh1,Vstm2l,Tsc22d1,Dner,Ncam1,Camk2n1,Nrsn2,Slc25a4,Nktr,Ctss,Pdgfra,S100a16,Slc2a1,Rps3
9,Efhd2,Slc25a3,Kcnq3,Nell2,Igfbp4,Rab3b,Itpka,Efr3a,Tmsb4x,mt-Atp6,Tyrobp,Apoe,Myo6,Hspb1,Rps19
10,Slc1a2,Itm2b,Camk2n1,Nnat,Timp2,Ctgf,Pea15a,Olfm3,Eif4a2,Pnisr,Sparc,Gpr17,Ptn,Epas1,Rps23
11,Ccdc12,Rwdd2a,Syt4,Ptprt,Lypd1,Sulf2,Igfbp6,Nap1l5,Tpt1,Luc7l3,Ctsd,Dbi,Fgfr2,Ptprb,Rps5
