"","x"
"1","Plp1"
"2","C1qb"
"3","Ptgds"
"4","C1qa"
"5","Tshz2"
"6","Cplx3"
"7","Cst3"
"8","Npy"
"9","Cldn5"
"10","C1qc"
"11","Ccl4"
"12","Pbld1"
"13","Myl4"
"14","Flt1"
"15","Ptgs2"
"16","Gm13889"
"17","Zfp36"
"18","Cx3cr1"
"19","Olig1"
"20","Dlk1"
"21","Klf2"
"22","Apoe"
"23","Mal"
"24","Lypd1"
"25","Nr4a2"
"26","Atf3"
"27","Sparc"
"28","Etv1"
"29","Slco1a4"
"30","Cyr61"
"31","Pou3f1"
"32","Stxbp6"
"33","Cck"
"34","Ccl3"
"35","Pdgfra"
"36","Selenop"
"37","Aldh1a3"
"38","Egr4"
"39","Synpr"
"40","Nnat"
"41","Arl4d"
"42","Ptprz1"
"43","Tyrobp"
"44","Ndnf"
"45","Bdnf"
"46","Marcksl1"
"47","Csf1r"
"48","S100a6"
"49","Hspb1"
"50","Slc1a3"
"51","Gadd45g"
"52","Pltp"
"53","Gadd45b"
"54","Gpr17"
"55","P2ry12"
"56","Trem2"
"57","Ctss"
"58","Gm45833"
"59","Gm10635"
"60","Rgs5"
"61","C1ql3"
"62","Htr2c"
"63","Hspa1a"
"64","Adamts1"
"65","Atp1a2"
"66","Reln"
"67","Rab3c"
"68","Ly6c1"
"69","Fcer1g"
"70","Nptxr"
"71","Rprm"
"72","Laptm5"
"73","Hexb"
"74","Pdyn"
"75","Nfkbia"
"76","Rorb"
"77","Itm2a"
"78","Calb1"
"79","Rxfp1"
"80","Tnf"
"81","Defb1"
"82","Vip"
"83","S100a16"
"84","Tac1"
"85","Ctgf"
"86","Fam19a1"
"87","Btg2"
"88","Gpr88"
"89","Ctla2a"
"90","Ptn"
"91","Calb2"
"92","Ighm"
"93","Cnr1"
"94","C1ql1"
"95","Ly6a"
"96","Vtn"
"97","Igfbp4"
"98","Npas4"
"99","Bc1"
"100","Olig2"
"101","Scg2"
"102","Grp"
"103","Cux2"
"104","Gja1"
"105","Sox4"
"106","Nrn1"
"107","Sox9"
"108","Gad1"
"109","Gad2"
"110","Apod"
"111","Zfp36l1"
"112","Cldn11"
"113","Neat1"
"114","Tmem119"
"115","Nefm"
"116","Deptor"
"117","Gm26737"
"118","Junb"
"119","Ermn"
"120","Dnajb1"
"121","Ifit1"
"122","Nos1"
"123","Serpine2"
"124","Nptx2"
"125","Slamf1"
"126","Dusp1"
"127","Gm26772"
"128","Adgrf5"
"129","Egr2"
"130","Tnnc1"
"131","Tubb2a"
"132","Ntng1"
"133","Gm15124"
"134","Ifi27l2a"
"135","Alcam"
"136","Slco1c1"
"137","Fos"
"138","Cenpf"
"139","Car2"
"140","Olfr1369-ps1"
"141","Hspa8"
"142","Tuba1a"
"143","Gm40518"
"144","Ccnb1"
"145","Loxl2"
"146","AC160336.1"
"147","Dcn"
"148","S100b"
"149","AC163720.3"
"150","Selplg"
"151","Defb42"
"152","Igfbp6"
"153","Matn4"
"154","Adgrl4"
"155","Trf"
"156","Klf4"
"157","Lpl"
"158","Gpr34"
"159","Id1"
"160","Tiparp"
"161","Cd9"
"162","Moxd1"
"163","Oprk1"
"164","Mafb"
"165","Bcan"
"166","Slc24a3"
"167","Olfr889"
"168","Cnp"
"169","Slc30a3"
"170","Rgs4"
"171","Opalin"
"172","Il1b"
"173","Ier2"
"174","Nr4a1"
"175","Atp13a5"
"176","Fcrls"
"177","Slc6a1"
"178","Itih5"
"179","Rcan2"
"180","Ddah1"
"181","Cryab"
"182","Timp2"
"183","Mog"
"184","P2rx4"
"185","Camk2n1"
"186","Fn1"
"187","Tac2"
"188","Gapdh"
"189","Lamp5"
"190","Sst"
"191","Sostdc1"
"192","Bhlhe22"
"193","Ifitm3"
"194","Cbln2"
"195","Camk2d"
"196","Vstm2l"
"197","Stum"
"198","Epas1"
"199","Ntm"
"200","Hs3st4"
"201","Cxcl14"
"202","Adcyap1"
"203","Sgk1"
"204","Ndn"
"205","Mfge8"
"206","Slc7a11"
"207","Arc"
"208","Cdkn1c"
"209","Bcas1"
"210","Clic4"
"211","Dgkb"
"212","Ccdc3"
"213","Cdh5"
"214","Sema5a"
"215","Epha4"
"216","Plpp3"
"217","Pcp4"
"218","Gm29666"
"219","Egr3"
"220","Ccrl2"
"221","Siglech"
"222","S1pr1"
"223","Ppp1r14a"
"224","Hist1h4i"
"225","Gm26762"
"226","Gm45184"
"227","B230312C02Rik"
"228","Itgb5"
"229","Cxcl10"
"230","Dlx6os1"
"231","Ednrb"
"232","Ly86"
"233","Ubb"
"234","Higd1b"
"235","Emilin1"
"236","Id3"
"237","Cplx2"
"238","Grik1"
"239","Gm16222"
"240","Slc17a8"
"241","Rora"
"242","Txnip"
"243","Grin3a"
"244","Syt17"
"245","Il1a"
"246","Rgs10"
"247","Nts"
"248","Gm10827"
"249","Gng11"
"250","Ptcra"
"251","Cartpt"
"252","Nrsn1"
"253","S100a3"
"254","Dner"
"255","Il33"
"256","Gjb6"
"257","Krt12"
"258","A830036E02Rik"
"259","Trp53i11"
"260","A2ml1"
"261","Nr4a3"
"262","Abcb1a"
"263","Cpne4"
"264","Camk2n2"
"265","Crh"
"266","Zbtb20"
"267","Crym"
"268","Gm26710"
"269","Rasgrf2"
"270","S100a13"
"271","Bhlhe40"
"272","Mest"
"273","Krt80"
"274","Rmst"
"275","Fosb"
"276","Caprin2"
"277","Tubb4b"
"278","Rasl10a"
