"","x"
"1","Tshz2"
"2","Cplx3"
"3","Npy"
"4","Myl4"
"5","Pbld1"
"6","Gm13889"
"7","Ptgs2"
"8","Dlk1"
"9","Lypd1"
"10","Nr4a2"
"11","Etv1"
"12","Cck"
"13","Cyr61"
"14","Pou3f1"
"15","Egr4"
"16","Aldh1a3"
"17","Nnat"
"18","Stxbp6"
"19","Arl4d"
"20","Synpr"
"21","Bdnf"
"22","Marcksl1"
"23","Gadd45g"
"24","S100a6"
"25","Gadd45b"
"26","Gm45833"
"27","Gm10635"
"28","C1ql3"
"29","Hspa1a"
"30","Rab3c"
"31","Adamts1"
"32","Htr2c"
"33","Rprm"
"34","Nptxr"
"35","Pdyn"
"36","Btg2"
"37","Rorb"
"38","Defb1"
"39","Rxfp1"
"40","Rgs5"
"41","Bc1"
"42","Vip"
"43","Calb1"
"44","Fam19a1"
"45","Cnr1"
"46","Ctgf"
"47","Npas4"
"48","Ighm"
"49","Gpr88"
"50","Ptn"
"51","Nrn1"
"52","Gad2"
"53","Cux2"
"54","Scg2"
"55","Grp"
"56","Sox4"
"57","Vtn"
"58","Igfbp4"
"59","Junb"
"60","Sox9"
"61","Ifi27l2a"
"62","Nefm"
"63","Deptor"
"64","Fos"
"65","Tubb2a"
"66","Gm26772"
"67","Dusp1"
"68","Gm26737"
"69","Hspa8"
"70","Dnajb1"
"71","Slamf1"
"72","Cenpf"
"73","Tuba1a"
"74","Serpine2"
"75","Nos1"
"76","Alcam"
"77","Nptx2"
"78","Ifit1"
"79","Gm15124"
"80","Gad1"
"81","Egr2"
"82","Olfr1369-ps1"
"83","Tnnc1"
"84","Ntng1"
"85","Loxl2"
"86","Atf3"
"87","S100b"
"88","AC160336.1"
"89","Dcn"
"90","Ccnb1"
"91","AC163720.3"
"92","Neat1"
"93","Gm40518"
"94","Olfr889"
"95","Moxd1"
"96","Igfbp6"
"97","Gapdh"
"98","Tac1"
"99","Rgs4"
"100","Defb42"
"101","Camk2n1"
"102","Ier2"
"103","Lpl"
"104","Nr4a1"
"105","Sostdc1"
"106","Timp2"
"107","Tiparp"
"108","Oprk1"
"109","Slc24a3"
"110","Slc30a3"
"111","Ddah1"
"112","Rcan2"
"113","Camk2d"
"114","Tac2"
"115","Atp13a5"
"116","P2rx4"
"117","Ndn"
