index,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
Xkr4,0.0,0.41380933,0,0.696957,0.64961463,1.0728776,False,4760
Sox17,1.0,0.13898687,1,0.4806347,0.18882127,2.545448,True,34
Mrpl15,0.0,0.7400404,0,1.247987,1.4041219,0.8888025,False,6317
Lypla1,0.0,0.46827525,0,0.6483467,0.7606947,0.85230875,False,4900
Tcea1,0.0,0.9914868,0,2.0140855,2.1583462,0.9331615,False,7668
Rgs20,0.0,0.20351818,0,0.30519176,0.2829351,1.0786635,False,2668
Gm16041,0.0,0.00051737926,0,0.0005171359,0.0005412659,0.9554193,False,4
Atp6v1h,0.0,1.6296976,0,4.6768394,4.809539,0.9724092,False,8803
Oprk1,1.0,0.13202578,1,0.54856086,0.17919879,3.061186,True,990
Npbwr1,0.0,0.008560275,0,0.011874037,0.0100995805,1.175696,False,133
Rb1cc1,0.0,1.7810075,0,4.860977,5.5933657,0.86906123,False,8932
4732440D04Rik,0.0,0.12031419,0,0.13425383,0.16327636,0.822249,False,1708
Alkal1,0.0,0.052161235,0,0.07503072,0.067686096,1.1085101,False,880
St18,1.0,0.0589342,1,0.111437224,0.07732779,1.441102,True,31
Pcmtd1,0.0,2.5460703,0,8.258801,10.330205,0.7994809,False,9322
Gm26901,0.0,0.059028268,0,0.0698457,0.07746143,0.90168357,False,900
Sntg1,0.0,0.34998354,0,0.6012593,0.52794886,1.138859,False,3442
Rrs1,0.0,0.33775458,0,0.40205008,0.5058708,0.7947682,False,3688
Adhfe1,0.0,0.012323033,0,0.015088023,0.014779697,1.0208615,False,34
3110035E14Rik,1.0,7.8861294,1,141.80054,75.11564,1.887763,True,9300
Mybl1,0.0,0.060063027,0,0.07085134,0.07892961,0.8976522,False,910
Vcpip1,0.0,1.0352758,0,2.0180407,2.3071778,0.87467927,False,7874
1700034P13Rik,1.0,0.0016462067,1,0.002678381,0.0017911125,1.4953729,True,17
Sgk3,0.0,0.26677954,0,0.32242835,0.38459218,0.8383643,False,3090
Mcmdc2,0.0,0.13668218,0,0.16410168,0.1856074,0.8841332,False,2191
Snhg6,0.0,0.61916184,0,0.9881163,1.0987097,0.89934254,False,6224
Tcf24,0.0,0.0027750342,0,0.0029556102,0.0030952534,0.9548847,False,24
Ppp1r42,0.0,0.01881379,0,0.019777728,0.022906516,0.86341053,False,374
Cops5,0.0,1.0365928,0,2.1201096,2.31173,0.9171096,False,7483
Cspp1,0.0,0.93368137,0,1.6813024,1.9696971,0.8535843,False,7330
