,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
Xkr4,0.0,0.749925,0,1.0060289,0.96252847,1.0451938,False,4606
Sox17,1.0,0.004897551,1,0.009872053,0.005451161,1.8110002,True,16
Mrpl15,0.0,1.2243878,0,1.760021,1.7181114,1.0243927,False,6085
Lypla1,0.0,0.7452274,0,0.9013979,0.9556711,0.9432094,False,4734
Tcea1,0.0,1.7710145,0,2.67357,2.7603817,0.96855086,False,7419
Rgs20,0.0,0.36031985,0,0.49760565,0.429491,1.1585939,False,2591
Gm16041,0.0,0.0003998001,0,0.0003996802,0.00040641014,0.9834406,False,4
Atp6v1h,0.0,2.9765117,0,5.542131,5.658403,0.9794515,False,8457
Oprk1,1.0,0.27036482,1,1.1107221,0.31780034,3.495031,True,958
Npbwr1,0.0,0.015792103,0,0.021142028,0.018711751,1.1298797,False,128
Rb1cc1,0.0,3.1217391,0,5.725682,6.065404,0.94399023,False,8549
4732440D04Rik,0.0,0.1906047,0,0.19847229,0.22403713,0.88589025,False,1650
Alkal1,0.0,0.109245375,0,0.15109904,0.13134892,1.1503638,False,860
St18,0.0,0.0034982509,0,0.0042860415,0.0038423107,1.1154854,False,17
Pcmtd1,0.0,4.2838583,0,8.571556,9.717005,0.88211906,False,8941
Gm26901,0.0,0.099650174,0,0.11152027,0.12028665,0.9271209,False,871
Sntg1,0.0,0.49365318,0,0.6880095,0.60366356,1.1397234,False,3287
Rrs1,0.0,0.47786108,0,0.5110302,0.5826325,0.8771056,False,3549
Adhfe1,0.0,0.0033983008,0,0.003387091,0.003728289,0.90848404,False,29
3110035E14Rik,1.0,16.17871,1,165.67657,84.07165,1.9706593,True,8835
Mybl1,0.0,0.102748625,0,0.118590005,0.123855636,0.95748574,False,876
Vcpip1,0.0,1.821989,0,2.4574132,2.8666072,0.857255,False,7587
1700034P13Rik,1.0,0.0021989006,1,0.0043934053,0.0023709696,1.8000268,True,17
Sgk3,0.0,0.3990005,0,0.46613255,0.4793064,0.97251475,False,2953
Mcmdc2,0.0,0.25937033,0,0.28407976,0.30460465,0.93261796,False,2112
Snhg6,0.0,1.0936532,0,1.3801726,1.4960198,0.922563,False,6030
Tcf24,0.0,0.0024987506,0,0.0026926761,0.0027083645,0.99420744,False,21
Ppp1r42,0.0,0.03868066,0,0.039987065,0.046882704,0.8529172,False,365
Cops5,0.0,1.7598201,0,2.8686373,2.737253,1.0479985,False,7210
Cspp1,0.0,1.5657171,0,2.167737,2.348341,0.92309296,False,7028
Arfgef1,0.0,2.3431284,0,3.2929869,4.031961,0.8167209,False,8236
Cpa6,1.0,0.13523239,1,0.21411741,0.1611263,1.3288794,True,962
Prex2,0.0,0.069365315,0,0.10214519,0.0843919,1.2103672,False,539
A830018L16Rik,0.0,3.8846576,0,8.901529,8.387787,1.0612489,False,8696
Sulf1,1.0,1.203998,1,3.0408478,1.6828212,1.8069941,True,4542
Slco5a1,0.0,0.04157921,0,0.045052283,0.050440844,0.8931707,False,382
Ncoa2,0.0,1.6097951,0,2.1795921,2.4345837,0.8952628,False,7205
Gm29570,0.0,0.0013993003,0,0.001397482,0.0014837629,0.94184995,False,13
Tram1,0.0,0.60929537,0,0.716287,0.76123875,0.94094926,False,4113
Lactb2,0.0,0.3396302,0,0.38603926,0.4032813,0.9572456,False,2600
Eya1,0.0,0.019390306,0,0.025013823,0.02317081,1.0795403,False,131
Gm9947,0.0,0.04857571,0,0.053018015,0.05905039,0.8978436,False,447
Msc,0.0,0.06496751,0,0.069749214,0.079047516,0.8823707,False,587
Kcnb2,1.0,1.44018,1,4.2404485,2.1083796,2.011236,True,5269
Terf1,0.0,0.59610194,0,0.6668181,0.74288553,0.8976054,False,4165
Sbspon,0.0,0.0019990006,0,0.001995204,0.002147249,0.92919075,False,17
4930444P10Rik,0.0,0.033183407,0,0.034484517,0.0401489,0.85891557,False,307
Rpl7,0.0,10.793703,0,25.855078,42.2323,0.612211,False,9266
Rdh10,0.0,0.14812593,0,0.15498574,0.17555468,0.88283455,False,1280
Stau2,0.0,3.2304847,0,5.797731,6.377984,0.9090225,False,8689
Gm7568,1.0,0.0030984508,1,0.030278284,0.0033872281,1.413526,True,15
Ube2w,0.0,3.4681659,0,4.989115,7.0834203,0.70433706,False,8870
Eloc,0.0,6.271964,0,12.64624,17.502378,0.7225441,False,9199
D030040B21Rik,0.0,0.0056971516,0,0.0060651,0.0063816216,0.95040107,False,50
Tmem70,0.0,1.8035982,0,2.805585,2.8281126,0.9920343,False,7301
Ly96,0.0,0.016591704,0,0.017117731,0.01970825,0.86855656,False,144
Jph1,0.0,0.84557724,0,1.1201936,1.1036435,1.0149958,False,5011
Gdap1,0.0,4.2570715,0,8.1472225,9.625333,0.84643537,False,9025
Gm28784,0.0,0.012193903,0,0.0128460955,0.014244564,0.9018245,False,114
Pi15,0.0,0.0010994503,0,0.0012982714,0.0011560223,1.1230505,False,10
Gm28154,0.0,0.0017991004,0,0.0019959633,0.0019247604,1.036993,False,16
Gm16070,0.0,0.0037981009,0,0.0037840535,0.0041855727,0.90407073,False,35
Crispld1,0.0,0.026586706,0,0.03627828,0.032047253,1.1320248,False,216
Gm28153,0.0,0.0012993503,0,0.0012977917,0.0013742492,0.9443642,False,13
Mcm3,0.0,0.005397301,0,0.0055686273,0.006031049,0.9233265,False,42
6720483E21Rik,0.0,0.008995502,0,0.009515234,0.010317533,0.9222393,False,86
Paqr8,1.0,0.62428784,1,1.0808375,0.7822055,1.3817819,True,3660
Efhc1,0.0,0.012893553,0,0.013328342,0.015104906,0.88238496,False,120
Tram2,0.0,0.004097951,0,0.004081566,0.0045303027,0.90094763,False,31
Tmem14a,0.0,3.0274863,0,4.9875493,5.799873,0.8599411,False,8560
Gsta3,0.0,0.04857571,0,0.050818894,0.05905039,0.86060214,False,448
Gm28836,0.0,0.021689156,0,0.022820218,0.026005758,0.8775063,False,206
Kcnq5,1.0,1.1818091,1,2.4858346,1.644706,1.5114157,True,5379
Gm26580,0.0,0.011694153,0,0.011758475,0.0136334,0.8624756,False,112
Rims1,0.0,2.9067466,0,6.3150735,5.4672627,1.1550704,False,8210
Gm29107,0.0,0.027186407,0,0.02824923,0.032786377,0.8616149,False,251
Ogfrl1,1.0,10.386307,1,52.946014,39.61245,1.3366003,True,9240
B3gat2,0.0,0.10964518,0,0.13741696,0.13181137,1.0425274,False,883
Smap1,0.0,6.077661,0,19.11202,16.656801,1.1474004,False,9065
Sdhaf4,0.0,2.841979,0,4.030305,5.2924232,0.7615235,False,8582
Fam135a,0.0,0.49105448,0,0.53403133,0.60019326,0.8897656,False,3593
Col9a1,0.0,0.008795602,0,0.010118552,0.010074122,1.0044103,False,75
Col19a1,0.0,0.04447776,0,0.05549854,0.05400724,1.0276129,False,377
Lmbrd1,0.0,3.9932034,0,8.589918,8.741348,0.98267657,False,8900
Adgrb3,0.0,4.3469267,0,7.4676948,9.93425,0.751712,False,9044
Gm9898,0.0,0.0062968517,0,0.006257827,0.0070878295,0.88289744,False,61
Phf3,0.0,2.3816092,0,3.5450835,4.1238956,0.8596443,False,8155
Ptp4a1,0.0,4.2564716,0,7.6067467,9.623284,0.79045224,False,9033
Khdrbs2,0.0,1.1346327,0,1.7298731,1.5646168,1.1056209,False,5775
Gm5415,0.0,0.021189405,0,0.021142328,0.025389638,0.8327148,False,203
Gm37724,0.0,0.004297851,0,0.004279807,0.0047601336,0.8990939,False,43
Prim2,0.0,0.14252874,0,0.1480162,0.16928378,0.8743673,False,1252
Rab23,0.0,0.5541229,0,0.625544,0.68521583,0.9129153,False,3929
Bag2,0.0,0.33223388,0,0.37521538,0.39399973,0.9523239,False,2596
Zfp451,0.0,1.9321339,0,2.9157257,3.1010144,0.940249,False,7566
Bend6,0.0,4.136232,0,8.049112,9.216208,0.8733648,False,8954
Dst,0.0,6.2122936,0,20.639454,17.240765,1.197131,False,9160
Gm37233,0.0,0.07506247,0,0.079431035,0.091293894,0.87005854,False,678
Ccdc115,0.0,0.68035984,0,0.7354849,0.8616383,0.8535889,False,4602
Imp4,0.0,0.7412294,0,0.8189767,0.94983447,0.862231,False,4928
Ptpn18,1.0,0.062968515,1,0.14877348,0.076616004,1.9418068,True,430
4930568A12Rik,0.0,0.00049975014,0,0.0004995503,0.0005116268,0.97639596,False,4
Amer3,0.0,0.27546227,0,0.28936684,0.32395735,0.89322513,False,2302
Arhgef4,0.0,2.0667665,0,3.3488004,3.3960347,0.9860913,False,7741
Gm38336,0.0,0.010494753,0,0.010585571,0.012158638,0.87062144,False,99
Fam168b,0.0,2.4573712,0,4.176836,4.3074064,0.96968704,False,8163
Plekhb2,0.0,4.2989507,0,8.2137985,9.768813,0.84081846,False,9027
1110002O04Rik,0.0,0.053373314,0,0.060125813,0.06493591,0.92592555,False,484
Hs6st1,0.0,0.5055472,0,0.6560318,0.6195929,1.0588111,False,3485
Gm37335,0.0,0.00029985007,0,0.00029979012,0.00030216397,0.99214387,False,3
Gm33280,0.0,0.0022988506,0,0.002293795,0.0024832182,0.9237187,False,22
Uggt1,0.0,0.67096454,0,0.82135296,0.8482109,0.9683358,False,4393
Neurl3,1.0,0.010894553,1,0.024371501,0.0126510905,1.9264349,True,20
Arid5a,0.0,0.18310845,0,0.25135398,0.21548589,1.1664523,False,1375
4930403P22Rik,0.0,0.017991005,0,0.019268455,0.021443205,0.8985809,False,169
Kansl3,0.0,0.91474265,0,1.0524065,1.2098076,0.8698958,False,5531
Lman2l,0.0,1.4961519,0,2.1044683,2.2143168,0.95039165,False,6857
Cnnm4,0.0,0.43978012,0,0.5654706,0.53243196,1.0620522,False,3150
Cnnm3,0.0,0.5055472,0,0.5512737,0.6195929,0.88973534,False,3681
