"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Scube1",4.60581507957407e-08,0.281797836117023,0.596,0.35,0.00084843719580834,"DMS+MD","Scube1"
"Dnajc21",4.85152201202324e-08,0.435421177080173,0.86,0.684,0.000893698869834801,"DMS+MD","Dnajc21"
"Trhr",5.45607079820092e-08,0.40462481305969,0.404,0.185,0.00100506280173659,"DMS+MD","Trhr"
"Dkkl1",1.32194633050505e-07,0.486219764487598,0.603,0.418,0.00243515733542335,"DMS+MD","Dkkl1"
"Pdzrn3",4.80568224591177e-07,0.292254364503116,0.382,0.181,0.00885254726519408,"DMS+MD","Pdzrn3"
"Dusp6",1.02775113264851e-06,0.322263331790777,0.824,0.621,0.0189322036145183,"DMS+MD","Dusp6"
"Chn2",1.49932940264751e-06,0.439440776534476,0.581,0.39,0.0276191469261697,"DMS+MD","Chn2"
"Rora",1.62482405447969e-06,0.4595461347573,0.691,0.538,0.0299308839075705,"DMS+MD","Rora"
"Npas4",2.26457576689809e-06,0.260904333455164,0.919,0.75,0.0417157502020296,"DMS+MD","Npas4"
"Nr4a1",2.90135277608814e-06,0.320734866876322,0.904,0.75,0.0534458194883195,"DMS+MD","Nr4a1"
"Atp1b2",2.95204920519129e-06,0.315920953006513,0.772,0.563,0.0543796984088287,"DMS+MD","Atp1b2"
"Smad7",4.54889769600309e-06,0.279786092297258,0.772,0.571,0.0837952444580729,"DMS+MD","Smad7"
"B3glct",5.16216986090132e-06,0.279744491474625,0.618,0.403,0.0950923310076633,"DMS+MD","B3glct"
"Fam19a1",6.32063419335839e-06,0.329103086768565,0.618,0.405,0.116432402475855,"DMS+MD","Fam19a1"
"Rims3",8.36463296991028e-06,0.363548981644984,0.662,0.515,0.154084903938717,"DMS+MD","Rims3"
"Plcxd2",8.90435076969158e-06,0.265190815842012,0.596,0.387,0.164027045528489,"DMS+MD","Plcxd2"
"R3hdm1",9.0982528637336e-06,0.284727357853048,1,0.997,0.167598916002837,"DMS+MD","R3hdm1"
"Lin7a",1.04622242837916e-05,0.303457827253739,0.757,0.582,0.192724633531724,"DMS+MD","Lin7a"
"Tgfb1i1",1.15504086475942e-05,0.251223049275081,0.5,0.3,0.212770077697332,"DMS+MD","Tgfb1i1"
"Marcksl1",1.34363907857506e-05,0.602685685062087,0.412,0.256,0.247511754664312,"DMS+MD","Marcksl1"
"Rab3c",1.43134376855303e-05,0.262693034666956,0.993,0.939,0.263667835605154,"DMS+MD","Rab3c"
"Pde10a",1.8476784524666e-05,0.250598597534287,0.949,0.848,0.340360847728873,"DMS+MD","Pde10a"
"Efna5",1.87791746598478e-05,0.313670764381495,0.64,0.442,0.345931176409056,"DMS+MD","Efna5"
"Coch",2.39023421409426e-05,0.428160809302829,0.346,0.192,0.440305044578303,"DMS+MD","Coch"
"Fat3",2.71681937752553e-05,0.262990424065463,0.831,0.665,0.500465297533978,"DMS+MD","Fat3"
"A2ml1",3.7577435166769e-05,0.32766878312908,0.338,0.174,0.692213933207051,"DMS+MD","A2ml1"
"Nectin1",3.89530339970088e-05,0.360446421332646,0.5,0.313,0.717553839258899,"DMS+MD","Nectin1"
"Cpne8",3.93829484163681e-05,0.297146124077589,0.574,0.382,0.725473292777917,"DMS+MD","Cpne8"
"Klhdc8a",4.8515355385148e-05,0.291360540137393,0.485,0.3,0.893701361549811,"DMS+MD","Klhdc8a"
"Pou6f2",5.1991101347904e-05,0.319456509359825,0.522,0.369,0.95772807792974,"DMS+MD","Pou6f2"
"Lhx2",5.39603046086046e-05,0.381919374743759,0.463,0.316,0.994002771195106,"DMS+MD","Lhx2"
"Phlda1",5.44771748950732e-05,0.306405046628617,0.721,0.542,1,"DMS+MD","Phlda1"
"Ptgfrn",6.98918205486205e-05,0.312878769459297,0.412,0.24,1,"DMS+MD","Ptgfrn"
"Zmat4",9.1100430479553e-05,0.286072806922665,0.721,0.546,1,"DMS+MD","Zmat4"
"Vstm2l",0.000132749484530799,0.32431694663338,0.662,0.483,1,"DMS+MD","Vstm2l"
"Camk2n2",0.000148395571831066,0.280143912613743,0.765,0.591,1,"DMS+MD","Camk2n2"
"Nrep",0.00015500854847142,0.275315739270291,0.713,0.54,1,"DMS+MD","Nrep"
"Deptor",0.000217681388180628,0.398143227217188,0.669,0.577,1,"DMS+MD","Deptor"
"Etv1",0.000357306922798774,0.434775353801467,0.647,0.567,1,"DMS+MD","Etv1"
"Gpc6",0.000370309425333008,0.305824360966455,0.478,0.319,1,"DMS+MD","Gpc6"
"Dleu7",0.000475726480804265,0.277414197689788,0.544,0.383,1,"DMS+MD","Dleu7"
"Slc24a3",0.000619511194956649,0.27696171684528,0.588,0.424,1,"DMS+MD","Slc24a3"
"Gpr88",0.000623421409887452,0.412240812126022,0.331,0.217,1,"DMS+MD","Gpr88"
"Il1rapl2",0.000683703979334765,0.279873357426335,0.338,0.199,1,"DMS+MD","Il1rapl2"
"Pkib",0.000892643306853182,0.328928880034248,0.625,0.481,1,"DMS+MD","Pkib"
"Galnt17",0.00246696143786437,0.251223167822521,0.794,0.679,1,"DMS+MD","Galnt17"
"Bicc1",0.0027091323555134,0.263271405044254,0.257,0.152,1,"DMS+MD","Bicc1"
"S100b",0.00300749931954301,0.326353994038234,0.279,0.165,1,"DMS+MD","S100b"
"Necab1",5.68184319386695e-23,0.692150339155411,0.99,0.784,1.04665233474223e-18,"DMS+BLA","Necab1"
"Stum",2.26884784922348e-22,0.648149341252231,0.98,0.571,4.17944462305458e-18,"DMS+BLA","Stum"
"Nptxr",1.43124783774034e-21,0.680661205954308,1,0.813,2.63650164190148e-17,"DMS+BLA","Nptxr"
"C1ql3",1.83038328152067e-21,0.619022862302079,1,0.69,3.37174904288922e-17,"DMS+BLA","C1ql3"
"Syt17",7.55634481953068e-19,0.614252756162927,0.909,0.5,1.39195427920575e-14,"DMS+BLA","Syt17"
"Camk2d",1.06305782590976e-18,0.654988915558054,0.96,0.636,1.95825882110836e-14,"DMS+BLA","Camk2d"
"Cnr1",1.32927042564991e-18,0.6500767287949,0.97,0.66,2.44864905108969e-14,"DMS+BLA","Cnr1"
"Cpne5",1.33787554172145e-18,0.445166916346492,0.96,0.558,2.46450053540507e-14,"DMS+BLA","Cpne5"
"Cnih3",5.1207497032768e-17,0.532653633369739,0.97,0.865,9.43293302840619e-13,"DMS+BLA","Cnih3"
"Syn2",1.50746360284956e-16,0.379793727716566,1,0.999,2.77689870280918e-12,"DMS+BLA","Syn2"
"Nwd2",3.50731310849939e-16,0.547055581582434,0.96,0.667,6.46082147716672e-12,"DMS+BLA","Nwd2"
"Srgap3",3.59039287704166e-16,0.527165009593389,0.96,0.689,6.61386271879845e-12,"DMS+BLA","Srgap3"
"Wnt4",5.3115076860487e-16,0.578178323997552,0.869,0.489,9.7843283084703e-12,"DMS+BLA","Wnt4"
"Fhl1",6.3343337036962e-16,0.421735269814603,0.879,0.475,1.16684761155788e-11,"DMS+BLA","Fhl1"
"Edil3",1.2011735173244e-15,0.561118172658232,0.929,0.611,2.21268173626328e-11,"DMS+BLA","Edil3"
"Nrn1",1.20245817806036e-15,0.455207813817124,1,0.773,2.21504820980499e-11,"DMS+BLA","Nrn1"
"Rtn4rl1",1.25262252412364e-15,0.454965962866074,0.828,0.419,2.30745595168816e-11,"DMS+BLA","Rtn4rl1"
"Kcnab1",1.31612945725383e-15,0.545829927446503,0.929,0.599,2.42444207320727e-11,"DMS+BLA","Kcnab1"
"Nell1",1.995952147018e-15,0.609822374473478,0.687,0.293,3.67674345002185e-11,"DMS+BLA","Nell1"
"Cck",2.11927256735193e-15,0.405606601614786,1,0.789,3.90391199631899e-11,"DMS+BLA","Cck"
"Mgat5",2.40476335563616e-15,0.473887270072639,0.949,0.629,4.42981457741737e-11,"DMS+BLA","Mgat5"
"Slc24a31",4.17210942764165e-15,0.693705085038407,0.788,0.42,7.68544277665868e-11,"DMS+BLA","Slc24a3"
"Rapgef5",7.18259401476151e-15,0.456801296873964,0.98,0.725,1.32310564345922e-10,"DMS+BLA","Rapgef5"
"Ajap1",1.22790522883939e-14,0.517882765664727,0.889,0.515,2.26192422204504e-10,"DMS+BLA","Ajap1"
"Nectin11",3.52540195847716e-14,0.661027438415537,0.687,0.31,6.49414294771077e-10,"DMS+BLA","Nectin1"
"6430548M08Rik",5.53813348656658e-14,0.516143961050993,0.919,0.785,1.02017956956043e-09,"DMS+BLA","6430548M08Rik"
"Pcdh15",6.47366433402365e-14,0.383489669245269,0.899,0.534,1.1925137069705e-09,"DMS+BLA","Pcdh15"
"Dgkb",6.87468691313956e-14,0.555489681053503,0.939,0.715,1.26638607626944e-09,"DMS+BLA","Dgkb"
"Kctd4",1.10422650369019e-13,0.482584524967606,0.899,0.548,2.03409564244771e-09,"DMS+BLA","Kctd4"
"Tmem178b",2.32902616216502e-13,0.463077873492853,0.949,0.711,4.29029909332419e-09,"DMS+BLA","Tmem178b"
