"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Htr2a",2.25834060466983e-12,0.531924131266057,0.615,0.262,4.16008922786229e-08
"Nrn1",8.52624478547592e-12,0.378130638212209,0.969,0.959,1.57061955193252e-07
"Bok",9.02332134585481e-11,0.403942078690955,0.781,0.459,1.66218602511991e-06
"Cck",9.15071316592829e-11,0.351873038413878,0.985,0.975,1.68565287229565e-06
"Col23a1",7.48725600574237e-10,-0.316465613684404,0.169,0.492,1.3792274288178e-05
"Efnb3",4.99479692713447e-09,-0.311436617289454,0.569,0.828,9.2009154194744e-05
"Rab3b",9.5532647903542e-09,-0.30781695499304,0.285,0.607,0.000175980690703115
"Nfib",1.05939344829674e-08,-0.260787614755948,0.915,0.975,0.000195150867110743
"Gm11549",2.15281991426198e-08,0.337728307329051,0.608,0.328,0.0003965709564062
"Dusp6",2.25652287891936e-08,0.349355878938281,0.65,0.385,0.000415674079525735
"Kcnk2",3.73709002409821e-08,0.54265557497577,0.408,0.213,0.00068840935333913
"Ptchd4",4.24822216899846e-08,0.279682397487558,0.192,0.008,0.000782565005751207
"Timp2",5.23708124263428e-08,-0.265975684326755,0.858,0.992,0.000964722735705661
"Osbpl3",5.86972197948456e-08,0.271421412330115,0.435,0.148,0.00108126148584085
"Rgs4",7.16647982384602e-08,0.398474061213865,0.919,0.877,0.00132013724835068
"Fndc5",7.69605354723586e-08,0.341983554921586,0.731,0.484,0.00141769002393632
"Dnajc21",1.65158538147796e-07,0.297341285718894,0.7,0.639,0.00304238543122055
"Ptn",5.80032986678793e-07,0.431360886961058,0.742,0.73,0.01068478764761
"Pou3f2",6.80716361403804e-07,0.365289364817055,0.45,0.197,0.0125394760934195
"Necab2",8.03769452410857e-07,-0.324542060475277,0.112,0.328,0.0148062370828604
"Cpne9",8.3189434327105e-07,0.326371124918991,0.504,0.246,0.015324325697396
"Osbp2",8.44531407908497e-07,0.257781749555495,0.765,0.705,0.0155571130650824
"Krt12",8.66919664815124e-07,0.424638769656556,0.512,0.32,0.0159695271455594
"Lypd1",1.04754001285055e-06,-0.67707207861877,0.177,0.41,0.01929673457672
"Car10",1.74064082200301e-06,0.258184669849233,0.958,0.877,0.0320643445821175
"Tnnc1",3.13090985889365e-06,0.547513320731571,0.319,0.131,0.0576744905106799
"Lhfp",4.06897742529017e-06,0.271610249543708,0.442,0.197,0.0749546331512703
"Tshz1",4.49424508200011e-06,0.315498730663691,0.462,0.23,0.082788488655524
