"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Lhx2",1.68615215477987e-13,-0.415908962612608,0.319,0.607,3.10606088432e-09
"Elavl4",3.03962184328265e-13,-0.275884907253089,0.958,0.985,5.59928739751097e-09
"Tspan5",5.56321345218877e-13,-0.273095345420144,0.958,0.981,1.02479955002769e-08
"Etv1",3.31709994771967e-12,-0.724972347136275,0.442,0.625,6.11042981369441e-08
"Stum",1.92753207230919e-11,-0.313807170488809,0.873,0.963,3.55070683040076e-07
"Sorl1",5.85284201444402e-11,-0.278315912816869,0.919,0.974,1.07815202748073e-06
"Deptor",1.20909765043689e-10,-0.497122053002505,0.438,0.674,2.22727878186979e-06
"S100b",1.78071947733267e-10,-0.413584238676775,0.173,0.438,3.28026334919452e-06
"Sccpdh",5.12287868262029e-10,-0.357530680795053,0.735,0.858,9.43685482125483e-06
"Nlk",1.42225868276771e-09,-0.255377267303409,0.862,0.865,2.6199427195264e-05
"Galnt17",1.12735437922684e-08,-0.250180403676428,0.8,0.899,0.000207669950197376
"Cnr1",1.31403714847867e-08,-0.266143489708164,0.927,0.981,0.000242058783121256
"Fam102b",1.45570906158433e-08,-0.281730598033469,0.519,0.73,0.00026815616623445
"Fam19a1",1.76056459365871e-08,-0.371346685602246,0.519,0.719,0.000324313603797872
"Wnt7b",2.80712428309857e-08,-0.258397502115532,0.65,0.798,0.000517100364189588
"B3glct",3.26064200796543e-08,-0.273590817409337,0.304,0.532,0.000600642864287312
"Nptx2",5.11077279795917e-08,-0.407664000267401,0.292,0.528,0.00094145545711206
"Stxbp6",7.30688670216485e-08,-0.526431012764851,0.3,0.476,0.00134600159940579
"Ndst3",8.74178340008619e-08,-0.269997400962942,0.338,0.566,0.00161032392012988
"Rab3c",1.45839880891745e-07,-0.312094565689141,0.931,0.963,0.00268651644590684
"Tmem91",1.68651978970663e-07,-0.263338063416223,0.519,0.689,0.00310673810461859
"Dner",1.69699056376542e-07,-0.293889877503416,0.681,0.787,0.00312602631751229
"Cntnap5a",3.91162751391858e-07,-0.309997745028142,0.396,0.584,0.00720560904338941
"Timp2",8.7943977931195e-07,-0.278912349530235,0.858,0.925,0.0162001601747054
"Utrn",9.52829997228909e-07,-0.328836683592266,0.258,0.412,0.0175520813789537
"Man1a",1.01416535868988e-06,-0.253776527983897,0.612,0.727,0.0186819400724263
"Cntnap2",1.66176548566691e-06,-0.256293000480502,0.681,0.775,0.0306113820114702
"Calb1",1.94371307729237e-06,0.288428256912159,0.446,0.236,0.0358051385968028
"Slc24a3",9.18739299946916e-06,-0.251523023849675,0.646,0.783,0.169240966443221
"Arc",1.04752194963495e-05,-0.260691776979515,0.735,0.854,0.192964018342255
"Pcdh19",1.81206486837825e-05,-0.297679565262645,0.392,0.562,0.333800469403958
"Nos1",2.40970856573914e-05,-0.348340321539596,0.427,0.573,0.443892414894807
"Egr4",2.47711932906824e-05,-0.328490947219453,0.681,0.798,0.45631015160766
"Pcp4",3.9150023541932e-05,-0.256847413413712,0.754,0.858,0.72118258366593
"Oprk1",3.92603070164086e-05,0.320254907684601,0.308,0.161,0.723214115549262
"AC160336.1",0.000433831469157938,-0.2608201564794,0.392,0.494,1
"Bdnf",0.000668071738061309,-0.310495397863773,0.662,0.749,1
"Alcam",0.000879761717129329,-0.272629434798219,0.738,0.839,1
"Gadd45b",0.00129241735158161,-0.294911962204068,0.423,0.547,1
"Gm13889",0.0013552334785538,-0.437638645550123,0.512,0.588,1
"Nr4a2",0.00841852450915813,-0.319621086091051,0.315,0.446,1
"S100a6",0.0102932181213165,0.253938252153366,0.392,0.288,1
"Ptgs2",0.614725979564829,-0.31138217420821,0.327,0.322,1
