"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Tenm2",1.5852596491449e-14,-0.372466290942152,0.912,0.939,2.92020679968982e-10
"Etv1",5.87518352747255e-13,-0.965106196396241,0.442,0.717,1.08226755759572e-08
"Necab1",8.64769697299401e-11,-0.377452694476901,0.888,0.99,1.59299225939523e-06
"Gda",1.31741845207328e-10,-0.293595782986585,0.996,1,2.42681653056419e-06
"Prkcb",1.45410019994615e-10,-0.251375820023446,1,1,2.6785979783208e-06
"Elavl4",1.58711057214069e-10,-0.305987230502162,0.958,1,2.92361638494037e-06
"Timp2",3.52034819520759e-10,-0.428433964959408,0.858,0.98,6.48483341039191e-06
"Lhx2",3.77605384721263e-10,-0.481864623193542,0.319,0.636,6.95586879195039e-06
"Adcy1",4.15518625025973e-10,-0.277996124779846,0.992,1,7.65426859160344e-06
"Synj1",6.33053735904994e-10,-0.260593738694614,1,0.99,1.16614828691059e-05
"Trim2",1.06884422158031e-09,-0.261807709713589,0.992,1,1.9689179405731e-05
"Xylt1",3.37866662731907e-09,-0.291179489636513,0.731,0.838,6.22384179418447e-05
"Sphkap",4.70585522379712e-09,-0.282195445181257,0.888,0.99,8.66865590775667e-05
"Stum",5.97308721990484e-09,-0.393995913302169,0.873,0.98,0.000110030239677867
"Dkk3",9.34222193751994e-09,-0.286374351372244,0.981,0.99,0.000172093070311055
"Fam19a1",1.06843532943983e-08,-0.519426193826391,0.519,0.737,0.000196816472036111
"Nlgn1",1.50784174781546e-08,-0.285239114811832,0.877,0.949,0.000277759528365086
"Rab3c",1.57804598290504e-08,-0.435901215773019,0.931,0.98,0.000290691850510937
"Ptprf",2.7207039452806e-08,-0.387266622881273,0.715,0.848,0.000501180873760139
"Fstl5",3.08070409970647e-08,-0.346551073877125,0.488,0.778,0.000567496502206929
"Dleu7",4.22050944623296e-08,-0.370342596211843,0.208,0.495,0.000777460045090574
"B3glct",4.5361244969389e-08,-0.371755447018032,0.304,0.545,0.000835599493581115
"Syngr1",4.69780236739468e-08,-0.264326758307775,0.992,1,0.000865382174097773
"Nos1",5.64463491090795e-08,-0.579647410299908,0.427,0.667,0.00103979819693835
"Bsn",6.15716422805571e-08,-0.253183316016061,0.988,1,0.00113421122245014
"Nlk",6.88218380024567e-08,-0.306531951122729,0.862,0.869,0.00126776707784325
"Rnf182",8.84515116844064e-08,-0.293005263163455,0.185,0.465,0.00162936529673845
"Ar",1.05113262740203e-07,-0.282571874432568,0.715,0.879,0.00193629141293727
"Pcdh19",1.28140556054848e-07,-0.463706167605448,0.392,0.667,0.00236047718308636
"Gfra2",1.31629806612083e-07,-0.32169839468912,0.865,0.949,0.00242475266760117
"Lin7a",2.54886331312075e-07,-0.29801562313396,0.681,0.828,0.00469526110909973
"Rap1gap2",2.63133219657831e-07,-0.264349530851518,0.912,0.98,0.00484717703931691
"Crim1",2.66688457526913e-07,-0.304869182766158,0.781,0.909,0.00491266807610326
"Lrp8",4.84092992608048e-07,-0.254395053405997,0.727,0.778,0.00891747701683285
"Srgap3",5.00911414815701e-07,-0.270110473479293,0.935,0.96,0.00922728917232002
"S100b",5.40060455008376e-07,-0.493880086836395,0.173,0.455,0.0099484536417093
"Bcl11a",5.9273301476823e-07,-0.2586776100544,0.838,0.919,0.0109187348650456
"Sccpdh",8.68909846391513e-07,-0.405590691674725,0.735,0.848,0.0160061882803781
"Nwd2",1.09180608096958e-06,-0.291376327847869,0.9,0.96,0.0201121598175407
"Nptxr",1.25816581408986e-06,-0.286485489210065,0.988,1,0.0231766724613493
"Pex5l",1.35868944685089e-06,-0.275988113806571,0.792,0.818,0.0250284183004402
"Slc36a1",1.46589082123364e-06,-0.296265170733404,0.631,0.768,0.0270031748179449
"Galnt17",1.53107774754634e-06,-0.271644669596725,0.8,0.949,0.0282039831875511
"Fam102b",1.70065419197796e-06,-0.330368598080143,0.519,0.707,0.0313277508704261
"Deptor",1.70874936873331e-06,-0.371460014186676,0.438,0.717,0.0314768721214363
"Mamld1",1.75871183330757e-06,-0.254830348499268,0.654,0.768,0.0323972306813588
"Dner",2.05444311190302e-06,-0.354405639681787,0.681,0.828,0.0378448965643655
"Gabra2",2.45545804354799e-06,-0.259428300458464,0.835,0.929,0.0452319926201975
"Pkib",3.11465400129771e-06,-0.303787117923081,0.581,0.838,0.0573750413579051
"Cntnap5a",3.12702386416417e-06,-0.377469271196831,0.396,0.626,0.0576029066017681
"Camk2d",3.15129933160343e-06,-0.322271276477735,0.888,0.96,0.0580500849874669
"Wnt7b",3.16513450670509e-06,-0.296035198460534,0.65,0.838,0.0583049427480144
"Clmn",3.3777907640456e-06,-0.327986218011788,0.515,0.758,0.062222283664484
"Nek6",3.49140980899991e-06,-0.253007732091581,0.188,0.434,0.0643152600915873
"Edil3",3.53770443939774e-06,-0.304701177686711,0.785,0.929,0.0651680534781457
"Fam189a1",4.92352686427334e-06,-0.27144255894033,0.577,0.778,0.0906962883667793
"Man1a",5.35386447446833e-06,-0.296473981338039,0.612,0.778,0.0986235374841811
"Bhlhe22",5.7683210619069e-06,-0.34319161549709,0.519,0.747,0.106258242281387
"Zdhhc21",5.91451114137745e-06,-0.255363772665606,0.812,0.889,0.108951209735314
"Grm3",6.35019037292326e-06,-0.260006799688086,0.442,0.697,0.116976856859619
"Nectin1",6.42470676758907e-06,-0.378556707112506,0.438,0.687,0.118349523365758
"St6galnac5",6.76994429435981e-06,-0.285759094029878,0.881,0.929,0.124709143846402
"Tmem91",1.03140079397809e-05,-0.332293226769414,0.519,0.687,0.189994340258704
"Klhl13",1.25663383262777e-05,-0.265825187032135,0.081,0.283,0.231484518308362
"Sorl1",1.36981685857699e-05,-0.269736031503086,0.919,0.939,0.252333963518468
"Htr2a",1.65638303818381e-05,0.370788457372351,0.615,0.364,0.30512231946384
"Slc5a5",1.78304504599663e-05,-0.296202967968555,0.358,0.596,0.328454727923039
"Nell1",1.82585193692267e-05,-0.30111512633396,0.492,0.687,0.336340185300525
