"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",1.24971016309053e-41,0.984044214607281,0.985,0.78,2.30209109142906e-37
"Bcl11b",2.43330318010556e-40,-1.04508437380796,0.473,0.927,4.48238778807245e-36
"Lypd1",1.00319046799574e-39,-1.79655720346151,0.177,0.841,1.84797716109496e-35
"Nrip3",2.00617756958954e-39,-0.974905428106776,0.335,0.927,3.69557970094089e-35
"Crym",5.71280932129741e-38,-0.760257205499529,0.581,1,1.0523566050762e-33
"Fezf2",9.23308606849529e-38,-0.872310338149679,0.388,0.915,1.70082678467752e-33
"Sparcl1",1.29398206333012e-36,-0.589947253558974,0.892,1,2.38364435886041e-32
"Lmo1",1.23233189354932e-33,-0.714158266215311,0.285,0.89,2.27007858110719e-29
"Igfbp4",1.73083867184114e-30,-1.41309557569084,0.054,0.646,3.18837791739856e-26
"Nrn1",9.84463193313653e-30,0.786629971563938,0.969,0.732,1.81347964840308e-25
"Car10",2.43455522595092e-29,0.574125660992152,0.958,0.366,4.48469418172419e-25
"Camk2d",1.20352750213249e-28,0.694826258742766,0.888,0.232,2.21701801167825e-24
"Pex5l",1.49081762163848e-28,-0.736118478638699,0.792,0.902,2.74623514082025e-24
"Nfia",2.69803808623588e-28,-0.719784362835422,0.535,0.89,4.97005595865511e-24
"Dscaml1",3.82013501411188e-28,-0.686802221795226,0.235,0.841,7.03707070949549e-24
"Nfib",4.32729073335996e-28,-0.580981971132049,0.915,1,7.97130225992239e-24
"Fam84b",1.06685914665024e-27,-0.628587792131925,0.004,0.488,1.96526123404441e-23
"Ptprk",2.68398136392565e-27,0.655649938741287,0.815,0.159,4.94416207048743e-23
"Pcdh10",4.88996181552042e-27,0.426734816411209,1,0.683,9.00779866037017e-23
"Pou3f1",1.04581678862197e-26,-1.39341755340215,0.15,0.683,1.92649910632053e-22
"Rgma",3.35674102764527e-26,-0.410308475593235,0,0.427,6.18345264702535e-22
"Cxcl12",4.55105708550163e-26,-0.812029406700194,0.273,0.841,8.38350225720255e-22
"Ina",1.15333478547029e-25,-0.483993730663735,0.977,1,2.12455800831482e-21
"Nptxr",5.38914414094676e-25,0.613796370895972,0.988,0.902,9.92734242203802e-21
"Lmo3",7.69725401374099e-25,-0.626130450925568,0.646,0.915,1.41791116187123e-20
"Ccl27a",1.38345713881824e-24,-0.431372623618075,0.973,1,2.54846639541709e-20
"Pcdh15",1.45695755620184e-24,0.615642150186168,0.823,0.207,2.68386151427941e-20
"Elmod1",1.46970202409145e-24,-0.407179252129298,0.969,1,2.70733809857886e-20
"Gap43",4.03728027177484e-24,-0.386910357179751,0.996,1,7.43707398863644e-20
"Gprc5b",4.90384296648694e-24,-0.592450696872307,0.008,0.451,9.03336912856559e-20
"Atp1b1",5.80035393382854e-24,-0.287427221844401,0.996,1,1.06848319815056e-19
"Ckmt1",1.10190376652315e-22,-0.443582296125293,0.815,1,2.02981692831229e-18
"Zdhhc22",3.21826574364326e-22,0.357345014757759,0.938,0.415,5.92836732636524e-18
"Prkcg",4.37133442833504e-22,-0.462282311082156,0.946,0.988,8.05243515043598e-18
"Sorbs2",9.03673097503889e-22,0.402671917547112,0.996,0.915,1.66465621291191e-17
"Id2",1.5026512021038e-20,-0.500961229604577,0.931,0.951,2.76803377939541e-16
"Tmem47",3.72490238051506e-20,-0.66602267187336,0.331,0.707,6.86164267514679e-16
"Adamts2",1.11868709051818e-19,-0.844407332305337,0.023,0.427,2.06073348944355e-15
"Crim1",1.70476651969582e-19,-0.530208810809144,0.781,0.963,3.14035040593167e-15
"Brinp2",4.36272614284906e-19,0.419231914175651,0.935,0.5,8.03657782774225e-15
"Cpne5",5.19131265898515e-19,0.493978691865706,0.888,0.378,9.56291704911655e-15
"Ppp1r2",5.99700041062737e-19,-0.360188221368158,0.988,1,1.10470744564167e-14
"Fam126a",6.08475452508186e-19,-0.758922551723726,0.177,0.61,1.12087263106533e-14
"Cadps2",6.15272171832767e-19,-0.657606745187978,0.373,0.829,1.13339286773314e-14
"Khdrbs2",1.27828524616725e-18,-0.456801729674813,0.542,0.854,2.3547292519647e-14
"Kif26a",1.53397915302378e-18,-0.433420390616072,0.008,0.366,2.8257429977851e-14
"Arhgef26",1.53788614189818e-18,-0.444690335622958,0.008,0.366,2.83294006199065e-14
"Hcn1",2.68549338818794e-18,-0.511625798244475,0.831,0.902,4.946947370381e-14
"Hpca",3.35922936038337e-18,0.433191814306123,0.965,0.659,6.18803640476221e-14
"Bok",5.94205395370742e-18,0.617325404755783,0.781,0.256,1.09458575881244e-13
"Cdh6",6.49663075633239e-18,-0.622872713230705,0.169,0.659,1.19674435162399e-13
"Npr3",7.26278927080788e-18,-0.641110579612649,0.165,0.634,1.33787841157552e-13
"Lrp1b",1.68124442815018e-17,0.409500355867132,0.969,0.646,3.09702036109545e-13
"Abat",1.88235795356185e-17,-0.586549049884289,0.338,0.78,3.46749158625629e-13
"Lmo4",2.37309564921277e-17,0.3119602810023,0.992,0.939,4.37147949541485e-13
"Camk2n2",2.8646121930818e-17,0.739331925982708,0.819,0.39,5.27690212087599e-13
"Nos1ap",3.0230923015604e-17,-0.365766557272486,0.877,0.976,5.56883832870441e-13
"Sept4",3.46995165580732e-17,-0.479061723899851,0.346,0.707,6.39199794516266e-13
"Galnt9",3.77450801659438e-17,-0.407838124216931,0.673,0.963,6.95302121736852e-13
"B3galt5",4.28228806044418e-17,-0.358042442633466,0.019,0.39,7.88840283614422e-13
"Bcl6",5.513910641402e-17,-0.650809037424934,0.135,0.549,1.01571747925266e-12
"Mgat5",7.40760277397993e-17,0.532393370968497,0.865,0.524,1.36455450699484e-12
"Caln1",8.0350972348092e-17,-0.51286347225585,0.827,0.976,1.4801452616242e-12
"Sez6",1.11232881391921e-16,-0.393388478025746,0.869,0.988,2.04902090812057e-12
"Reln",1.11742565641062e-16,-0.593148956121924,0.042,0.451,2.058409801674e-12
"1700019D03Rik",1.26051885859016e-16,-0.466525787436463,0.304,0.768,2.32200178940894e-12
"Neurod6",1.50510041643249e-16,0.317843253387626,0.988,0.732,2.77254547711029e-12
"Bend5",1.62208873829526e-16,-0.486822084850924,0.296,0.744,2.9880496648137e-12
"Prdx2",1.95258130563754e-16,-0.298299770150833,0.973,0.988,3.59685002311492e-12
"Parm1",2.56355102918289e-16,-0.685903748723217,0.45,0.768,4.7223173508578e-12
"Igfbp6",3.7763170886892e-16,0.672275839665031,0.758,0.256,6.95635370907438e-12
"Htr2a",4.45956773379345e-16,0.66016412469275,0.615,0.122,8.21496972242092e-12
"Zfpm2",5.61333995421563e-16,-0.479581605684339,0.146,0.561,1.03403335296606e-11
"Peg3",7.45260954624571e-16,-0.371427202710858,0.969,1,1.37284520451392e-11
"Fndc5",7.70134929351356e-16,0.553087017908105,0.731,0.244,1.41866555335813e-11
"Pcdh19",8.67409489420302e-16,-0.477922088027223,0.392,0.878,1.59785502046114e-11
"Dab1",1.00779433444073e-15,-0.41694577964059,0.635,0.841,1.85645794347327e-11
"Tpbg",1.036707985496e-15,-0.368924818804885,0.031,0.39,1.90971978008218e-11
"Efr3a",1.05173647812565e-15,-0.393315957556806,0.923,0.976,1.93740376635526e-11
"Nap1l5",1.33892953656061e-15,-0.285889440429302,0.992,1,2.4664420992983e-11
"Arpc1a",1.36098358195567e-15,-0.32103747681689,0.946,1,2.50706785632053e-11
"Ndn",2.3707085571576e-15,-0.44304306981663,0.962,0.988,4.36708223314001e-11
"Ppfia2",2.48439107580818e-15,-0.431412004236553,0.804,0.915,4.57649680074624e-11
"Ldhb",2.84612659030331e-15,-0.448624775412045,0.904,0.939,5.24284979199773e-11
"Rab3c",4.17383360747463e-15,-0.672079851989487,0.931,0.963,7.68861888832902e-11
"Pak3",5.10495812944443e-15,-0.367567675747154,0.962,0.988,9.40384337024958e-11
"Cdh10",5.2612431006586e-15,0.428514521805006,0.892,0.5,9.6917359157232e-11
"Efnb3",1.32030396327751e-14,-0.468638203705229,0.569,0.915,2.43213193075349e-10
