"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Vsnl1",5.76831315727599e-27,-0.311347163988981,0.992,1,1.06258096670181e-22
"Ncald",4.30545635002413e-23,-0.362676844291106,1,0.985,7.93108114237945e-19
"Slc25a4",7.8446287686859e-23,-0.380820426179637,0.996,1,1.44505906547963e-18
"Tmsb10",1.35426969767778e-22,-0.511244073097919,0.95,0.985,2.49470021009223e-18
"Rtn1",1.73468722003164e-22,-0.26609342948401,1,1,3.19546732802029e-18
"Zfpm2",2.51537338965768e-21,-0.519389823500111,0.146,0.574,4.63356932108842e-17
"Rheb",7.43216823478016e-21,-0.275044824050884,0.992,0.993,1.36907971052885e-16
"Lypd1",1.77357689783983e-20,-0.722365538275186,0.177,0.625,3.26710600351075e-16
"Hsp90aa1",3.68776933720492e-20,-0.359538088662568,1,1,6.79323989606519e-16
"Fut9",4.35853254450176e-20,-0.385254632817138,0.988,1,8.0288528002267e-16
"Fos",4.69539168284891e-20,-0.516538497053186,0.869,0.985,8.64938101897597e-16
"Arc",5.71673363186269e-20,-0.509188031876006,0.735,0.941,1.05307950232543e-15
"Hsp90ab1",9.67817397850609e-20,-0.419220450849267,1,1,1.78281642858061e-15
"Ramp3",2.98035682479295e-19,-0.534911054363515,0.469,0.779,5.49011530695109e-15
"Ubb",7.44330795445883e-19,-0.447852638500075,1,1,1.37113175829086e-14
"Ndn",7.53517125616835e-19,-0.549500602288338,0.962,0.985,1.38805389709877e-14
"Anp32a",1.09620394168147e-18,-0.347715577186852,0.965,0.985,2.01931728097143e-14
"Crym",1.26912088847598e-18,-0.632261189956834,0.581,0.868,2.3378475886616e-14
"Dusp1",2.20193428615926e-18,-0.525408717184748,0.646,0.941,4.05618314853397e-14
"Npas4",4.42223033055197e-18,-0.61294379131089,0.596,0.919,8.14619049190979e-14
"Itm2b",6.40964003303505e-18,-0.356330692114466,0.985,1,1.18071979048539e-13
"Dnaja1",6.76952788780504e-18,-0.287843283458346,1,1,1.24701473221257e-13
"Cck",6.93702045882596e-18,0.446344784791061,0.985,0.809,1.27786853872033e-13
"Calm1",7.87121329343451e-18,-0.264304737311639,1,1,1.44995620078357e-13
"Ckmt1",8.50619253774582e-18,-0.431334802573894,0.815,0.912,1.56692572737816e-13
"Rab26",1.04817249775624e-17,-0.367330655402985,0.754,0.882,1.93083855811676e-13
"Mgat4c",1.14259596672796e-17,-0.530274655690406,0.331,0.64,2.10477603030957e-13
"Ldhb",1.14610339929179e-17,-0.492748212066071,0.904,0.949,2.1112370718354e-13
"Hs3st4",1.68394894073516e-17,-0.875997264856782,0.315,0.669,3.10200234372825e-13
"Cuedc2",4.15144271101109e-17,-0.347052203943744,0.804,0.89,7.64737261795353e-13
"Egr1",4.43447317624186e-17,-0.323336982267837,0.981,1,8.16874303795514e-13
"Nap1l5",5.01374670038194e-17,-0.264002295808182,0.992,1,9.23582279677357e-13
"Stmn1",6.66885396922407e-17,-0.267664817859474,0.996,1,1.22846958967077e-12
"Ndufb5",8.81439601091413e-17,-0.269854071266231,0.992,1,1.62369988917049e-12
"Prdx5",9.15355615779032e-17,-0.261672753981107,0.981,1,1.68617657982656e-12
"Junb",9.47138734929304e-17,-0.423202030951545,0.965,0.993,1.74472426361327e-12
"Rprml",1.45170319892324e-16,-0.313217698616026,0.919,0.978,2.67418246273651e-12
"Zcchc18",1.61166779117798e-16,-0.294883066959465,0.992,0.993,2.96885323812896e-12
"Fezf2",1.80992033516281e-16,-0.468485685228708,0.388,0.75,3.33405424940341e-12
"Rraga",2.35893457451486e-16,-0.343445093967645,0.892,0.963,4.34539337971382e-12
"Sept3",4.07672355727778e-16,-0.299104102934178,0.985,1,7.5097324648614e-12
"Atp5f1",4.4068074599087e-16,-0.338659832755586,0.992,1,8.11778002189782e-12
"Serpini1",5.21467368857243e-16,-0.311484666973506,0.988,1,9.60595040171927e-12
"Dnajb1",5.55101252345486e-16,-0.529776249608743,0.742,0.904,1.02255201694562e-11
"Psmd7",5.76974247589696e-16,-0.26582341203383,0.938,0.993,1.06284426148498e-11
"Ccdc12",6.9104985785972e-16,-0.383648853073174,0.842,0.941,1.27298294316339e-11
"Rala",8.16405469843781e-16,-0.35829525752293,0.777,0.919,1.50390051599923e-11
"Egr4",8.46077922291047e-16,-0.593116999071131,0.681,0.904,1.55856014065234e-11
"Arpc2",8.53490254386914e-16,-0.259866024890884,0.977,1,1.57221439760613e-11
"Nxph3",9.93787854117558e-16,-0.660534329518162,0.131,0.5,1.83065660606995e-11
"Psmc5",1.2253575468816e-15,-0.295202056320014,0.969,0.985,2.2572311371106e-11
"Foxp2",1.29540565438806e-15,-0.748191827873792,0.131,0.412,2.38626675594825e-11
"Sept7",1.48086758040903e-15,-0.289302725451932,0.996,1,2.72790616987147e-11
"Ap2s1",1.61934543430675e-15,-0.276604865988044,0.988,1,2.98299622453647e-11
"Nfix",1.86739229142706e-15,-0.27617806048366,0.988,1,3.43992334003779e-11
"Sema5a",1.99453135864413e-15,-0.665405170721553,0.077,0.346,3.67412621575834e-11
"Efhd2",2.02974257066721e-15,-0.398109155451853,0.985,0.993,3.73898878942606e-11
"Sec62",2.18269918228675e-15,-0.271795661931182,0.992,1,4.02075016369043e-11
"Ifi27",3.11120682190611e-15,-0.571679516613736,0.208,0.397,5.73115408663325e-11
"Rprm",3.21527068144087e-15,-0.946015916026509,0.396,0.632,5.92285012228222e-11
"Nrip3",3.31194800369381e-15,-0.674651467924219,0.335,0.618,6.10093941760437e-11
"Plxna2",3.43652513984158e-15,-0.353795586990931,0.835,0.926,6.33042296010217e-11
"Sparcl1",4.57298202720513e-15,-0.422205677470491,0.892,0.934,8.42389019231457e-11
"Slc25a3",4.95875869645127e-15,-0.316692023443517,0.992,1,9.13452939473288e-11
"Ociad1",5.52533925970577e-15,-0.293988677442392,0.958,0.978,1.0178227450304e-10
"Ldha",5.78597891677438e-15,-0.272202378327153,0.988,1,1.06583517625901e-10
"Pde1a",6.24247785393657e-15,-0.303418282657842,0.988,1,1.14992684547366e-10
"Glul",6.4010849119091e-15,-0.50706304478134,0.381,0.647,1.17914385162278e-10
"Nudc",6.67525372515094e-15,-0.257629999474749,0.927,0.978,1.22964848871005e-10
"Tecr",7.14132215996888e-15,-0.311146606136858,0.977,1,1.31550295508787e-10
"Nkiras1",7.4308616293505e-15,-0.304047607251737,0.915,0.956,1.36883902074266e-10
"Rwdd2a",7.59997784948651e-15,-0.526848787644635,0.385,0.507,1.39999191965391e-10
"Cops6",1.01004094865449e-14,-0.29089315104075,0.835,0.949,1.86059643151643e-10
"Fkbp3",1.19822896550998e-14,-0.281467813123661,0.981,1,2.20725757736594e-10
"Syt6",1.2626469350818e-14,-0.563335967565829,0.073,0.338,2.32592191911418e-10
"Vdac2",1.28032887879829e-14,-0.282370060446339,0.969,0.985,2.35849382763433e-10
"Lmo3",1.37649301217869e-14,-0.347679197328501,0.646,0.581,2.53563777773437e-10
"Adcy1",1.67309481343797e-14,-0.301390714237079,0.992,1,3.08200795583408e-10
"Fez1",1.8503523067489e-14,-0.347966489024727,0.885,0.926,3.40853398426215e-10
"Gnb5",2.0867302357802e-14,-0.277644459262318,0.858,0.971,3.84396576733071e-10
"Snap47",2.14786923609991e-14,-0.303289215536827,0.981,0.993,3.95658991981964e-10
"Psmd4",2.17259770306084e-14,-0.308865386745659,0.862,0.941,4.00214222880838e-10
"Cacybp",2.2500194869203e-14,-0.318572948481675,0.927,0.993,4.14476089685589e-10
"Trbc2",2.36437391452309e-14,-0.485542579981871,0.523,0.816,4.35541318794299e-10
"Gnb2",3.30262686255773e-14,-0.269674456568989,0.988,0.993,6.0837689435176e-10
"Eif3c",3.70288406898344e-14,-0.310640536983908,0.869,0.963,6.8210827434744e-10
"Mgst3",3.82386433408287e-14,-0.333690673378024,0.9,0.949,7.04394048981405e-10
"Tusc3",5.64046173623864e-14,-0.323298097663254,0.95,0.963,1.03902945643252e-09
"Emc7",6.09236434773343e-14,-0.258750031978578,0.938,0.985,1.12227443649598e-09
"Psmd6",7.3978912934497e-14,-0.427807391616005,0.542,0.706,1.36276555516637e-09
"Ccl27a",9.71734974844545e-14,-0.261513518357282,0.973,0.985,1.79003299716114e-09
"Mdh1",1.00807693141262e-13,-0.378460950776129,0.996,1,1.8569785153552e-09
"Ndufs3",1.60525533423632e-13,-0.350907673652454,0.719,0.912,2.95704085119673e-09
"Arpc3",1.8420696885322e-13,-0.299197437587649,0.977,1,3.39327657324516e-09
"Psmd8",1.86518172961954e-13,-0.312304762239924,0.769,0.941,3.43585126413216e-09
"Satb1",2.03303617436852e-13,-0.35923416286112,0.669,0.919,3.74505593680424e-09
"Ssb",2.07877092453744e-13,-0.340679592937063,0.927,0.956,3.82930392009042e-09
"Aig1",2.15328953937963e-13,-0.33369139039934,0.773,0.882,3.96657466049122e-09
"Dnm3",2.30716301847478e-13,-0.337518140725899,0.942,0.993,4.2500249963324e-09
