"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",9.0039601471151e-190,1.50527001832269,0.985,0.601,1.65861949870007e-185
"Nrn1",4.86329136516575e-144,1.08914632591825,0.969,0.601,8.95866902377184e-140
"Nptxr",2.24947524700016e-142,1.01340507425956,0.988,0.635,4.143758352499e-138
"Crym",7.45613989243794e-119,-0.954634099115683,0.581,0.99,1.37349552958599e-114
"Nrip3",7.30821370300262e-117,-0.997765108811859,0.335,0.976,1.34624604623011e-112
"Ptprk",5.64356908538524e-105,0.760621999457582,0.815,0.067,1.03960186121882e-100
"Rprm",1.24669089801549e-97,-1.60469043853155,0.396,0.88,2.29652930323433e-93
"Camk2d",3.56507650292023e-90,0.862005064803101,0.888,0.287,6.56722742602936e-86
"Foxp2",8.34726168859964e-90,-1.092305213096,0.131,0.821,1.53764907565694e-85
"Cnr1",1.28447482733712e-89,0.916667397715697,0.927,0.395,2.3661310794377e-85
"C1ql3",2.6086924238892e-88,0.969269898590616,0.965,0.389,4.80547231404629e-84
"Cpne5",2.77145042307276e-88,0.747395504823343,0.888,0.232,5.10528882434232e-84
"Bcl11b",7.79006584027788e-88,-0.828129470026468,0.473,0.982,1.43500802843759e-83
"Pcdh15",3.228571886269e-85,0.697523515554372,0.823,0.153,5.94735227169612e-81
"Hs3st4",1.79245946078532e-84,-1.14314264413781,0.315,0.88,3.30188957271264e-80
"Syt6",1.19250770932237e-83,-1.00211179924996,0.073,0.743,2.19671845134274e-79
"Sparcl1",8.71990661663692e-83,-0.629262401137791,0.892,0.998,1.60629399785069e-78
"Tmsb10",3.34913854488606e-81,-0.62076224582041,0.95,0.998,6.16944811353461e-77
"Htr2a",5.6897729365802e-80,0.762216690274348,0.615,0.02,1.04811307264744e-75
"Lmo3",1.56748425732647e-79,-0.677018941044087,0.646,0.984,2.8874627504211e-75
"Slc30a3",2.23190448991853e-79,0.92995339499844,0.696,0.069,4.11139126087892e-75
"Nwd2",1.35275379221966e-78,0.663003241030136,0.9,0.383,2.49190776064784e-74
"Car10",3.92853609447811e-78,0.673142817415928,0.958,0.55,7.23675633963812e-74
"Sema5a",2.24846192347403e-77,-1.0818925162526,0.077,0.731,4.14189170923151e-73
"Ccdc12",1.21284131701155e-76,-0.6723138687949,0.842,0.957,2.23417499006698e-72
"Nr2f1",7.42817883662906e-76,0.601215797254574,0.962,0.778,1.36834482349544e-71
"Rimbp2",9.86611422063488e-76,0.578234720785988,0.958,0.595,1.81743690058315e-71
"Lmo1",1.04390788440278e-75,-0.870601362734016,0.285,0.859,1.92298271385836e-71
"Tle4",9.25366040643443e-75,-0.903879606755768,0.323,0.866,1.70461678346929e-70
"Camk2n1",3.92116000586193e-74,0.51594789397488,0.992,0.998,7.22316884679826e-70
"Ramp3",8.87068520007235e-74,-0.717315782979319,0.469,0.933,1.63406892070533e-69
"Cdh10",9.04863524830568e-73,0.593581912997393,0.892,0.326,1.66684909909039e-68
"Nxph3",1.84776873435677e-70,-0.845892611473819,0.131,0.772,3.4037747855586e-66
"Kcnab1",4.81829475919028e-70,0.716911078159127,0.869,0.305,8.87578077590442e-66
"Ubb",4.85449882159044e-70,-0.668064386388764,1,1,8.94247227925176e-66
"Ldhb",6.86868991258757e-70,-0.706511751078794,0.904,0.98,1.26528136879776e-65
"Nfib",4.27604085573354e-69,-0.549273623560569,0.915,1,7.87689486034675e-65
"Unc5d",1.09745629506775e-67,0.612339701634597,0.615,0.045,2.02162424114431e-63
"Ifi27",1.13506695427439e-67,-0.837702067508552,0.208,0.788,2.09090683646885e-63
"Zfpm2",1.83582839971296e-67,-0.628517043421551,0.146,0.766,3.38177949511124e-63
"Camk2n2",3.06836752202329e-67,0.856642783846502,0.819,0.305,5.6522398123191e-63
"Cxcl12",9.48306799644383e-67,-0.789147027242899,0.273,0.851,1.74687595562492e-62
"Nfia",5.47595869693674e-66,-0.813380622355234,0.535,0.912,1.00872635156272e-61
"Rnf152",3.91004255321012e-65,-0.86082970671717,0.058,0.662,7.20268938726836e-61
"Ppp1r1b",4.21216882607592e-65,-0.736569234369593,0.246,0.813,7.75923619451444e-61
"Fez1",4.88165191036151e-65,-0.547602985084943,0.885,0.986,8.99249098407693e-61
"Ajap1",6.16501835387672e-65,0.539419702290814,0.85,0.218,1.13565803096763e-60
"Kcnip4",1.63238583225912e-64,0.582472813427241,0.927,0.456,3.00701794160453e-60
"Stum",2.53648715692536e-64,0.575902788826356,0.873,0.246,4.67246299177221e-60
"Necab1",8.85595565368688e-64,0.618211297307886,0.888,0.587,1.63135559096566e-59
"Mgat5",2.94442216285049e-63,0.600436294777294,0.865,0.399,5.42392006618689e-59
"Ndn",3.64368992616844e-63,-0.7234073204246,0.962,0.994,6.71204121299489e-59
"Ccl27a",1.39194963185058e-61,-0.45401070412074,0.973,0.998,2.56411041683195e-57
"Cpne9",1.73080348448288e-61,0.56095808430813,0.504,0.016,3.18831309876591e-57
"Rabac1",2.26398321726681e-61,-0.482750143929539,0.962,0.994,4.17048348452719e-57
"Fhl1",3.18640428101772e-61,0.559802075955376,0.754,0.206,5.86967532606275e-57
"Slc39a10",3.3412175904008e-61,0.389794656301601,0.996,0.971,6.15485692327732e-57
"Rtn4rl1",5.46448634100345e-61,0.591787520488794,0.758,0.155,1.00661302887625e-56
"Calm2",7.20620304320833e-61,-0.301129847426356,0.996,1,1.32745466258941e-56
"Fezf2",3.72268745890917e-60,-0.651689797702989,0.388,0.896,6.85756256805658e-56
"Anp32a",1.12613819497712e-59,-0.456279624534572,0.965,0.994,2.07445916896735e-55
"Sla",1.18752162324432e-59,-0.649459593978302,0.065,0.648,2.18753358217836e-55
"Syt17",1.23678527811926e-59,0.51091969653703,0.823,0.218,2.2782821608235e-55
"Uchl1",1.25422347914635e-59,-0.507397436048356,1,0.998,2.31040507093549e-55
"6430548M08Rik",2.60512470528205e-59,0.539822234539174,0.931,0.609,4.79890021960007e-55
"Ntm",3.52210439779997e-59,0.547975115755478,0.985,0.652,6.48806851118732e-55
"Bok",4.03108527970431e-59,0.676473397366974,0.781,0.297,7.42566219374332e-55
"Rwdd2a",5.42347765262088e-59,-0.806632887654803,0.385,0.825,9.99058818389292e-55
"Wnt4",3.88983806236609e-58,0.627627935184837,0.708,0.151,7.16547069468458e-54
"Atp5f1",4.10957884255378e-58,-0.437718035161726,0.992,1,7.57025518586833e-54
"Mef2c",5.63647095380897e-58,0.386847717935204,1,1,1.03829431440115e-53
"Efhd2",9.8976567913021e-58,-0.545873951603655,0.985,0.988,1.82324735752576e-53
"Sorbs2",1.13910666521984e-57,0.384005935481644,0.996,0.945,2.09834838800146e-53
"Tmem178",1.49742927454921e-57,-0.588470768228692,0.569,0.937,2.7584144666471e-53
"Lypd1",2.76989346554749e-57,-1.01359352091534,0.177,0.766,5.10242075288504e-53
"Fndc5",5.64838568076253e-57,0.608936028133189,0.731,0.202,1.04048912625327e-52
"Slc2a13",7.13565818763677e-57,0.567106827058322,0.865,0.377,1.31445959474457e-52
"Ckb",1.02946403170567e-56,-0.541127270555828,0.996,0.998,1.89637569280502e-52
"Igfbp6",1.18883860508269e-56,0.775310327733921,0.758,0.222,2.18995959442283e-52
"Glra2",1.35383645468114e-56,-0.609154742931526,0.162,0.741,2.49390213316813e-52
"Psmb6",1.50136155962894e-56,-0.489065777719983,0.862,0.947,2.76565812899246e-52
"Nos1ap",2.3435875931188e-56,-0.527121760970992,0.877,0.982,4.31712270528415e-52
"Prdx1",3.64087855178819e-56,-0.538326450986427,0.904,0.967,6.70686238024903e-52
"Mgat4c",6.31566028561856e-56,-0.655241215656831,0.331,0.809,1.16340778121379e-51
"Prdx2",6.38596794989871e-56,-0.413504911624275,0.973,0.994,1.17635915605084e-51
"Ndufs3",1.69710300220644e-55,-0.544329566194891,0.719,0.937,3.12623344036449e-51
"Slc24a3",1.89954660746664e-55,0.743936832817139,0.646,0.13,3.4991548056143e-51
"BC030499",2.09787075115861e-55,0.556399734548105,0.681,0.138,3.86448771070928e-51
