"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",1.5123845996771e-134,1.60575421580623,0.985,0.592,2.78596367106519e-130
"Rprm",6.19404269579113e-112,-1.86059029475599,0.396,0.944,1.14100460499168e-107
"Nptxr",8.98915120541653e-105,1.11600243390613,0.988,0.587,1.65589154354978e-100
"Ubb",1.61540654621024e-103,-0.833546677436058,1,1,2.97574039877388e-99
"Crym",2.17372061800733e-101,-1.09568953251475,0.581,1,4.0042107504313e-97
"Ccdc12",1.69627133254394e-98,-0.823110837483817,0.842,0.974,3.12470142167919e-94
"Foxp2",3.03577156491628e-90,-1.29147827244207,0.131,0.939,5.59219479973227e-86
"Ldhb",1.59304278697599e-88,-0.851476547193797,0.904,0.985,2.93454411788846e-84
"Syt6",4.43411956385653e-87,-1.10689202455038,0.073,0.903,8.16809164858012e-83
"Tmsb10",8.24006817267623e-85,-0.746782223327536,0.95,1,1.51790295808869e-80
"Nrn1",9.58298598441168e-85,1.12422258046071,0.969,0.51,1.76528184818848e-80
"Uchl1",5.7540047032224e-84,-0.644622426106718,1,1,1.0599452063806e-79
"Ndn",3.73847061416149e-83,-0.898601592087534,0.962,0.995,6.88663671834687e-79
"Nrip3",1.3471494801247e-82,-1.03671719466222,0.335,0.985,2.48158405733772e-78
"Ifi27",2.81463013954197e-82,-1.04292771684191,0.208,0.964,5.18483018005026e-78
"Hsp90ab1",3.03850337958417e-82,-0.653231405168815,1,1,5.597227075532e-78
"Sparcl1",1.18056472728237e-81,-0.674490273572327,0.892,0.995,2.17471828412685e-77
"Hs3st4",1.05492575294552e-80,-1.27540707242433,0.315,0.949,1.94327872950094e-76
"Rabac1",1.31879006793811e-78,-0.602019876097664,0.962,1,2.42934318414879e-74
"Fez1",2.01205722145128e-78,-0.687928726962109,0.885,0.99,3.7064106076354e-74
"C1ql3",1.82126525395007e-77,1.15664802976443,0.965,0.306,3.35495272430142e-73
"Prdx2",2.98328898113251e-77,-0.521227258103312,0.973,0.995,5.4955166321442e-73
"Tagln3",2.50469284734858e-75,-0.602455285262383,0.996,0.995,4.61389469410081e-71
"Ckb",8.81675213143552e-75,-0.667250202104016,0.996,1,1.62413391013174e-70
"Calm2",8.91109224637562e-75,-0.368054022086699,0.996,1,1.64151230270485e-70
"Ndufs3",1.36246961484905e-74,-0.678888077115314,0.719,0.99,2.50980527751344e-70
"Cpne5",1.98009913298132e-73,0.839457030020755,0.888,0.102,3.64754061286489e-69
"Slc25a4",1.53598588007997e-72,-0.588071844506353,0.996,1,2.82943958969531e-68
"Arpc3",1.81778749352481e-72,-0.58189982976754,0.977,0.995,3.34854634182206e-68
"Mdh1",2.97693397542667e-71,-0.663290071813226,0.996,1,5.48381007613346e-67
"Prdx1",7.01741031150573e-71,-0.682936692780123,0.904,0.99,1.29267715348247e-66
"Slc25a3",7.85678633889738e-71,-0.55232703293761,0.992,1,1.44729861148829e-66
"Hsp90aa1",2.20082182041298e-70,-0.556865163914922,1,1,4.05413387538274e-66
"Psma4",2.6827180055185e-70,-0.796210480297627,0.669,0.949,4.94183483796563e-66
"Ptprk",3.60505897591653e-69,0.787024311818112,0.815,0.056,6.64087913953584e-65
"Gnb2",4.31004586879564e-69,-0.503960113598173,0.988,1,7.93953549490845e-65
"Cuedc2",6.57960973482833e-69,-0.654349621639226,0.804,0.974,1.21202990925273e-64
"Gapdh",1.02180468713603e-68,-0.76919950560657,0.996,1,1.88226641417329e-64
"Lmo1",4.87476183300366e-68,-1.00457028375813,0.285,0.893,8.97979877257605e-64
"Psmb5",4.88233999084082e-68,-0.600322102634994,0.904,0.99,8.99375849712787e-64
"Tle4",7.31626885645014e-68,-0.90303966287579,0.323,0.944,1.34772988604668e-63
"Cnr1",1.44498633788403e-67,1.02299269307679,0.927,0.306,2.66180933301617e-63
"Tecr",2.02580043708471e-67,-0.608189891916648,0.977,1,3.73172698515374e-63
"Sdhb",3.25169332726215e-67,-0.611060205352164,0.877,1,5.98994427814961e-63
"Efhd2",6.40961871734677e-67,-0.634821080306217,0.985,1,1.18071586392245e-62
"Nxph3",1.32194141956899e-66,-0.951503727620936,0.131,0.883,2.43514828898805e-62
"Rprml",7.31113433846616e-66,-0.542172022817764,0.919,1,1.34678405648885e-61
"Ramp3",1.0545644474149e-65,-0.788613054183428,0.469,0.969,1.94261316858299e-61
"Rwdd2a",1.06156756911185e-65,-0.941187047955889,0.385,0.923,1.95551361906093e-61
"Sema5a",1.11945903658523e-65,-1.09689610822607,0.077,0.806,2.06215549129365e-61
"Psmb6",1.22625384818289e-65,-0.627740434867488,0.862,0.99,2.2588822137377e-61
"Rab26",6.62061323351358e-65,-0.670013566272609,0.754,0.969,1.21958316374554e-60
"Atp5f1",9.11457941266724e-65,-0.533010783549422,0.992,1,1.67899667360743e-60
"Rheb",9.70229866827618e-65,-0.425697211959961,0.992,1,1.78726043768315e-60
"Stum",1.09366793576409e-64,0.769093844469692,0.873,0.117,2.01464570447102e-60
"Atp5c1",1.17963107260509e-64,-0.487982822050681,0.988,1,2.17299839884583e-60
"Cyth2",1.26972089615809e-64,-0.703661966454961,0.685,0.959,2.33895286281282e-60
"Anp32a",1.38343644908584e-64,-0.548332428254475,0.965,1,2.54842828286103e-60
"Lmo3",2.58487443539091e-64,-0.711868373380888,0.646,0.995,4.7615971974336e-60
"Ppp1r1b",3.62746492290517e-64,-0.888416432129224,0.246,0.898,6.68215313448361e-60
"Nfia",8.47433049429908e-64,-0.949480240083982,0.535,0.959,1.56105642035483e-59
"Ccl27a",1.10137292986678e-63,-0.513743661136442,0.973,1,2.0288390741076e-59
"Vdac2",1.99494162969741e-63,-0.523045189810874,0.969,1,3.6748819760656e-59
"Itm2b",2.51859307200445e-63,-0.626289171179836,0.985,1,4.6395002979394e-59
"Psma6",6.80474506182193e-63,-0.666073345580477,0.769,0.98,1.25350208783822e-58
"Mgst3",7.40483590774098e-63,-0.593411429600407,0.9,0.995,1.36404482256497e-58
"Stmn1",1.84409717189738e-62,-0.414935152808084,0.996,1,3.39701140035216e-58
"Mdh2",3.90316074704672e-62,-0.647853995321447,0.935,0.985,7.19001241213477e-58
"Vdac3",2.8714677256729e-61,-0.503322431881053,0.977,1,5.28953069746205e-57
"Clta",8.03814695706152e-61,-0.438303431334983,0.988,0.995,1.4807070509603e-56
"Camk2d",1.20431582960435e-60,0.901742744034847,0.888,0.26,2.21847018971417e-56
"Ajap1",2.57276050490502e-60,0.665101059352394,0.85,0.112,4.73928212608553e-56
"Myl6",3.43957942328968e-60,-0.40992266183623,0.996,1,6.33604925564192e-56
"Park7",3.60645919934014e-60,-0.496423405579736,0.958,0.995,6.64345849110448e-56
"Bcl11b",7.841303270928e-60,-0.797357462990644,0.473,0.995,1.44444647553765e-55
"Sla",9.10546009552896e-60,-0.738857854625137,0.065,0.781,1.67731680419739e-55
"Tmem59",1.22007620570554e-59,-0.521886175340389,0.935,0.99,2.24750237853018e-55
"Itm2c",2.65881903390672e-59,-0.47651949030065,1,1,4.89781054235956e-55
"Slc25a5",3.47077302705755e-59,-0.667976832266632,0.742,0.985,6.39351099314272e-55
"Slc30a3",4.65024390011089e-59,0.985107097272766,0.696,0.015,8.56621428839427e-55
"Cyr61",6.69142333602973e-59,-1.55336054768282,0.115,0.791,1.23262709273004e-54
"Txnl1",8.15818427365171e-59,-0.561184386466457,0.888,0.98,1.50281912504938e-54
"Kcnab1",1.07672895758239e-58,0.813490304368516,0.869,0.173,1.98344241276252e-54
"Psmb1",3.3154502874419e-58,-0.555569174239883,0.938,0.99,6.10739097449673e-54
"Cxcl12",6.58786083933272e-58,-0.905875289845613,0.273,0.918,1.21354984521348e-53
"Kcnip4",8.42318045139972e-58,0.703111036275194,0.927,0.311,1.55163407095234e-53
"Glul",1.38563550796956e-57,-0.914098566355204,0.381,0.918,2.55247916923072e-53
"Ndufb5",6.86325815579636e-57,-0.403548905375655,0.992,1,1.26428078487925e-52
"Ppia",1.63129736727299e-56,-0.40405116363516,1,1,3.00501288025357e-52
"Rnf152",1.91130948161001e-56,-0.786245906428968,0.058,0.745,3.52082319607379e-52
"Psmb3",4.34371282912898e-56,-0.606668223675952,0.785,0.969,8.0015534025385e-52
"Caly",5.1039807998733e-56,-0.486497545753458,0.992,0.995,9.40204303144661e-52
"Mgat4c",1.75209568206911e-55,-0.740208685588462,0.331,0.898,3.2275354559395e-51
"Calm1",2.01971445110385e-55,-0.422046968362537,1,1,3.72051599037841e-51
"Tusc3",7.51258955517812e-55,-0.517321783730369,0.95,0.995,1.38389412195936e-50
"Ntm",1.37834319552693e-54,0.66979553720857,0.985,0.622,2.53904600048016e-50
"Myl12b",1.91312283091828e-54,-0.4160736900096,0.981,0.99,3.52416356683456e-50
"Zfpm2",4.06802773087329e-54,-0.709743356240425,0.146,0.816,7.49371388304169e-50
"Crip2",4.57145952126965e-54,-0.4170977840271,0.988,0.99,8.42108558413083e-50
"Nwd2",9.56750059378778e-54,0.703295971291665,0.9,0.311,1.76242928438165e-49
"Ndufc2",1.17560162224395e-53,-0.459460781784655,0.965,1,2.16557574833558e-49
"Rtn4rl1",3.12445972315421e-53,0.685053922954748,0.758,0.071,5.75556725602237e-49
"Hagh",4.41785822120093e-53,-0.54016794767885,0.812,1,8.13813662927424e-49
"Arpc1a",4.62301908924519e-53,-0.462777349005125,0.946,0.99,8.51606346429857e-49
"Psmb2",5.76765254479181e-53,-0.615323010072641,0.65,0.939,1.0624592752761e-48
"Ina",1.29225643140985e-52,-0.596262960962185,0.977,1,2.38046557230008e-48
"Syt17",1.42696298960582e-52,0.659477535325459,0.823,0.128,2.62860852315289e-48
"Scg5",2.04790720219626e-52,-0.457844923128357,0.985,1,3.77244985716574e-48
"Plcb4",2.14054580613909e-52,-0.905266844981925,0.408,0.923,3.94309942948881e-48
"Pcdh15",4.39490834216424e-52,0.699235065617902,0.823,0.184,8.09586065710074e-48
"Vsnl1",8.39691336999564e-52,-0.394928234274085,0.992,1,1.5467954118869e-47
"Gde1",1.08417990670863e-51,-0.447188728755184,0.988,1,1.99716780614797e-47
"Ywhah",1.38834256826597e-51,-0.316420967995702,0.996,1,2.55746584500275e-47
"Nos1ap",3.04364151642946e-51,-0.568174102609683,0.877,0.99,5.60669203741471e-47
"Capza2",5.07660405185251e-51,-0.338990551411604,0.992,1,9.3516123239175e-47
"Atp5o.1",9.29748173760556e-51,-0.39699314149735,0.981,1,1.71268911088432e-46
"Tmem178",1.38862650304747e-50,-0.64198619755075,0.569,0.949,2.55798888126374e-46
"Bsg",1.63197465009086e-50,-0.383533839114891,0.996,1,3.00626050293238e-46
"Ddah1",1.87778233324455e-50,-0.911194773166393,0.165,0.821,3.45906283606979e-46
"Rraga",2.30334081838252e-50,-0.538106248760846,0.892,0.99,4.24298412154245e-46
"Dynll1",2.18201509449012e-49,-0.290597151917842,1,1,4.01949000556025e-45
"Cd81",2.8724391751426e-49,-0.437961292544451,0.958,1,5.29132020453018e-45
"Ckmt1",3.24106001178935e-49,-0.612783812076339,0.815,0.98,5.97035664771717e-45
"Psmd14",3.75245814122735e-49,-0.648520891229643,0.608,0.923,6.9124031419549e-45
"Bex2",3.9187755932101e-49,-0.320834124739516,0.996,1,7.21877652025233e-45
