"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",6.92247879627562e-277,1.66186184114397,0.985,0.524,1.27518981906193e-272
"Nptxr",1.3043505699298e-232,1.16977474692051,0.988,0.528,2.40274418486769e-228
"Rprm",3.59325770675292e-225,-1.90556434002727,0.396,0.984,6.61914002160955e-221
"Foxp2",1.721616103178e-182,-1.33209160056933,0.131,0.981,3.17138902366419e-178
"Ccdc12",1.44406213253936e-181,-0.854252134005897,0.842,0.999,2.66010685435075e-177
"C1ql3",1.48252720195337e-179,1.30180625149784,0.965,0.291,2.7309633587183e-175
"Nrn1",6.92936325446404e-177,1.14607816686091,0.969,0.488,1.27645800510482e-172
"Syt6",5.87540541874627e-171,-1.17870628427153,0.073,0.956,1.08230843218725e-166
"Hs3st4",5.72513708660511e-170,-1.33256502136467,0.315,0.99,1.05462750272353e-165
"Crym",2.02573420316696e-167,-1.10983889033483,0.581,0.996,3.73160497565386e-163
"Tmsb10",1.18102348004909e-163,-0.728989925438419,0.95,1,2.17556335259843e-159
"Calm2",4.83797114662539e-153,-0.37817495083101,0.996,1,8.91202664919863e-149
"Ubb",1.13525273067084e-152,-0.814953898102981,1,1,2.09124905516875e-148
"Nxph3",2.17816396148708e-145,-1.01392144416215,0.131,0.952,4.01239583345536e-141
"Tle4",3.17920417552522e-145,-1.0152652360906,0.323,0.974,5.85641201173501e-141
"Cnr1",9.68206880131939e-144,1.08535620134503,0.927,0.201,1.78353389389104e-139
"Nrip3",1.00867077130472e-142,-1.06206558197118,0.335,0.984,1.85807242782043e-138
"Sema5a",1.5606433169967e-141,-1.17413388646249,0.077,0.908,2.87486105423962e-137
"Stum",2.22987048909177e-138,0.842130839117603,0.873,0.072,4.10764442795595e-134
"Rabac1",1.33531529955817e-135,-0.595662620758724,0.962,1,2.4597843133161e-131
"Syt17",2.0685903861714e-133,0.828509899330531,0.823,0.041,3.81055035036633e-129
"Cpne5",2.1228549969749e-133,0.845079003849878,0.888,0.111,3.91051118992747e-129
"Uchl1",2.70275753841883e-133,-0.641955030599919,1,1,4.97874966152132e-129
"Rtn4rl1",7.38446837911199e-133,0.760366556572654,0.758,0.013,1.36029292011622e-128
"Ramp3",3.28130303647754e-132,-0.878888380067588,0.469,0.988,6.04448832349527e-128
"Stmn1",3.37825964558972e-132,-0.419581279339605,0.996,1,6.22309209314082e-128
"Tagln3",3.41273663178452e-131,-0.620223160448036,0.996,1,6.28660214941027e-127
"Sparcl1",5.51408578926483e-128,-0.718208672400687,0.892,1,1.01574974324047e-123
"Ifi27",6.72536581546208e-128,-1.01821763528919,0.208,0.937,1.23887963686627e-123
"Mef2c",2.27735146358943e-127,0.488392988471078,1,1,4.19510913107808e-123
"Rprml",1.16248058345198e-126,-0.569349750942861,0.919,0.999,2.14140548277688e-122
"Ajap1",1.42550416965697e-126,0.728581115703949,0.85,0.069,2.6259212309251e-122
"Kcnab1",3.89922021699094e-126,0.879171295805774,0.869,0.145,7.18275356171902e-122
"Ptprk",8.82748815212098e-125,0.774240028705086,0.815,0.072,1.62611159250221e-120
"Ndn",1.21616461202653e-124,-0.920050430038681,0.962,0.999,2.24029683181407e-120
"Fez1",6.5935280398876e-124,-0.650759679723959,0.885,0.999,1.21459380022769e-119
"Hsp90ab1",1.01328733073093e-123,-0.663953386428134,1,1,1.86657659193944e-119
"Efhd2",5.98901896787364e-123,-0.656372596014409,0.985,0.999,1.103237184072e-118
"Prdx1",6.04706226574765e-122,-0.683373440863573,0.904,0.999,1.11392933997338e-117
"Rab26",4.58145589271083e-120,-0.684354000758914,0.754,0.987,8.43949989996263e-116
"Psmb6",3.12093188822836e-119,-0.643822795934951,0.862,0.994,5.74906863130546e-115
"Kcnip4",1.66797568080059e-118,0.745991569104035,0.927,0.293,3.07257800160276e-114
"Prdx2",6.36812279136047e-117,-0.518006630636285,0.973,1,1.17307189939651e-112
"Ndufs3",2.85339776770158e-116,-0.677627593619869,0.719,0.984,5.25624402788307e-112
"Arpc3",3.30608244159568e-116,-0.562976574479005,0.977,1,6.09013446566339e-112
"Ldhb",4.28600648479653e-116,-0.82662877753602,0.904,0.996,7.89525254564368e-112
"Ntm",2.951052031961e-115,0.719848021081374,0.985,0.566,5.43613294807536e-111
"Psmb5",1.08420365128411e-114,-0.648281061205323,0.904,0.994,1.99721154603046e-110
"Slc30a3",1.95052966343331e-114,0.981273818521136,0.696,0.022,3.5930706930105e-110
"Nfia",3.82893230101339e-114,-0.983317071428747,0.535,0.965,7.05327619169677e-110
"Psma4",1.14198048323006e-113,-0.819883871641611,0.669,0.975,2.10364224815809e-109
"Srgap3",7.69305013171548e-113,0.708387984733445,0.935,0.286,1.41713676476331e-108
"Rnf152",2.08269173097975e-112,-0.927203098338631,0.058,0.825,3.8365264376378e-108
"Lmo3",1.07211760858237e-111,-0.715173334556783,0.646,0.997,1.97494784676959e-107
"Sla",1.41916295390536e-111,-0.852463892370695,0.065,0.831,2.61424007738907e-107
"Ppp1r1b",1.25001048744994e-110,-0.951361353634837,0.246,0.908,2.30264431893153e-106
"Rwdd2a",2.63526466972772e-110,-0.980037761806767,0.385,0.939,4.85442104810544e-106
"Ckb",8.49624052543156e-110,-0.664040920793021,0.996,0.999,1.56509246718975e-105
"Nwd2",2.10409507257966e-108,0.721595792384863,0.9,0.308,3.87595353319898e-104
"Atp5f1",3.86898395405434e-108,-0.532890760664918,0.992,0.999,7.1270553417635e-104
"Pcp4",4.43832242423508e-108,-0.716305258903278,0.754,0.997,8.17583373768344e-104
"Mgst3",8.87122014616177e-108,-0.589302840573299,0.9,0.996,1.63416746312446e-103
"Camk2d",7.95952044035038e-107,0.870729197357269,0.888,0.282,1.46622326031694e-102
"Gnb2",8.39911591588549e-107,-0.505417984004314,0.988,0.999,1.54720114286527e-102
"Anp32a",3.11221709583022e-106,-0.55549491794011,0.965,0.999,5.73301511222884e-102
"Myl6",9.61723503458671e-106,-0.405385587258594,0.996,1,1.77159086572122e-101
"Mgat4c",1.2416879432334e-105,-0.796232813787332,0.331,0.933,2.28731336023025e-101
"Plcb4",1.51495939129565e-105,-0.998714697981399,0.408,0.958,2.79070669470571e-101
"Itm2c",1.78849913057229e-105,-0.5038932693511,1,1,3.29459424842721e-101
"Park7",2.40066399188037e-105,-0.481897246109385,0.958,0.999,4.42226313944284e-101
"Bcl11b",2.03934908417369e-104,-0.786676575330539,0.473,0.982,3.75668494795636e-100
"Lmo1",1.372327181913e-103,-1.02590360378186,0.285,0.899,2.52796390180194e-99
"Ccl27a",2.07819942901696e-103,-0.514284967024785,0.973,0.999,3.82825116819214e-99
"Slc25a4",3.43592342950318e-103,-0.582688929271595,0.996,1,6.3293145494878e-99
"Psma6",8.32738695548051e-103,-0.679998627743841,0.769,0.975,1.53398795106906e-98
"Clta",1.26699418824533e-102,-0.438154695177623,0.988,1,2.33392999416673e-98
"Dynll1",2.4020468138115e-102,-0.300408508939749,1,1,4.42481043572216e-98
"Zfpm2",2.58300892868212e-102,-0.753420002872604,0.146,0.858,4.75816074752533e-98
"3110035E14Rik",3.62531526417408e-102,-0.534394055921808,0.985,0.999,6.67819324813507e-98
"Htr2a",4.42999825271036e-102,0.772715959307834,0.615,0.009,8.16049978131776e-98
"Slc39a10",1.99281120028863e-100,0.448623099696115,0.996,0.965,3.67095751205168e-96
"Psmb1",2.03785216042812e-100,-0.578482914389846,0.938,0.991,3.75392746472465e-96
"Camk2n1",5.28995265789762e-100,0.531342195487287,0.992,0.999,9.74462179111321e-96
"Ppia",7.22818276941567e-100,-0.408714583170284,1,1,1.33150354795406e-95
"Glul",3.62117547919321e-99,-0.857553233964744,0.381,0.934,6.67056735022181e-95
"Gapdh",1.67246630229717e-98,-0.764706039939468,0.996,1,3.08085017546161e-94
"Ttc9b",4.79420407802406e-98,-0.460140579505066,0.992,1,8.83140333212812e-94
"Ddah1",8.43656955423215e-98,-0.977077315492021,0.165,0.864,1.5541004775851e-93
"Psmb2",1.07809313138918e-97,-0.665047072369721,0.65,0.959,1.98595535733201e-93
"Vdac3",1.2753601853013e-97,-0.480924767354857,0.977,0.994,2.34934099734353e-93
"Ptma",3.70162097029012e-97,-0.389442508810434,1,1,6.81875598937143e-93
"Rimbp2",9.0034349284036e-97,0.590320690200443,0.958,0.603,1.65852274816123e-92
"Atp5c1",1.48085483398075e-96,-0.486198722697593,0.988,1,2.72788268967594e-92
"Sdhb",1.52400273307407e-96,-0.612760493900897,0.877,0.99,2.80736543459574e-92
"Vdac2",3.82316916610159e-96,-0.486798137382202,0.969,0.996,7.04265992087575e-92
"Unc5d",5.26496288132605e-96,0.647163292661391,0.615,0.016,9.69858812369072e-92
"Cuedc2",7.90675721592892e-96,-0.64040895516194,0.804,0.98,1.45650374674627e-91
"Cyth2",2.50649200445305e-95,-0.710198707882273,0.685,0.961,4.61720892140297e-91
"Cdh10",4.26496725827142e-95,0.63314988816537,0.892,0.27,7.85649618646177e-91
"Hsp90aa1",4.75020781511847e-95,-0.541506021066153,1,1,8.75035781622973e-91
"Ogfrl1",4.93008546876464e-95,-0.479670688584539,0.992,1,9.08171044201135e-91
"Ndufc2",3.02806093338309e-94,-0.449258112258504,0.965,1,5.57799104538499e-90
"Rheb",3.60953124105697e-94,-0.410965942959261,0.992,0.999,6.64911749915105e-90
"Ndufb5",4.15439335518068e-94,-0.39165811631893,0.992,1,7.65280799957833e-90
"Vsnl1",5.69186901362414e-94,-0.386207506817997,0.992,1,1.0484991909997e-89
"Rab3b",5.85679176641318e-94,-0.882446751758448,0.285,0.912,1.07887961129097e-89
"Itm2b",1.09197207432239e-93,-0.588516735100634,0.985,1,2.01152175810927e-89
"Rab3a",1.35847385679212e-93,-0.313766195263134,0.996,1,2.50244469159677e-89
"Car10",2.77792944873618e-93,0.670002777691424,0.958,0.594,5.11722383751692e-89
"Cxcl12",4.3368215106885e-93,-0.909166255717255,0.273,0.896,7.98885890483928e-89
"Cyr61",7.22987061568348e-93,-1.38214650512601,0.115,0.8,1.33181446611505e-88
"Mgat5",3.43150790698186e-92,0.667606663406929,0.865,0.326,6.32118071545129e-88
"Cox5a",1.65771853966091e-91,-0.407793898988748,0.981,1,3.05368332190935e-87
"Mdh1",3.1878887363441e-91,-0.660796789334053,0.996,1,5.87240984121946e-87
"Cfl1",1.00233411129094e-90,-0.32474906174494,0.996,1,1.84639966640905e-86
"Scg5",1.33007045542456e-90,-0.463036876387721,0.985,1,2.45012278593759e-86
"Tmem178",1.80224053820407e-90,-0.687558396319556,0.569,0.972,3.31990729542571e-86
"Atp6v1f",3.10900759020209e-90,-0.354815431302091,0.985,0.999,5.72710288191128e-86
"Slc2a13",1.81813169400162e-89,0.653947975056122,0.865,0.296,3.34918039352039e-85
"Tecr",1.98446887815766e-89,-0.606274768127385,0.977,0.996,3.65559012045423e-85
"Nfib",2.01997361683851e-89,-0.575615658465833,0.915,1,3.72099339957821e-85
"Unc5c",3.59165229791885e-89,0.621645233769071,0.731,0.088,6.61618269799631e-85
"Crip2",5.65315962360976e-89,-0.432166010643103,0.988,1,1.04136853426515e-84
"Ywhah",8.12212331604217e-89,-0.305915032430227,0.996,1,1.49617633604813e-84
"Ndufa4",9.86803006627787e-89,-0.306176954897252,0.996,1,1.81778981850905e-84
"Bex2",1.0474887760534e-88,-0.33636737744081,0.996,1,1.92957907436796e-84
"Fhl1",1.7064470485692e-88,0.615794685539356,0.754,0.128,3.14344610816932e-84
"Stk32c",6.33553528244663e-88,-0.570415158540458,0.919,0.999,1.16706895437949e-83
"Igfbp6",9.33023832900114e-88,0.88798028285215,0.758,0.124,1.7187232025853e-83
"Txnl1",1.23506404662205e-87,-0.563352263376952,0.888,0.987,2.27511148028248e-83
