"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Htr2a",2.25834060466983e-12,-0.531924131266057,0.262,0.615,4.16008922786229e-08
"Nrn1",8.52624478547647e-12,-0.378130638212209,0.959,0.969,1.57061955193262e-07
"Bok",9.02332134585455e-11,-0.403942078690955,0.459,0.781,1.66218602511987e-06
"Cck",9.15071316592862e-11,-0.351873038413878,0.975,0.985,1.68565287229571e-06
"Col23a1",7.48725600574247e-10,0.316465613684404,0.492,0.169,1.37922742881782e-05
"Efnb3",4.99479692713447e-09,0.311436617289454,0.828,0.569,9.2009154194744e-05
"Rab3b",9.5532647903542e-09,0.30781695499304,0.607,0.285,0.000175980690703115
"Nfib",1.05939344829664e-08,0.260787614755948,0.975,0.915,0.000195150867110724
"Gm11549",2.15281991426186e-08,-0.337728307329051,0.328,0.608,0.000396570956406177
"Dusp6",2.25652287891949e-08,-0.349355878938281,0.385,0.65,0.000415674079525759
"Kcnk2",3.73709002409821e-08,-0.54265557497577,0.213,0.408,0.00068840935333913
"Ptchd4",4.24822216899858e-08,-0.279682397487558,0.008,0.192,0.000782565005751229
"Timp2",5.23708124263436e-08,0.265975684326755,0.992,0.858,0.000964722735705675
"Osbpl3",5.8697219794846e-08,-0.271421412330115,0.148,0.435,0.00108126148584086
"Rgs4",7.16647982384612e-08,-0.398474061213865,0.877,0.919,0.00132013724835069
"Fndc5",7.69605354723586e-08,-0.341983554921586,0.484,0.731,0.00141769002393632
"Dnajc21",1.65158538147794e-07,-0.297341285718894,0.639,0.7,0.00304238543122051
"Ptn",5.80032986678776e-07,-0.431360886961058,0.73,0.742,0.0106847876476097
"Pou3f2",6.80716361403804e-07,-0.365289364817055,0.197,0.45,0.0125394760934195
"Necab2",8.03769452410834e-07,0.324542060475277,0.328,0.112,0.01480623708286
"Cpne9",8.31894343271056e-07,-0.326371124918991,0.246,0.504,0.0153243256973961
"Osbp2",8.44531407908497e-07,-0.257781749555495,0.705,0.765,0.0155571130650824
"Krt12",8.66919664815198e-07,-0.424638769656556,0.32,0.512,0.0159695271455608
"Lypd1",1.04754001285057e-06,0.67707207861877,0.41,0.177,0.0192967345767203
"Car10",1.74064082200297e-06,-0.258184669849233,0.877,0.958,0.0320643445821166
"Tnnc1",3.13090985889369e-06,-0.547513320731571,0.131,0.319,0.0576744905106807
"Lhfp",4.06897742529035e-06,-0.271610249543708,0.197,0.442,0.0749546331512735
"Tshz1",4.49424508199995e-06,-0.315498730663691,0.23,0.462,0.082788488655521
"Klhdc8a",5.41507817499793e-06,-0.299646892096529,0.164,0.385,0.0997511550616369
"Pcdh8",7.99181478927576e-06,0.278494027942894,0.426,0.188,0.147217220233249
"Cdkn1a",8.59930956566514e-06,-0.298432518848057,0.418,0.635,0.158407881509118
"Bhlhe22",9.01521390414533e-06,0.384683674275836,0.623,0.519,0.166069255328261
"Phlda1",9.62865158596321e-06,-0.293773670892766,0.361,0.577,0.177369390865028
"Crhr1",1.13769230128569e-05,-0.251466485897476,0.23,0.469,0.209574298819836
"Kcnc2",1.6869128170603e-05,-0.254839749143799,0.131,0.342,0.310746210030678
"Fhod3",1.94194622182227e-05,-0.256445534609764,0.434,0.623,0.357725913521879
"Apaf1",2.9601149190886e-05,0.252920572336125,0.5,0.3,0.545282769245311
"Tcap",3.03348531844584e-05,-0.328344569756638,0.041,0.196,0.558798330510908
"A830036E02Rik",3.53094433655861e-05,-0.335903306090729,0.369,0.558,0.650435256237462
"Rcan2",3.70103567883757e-05,-0.276363466821603,0.393,0.558,0.681767782398669
"Ngb",3.708277004056e-05,0.260521609264896,0.385,0.2,0.683101706917156
"Slc30a3",5.69314549786602e-05,-0.33044410469464,0.598,0.696,1
"Gabra2",6.52716274105402e-05,0.268084962665729,0.91,0.835,1
"Rorb",0.000108636522747409,-0.473227441642833,0.41,0.538,1
"Pcp4",0.000115662785385029,-0.412514151817495,0.615,0.754,1
"Thsd7a",0.000128104872416311,-0.40452907631836,0.115,0.246,1
"Cbln2",0.000134882409170519,-0.289659700711973,0.123,0.315,1
"Plcxd2",0.000162942328661761,-0.276366222921868,0.443,0.485,1
"Etv1",0.000170891593568359,0.336419902012734,0.664,0.442,1
"Spock3",0.000187558959125549,-0.273106698712613,0.361,0.465,1
"Cntnap5a",0.000202229204499949,0.284354810341546,0.598,0.396,1
"Rora",0.000206058354000911,-0.270091723815299,0.459,0.588,1
"Cpne4",0.000237046779967294,-0.352441109170402,0.492,0.604,1
"Marcksl1",0.000248077314726804,-0.536745041112318,0.172,0.358,1
"AI593442",0.000285241394359828,-0.262176797956394,0.779,0.858,1
"Adamts18",0.000424779965663636,0.273171050640117,0.574,0.381,1
"Kctd12",0.000831472851172749,0.287627360595559,0.484,0.312,1
"Fat3",0.000846304716757162,-0.274678193581049,0.566,0.696,1
"Kcng1",0.00102343789448981,0.255154668872553,0.533,0.385,1
"Vstm2l",0.0013147207512661,-0.312441576236177,0.549,0.65,1
"Nnat",0.00224723245884108,0.272482384039718,0.713,0.527,1
"Scn7a",0.0026177734040517,-0.291097899470661,0.123,0.219,1
"Nos1",0.00281933484367657,0.270401421305703,0.598,0.427,1
"Myl4",0.00297420990866165,-0.427606013418869,0.189,0.304,1
"Rmst",0.00324555160245407,-0.250176611828165,0.459,0.635,1
"Grp",0.00717096197273181,0.261825362612065,0.41,0.292,1
"Dcn",0.0086368998056676,0.291998547732687,0.189,0.081,1
"Egr2",0.0106469928781058,-0.256048252639608,0.197,0.312,1
"AC160336.1",0.0110595110163592,0.295226391836108,0.451,0.392,1
"Cryab",0.0127283389933376,-0.251475712174061,0.311,0.442,1
"Htr2c",0.0141962112811145,-0.26195450127996,0.115,0.196,1
"Oprk1",0.0237595855451286,-0.267037444982168,0.205,0.308,1
