"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nrn1",2.38327076223108e-22,-0.542562081652179,0.959,0.996,4.39022307110588e-18
"Egr1",1.70884988416968e-19,-0.345464089879318,0.943,1,3.14787237162896e-15
"Sorl1",8.87877151013966e-18,-0.464389498003437,0.82,0.974,1.63555849988283e-13
"Arc",1.08705927097997e-17,-0.499809466658648,0.451,0.854,2.0024718830722e-13
"Bok",1.43748532633727e-17,-0.507653631990823,0.459,0.858,2.64799171964589e-13
"Dclk1",7.06704668282554e-17,-0.30846743280115,1,1,1.30182066944329e-12
"Dnajc21",1.12531291959657e-16,-0.501753670459124,0.639,0.843,2.07293892918885e-12
"Rgs4",2.21423159837851e-16,-0.549629539080154,0.877,0.944,4.07883602737305e-12
"Arpp19",8.73939016391778e-16,-0.265079238947226,1,0.996,1.60988306209529e-11
"Cdh13",1.12741013535475e-15,0.425022055250833,0.902,0.506,2.07680221033699e-11
"Snap25",2.99412958548287e-15,-0.262562209392865,1,1,5.515486109418e-11
"Dusp6",3.64804792751666e-15,-0.50984698142559,0.385,0.76,6.72006908727844e-11
"Kcnc2",4.56676298746574e-15,-0.477346755806766,0.131,0.532,8.41243409921063e-11
"Neurod6",4.64872026265692e-15,-0.285762354698568,0.918,0.996,8.56340759584031e-11
"Trbc2",1.26420471992436e-14,-0.439268292846243,0.254,0.659,2.32879151457267e-10
"Car10",1.42741132282675e-14,-0.400390807674806,0.877,0.978,2.62943439777916e-10
"Nr4a1",4.48250769284225e-14,-0.488324776297752,0.467,0.831,8.25722742098471e-10
"Homer1",4.79550858126341e-14,-0.302554799956184,0.934,0.989,8.83380635754533e-10
"Asap1",5.62265900888991e-14,-0.287559589973174,0.934,0.959,1.03575001602761e-09
"Robo2",7.22142484727849e-14,-0.45250754832826,0.738,0.914,1.33025867111717e-09
"Osbp2",9.18955705521575e-14,-0.345964047300643,0.705,0.824,1.69280830514129e-09
"Pcp4",1.02118686008166e-13,-0.669361565231206,0.615,0.858,1.88112831495642e-09
"Egr3",1.07097019008078e-13,-0.403246543935842,0.934,0.993,1.9728341871478e-09
"Lhfp",1.43372763339045e-13,-0.384100815146507,0.197,0.599,2.64106967346855e-09
"Ptn",1.85682235503807e-13,-0.632398534149823,0.73,0.861,3.42045246021563e-09
"Fat3",1.94874641449662e-13,-0.484300168339281,0.566,0.809,3.58978577014421e-09
"Ntm",2.83059252870481e-13,-0.363574910640789,0.934,0.989,5.21423449712713e-09
"Dkk3",3.01917760061234e-13,-0.3335318260949,0.975,0.996,5.56162705808799e-09
"Tspan5",3.1697663988717e-13,-0.353328444215876,0.918,0.981,5.83902668336156e-09
"Klhdc8a",4.15476105825019e-13,-0.489460553291712,0.164,0.528,7.65348534540268e-09
"Ier2",4.52660413949811e-13,-0.450711104029608,0.484,0.813,8.33845748536947e-09
"Pou6f2",7.69452162961228e-13,-0.414482771618969,0.246,0.592,1.41740782939088e-08
"1110008P14Rik",8.24066821241608e-13,-0.291359577714283,0.984,0.989,1.51801349140917e-08
"Cck",8.35223403805621e-13,-0.367453273051297,0.975,0.996,1.53856503215034e-08
"Arhgef25",3.08318750986318e-12,-0.320182157046502,0.82,0.959,5.67953971191896e-08
"Slc1a2",5.32965743641873e-12,-0.315390984093275,0.844,0.948,9.81776196362694e-08
"1700020I14Rik",5.69885127916927e-12,-0.307585182641154,0.975,0.996,1.04978539413577e-07
"R3hdm1",1.11264627322585e-11,-0.27697205110695,1,1,2.04960569990934e-07
"Gabra1",1.23375264551822e-11,-0.301745905987511,0.959,0.993,2.27269574830912e-07
"Phlda1",1.7554062990897e-11,-0.429373024071737,0.361,0.685,3.23363394355314e-07
"Cadm2",3.18132688340602e-11,-0.257196515569083,0.992,0.993,5.86032225192223e-07
"Satb1",3.4344257780648e-11,-0.327127448972628,0.459,0.775,6.32655572577316e-07
"Pou3f2",3.78280454020652e-11,-0.394584550825422,0.197,0.554,6.96830424351443e-07
"Ly6e",5.18244795489368e-11,-0.333849720323711,0.877,0.955,9.54658737770965e-07
"Utrn",7.73035625326937e-11,-0.532439134056555,0.115,0.412,1.42400892541475e-06
"Pgm2l1",8.27877404035773e-11,-0.293305958048268,0.992,1,1.5250329659743e-06
"Atp2b2",1.14862658985614e-10,-0.269375169492309,0.967,1,2.11588504117399e-06
"Coq10b",1.24314759117865e-10,-0.276866231557854,0.557,0.831,2.2900021777102e-06
"Sept6",1.25885526009792e-10,-0.312985102827147,0.59,0.79,2.31893727462638e-06
"Plcb1",1.35765995414184e-10,-0.288653575567492,0.943,0.978,2.50094540152468e-06
"Fhod3",1.9156801715866e-10,-0.357507417396027,0.434,0.712,3.52887444407968e-06
"Ccdc85a",1.97584245288256e-10,-0.316026247800939,0.639,0.884,3.63969938245497e-06
