"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Egr1",5.42955325801775e-11,-0.323286245889763,0.943,1,1.00017800565945e-06
"Dkk3",5.65844765896514e-11,-0.386218964978686,0.975,0.99,1.04234264325797e-06
"Nrn1",2.33609716646455e-10,-0.452964646358035,0.959,1,4.30332459034434e-06
"Sorl1",5.15690653750364e-10,-0.455809616689654,0.82,0.939,9.49953753273545e-06
"Asap1",1.11597271238102e-09,-0.322834292592619,0.934,0.98,2.05573333347708e-05
"Fat3",1.28211117210127e-09,-0.513762038888504,0.566,0.818,2.36177699012775e-05
"Rgs4",2.01730182288205e-09,-0.445023130651359,0.877,0.96,3.71607168793103e-05
"1110008P14Rik",2.44080874927923e-09,-0.305052068245334,0.984,1,4.49621379704727e-05
"Syt1",3.50488337367723e-09,-0.292175409989533,0.992,1,6.45634566265082e-05
"Dnajc21",4.15180437367288e-09,-0.499739618404275,0.639,0.788,7.64803883674281e-05
"Ntm",5.05033547800711e-09,-0.434638301161239,0.934,0.99,9.30322298403689e-05
"Fam212b",8.73105163072292e-09,-0.36261073240187,0.795,0.929,0.000160834702089547
"Epha4",9.97616858755252e-09,-0.367910658407589,0.951,1,0.000183771001551305
"Cdh13",1.06048054480253e-08,0.336590346362801,0.902,0.556,0.000195351121158075
"Cadm2",1.23685177665451e-08,-0.289523152919228,0.992,1,0.000227840465777527
"Nlk",2.02980668670113e-08,-0.4268997962484,0.738,0.869,0.000373910689757216
"Lhfp",2.37685090479711e-08,-0.356214437833558,0.197,0.576,0.000437839705172676
"Rnf38",2.41359996094156e-08,-0.372794984489958,0.377,0.737,0.000444609248805044
"Robo2",4.64474185399755e-08,-0.401145760844214,0.738,0.909,0.000855607896924889
"Slc24a3",4.94686653946763e-08,-0.543369717183126,0.59,0.788,0.000911262285235332
"Nrsn1",5.0604214763849e-08,-0.301706355323389,0.984,0.99,0.000932180240164862
"Serpini1",6.42926536661135e-08,-0.282753160079199,0.951,0.99,0.00118433497318348
"Cnih3",6.52509517769628e-08,-0.351102566230991,0.91,0.97,0.00120198778268343
"Adcy1",7.82878088561207e-08,-0.296881117289035,0.984,1,0.0014421397269386
"Bok",8.25432589753227e-08,-0.338739415241697,0.459,0.818,0.00152052937358442
"1700020I14Rik",9.74594281263905e-08,-0.304022643428599,0.975,0.99,0.00179530012551624
"Foxp1",9.85586741184136e-08,-0.302222540111077,0.926,0.99,0.0018155493359353
"Gfra2",1.0300541301374e-07,-0.384540882574982,0.77,0.949,0.0018974627131261
