"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ccl27a",2.85317462816598e-27,-0.583992319855276,0.877,1,5.25583298254455e-23
"Crym",3.33677865152053e-26,-0.743343534064823,0.639,1,6.14667995396596e-22
"Bcl11b",5.40874583336806e-23,-0.888091994090361,0.664,0.927,9.9634506996473e-19
"Camk2d",6.41045809664193e-23,0.726633822343258,0.902,0.232,1.18087048598241e-18
"Nrip3",1.22203261303837e-22,-0.825200274354343,0.377,0.927,2.25110627647799e-18
"Fezf2",1.72547295162288e-21,-0.758388641624103,0.516,0.915,3.1784937241845e-17
"Igfbp4",1.19757041152287e-19,-1.34871987852727,0.066,0.646,2.20604445506628e-15
"Ptprk",1.7123247560289e-19,0.640047192862904,0.787,0.159,3.15427343308083e-15
"Nptxr",2.97278181115013e-19,0.74561230158407,1,0.902,5.47616137431965e-15
"Sparcl1",3.06809019593284e-19,-0.52164965356019,0.959,1,5.65172894992789e-15
"Pou3f1",3.78703664305092e-19,-1.3838472570928,0.115,0.683,6.9761002001641e-15
"Cadps2",3.36839194891583e-18,-0.745686525570823,0.27,0.829,6.20491480909786e-14
"Cxcl12",1.62274028569124e-17,-0.775289751584838,0.311,0.841,2.98924988027183e-13
"Ckmt1",1.69138319610526e-17,-0.474618234296281,0.721,1,3.1156969855455e-13
"Nfia",6.30977492438015e-17,-0.676824124833783,0.5,0.89,1.16232363882007e-12
"Cdh6",9.53717325409518e-17,-0.691258158418552,0.115,0.659,1.75684268513687e-12
"Fam84b",1.17435139192715e-16,-0.60911393251911,0.016,0.488,2.16327269906901e-12
"Pcdh10",8.91008338297965e-16,0.384554611792519,0.992,0.683,1.64132645997868e-11
"Cck",1.11942111435923e-15,0.632171176193403,0.975,0.78,2.06208563476113e-11
"Pcdh15",1.20905421607335e-15,0.537136625149594,0.77,0.207,2.22719877142872e-11
"Lypd1",1.31079424963858e-15,-1.11948512484274,0.41,0.841,2.41461408725922e-11
"Lmo1",1.53746274948979e-15,-0.566438572490453,0.41,0.89,2.83216013083514e-11
"Elmod1",2.36787302395133e-15,-0.418229174103089,0.959,1,4.36185889742075e-11
"Rxfp1",3.39895764663576e-15,0.873225543789966,0.664,0.122,6.26121988086774e-11
"Necab1",1.19804120570132e-14,0.566728232371271,0.926,0.646,2.20691170502241e-10
"Vegfd",1.68013391540132e-14,0.68758935335782,0.607,0.098,3.09497468556078e-10
"Trp53i11",1.74476343525225e-14,0.654971528581626,0.836,0.329,3.21402872407818e-10
"Atp1b1",2.10708854406638e-14,-0.291279363892055,1,1,3.88146780702468e-10
"Ckb",2.88205223491905e-14,-0.406773133649028,0.984,0.988,5.30902842194438e-10
"Sept4",3.30419391302897e-14,-0.541272077021456,0.254,0.707,6.08665560719067e-10
"Calm2",5.21166054325354e-14,-0.257636047411217,1,1,9.60039988672734e-10
"Sorbs2",5.70715046026751e-14,0.399904489468607,1,0.915,1.05131418628588e-09
"Zdhhc22",6.00665071798351e-14,0.363446198007717,0.91,0.415,1.10648512875974e-09
"Ppp1r2",6.96266787728022e-14,-0.385677442520884,0.984,1,1.28259304967379e-09
"Lmo3",8.18872644921231e-14,-0.52155436762422,0.795,0.915,1.5084452992094e-09
"Car10",9.8472214681925e-14,0.315940991142919,0.877,0.366,1.81395666665574e-09
"Pex5l",1.50385710516685e-13,-0.657727670941467,0.762,0.902,2.77025517342785e-09
"Ralyl",1.5273920527546e-13,-0.349833164856745,0.877,0.976,2.81360890037925e-09
"Slc17a6",1.94575307203407e-13,-0.47648846575366,0.025,0.427,3.58427173399395e-09
"Bcl6",2.21940915116356e-13,-0.682249935374329,0.123,0.549,4.0883735973584e-09
"Dscaml1",3.11382806782457e-13,-0.53357131679559,0.361,0.841,5.73598268373963e-09
"1110008P14Rik",3.7447357837239e-13,-0.355822031615597,0.984,1,6.8981777871978e-09
"Adamts2",4.31284343967152e-13,-0.827920238395949,0.025,0.427,7.94468890021891e-09
"Gap43",6.30006541571091e-13,-0.34089105436415,1,1,1.16053505022811e-08
"Rgma",6.93240264961125e-13,-0.381090762723485,0.025,0.427,1.27701789208489e-08
"Ptprt",8.08895324429116e-13,0.472911668383047,0.951,0.622,1.49006607713087e-08
"Reln",9.3518816695096e-13,-0.629310155690956,0.041,0.451,1.72271012234036e-08
"Camk2n2",9.69710858187788e-13,0.558433342662098,0.82,0.39,1.78630437186772e-08
"Atp5h",1.70101769726604e-12,-0.290570111665881,0.992,1,3.13344470013377e-08
"Grin3a",1.76465419762284e-12,0.488032028562293,0.631,0.134,3.25066949744104e-08
"Arpc1a",1.80030348690203e-12,-0.352528515614412,0.959,1,3.31633905322222e-08
"Rprml",2.33658038544211e-12,-0.383868819334339,0.893,0.988,4.30421472802291e-08
"Nkiras1",3.0851041456718e-12,-0.388801880541137,0.869,0.988,5.68307034674202e-08
"Gprc5b",3.24281804400469e-12,-0.517630041961186,0.041,0.451,5.97359511886105e-08
"Atp5f1",4.34277088799627e-12,-0.331298093055544,0.984,1,7.99981825277792e-08
"Ina",4.62526402906652e-12,-0.40692886066372,0.984,1,8.52019886794344e-08
"Prdx2",5.22562284068081e-12,-0.327597283081222,0.959,0.988,9.62611983481813e-08
"Id2",6.33534523153796e-12,-0.437783743158139,0.951,0.951,1.16703394510161e-07
"Mgst3",6.40541087118989e-12,-0.470084870075306,0.746,0.939,1.17994073658189e-07
"Ephb1",6.52527492439953e-12,-0.45643979506877,0.131,0.598,1.20202089382364e-07
"Unc5d",6.80443584212969e-12,0.478206752981811,0.664,0.171,1.25344512647871e-07
"Vdac3",8.20226702787222e-12,-0.314486145929418,0.926,0.988,1.51093960920434e-07
"Bend5",8.70404955981843e-12,-0.481976840203037,0.311,0.744,1.60337296941415e-07
"Rnf152",1.04092305399659e-11,-0.304105712979359,0.049,0.415,1.91748435776712e-07
"Ndufa13",1.25862234485019e-11,-0.261665396571892,1,1,2.31850822144854e-07
"Satb1",1.41780094021693e-11,-0.419121911136374,0.459,0.878,2.6117311119736e-07
"Smoc2",1.84463209415699e-11,0.474359199254259,0.557,0.098,3.39799678064658e-07
"Igfbp6",1.94937940416335e-11,0.579159380306669,0.738,0.256,3.59095180040931e-07
"Slc25a5",2.18338464589415e-11,-0.423984478671464,0.664,0.927,4.02201285620162e-07
"Cycs",2.20180406790886e-11,-0.276339248194914,0.984,1,4.05594327349492e-07
"Kif26a",2.28654724500104e-11,-0.417675304642661,0.016,0.366,4.21204868001641e-07
"Olfm1",2.35838780602066e-11,0.291307517741695,1,1,4.34438617747065e-07
"Mgat5",2.44690183840632e-11,0.487327445155941,0.852,0.524,4.50743787652828e-07
"Hcn1",2.6577548702334e-11,-0.511049012470455,0.77,0.902,4.89585024645694e-07
"Rabac1",2.97539481190959e-11,-0.345087469004089,0.926,0.988,5.48097478301865e-07
"Lmo4",3.49540960029239e-11,0.293914844753282,1,0.939,6.43889402469862e-07
"Pitpnc1",3.9232705319872e-11,-0.471741956410219,0.139,0.598,7.22705664697361e-07
"Brinp2",4.01165577840628e-11,0.365808832001172,0.893,0.5,7.38987110940221e-07
"Npy2r",4.26998578635602e-11,0.46023360715345,0.311,0,7.86574081704642e-07
"Nos1ap",4.79400640414125e-11,-0.352773104086893,0.877,0.976,8.8310391970686e-07
"Serpini1",5.01661673538671e-11,-0.345148446538838,0.951,1,9.24110968825585e-07
"Gnb5",5.82114577446975e-11,-0.357804238754171,0.803,0.963,1.07231326311507e-06
"Lsamp",6.40428236489629e-11,0.269842471406623,0.992,0.695,1.17973285443755e-06
"Mdh1",6.65248402395794e-11,-0.357481032812337,1,1,1.22545408205329e-06
"Pcdh7",6.69979340622958e-11,-0.480891521293879,0.467,0.89,1.23416894336155e-06
"Ndufb7",6.84179119034898e-11,-0.304828419977922,0.967,1,1.26032635517419e-06
"Fkbp2",8.37756875193054e-11,-0.283724353749344,0.975,0.988,1.54323193979313e-06
"Ndufb3",8.58807252572008e-11,-0.251400326129273,0.967,0.988,1.5820088399629e-06
"C1ql3",9.60934085079505e-11,0.527104997405605,0.984,0.829,1.77013667812496e-06
"Adcyap1r1",1.14722244694045e-10,0.415671543105456,0.656,0.195,2.11329846950901e-06
"Sorl1",1.36795882484028e-10,-0.460676471053085,0.82,0.951,2.51991695123828e-06
"Tmem179",1.39691672236574e-10,-0.30437893921459,0.893,0.963,2.57326029426993e-06
"6430548M08Rik",1.47395080780955e-10,0.457507291828848,0.902,0.768,2.71516478306597e-06
"Gabra1",1.6199687540475e-10,-0.411765469860251,0.959,1,2.9841444418309e-06
"Hsp90aa1",1.80739321100022e-10,-0.308318233395761,1,1,3.3293990339835e-06
"Plcb4",2.1215494740359e-10,-0.493027322693568,0.295,0.72,3.90810628612152e-06
"Khdrbs2",2.13864762819667e-10,-0.413695638136988,0.566,0.854,3.93960279590109e-06
"Sec14l1",2.42258806479557e-10,-0.444623417445443,0.746,0.902,4.46264947415992e-06
"Abat",2.52727895833442e-10,-0.521488169007968,0.426,0.78,4.65550056914783e-06
"Peg3",2.5680382520299e-10,-0.359971587971724,0.951,1,4.73058326406428e-06
"Sdhb",2.61367087666414e-10,-0.362846422734987,0.836,0.939,4.81464312190302e-06
"Cox5b",2.68357484404425e-10,-0.258470734863419,0.992,1,4.94341322021392e-06
"Wnt4",2.97197906669139e-10,0.531407359510755,0.697,0.366,5.47468263875221e-06
"Ldhb",3.02652035590045e-10,-0.480072208632691,0.861,0.939,5.57515314760422e-06
"Adamts18",3.04679202145893e-10,0.597005371414707,0.574,0.146,5.6124955827295e-06
"Fez1",3.33393468647589e-10,-0.380065400528734,0.861,0.976,6.14144108595724e-06
"Rasl10a",3.41748968895567e-10,0.566022688441555,0.852,0.561,6.29535775602523e-06
