"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Egr1",4.79169206112812e-29,-0.540229291109122,0.943,1,8.82677594580411e-25
"Arc",3.39593242691568e-28,-0.748305721555139,0.451,0.941,6.25564712362138e-24
"Fos",1.21553332134969e-24,-0.712496540401434,0.77,0.985,2.23913393125826e-20
"Pcp4",6.50333315345297e-24,-0.840891288638153,0.615,0.941,1.19797900019757e-19
"Trbc2",2.49992606401911e-23,-0.730118790868725,0.254,0.816,4.60511380252959e-19
"Npas4",7.38147010848778e-23,-0.858180886187727,0.443,0.919,1.35974060868453e-18
"Cox4i1",3.55634908551983e-22,-0.283703626731616,0.992,1,6.55115065043607e-18
"Vsnl1",4.61146321092462e-21,-0.356123636919986,0.992,1,8.49477638084425e-17
"Calm2",7.93666622024035e-21,-0.28070489673792,1,1,1.46201328443047e-16
"Junb",2.31192582656778e-20,-0.577186414268154,0.91,0.993,4.25879856512052e-16
"Satb1",2.58754432904453e-20,-0.532033385101059,0.459,0.919,4.76651540853293e-16
"Rprml",2.89746903903417e-20,-0.432398693653379,0.893,0.978,5.33742771680485e-16
"Ccl27a",2.94859286158073e-20,-0.414133214594482,0.877,0.985,5.43160291031786e-16
"Dusp1",5.87489660058581e-20,-0.672249099357614,0.582,0.941,1.08221470279391e-15
"Egr4",1.35151321460081e-19,-0.827406577137737,0.541,0.904,2.48962249261615e-15
"Nr4a1",1.81763583763622e-19,-0.729580308374443,0.467,0.904,3.34826697650969e-15
"Ier2",2.04332989009514e-19,-0.655964032681256,0.484,0.89,3.76401799054426e-15
"Serpini1",3.10784556048129e-19,-0.42320574514671,0.951,1,5.72496230696258e-15
"Slc1a2",5.63696868714949e-19,-0.567183260274763,0.844,0.978,1.03838600185981e-14
"Prdx5",8.49123300556663e-19,-0.347213327265922,0.984,1,1.56417003195543e-14
"Snap25",1.19672518459524e-18,-0.305770566876401,1,1,2.20448746254289e-14
"Tpt1",2.22168386729574e-18,-0.274254285714169,1,1,4.09256385194548e-14
"Rheb",2.48131086678202e-18,-0.338369633380177,0.975,0.993,4.57082274769916e-14
"Rgs4",4.6254181780942e-18,-0.583050911437013,0.877,0.978,8.52048282586732e-14
"Psmc5",5.50475766872871e-18,-0.414265678439086,0.91,0.985,1.01403141015652e-13
"Arap2",8.70163341927717e-18,-0.437539679938093,0.738,0.956,1.60292789216505e-13
"Stmn1",1.03639876864324e-17,-0.350238177352573,1,1,1.90915017171771e-13
"Gabra1",1.3392821685101e-17,-0.400027828937495,0.959,1,2.46709168261246e-13
"Dctn3",4.26953507077179e-17,-0.350848610101214,0.951,0.993,7.86491055386871e-13
"Itm2b",4.57370451740907e-17,-0.450745568412452,0.992,1,8.42522109151926e-13
"Arf5",4.69187224074371e-17,-0.255365597922217,1,1,8.64289785467399e-13
"Dusp6",5.76219365714242e-17,-0.606750208252021,0.385,0.824,1.06145369358221e-12
"Sept7",1.87956111751091e-16,-0.379049306569671,0.992,1,3.46233953456684e-12
"Pitpnc1",2.75780875221603e-16,-0.404930746139988,0.139,0.64,5.08015950245715e-12
"Mgst3",4.49371792801834e-16,-0.461686698021242,0.746,0.949,8.27787779520258e-12
"Mgll",5.15792790397754e-16,-0.492498414409393,0.443,0.846,9.50141899191703e-12
"Ckb",5.97317597193381e-16,-0.457248382756468,0.984,1,1.10031874578993e-11
"1110008P14Rik",6.20118125887225e-16,-0.419302342607441,0.984,1,1.14231959969686e-11
"Slc25a4",6.85422497856559e-16,-0.417567672928257,0.992,1,1.26261678330157e-11
"Gde1",7.68718311489156e-16,-0.343062908029152,0.975,0.985,1.41605600159417e-11
"Ndufb8",8.21844761793345e-16,-0.259174299828968,0.992,1,1.51392023569952e-11
"Ncald",1.04574583267017e-15,-0.394636472522216,0.992,0.985,1.92636839836172e-11
"Nkiras1",1.9437657559482e-15,-0.396379328225081,0.869,0.956,3.58061089903218e-11
"Cycs",2.79902786081469e-15,-0.265848131368906,0.984,1,5.15608922240675e-11
"Dnaja1",2.82374630725616e-15,-0.34204548086863,1,1,5.20162307259658e-11
"Rtn1",3.82325067293049e-15,-0.278553712599819,1,1,7.04281006460526e-11
"Rph3a",4.34680693692983e-15,-0.462030651026441,0.672,0.919,8.00725305851843e-11
"Park7",6.2541773086355e-15,-0.338733400080667,0.885,1,1.15208200202375e-10
"Atp5h",7.81708958529497e-15,-0.261558665091484,0.992,1,1.43998607250719e-10
"Fkbp2",9.0201222067838e-15,-0.271908493835122,0.975,0.993,1.66159671171164e-10
"Adamts18",1.50895762371367e-14,0.617056021023591,0.574,0.147,2.77965083864295e-10
"Tmsb10",1.81508670324114e-14,-0.513103025068228,0.967,0.985,3.34357121604051e-10
"Nudc",1.86079038643241e-14,-0.31533364238818,0.902,0.978,3.42776197084714e-10
"Fosb",1.88883955028462e-14,-0.548933952750952,0.607,0.919,3.47943133557929e-10
"Fkbp3",1.93023237855342e-14,-0.356781830977173,0.975,1,3.55568106453326e-10
"Osbpl1a",2.25365982560011e-14,-0.325255157110124,0.951,0.993,4.15146676473797e-10
"Gnb5",2.44615933921938e-14,-0.344424860945052,0.803,0.971,4.50607011877601e-10
"Sulf2",2.53438247469008e-14,-0.538019035997029,0.352,0.772,4.6685859566266e-10
"Hsp90aa1",3.3158058521875e-14,-0.402569535451399,1,1,6.10804596031459e-10
"Cox5a",4.3176759299276e-14,-0.3351973794717,0.959,1,7.95359083051963e-10
"Fabp3",4.71016677617045e-14,-0.295837331239496,0.967,0.993,8.67659821838359e-10
"Bnip3",4.87055634557147e-14,-0.311195517488308,0.844,0.985,8.9720518441772e-10
"Atp6v1f",5.28229081876839e-14,-0.285155289803237,0.992,0.993,9.73050791725325e-10
"Efhd2",5.43889588026904e-14,-0.472911923263829,0.902,0.993,1.00189901010436e-09
"Dnajc21",5.68651179010522e-14,-0.63920372064958,0.639,0.86,1.04751233685528e-09
"Ndufc2",5.92692612044236e-14,-0.36522382338356,0.943,0.993,1.09179906064669e-09
"Coq10b",1.02043544099925e-13,-0.373342389655436,0.557,0.897,1.87974412586472e-09
"Tbr1",1.02337742563129e-13,-0.372693846021478,0.844,0.971,1.8851635557554e-09
"Atp5f1",1.07364672723849e-13,-0.39748462801827,0.984,1,1.97776463624602e-09
"Rexo2",1.16761858359517e-13,-0.314913029631961,0.877,0.985,2.15087019284066e-09
"Ndfip2",1.73151329617877e-13,-0.294715358578988,0.951,0.993,3.18962064289092e-09
"Arpc2",2.33299135593543e-13,-0.296628938576793,0.984,1,4.29760337676865e-09
"Nap1l1",2.36865155463503e-13,-0.265087085170405,1,0.985,4.3632930287932e-09
"Atp6v0b",2.75528482953467e-13,-0.275785581203652,1,1,5.07551018448582e-09
"Jun",2.86237792696068e-13,-0.407305624595397,0.918,1,5.27278637925427e-09
"3110035E14Rik",3.01363782116015e-13,-0.363452033779707,0.926,1,5.5514222303591e-09
"Cfl1",3.31197011836367e-13,-0.25089367200562,1,0.993,6.10098015503772e-09
"AC149090.1",3.44623955267944e-13,-0.442035822325635,0.803,0.949,6.34831787999079e-09
"Olfm3",3.47820076031003e-13,-0.555028850734988,0.18,0.625,6.40719362056711e-09
"Cuedc2",3.5934567954775e-13,-0.37927376959805,0.82,0.89,6.61950676294911e-09
"Slc25a3",3.97537244417595e-13,-0.379652299030004,0.984,1,7.32303357941652e-09
"Asap1",4.81605349831647e-13,-0.318854370386562,0.934,0.985,8.87165214924877e-09
"Ap2s1",5.00771282964193e-13,-0.314102063830165,0.984,1,9.2247078034834e-09
"Basp1",5.26008262702617e-13,-0.257465810487038,1,1,9.6895982072449e-09
"Tecr",5.69682492427689e-13,-0.369613697007788,0.959,1,1.04941211930105e-08
"Cdc42",5.83908890403382e-13,-0.254363132969379,0.975,1,1.07561856701207e-08
