"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Egr1",1.4626773667825e-23,-0.321730061300073,0.943,0.998,2.69439797735004e-19
"Arc",6.49759267253877e-20,-0.424933221565085,0.451,0.818,1.19692154620837e-15
"Trbc2",9.24225201816686e-17,-0.390203256525118,0.254,0.635,1.70251524426652e-12
"Dnajc21",1.13458121257156e-16,-0.499297571789511,0.639,0.791,2.09001205167806e-12
"Cdh13",1.15981247172401e-16,0.361461733929674,0.902,0.544,2.1364905541628e-12
"Adamts18",1.4008381844414e-16,0.471933213490955,0.574,0.225,2.58048401955951e-12
"Nfib",6.05743531272878e-15,0.291852094669766,0.975,0.835,1.11584015895777e-10
"Satb1",7.51480513393282e-15,-0.353399093706327,0.459,0.777,1.38430225372177e-10
"Col23a1",9.83006159958315e-15,0.369793581144441,0.492,0.161,1.81079564725921e-10
"Serpini1",1.99603267255449e-14,-0.297557707253344,0.951,0.986,3.67689178611263e-10
"Pcp4",3.91847122010804e-14,-0.485761017981173,0.615,0.843,7.21821583456102e-10
"Ier2",5.10294051055354e-14,-0.377575685159431,0.484,0.78,9.40012671449068e-10
"Gabra1",1.35335230515027e-13,-0.257577857129439,0.959,0.989,2.49301028131732e-09
"Smoc2",1.40319674103615e-13,0.352753437726997,0.557,0.227,2.58482871666269e-09
"Nrn1",2.20540125536212e-13,-0.30146234839755,0.959,0.933,4.06256965250256e-09
"Nov",2.38141663446218e-13,0.317448913287114,0.934,0.693,4.38680758234278e-09
"Olfm3",1.14383656162807e-12,-0.373216283214797,0.18,0.516,2.10706133017507e-08
"Klhdc8a",1.18270687943283e-12,-0.402093093784094,0.164,0.475,2.17866434260321e-08
"Nr4a1",1.91188378604291e-12,-0.429192223975939,0.467,0.744,3.52188112226965e-08
"Fos",2.22661469385112e-12,-0.336052137165435,0.77,0.929,4.10164692754314e-08
"1110008P14Rik",2.34994166133195e-12,-0.281695473749124,0.984,0.991,4.32882753433958e-08
"Rgs4",3.01618038595031e-12,-0.440300094380539,0.877,0.938,5.55610588895907e-08
"Arap2",3.29798154872689e-12,-0.268908253446754,0.738,0.888,6.0752118109098e-08
"Dusp6",3.7405071677076e-12,-0.396937085573581,0.385,0.661,6.89038825363417e-08
"Bok",8.71620626913415e-12,-0.349813540493982,0.459,0.755,1.6056123568372e-07
"AC149090.1",1.76708029747803e-11,-0.333944417297235,0.803,0.86,3.25513861598428e-07
"Junb",1.96718428919483e-11,-0.272145867161422,0.91,0.978,3.62375017912579e-07
"Lhfp",3.66202355978265e-11,-0.327273014376648,0.197,0.507,6.74581359947561e-07
"Hap1",4.41848906974808e-11,0.28023631757157,0.91,0.738,8.13929871538294e-07
"Hpca",6.10497097982998e-11,-0.275139098302595,0.852,0.961,1.12459670419448e-06
"Cpne7",6.3483141922655e-11,0.346153233706674,0.672,0.513,1.16942295735723e-06
"Dkk3",1.97829159458018e-10,-0.265954055457058,0.975,0.977,3.64421094637615e-06
"Mgll",2.14326438333389e-10,-0.262205477467913,0.443,0.711,3.94810732053935e-06
"Npas4",3.45744823374911e-10,-0.434202945888343,0.443,0.702,6.36896539138924e-06
"Slc1a2",5.58867279167955e-10,-0.284620482363811,0.844,0.913,1.02948941495529e-05
"Rora",1.0998289235753e-09,-0.464906869950246,0.459,0.655,2.02599486011806e-05
"Egr3",2.03009063059496e-09,-0.288792547359641,0.934,0.969,3.73962995061897e-05
"Egr4",2.24028212415247e-09,-0.418923517542081,0.541,0.757,4.12682370090126e-05
"Chn2",3.84228730395276e-09,-0.403893529070688,0.254,0.506,7.07787744261138e-05
"Marcksl1",3.86640176144209e-09,-0.689693059360446,0.172,0.416,7.12229868475248e-05
"Epha3",4.62652771942060e-09,0.276451218243976,0.426,0.188,8.52252671194468e-05
"Fndc5",4.7702936978559e-09,-0.298009546537832,0.484,0.726,8.78735802082035e-05
"Syt17",5.80574753263461e-09,0.300950077738089,0.861,0.736,0.000106947675298662
"Pou3f2",6.24353202668734e-09,-0.301023106923751,0.197,0.467,0.000115012103463607
"Phlda1",8.25947804940742e-09,-0.312139814401819,0.361,0.606,0.000152147845148134
"Clmn",1.58888916001161e-08,0.274636287995963,0.762,0.519,0.000292689272165738
"Slc30a3",1.87493598098959e-08,-0.319155959192187,0.598,0.812,0.000345381957058092
"Sulf2",2.46932504943191e-08,-0.294758273387904,0.352,0.609,0.000454874367355852
"Ntm",3.70105448078958e-08,-0.259784805473059,0.934,0.956,0.000681771245906249
"Nrp2",3.99142843133956e-08,0.278576114057324,0.713,0.471,0.000735261031337061
"Deptor",5.09131467826238e-08,-0.438809267512789,0.434,0.63,0.000937871076882712
"Vegfd",6.93046649244204e-08,0.3023231280706,0.607,0.342,0.00127666123257275
"C1ql3",6.97999456239212e-08,0.271354888323762,0.984,0.925,0.00128578479833825
"Nrep",1.38301283678521e-07,-0.35463721465982,0.361,0.586,0.00254764794664204
"Dkkl1",1.57831321517919e-07,-0.354968633684621,0.385,0.609,0.00290741077368159
"Pou6f2",1.61833164028064e-07,-0.295027254748108,0.246,0.447,0.00298112871456096
"Ntng1",1.68578631080161e-07,0.341614883584361,0.623,0.517,0.00310538696312764
"Tnnc1",1.75991177378831e-07,-0.395483951690581,0.131,0.352,0.00324193347849545
"Fam3c",2.46778524803963e-07,-0.423790089598587,0.525,0.685,0.00454590720541381
"Dusp1",3.43228392864757e-07,-0.296640002729717,0.582,0.743,0.00632261022496168
"Onecut2",5.29123695002766e-07,-0.251320960327291,0.205,0.447,0.00974698758564595
"Ptn",6.83666380802264e-07,-0.329122301141457,0.73,0.837,0.0125938184007585
"Myh7",8.58882024722042e-07,0.272147791086612,0.377,0.178,0.0158214657774047
"Cpne8",1.15690062928812e-06,-0.274615339383125,0.287,0.502,0.0213112664921164
"Rims3",1.41040182692866e-06,-0.283901723410035,0.467,0.677,0.0259810120538528
"Egr2",1.54278628191803e-06,-0.281258121862117,0.197,0.42,0.028419666099212
"Cpne4",1.94669053225326e-06,-0.30140801950251,0.492,0.7,0.0358599862946372
"Kcng1",2.91191122570406e-06,0.280215986873322,0.533,0.358,0.0536403166886945
"Fat3",2.99566261082834e-06,-0.29433146447557,0.566,0.717,0.0551831009540688
"Zmat4",4.85412664577802e-06,-0.263274811049021,0.377,0.596,0.0894178669418768
"Necab2",5.65182020745205e-06,0.258869927692651,0.328,0.158,0.104112180041474
"Hpcal1",6.51136258062958e-06,0.253158234795308,0.59,0.477,0.119945810097777
"Bhlhe22",7.11176156720678e-06,0.307808424904045,0.623,0.55,0.131005759829516
"Kcnk2",7.89594993977804e-06,-0.262843144483957,0.213,0.384,0.145451293840651
"Cdkn1a",9.80076230648043e-06,-0.253323177389273,0.418,0.613,0.180539842447676
"Htr2a",9.93877507177576e-06,-0.294765103282292,0.262,0.442,0.183082175597181
"Utrn",1.02459896986854e-05,-0.278921926435508,0.115,0.287,0.188741376239484
"Slc24a2",1.03373133983354e-05,-0.292847627582663,0.787,0.805,0.190423650110737
"Cntnap5a",1.51699307441938e-05,0.280582391093104,0.598,0.411,0.279445294238794
"Efna5",3.61760263225009e-05,-0.268921202771364,0.492,0.614,0.666398580886789
"Vstm2l",6.10013427411109e-05,-0.270850413298927,0.549,0.688,1
"Calb1",6.66127795836017e-05,0.308159770565318,0.426,0.242,1
"Nnat",9.70312190423865e-05,0.311543370256544,0.713,0.525,1
"Wfs1",9.73989179887552e-05,0.252040929973708,0.541,0.377,1
"Gadd45g",0.00016775403227684,-0.305167623510394,0.738,0.792,1
"Kctd12",0.000290204379697812,0.257644006833749,0.484,0.341,1
"Gpr88",0.000651743557789754,-0.289139914732929,0.205,0.372,1
"Dcn",0.00235382911705306,0.270646387395704,0.189,0.085,1
"Bdnf",0.00292801262594997,-0.272345974002984,0.541,0.659,1
"Cyr61",0.00585041660196124,-0.293168369310372,0.074,0.149,1
"Hspa1a",0.010582854811799,-0.289182910956845,0.377,0.47,1
