"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nptxr",3.38268149295349e-94,1.14522100494766,1,0.635,6.23123757816963e-90
"Cck",1.21346839836914e-89,1.15339697990882,0.975,0.601,2.23533013663579e-85
"Crym",1.31569398768364e-71,-0.937720427680977,0.639,0.99,2.42363989471203e-67
"C1ql3",2.61603765186098e-65,1.13766736703079,0.984,0.389,4.8190029584931e-61
"Cnr1",1.81812003315547e-62,1.00354125928925,0.918,0.395,3.3491589130757e-58
"Nrip3",7.61430241236126e-62,-0.848059955059426,0.377,0.976,1.40263064738107e-57
"Ptprk",2.38621475159087e-61,0.745019253579199,0.787,0.067,4.39564619390555e-57
"Camk2d",4.20835733661589e-61,0.893812628403593,0.902,0.287,7.75221504978012e-57
"Rprm",2.43917746693605e-58,-1.60309638138099,0.295,0.88,4.49320881184289e-54
"Ccl27a",9.97438643952006e-58,-0.606630400357941,0.877,0.998,1.83738172602399e-53
"Necab1",1.96097213966146e-55,0.68161289810885,0.926,0.587,3.61230677847037e-51
"Nrn1",1.76092778277788e-54,0.71101568770604,0.959,0.601,3.24380506865514e-50
"Trp53i11",3.15935503919368e-52,0.829489853832144,0.836,0.147,5.81984791769868e-48
"Rimbp2",2.14895088804324e-51,0.649439280895336,0.902,0.595,3.95858243086445e-47
"Calm2",4.90408577262623e-51,-0.376807231912669,1,1,9.03381640175478e-47
"Pcp4",2.38323044732968e-50,-1.01813626361373,0.615,0.943,4.39014880702601e-46
"6430548M08Rik",5.10450095938705e-50,0.609820992073829,0.902,0.609,9.40300121728688e-46
"Unc5d",6.70857221379762e-49,0.626619189553603,0.664,0.045,1.23578608750366e-44
"Tmsb10",9.67491991629458e-49,-0.622621197790719,0.967,0.998,1.78221699778062e-44
"Ckb",2.98420283542983e-47,-0.680325103467434,0.984,0.998,5.49720004314529e-43
"Nr2f1",1.07523972789254e-46,0.528267123465212,0.975,0.778,1.98069910275086e-42
"Hs3st4",2.65213274139726e-46,-1.06168240803328,0.287,0.88,4.88549372292788e-42
"Rprml",4.8816260470242e-45,-0.542756044562443,0.893,0.986,8.99244334122328e-41
"Mgst3",6.49100118654403e-45,-0.622087772074723,0.746,0.974,1.19570732857328e-40
"Pcdh15",1.14816767529295e-44,0.619017990517797,0.77,0.153,2.11503967465714e-40
"Foxp2",1.51655163793985e-44,-1.00636659355403,0.189,0.821,2.79363977224899e-40
"Syt6",3.38846142850518e-44,-0.929116518847971,0.074,0.743,6.2418847974494e-40
"Stum",4.83326807249723e-44,0.642791123457725,0.918,0.246,8.90336311634714e-40
"Ccdc12",4.96668230476715e-44,-0.700649337913068,0.754,0.957,9.14912547361157e-40
"Kctd4",3.39495288825275e-43,0.68165291654908,0.885,0.318,6.25384271545039e-39
"Sema5a",4.1449593129175e-43,-0.924098889831691,0.066,0.731,7.63542955032533e-39
"Nwd2",8.67741899790424e-43,0.663507239361931,0.852,0.383,1.59846735360394e-38
"Tle4",1.60260317630419e-42,-0.873604569056837,0.328,0.866,2.95215531106994e-38
"Cox5a",3.10204601886856e-42,-0.43728112930033,0.959,1,5.71427897135777e-38
"Plcb4",4.63073457463941e-42,-0.819045728584472,0.295,0.876,8.53027615994326e-38
"Ubb",4.70306361553194e-42,-0.701736896622398,1,1,8.66351348617138e-38
"Ldhb",8.54018055850941e-42,-0.73795918429944,0.861,0.98,1.57318666068302e-37
"Atp5f1",4.46034081020829e-41,-0.496542830424411,0.984,1,8.2163938064847e-37
"Auts2",5.39929274763227e-41,0.503188556860788,0.975,0.798,9.94603717041341e-37
"Grin3a",2.64530202493206e-40,0.679824115166692,0.631,0.069,4.87291086012735e-36
"Nxph3",6.27315652945655e-40,-0.791076435268772,0.131,0.772,1.15557816429119e-35
"Syt17",6.32179073091012e-40,0.728902397941839,0.861,0.218,1.16453707054095e-35
"Stmn1",8.8814977025971e-40,-0.415606631099511,1,1,1.63606069179541e-35
"Ndufc2",1.02530207937232e-39,-0.482814716487243,0.943,0.986,1.88870896041175e-35
"Camk2n1",1.06917034938074e-39,0.446934523124379,1,0.998,1.96951870059425e-35
"Efhd2",1.53552886963774e-39,-0.620676719415631,0.902,0.988,2.82859773075968e-35
"Pitpnc1",1.59513602196067e-39,-0.580346554356438,0.139,0.784,2.93840006605375e-35
"Cpne5",1.64056516558793e-39,0.561861983653645,0.82,0.232,3.02208509152952e-35
"Ppp1r1b",2.11754891892804e-39,-0.747355960875648,0.213,0.813,3.90073686355735e-35
"Camk2n2",2.99658783277855e-39,0.675744200525891,0.82,0.305,5.52001444676137e-35
"Sparcl1",3.70260238501444e-39,-0.560964801139007,0.959,0.998,6.82056385343509e-35
"Wnt4",7.04119418397868e-39,0.669789995702145,0.697,0.151,1.29705838063071e-34
"Rabac1",8.60561861706823e-39,-0.518528791412264,0.926,0.994,1.58524100545014e-34
"Fez1",2.29464031265549e-38,-0.562695784301706,0.861,0.986,4.22695691994268e-34
"Bcl11b",3.30903004475609e-38,-0.671137090308873,0.664,0.982,6.09556424544519e-34
"Rnf152",3.83933462649049e-38,-0.767441710431652,0.049,0.662,7.07243831545813e-34
"Rtn4rl1",5.98597089211915e-38,0.603725852778219,0.77,0.155,1.10267569803727e-33
"Dctn3",2.45940942955979e-37,-0.414989759222314,0.951,0.99,4.53047811019209e-33
"Kcnab1",4.26096407974442e-37,0.658989890020709,0.828,0.305,7.8491219312972e-33
"Cyr61",8.71947782057122e-37,-1.43567181642808,0.074,0.656,1.60621500932743e-32
"Scg5",1.28958718423025e-36,-0.460498360025582,0.967,0.996,2.37554855207055e-32
"Slc30a3",2.61197689322983e-36,0.599509290303801,0.598,0.069,4.81152263501867e-32
"Lmo3",2.91198992368398e-36,-0.572442857742738,0.795,0.984,5.36417663841826e-32
"Nkiras1",4.5605933309177e-36,-0.494940455615628,0.869,0.98,8.4010689748835e-32
"Park7",4.60138848508491e-36,-0.446487504323262,0.885,0.98,8.47621772837491e-32
"Vdac3",4.65182692921014e-36,-0.472089165407888,0.926,0.992,8.56913038629799e-32
"Sla",6.06638384099807e-36,-0.691465330125597,0.057,0.648,1.11748856735025e-31
"Zfpm2",6.57788589405519e-36,-0.573574999755528,0.156,0.766,1.21171236054391e-31
"Nfia",7.09636328139282e-36,-0.770420384353595,0.5,0.912,1.30722108006537e-31
"Cxcl12",7.98050549075075e-36,-0.752407372127542,0.311,0.851,1.4700889164512e-31
"Fhl1",2.24809424109071e-35,0.583909347618714,0.721,0.206,4.1412144015132e-31
"Kcnip4",2.49078860723881e-35,0.542844883851712,0.918,0.456,4.58828169339462e-31
"Slc25a5",2.97448593430439e-35,-0.623293629645923,0.664,0.953,5.47930053958212e-31
"Ajap1",3.39678143764931e-35,0.650191334345916,0.803,0.218,6.25721108629379e-31
"Atp5h",4.12132218308099e-35,-0.298507441772071,0.992,1,7.59188759345348e-31
"Prdx2",4.78062173441725e-35,-0.442802424554664,0.959,0.994,8.80638329697002e-31
"Vegfd",4.84378551516628e-35,0.68878107863928,0.607,0.118,8.9227372974878e-31
"Mgat5",5.38751908948876e-35,0.555370368964738,0.852,0.399,9.92434891474725e-31
"Mdh1",5.95068917927568e-35,-0.581114322614833,1,0.998,1.09617645371437e-30
"Col12a1",7.52159176699707e-35,-0.766041987349968,0.066,0.66,1.38555241939853e-30
"Garnl3",8.35768849864189e-35,-0.607309535744178,0.467,0.919,1.53956979833482e-30
"Tmem178",3.51465114483491e-34,-0.584919268833505,0.566,0.937,6.47433887390039e-30
"Trbc2",3.81986293933348e-34,-0.835257517617932,0.254,0.762,7.0365695205462e-30
"Ppia",3.9139982796695e-34,-0.37887281219685,1,0.998,7.20997623097919e-30
"Ptprt",1.27133146917425e-33,0.546607240620036,0.951,0.497,2.34191969936588e-29
"Psmb4",1.61736778789323e-33,-0.489262411472963,0.852,0.982,2.97935320207811e-29
"Ckmt1",2.00509112204502e-33,-0.569902517254489,0.721,0.961,3.69357835591913e-29
"Slc26a4",2.62940882783831e-33,0.442315196031324,0.492,0.035,4.84363400176095e-29
"Ifi27",2.6767781954788e-33,-0.78113844621487,0.254,0.788,4.9308931138915e-29
"Hsp90aa1",3.19942774485382e-33,-0.470161843640201,1,1,5.89366584879523e-29
"Tecr",3.21927672342123e-33,-0.557900903111246,0.959,0.994,5.93022965221424e-29
"Prdx1",4.4504238342271e-33,-0.555720970967045,0.91,0.967,8.19812574502974e-29
"Ndufs3",8.86322621422109e-33,-0.562230148075346,0.705,0.937,1.63269490092167e-28
"Ngb",9.4249073047424e-33,0.463450920548165,0.385,0.006,1.7361621746066e-28
"Unc5c",9.93054980811471e-33,0.563160604228365,0.746,0.191,1.82930658015281e-28
"Snap25",1.37616503318382e-32,-0.277744291721709,1,1,2.53503360762792e-28
"Itm2b",2.18169420786721e-32,-0.558332747437425,0.992,1,4.01889890031219e-28
"Ndn",2.41702440052999e-32,-0.696145732761336,0.959,0.994,4.4524006482163e-28
"Adamts18",4.30438681841103e-32,0.663031100774001,0.574,0.077,7.92911095819495e-28
"Sorbs2",4.87933706033012e-32,0.38123850740314,1,0.945,8.98822679883412e-28
"Sdhb",5.01567408577485e-32,-0.532241673625891,0.836,0.969,9.23937323340585e-28
"Cuedc2",7.85289696177548e-32,-0.551618759813334,0.82,0.961,1.44658214932866e-27
"Cdh10",8.46460113335296e-32,0.509119896534006,0.787,0.326,1.55926417477495e-27
"Stmn4",8.65318360105878e-32,-0.379532663900267,0.984,0.998,1.59400295115104e-27
"Slc25a3",9.81139793783837e-32,-0.470612853853418,0.984,0.998,1.80735761412921e-27
"Rwdd2a",1.08275099903864e-31,-0.777097372426601,0.402,0.825,1.99453561532907e-27
"Uchl1",1.19195283303493e-31,-0.506963166717288,0.992,0.998,2.19569631373364e-27
"Snrpn",1.28992046076015e-31,-0.251688566746906,1,1,2.37616248076628e-27
"3110035E14Rik",2.63324922025342e-31,-0.480698551022264,0.926,0.996,4.85070838862883e-27
"Psmb6",2.84256052644523e-31,-0.498128653465992,0.803,0.947,5.23628074576475e-27
"Dgkb",3.34245957489317e-31,0.610682200279265,0.926,0.591,6.15714478291071e-27
"Slc4a3",3.71771793189895e-31,0.461561411371234,0.91,0.589,6.84840820235106e-27
"Vdac2",3.94852151310118e-31,-0.430384398506308,0.926,0.992,7.27357147928368e-27
"Nos1ap",4.81975378614134e-31,-0.514128307785399,0.877,0.982,8.87846844945097e-27
