"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",5.32600273237245e-72,1.25388117739235,0.975,0.592,9.81102963330329e-68
"Rprm",5.92006521415747e-71,-1.85899623760543,0.295,0.944,1.09053521309995e-66
"Nptxr",2.16882014264057e-70,1.24781836459422,1,0.587,3.9951835847582e-66
"Crym",2.32563345986401e-66,-1.07877586108004,0.639,1,4.2840493964155e-62
"Ubb",1.74494883357028e-63,-0.867219187669692,1,1,3.21437024631981e-59
"C1ql3",2.17877113857645e-62,1.32504549820461,0.984,0.306,4.01351431437169e-58
"Calm2",5.23877113593537e-62,-0.443731406573011,1,1,9.65034030950655e-58
"Ckb",7.76787200257731e-62,-0.806448035015622,0.984,1,1.43091970159477e-57
"Rprml",4.25673056306416e-61,-0.661353017855117,0.893,1,7.84132337022049e-57
"Ccdc12",8.95738603178122e-60,-0.851446306601985,0.754,0.974,1.65004008091442e-55
"Ccl27a",1.8759689765895e-59,-0.666363357373643,0.877,1,3.45572245177552e-55
"Tmsb10",6.4991256522452e-59,-0.748641175297845,0.967,1,1.19720393640009e-54
"Pcp4",1.36776539790382e-57,-1.08184583768688,0.615,0.995,2.51956063947863e-53
"Rabac1",1.68405090925954e-54,-0.63779852358039,0.926,1,3.102190179947e-50
"Ldhb",2.12570621218417e-54,-0.882923980414443,0.861,0.985,3.91576341346446e-50
"Syt6",3.69868488621825e-54,-1.03389674414839,0.074,0.903,6.81334742890264e-50
"Foxp2",5.672424282514e-54,-1.2055396529001,0.189,0.939,1.0449172770819e-49
"Stmn1",5.95403078407723e-54,-0.497508512301183,1,1,1.09679201073487e-49
"Ndufc2",8.24949530247187e-54,-0.586814701981061,0.943,1,1.51963952966834e-49
"Mgst3",1.14799011163151e-52,-0.721407454243625,0.746,0.995,2.1147125846364e-48
"Slc25a3",1.46368781265744e-50,-0.615287308524097,0.984,1,2.69625931969627e-46
"Ifi27",1.63378016508844e-50,-0.986364095548225,0.254,0.964,3.00958644210942e-46
"Stum",1.8199725852802e-50,0.835982179101062,0.918,0.117,3.35257149934466e-46
"Fez1",2.13039607386217e-50,-0.703021526178872,0.861,0.99,3.9244026076615e-46
"Prdx2",3.57149249273746e-50,-0.550524771033702,0.959,0.995,6.57904632087167e-46
"Rheb",8.74659138796037e-50,-0.489022021289254,0.975,1,1.61120959957618e-45
"Ndufs3",1.12605155161084e-49,-0.696788658995769,0.705,0.99,2.07429956322232e-45
"Hs3st4",1.81214299262917e-49,-1.1939468363198,0.287,0.949,3.3381486067222e-45
"Efhd2",3.232302713695e-49,-0.709623848118193,0.902,1,5.95422482889755e-45
"Hsp90ab1",1.15125866379752e-48,-0.659972096977087,1,1,2.12073358458142e-44
"Cnr1",1.31595380090837e-48,1.10986655465035,0.918,0.306,2.4241184966533e-44
"Atp5f1",1.47115903174131e-48,-0.591835578812107,0.984,1,2.71002205237067e-44
"Uchl1",2.48586424051346e-48,-0.64418815677565,0.992,1,4.57921051744985e-44
