"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nptxr",4.19762181539229e-159,1.30159067760861,1,0.528,7.73243914613413e-155
"Cck",4.21504376580115e-152,1.3099888027301,0.975,0.524,7.76453212098229e-148
"C1ql3",2.53543586843746e-139,1.47020371993802,0.984,0.291,4.67052641324864e-135
"Rprm",1.0504322567434e-131,-1.90397028287672,0.295,0.984,1.93500126014701e-127
"Calm2",1.52803337318245e-123,-0.453852335317323,1,1,2.81479027673939e-119
"Pcp4",4.96587137890549e-118,-1.12881941072077,0.615,0.997,9.1476316670818e-114
"Ccdc12",4.55581492080826e-109,-0.882587603124065,0.754,0.999,8.39226666562089e-105
"Stmn1",1.02053302324135e-108,-0.502154638832705,1,1,1.87992388211289e-104
"Tmsb10",7.43532533456671e-105,-0.730848877408728,0.967,1,1.36966127988053e-100
"Rprml",5.14106851212255e-103,-0.688530745980214,0.893,0.999,9.47036230618096e-99
"Crym",1.54645105267696e-100,-1.09292521890013,0.639,0.996,2.84871748413622e-96
"Foxp2",4.32438338101471e-100,-1.24615298102735,0.189,0.981,7.9659466261672e-96
"Syt6",9.88224951198175e-98,-1.10571100386954,0.074,0.956,1.82040918260216e-93
"Hs3st4",5.02979217024286e-97,-1.25110478526014,0.287,0.99,9.26538015680438e-93
"Ubb",1.85730107545404e-93,-0.848626408336616,1,1,3.42133431109389e-89
"Cnr1",3.86382519363401e-93,1.17223006291859,0.918,0.201,7.1175523891932e-89
"Stum",1.56223891410071e-92,0.909019173748972,0.918,0.072,2.87780030366492e-88
"Syt17",9.40539290171398e-92,1.04649260073534,0.861,0.041,1.73256742642473e-87
"Ccl27a",4.87858746522729e-89,-0.666904663261986,0.877,0.999,8.98684596969519e-85
"Rabac1",9.85238488865659e-87,-0.631441268241449,0.926,1,1.81490782033943e-82
"Ttc9b",1.27222596356916e-85,-0.585385391822268,0.975,1,2.34356744749075e-81
"Rtn4rl1",2.25396812150842e-85,0.772304888862079,0.77,0.013,4.15203467663066e-81
"Nxph3",3.86030574809743e-85,-0.959105267957098,0.131,0.952,7.11106921857028e-81
"Ckb",9.58849976196382e-85,-0.803238753704627,0.984,0.999,1.76629754115136e-80
"Tle4",1.08258946655792e-84,-0.984990198391665,0.328,0.974,1.99423805634634e-80
"Efhd2",7.83925010531408e-84,-0.731175363826384,0.902,0.999,1.44406826189991e-79
"Ndufc2",9.50121265799722e-84,-0.57661203245491,0.943,1,1.75021838372967e-79
"Mgst3",6.86933777510831e-82,-0.717298865216516,0.746,0.996,1.2654007115527e-77
"Trbc2",8.19178802511646e-82,-0.990722742131347,0.254,0.966,1.5090092721067e-77
"Sema5a",6.58813588057137e-81,-1.01634026004158,0.066,0.908,1.21360051056005e-76
"Cox5a",8.81912742293467e-81,-0.518962477627751,0.959,1,1.6245714625788e-76
"Dctn3",1.11110735056106e-79,-0.50288016748091,0.951,1,2.04677085046852e-75
"Park7",7.62197091994527e-79,-0.574259122716314,0.885,0.999,1.40404326316312e-74
"Tagln3",9.15987116813147e-79,-0.63905644780235,0.992,1,1.6873398678815e-74
"Ppia",1.40334807558039e-78,-0.490732457200271,1,1,2.58510749002664e-74
"Ywhah",1.05853312932748e-75,-0.383287880658595,1,1,1.94992387753416e-71
"Uchl1",1.12865969980302e-74,-0.641520761268852,0.992,1,2.07910403300714e-70
"Nrip3",1.39185471413539e-74,-0.912360428218746,0.377,0.984,2.56393556890879e-70
"3110035E14Rik",1.65914825412932e-74,-0.619930432527858,0.926,0.999,3.05631699893162e-70
"Plcb4",2.57892613615048e-74,-1.08795237915343,0.295,0.958,4.7506398354028e-70
"Dgkb",3.60289365136113e-74,0.818480854392457,0.926,0.488,6.63689039517234e-70
"Arpc3",3.79519047911461e-74,-0.602557497606701,0.951,1,6.99112038157702e-70
"Fez1",3.93392561939188e-74,-0.665852478940722,0.861,0.999,7.24668438348179e-70
"Atp5f1",9.8917520413551e-74,-0.591715555927603,0.984,0.999,1.82215964353802e-69
"Prdx1",4.13038722240138e-73,-0.700767960844192,0.91,0.999,7.60858630238558e-69
"Prdx2",4.52925168630933e-73,-0.547304143566675,0.959,1,8.34333453135041e-69
"Trp53i11",2.05003364812489e-72,0.902659772368439,0.836,0.088,3.77636698321085e-68
"Ptprk",1.06729723903308e-71,0.758637282826703,0.787,0.072,1.96606824402283e-67
"Scg5",2.04218520400025e-71,-0.560358700410688,0.967,1,3.76190936428886e-67
"Ajap1",2.85304781580248e-71,0.839352747759051,0.803,0.069,5.25559938148975e-67
"Myl6",5.81572941577612e-71,-0.438068698793091,1,1,1.07131551568012e-66
"Kcnab1",5.83450641890146e-71,0.821250107667356,0.828,0.145,1.07477442742584e-66
"Atp6v1f",6.73876577364733e-71,-0.415366090185078,0.992,0.999,1.24134804316357e-66
"Snap25",2.56586930192096e-70,-0.33219185616635,1,1,4.7265878410686e-66
"Camk2d",3.38136185447407e-70,0.90253676095776,0.902,0.282,6.22880667212669e-66
"Hsp90ab1",3.73133115065306e-70,-0.670694078236406,1,1,6.873485112618e-66
"Vdac3",3.82705276334538e-70,-0.565654094930077,0.926,0.994,7.04981389535852e-66
"Atp5h",6.28911147742474e-70,-0.363735646461121,0.992,1,1.15851722525641e-65
"Nrn1",8.33747947954704e-70,0.767947528648698,0.959,0.488,1.53584709492736e-65
"Ldhb",1.39053478821443e-69,-0.858076210756666,0.861,0.996,2.56150413336981e-65
"Clta",2.48679580177657e-69,-0.481107667861616,0.992,1,4.58092654645262e-65
"Mef2c",2.6034581158106e-69,0.43782225197484,1,1,4.7958301951347e-65
"Ndufs3",4.34886120492232e-69,-0.695528175500324,0.705,0.984,8.0110372255874e-65
"Psmb6",4.57006643665017e-69,-0.65288567168096,0.803,0.994,8.41851938295328e-65
"Kcnip4",1.00302899341463e-68,0.706363639528506,0.918,0.293,1.8476797087691e-64
"Psmb5",3.22766537984788e-68,-0.675131074354584,0.811,0.994,5.94568239621779e-64
"Rimbp2",4.09467646463182e-68,0.661525250309791,0.902,0.603,7.54280351549827e-64
"Rheb",6.88128310142924e-68,-0.474290752288554,0.975,0.999,1.26760116011428e-63
"Unc5d",1.17295511808373e-67,0.661442780580398,0.664,0.016,2.16070062302203e-63
"Gnb2",1.69134949230467e-67,-0.537181042375353,0.992,0.999,3.11563489977443e-63
"Rab3a",1.89574327811628e-67,-0.360285320728709,0.992,1,3.492148692618e-63
"Itm2b",2.24492496352674e-67,-0.68293161139862,0.992,1,4.13537627531262e-63
"Necab1",2.30590792083988e-67,0.683305838320559,0.926,0.612,4.24771298097914e-63
"Nkiras1",3.95090253460054e-67,-0.575078081943608,0.869,1,7.27795755898766e-63
"Ifi27",7.58231473133567e-67,-0.961654013995512,0.254,0.937,1.39673819665934e-62
"Ndn",1.11979671385757e-66,-0.892788842375417,0.959,0.999,2.06277752659703e-62
"Tbr1",4.0037533366581e-66,-0.56799913515457,0.844,0.999,7.37531402145789e-62
"Srgap3",4.57978254133457e-66,0.71965884515137,0.885,0.286,8.43641741939241e-62
"Ndufa4",8.27109792086018e-66,-0.351569318049714,1,1,1.52361894800165e-61
"Kctd4",9.42457146232217e-66,0.788217471699816,0.885,0.216,1.73610030907437e-61
"Sla",2.875180415989e-65,-0.89446962851799,0.057,0.831,5.29636984429333e-61
