"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Lypd1",2.12088669148567e-16,0.46829806553457,0.435,0.177,3.90688537438576e-12
"Rorb",1.47637877962881e-15,-0.544877384213811,0.343,0.538,2.71963734995423e-11
"Thsd7a",2.94645277412205e-12,-0.377536321897299,0.1,0.246,5.42766065521022e-08
"Kcnk2",1.12088852869779e-10,-0.279812430491813,0.384,0.408,2.0647887587142e-06
"Deptor",6.37524167727368e-10,0.354577172851425,0.63,0.438,1.17438326937058e-05
"Etv1",1.11909314093211e-08,0.45991742500883,0.612,0.442,0.000206148147491104
"Myl4",1.71839473355337e-07,-0.352615821776103,0.21,0.304,0.00316545493867866
"Fam3c",3.05985926422409e-07,0.280557662154861,0.685,0.554,0.0056365667506272
"Pcdh19",5.64130631139865e-07,0.252123560676964,0.558,0.392,0.0103918503562274
"Rmst",5.90751745070174e-07,-0.253964777136554,0.513,0.635,0.0108822378959377
"Hspa1a",2.39911972569869e-06,0.347842835821672,0.47,0.408,0.0441941844670956
"Nos1",6.96702633297511e-06,0.277185093420839,0.567,0.427,0.128339592079734
