"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Egr1",1.46267736678235e-23,0.321730061300073,0.998,0.943,2.69439797734977e-19
"Arc",6.4975926725373e-20,0.424933221565085,0.818,0.451,1.1969215462081e-15
"Trbc2",9.24225201816896e-17,0.390203256525118,0.635,0.254,1.7025152442669e-12
"Dnajc21",1.13458121257169e-16,0.499297571789511,0.791,0.639,2.0900120516783e-12
"Cdh13",1.15981247172414e-16,-0.361461733929674,0.544,0.902,2.13649055416305e-12
"Adamts18",1.4008381844414e-16,-0.471933213490955,0.225,0.574,2.58048401955951e-12
"Nfib",6.05743531272809e-15,-0.291852094669766,0.835,0.975,1.11584015895764e-10
"Satb1",7.51480513393368e-15,0.353399093706327,0.777,0.459,1.38430225372192e-10
"Col23a1",9.83006159958203e-15,-0.369793581144441,0.161,0.492,1.81079564725901e-10
"Serpini1",1.99603267255481e-14,0.297557707253344,0.986,0.951,3.67689178611321e-10
"Pcp4",3.91847122010715e-14,0.485761017981173,0.843,0.615,7.21821583455938e-10
"Ier2",5.10294051055412e-14,0.377575685159431,0.78,0.484,9.40012671449175e-10
"Gabra1",1.35335230515029e-13,0.257577857129439,0.989,0.959,2.49301028131735e-09
"Smoc2",1.40319674103599e-13,-0.352753437726997,0.227,0.557,2.58482871666239e-09
"Nrn1",2.20540125536225e-13,0.30146234839755,0.933,0.959,4.06256965250280e-09
"Nov",2.38141663446204e-13,-0.317448913287114,0.693,0.934,4.38680758234253e-09
"Olfm3",1.1438365616282e-12,0.373216283214797,0.516,0.18,2.10706133017531e-08
"Klhdc8a",1.18270687943283e-12,0.402093093784094,0.475,0.164,2.17866434260321e-08
"Nr4a1",1.91188378604291e-12,0.429192223975939,0.744,0.467,3.52188112226965e-08
"Fos",2.22661469385112e-12,0.336052137165435,0.929,0.77,4.10164692754314e-08
"1110008P14Rik",2.34994166133158e-12,0.281695473749124,0.991,0.984,4.32882753433891e-08
"Rgs4",3.01618038594997e-12,0.440300094380539,0.938,0.877,5.55610588895843e-08
