"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Epha7",1.88047584419738e-18,-0.274214644597149,0.622,0.816,3.464024552596e-14
"Nptxr",2.09930354866583e-18,-0.271855770381493,0.972,1,3.86712706699733e-14
"Cnr1",4.26562149174888e-18,-0.307338929766238,0.914,0.981,7.85770134995062e-14
"Dgkb",1.05596604900864e-16,-0.286257722086389,0.8,0.94,1.94519505887882e-12
"Robo2",2.16028150231483e-15,-0.265576227741246,0.841,0.914,3.97945455541414e-11
"Stum",3.46088332570912e-15,-0.266159057002364,0.851,0.963,6.37529317428877e-11
"Vstm2b",1.72525030570786e-14,-0.26476239685077,0.598,0.82,3.17808358814444e-10
"Sccpdh",1.28333275477389e-13,-0.308767706635271,0.743,0.858,2.36402726756898e-09
"Stxbp6",4.55906747432851e-13,-0.486876894491566,0.335,0.476,8.39825819446055e-09
"S100b",5.91951449536417e-13,-0.380561229156986,0.214,0.438,1.09043376519103e-08
"Cntnap5a",4.98123502683344e-12,-0.306225325779701,0.411,0.584,9.17593304292989e-08
"Slc24a3",1.14897949789255e-11,-0.29762238369113,0.63,0.783,2.11653513306787e-07
"Rorb",5.59630195723293e-11,-0.421268189958189,0.343,0.547,1.03089478354188e-06
"Lypd1",7.65883418882758e-11,0.406388804579385,0.435,0.236,1.41083384592393e-06
"Dner",3.40994771019197e-10,-0.264930424469785,0.674,0.787,6.28146467694464e-06
"Myl4",5.76285328578907e-10,-0.365742724644698,0.21,0.386,1.0615752037752e-05
"Ptn",7.6597531670216e-10,-0.303276233008365,0.837,0.861,1.41100313089705e-05
"Utrn",7.01041614996177e-07,-0.253517207621047,0.287,0.412,0.0129138875898446
"Nptx2",7.85470230860977e-07,-0.285253748799661,0.367,0.528,0.0144691471226901
"Gm13889",5.29197032586427e-05,-0.368432134105563,0.478,0.588,0.974833853727457
"Etv1",8.39837846749995e-05,-0.265054922127445,0.612,0.625,1
"Nxph3",0.000138658251190083,0.262687169811119,0.218,0.191,1
"Nr4a2",0.000489372165512516,-0.339015048147597,0.378,0.446,1
"Cux2",0.000716117771839627,0.265195328958455,0.269,0.176,1
"Ptgs2",0.187031049844471,-0.343151650641099,0.299,0.322,1
