"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Trim2",1.38247077506169e-13,-0.264445664063727,0.998,1,2.54664941474114e-09
"Nptxr",5.74662248231226e-13,-0.361699438259804,0.972,1,1.05858532746674e-08
"Lrp8",5.66309613400319e-12,-0.297150294930143,0.68,0.778,1.04319893884473e-07
"Necab1",1.26269779389968e-11,-0.333429938289109,0.924,0.99,2.3260156061426e-07
"Cnih3",4.68270924503797e-11,-0.303972302137444,0.901,0.97,8.62601870028445e-07
"Syt17",1.90806414623603e-10,-0.331864574514212,0.736,0.909,3.51484496378139e-06
"C1ql3",4.50284125572678e-10,-0.312921084466169,0.925,1,8.2946838771743e-06
"Fstl5",4.52720545157008e-10,-0.32299111739512,0.56,0.778,8.33956516233725e-06
"Timp2",6.44368413254986e-10,-0.359994302613893,0.917,0.98,1.18699105405701e-05
"Stum",9.88528837412101e-10,-0.346347799815724,0.851,0.98,1.82096897139683e-05
"Clmn",1.13245556762052e-09,-0.352843021431931,0.519,0.758,2.08609640111377e-05
"Nell1",1.29829822134793e-09,-0.348364816701736,0.442,0.687,2.39159515354503e-05
"Hpcal1",1.79757440182505e-09,-0.39377514942156,0.477,0.677,3.31131180560193e-05
"Dgkb",2.95915441904648e-09,-0.351574051786737,0.8,0.939,5.45105835532552e-05
"Cnr1",3.99969978370847e-09,-0.341634968293093,0.914,0.97,7.36784697156937e-05
"Edil3",6.66003027047966e-09,-0.319448224847921,0.791,0.929,0.000122684417612506
"Slc36a1",7.12605353273754e-09,-0.268550786372868,0.673,0.768,0.000131269032126558
"6430548M08Rik",7.17519317413749e-09,-0.279886434365169,0.895,0.919,0.000132174233460787
"Cntnap5a",2.17201243292778e-08,-0.37369685194839,0.411,0.626,0.000400106410269626
"Epha7",2.58887385683055e-08,-0.276459585959649,0.622,0.717,0.000476896453166756
"Cpne7",2.79567626794113e-08,-0.341823435537295,0.513,0.717,0.000514991525317436
"Slc24a3",5.80830555065332e-08,-0.384057068612667,0.63,0.788,0.00106994796548585
"Nov",1.00768517169449e-07,-0.280734609575768,0.693,0.869,0.00185625685477841
"Pex5l",1.37321202799905e-07,-0.269338937152604,0.738,0.818,0.00252959387677706
"Epha3",1.97895894455604e-07,-0.264441117351958,0.188,0.424,0.00364544027176668
"Sccpdh",2.38234172339529e-07,-0.356827717514944,0.743,0.848,0.00438851168866647
"Kcnab1",2.8343680284436e-07,-0.253089267985289,0.851,0.929,0.00522118934519595
"Dner",4.50902530037119e-07,-0.325446186648156,0.674,0.828,0.00830607550581377
"S100b",4.88690657071615e-07,-0.460857077316606,0.214,0.455,0.00900217059391622
"Kcng1",6.19745683013269e-07,-0.2886236996333,0.358,0.616,0.0114163352267874
"Ptprf",6.66731129142226e-07,-0.304087762231079,0.727,0.848,0.0122818541299289
"Wnt4",1.44573452985838e-06,-0.263229901667797,0.706,0.869,0.0266318757745211
"Camk2d",1.5007409751742e-06,-0.283523117210803,0.895,0.96,0.0276451495036839
"Stxbp6",1.88138533809299e-06,-0.573674230164851,0.335,0.495,0.034656999313011
"Nectin1",3.10034931457578e-06,-0.349383702182574,0.497,0.687,0.0571115347238004
"Smoc2",6.10504498368135e-06,-0.254245969923241,0.227,0.343,0.112461033644394
"Etv1",1.31846236761463e-05,-0.505188771387411,0.612,0.717,0.242873952738291
"Fam19a1",1.76692362301053e-05,-0.344494403939119,0.611,0.737,0.325485000594769
"Olfm3",1.85018707267287e-05,0.334295542121412,0.516,0.303,0.34082296065707
"Bhlhe22",3.22223640052428e-05,-0.2663163661253,0.55,0.747,0.593568167340578
"Ntng1",5.35666870872556e-05,-0.321578628934623,0.517,0.697,0.986751942834335
"Rab3c",0.000579548883038957,-0.250650456245545,0.955,0.98,1
"Nos1",0.00335030411954706,-0.30246231687907,0.567,0.667,1
"Ddah1",0.00746631040726871,0.255180286095163,0.181,0.111,1
"Rcan2",0.0114339191347799,0.277124698634249,0.544,0.465,1
"Nxph3",0.0177876102148972,0.281537940177893,0.218,0.182,1
"Rprm",0.0601760968462317,0.253524334011122,0.462,0.384,1
"Cyr61",0.0774642413579224,0.25193445980494,0.149,0.081,1
