"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Bcl11b",3.01014653056777e-59,-1.02737976969394,0.451,0.927,5.54499092395888e-55
"Pou3f1",5.93090980950965e-53,-1.4941577412081,0.073,0.683,1.09253289600977e-48
"Igfbp4",5.98659796726602e-48,-1.39966120506471,0.056,0.646,1.10279121155007e-43
"Crym",9.5477503068118e-45,-0.666857503663488,0.722,1,1.7587910840178e-40
"Pex5l",3.89975485656833e-44,-0.729469301984733,0.738,0.902,7.18373842128452e-40
"Fezf2",6.03442993100795e-42,-0.711721719182198,0.548,0.915,1.11160233759097e-37
"Nfia",8.3113656062115e-41,-0.739445489611187,0.435,0.89,1.53103665832022e-36
"Camk2d",1.62163948746256e-39,0.733574418009698,0.895,0.232,2.98722209985478e-35
"Nfib",4.55757026543429e-39,-0.612046451045867,0.835,1,8.3955001859565e-35
"Lmo1",2.58232859647602e-38,-0.658639767046971,0.278,0.89,4.75690750756848e-34
"Lypd1",1.00329871470556e-37,-1.32825913792694,0.435,0.841,1.84817656235912e-33
"Dscaml1",2.54014459983565e-37,-0.67268618104804,0.218,0.841,4.67920036735725e-33
"Fam84b",4.00914222046197e-37,-0.609839948199123,0.02,0.488,7.38524088431299e-33
"Nrip3",7.05144892293019e-37,-0.819104972142955,0.395,0.927,1.29894740609297e-32
"Cck",1.8393220219035e-36,0.804580853487212,0.939,0.78,3.38821509654844e-32
"Hcn1",3.16484201242608e-36,-0.571741831266482,0.77,0.902,5.82995547109009e-32
"Elmod1",8.53143958008481e-36,-0.400467926282132,0.981,1,1.57157648504742e-31
"Bcl6",8.26031894120911e-35,-0.724414134420881,0.055,0.549,1.52163335216013e-30
"Reln",3.66429267914593e-34,-0.647652195148179,0.018,0.451,6.74999354425472e-30
"Pcdh10",4.99703323398234e-34,0.337485812001181,0.996,0.683,9.20503492031886e-30
"Gap43",1.12177746370935e-33,-0.393198373298907,0.997,1,2.066426265899e-29
"Ppp1r2",1.25081268216274e-33,-0.386849533423727,0.971,1,2.30412204181198e-29
"Car10",1.02270969646174e-32,0.551097753736978,0.922,0.366,1.88393353185218e-28
"Nrn1",1.14400979063096e-32,0.709961681749278,0.933,0.732,2.1073804353213e-28
"Cxcl12",2.02743446563733e-32,-0.751884479830836,0.318,0.841,3.73473702915053e-28
"Tpbg",1.13055897085246e-31,-0.430590665743924,0.009,0.39,2.08260268020731e-27
"Ccl27a",1.29618372542617e-31,-0.404907896497902,0.962,1,2.38770004060755e-27
"Fam126a",3.1422479199653e-31,-0.746706415238386,0.165,0.61,5.78833489336808e-27
"Gprc5b",7.29306417276577e-31,-0.569036369946103,0.025,0.451,1.34345535126518e-26
"Ina",4.10419241702859e-30,-0.435229904253434,0.966,1,7.56033285140836e-26
"Adamts2",4.91974941496252e-30,-0.828577922897545,0.035,0.427,9.06267039730246e-26
"Rgma",7.77511505177383e-30,-0.386828365861623,0.019,0.427,1.43225394368726e-25
"Gm19410",2.39030600618805e-29,-0.546718521049125,0.323,0.61,4.40318269399901e-25
"Zdhhc22",3.4694058034921e-29,0.366829079271116,0.929,0.415,6.3909924306128e-25
"Lmo3",2.65778968020331e-28,-0.633492006359586,0.485,0.915,4.89591436990252e-24
"Sparcl1",4.94795780945947e-28,-0.433435322494161,0.955,1,9.11463308080529e-24
"Tmem47",9.00325384428603e-28,-0.544140046874773,0.459,0.707,1.65848939065593e-23
"Npr3",5.62065617408588e-27,-0.648754767312973,0.146,0.634,1.03538107382836e-22
"Atp1b1",1.1279136649161e-26,-0.262862520922259,1,1,2.07772976214195e-22
"Ptprk",2.67406032774014e-26,0.593870611619543,0.745,0.159,4.92588652973011e-22
"Cadps2",5.62805517545632e-26,-0.633660302072857,0.427,0.829,1.03674404387081e-21
"Hpca",1.85225203707433e-25,0.486296706095421,0.961,0.659,3.41203347749462e-21
"Kcnn2",2.09949943274242e-25,-0.530264320890409,0.48,0.768,3.86748790505481e-21
"Pcdh15",2.76774978974687e-25,0.601587013428185,0.769,0.207,5.09847188769271e-21
"Lmo4",3.04486961962486e-25,0.327808667036091,0.999,0.939,5.60895432631096e-21
"Gria3",3.50305982842455e-25,-0.380131790403957,0.979,1,6.45298650994086e-21
"Prkcg",5.79989061927031e-25,-0.417318768164343,0.95,0.988,1.06839785097578e-20
"Robo1",1.58235746707484e-23,-0.517958575029079,0.327,0.683,2.91486069009857e-19
"Kif26a",1.68255342701764e-23,-0.415363598361953,0.025,0.366,3.0994316679092e-19
"Id2",3.35914039419793e-23,-0.446857391978094,0.926,0.951,6.18787252015201e-19
"Caln1",1.08365784067782e-22,-0.506730636514094,0.858,0.976,1.99620610831262e-18
"Dab1",1.71084408309517e-22,-0.388505992447881,0.688,0.841,3.15154588546961e-18
"Slc4a10",1.74013898400824e-21,-0.294431923952069,0.987,0.988,3.20551002244158e-17
"Sept4",3.79908235109604e-21,-0.447697008142685,0.351,0.707,6.99828959895401e-17
"Abat",4.77098438516469e-21,-0.511210451730506,0.437,0.78,8.78863033591188e-17
"Ckmt1",4.90010131898315e-21,-0.373820641472956,0.825,1,9.02647663969886e-17
"Tiam1",6.00224404596222e-21,-0.470641672491585,0.622,0.841,1.1056733757067e-16
"Lamp5",7.34751174734706e-21,-0.776163121536885,0.259,0.622,1.3534851389788e-16
"Zfp703",8.96471362287952e-21,-0.565639352835566,0.37,0.646,1.65138989647064e-16
"Necab1",1.27896482998058e-20,0.5473493877581,0.924,0.646,2.35598111330723e-16
