"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Crym",1.42624379221499e-26,-0.538861488120794,0.722,0.868,2.62728368963924e-22
"Hsp90aa1",1.08495945762172e-25,-0.303423503074821,0.999,1,1.99860381688498e-21
"Slc25a4",8.79450249769564e-25,-0.306564098830687,0.999,1,1.62003530510051e-20
"Hsp90ab1",1.4650318521563e-23,-0.342894892694291,1,1,2.69873517485712e-19
"Ndn",8.86730329161767e-23,-0.447801033587779,0.971,0.985,1.63344593934889e-18
"Itm2b",9.74581745464335e-23,-0.306918905223027,0.993,1,1.79527703331985e-18
"Ubb",8.93546299605655e-22,-0.363947783288327,1,1,1.64600163850358e-17
"Ckmt1",2.65730148651153e-21,-0.361573147921557,0.825,0.912,4.89501506830288e-17
"Tuba1a",1.58368421716565e-20,-0.384690931675722,0.995,1,2.91730469644084e-16
"Ldhb",1.91534854119988e-20,-0.404210541184053,0.913,0.949,3.5282635477443e-16
"Sept7",2.1763476436475e-20,-0.259835553475712,0.998,1,4.00904999436306e-16
"Ccdc12",2.48172400184414e-20,-0.335272370703172,0.813,0.941,4.57158378379709e-16
"Uchl1",6.26917398353371e-20,-0.310560522176787,0.996,1,1.15484453950674e-15
"Mdh1",6.45639116291176e-20,-0.3366642593104,0.993,1,1.18933181611998e-15
"Gapdh",2.60506037744414e-19,-0.367131417069308,0.99,1,4.79878172128984e-15
"Arpc3",5.98884616548291e-19,-0.274635253808551,0.97,1,1.10320535214361e-14
"Plcb4",9.19536591069619e-19,-0.421516434245572,0.421,0.64,1.69387835440934e-14
"Atp5b",1.0463698231299e-18,-0.294116213563639,0.995,1,1.92751785118758e-14
"Slc25a3",1.19089750054348e-18,-0.269772715479443,0.994,1,2.19375228575115e-14
"Snap47",1.60898507575413e-18,-0.269188402596716,0.979,0.993,2.96391140804668e-14
"Mgat4c",2.23563181602743e-18,-0.39825868587852,0.466,0.64,4.11825736830413e-14
"Ociad1",5.4525822718115e-18,-0.251921001375243,0.963,0.978,1.0044201802904e-13
"Mdh2",1.26390271846092e-17,-0.332787266528444,0.924,0.963,2.32823519767687e-13
"Rprml",2.05836164828742e-17,-0.253580855337916,0.952,0.978,3.79170799231026e-13
"Tusc3",2.17566078545807e-17,-0.270805756614033,0.96,0.963,4.0077847328923e-13
"Ncald",2.30630046289316e-17,-0.254514576337695,0.998,0.985,4.24843608269548e-13
"Psma4",3.13670582345677e-17,-0.356627192270329,0.709,0.772,5.77812579738972e-13
"Atp5f1",3.44388127446167e-17,-0.269719332840626,0.992,1,6.34397369568583e-13
"Cct7",4.58360557541764e-17,-0.291055248893388,0.824,0.809,8.44345983047684e-13
"Hspa8",5.00214605149453e-17,-0.335325962721299,0.999,1,9.21445324145808e-13
"Hs3st4",5.46931616298433e-17,-0.687823062878083,0.393,0.669,1.00750273038334e-12
"Rab26",6.17285704128822e-17,-0.282484817257791,0.791,0.882,1.1371019955757e-12
"Ifi27",1.0437540862052e-16,-0.49534291795188,0.206,0.397,1.9226994021986e-12
"Psmd6",1.19582881460739e-16,-0.351508708371195,0.571,0.706,2.20283625938827e-12
"Nos1ap",1.28689028650676e-16,-0.28266733004588,0.895,0.956,2.37058059677411e-12
"Fos",1.7601598874777e-16,-0.376444403235999,0.929,0.985,3.24239052872267e-12
"Tubb2a",1.95841835915027e-16,-0.427646077905946,0.959,0.978,3.60760245939071e-12
"Fez1",2.47871981954032e-16,-0.291630272031381,0.883,0.926,4.56604977957522e-12
"Dnajb1",2.67933781655158e-16,-0.412335788936268,0.816,0.904,4.93560819186966e-12
"Tmsb10",2.83099802422194e-16,-0.363753482123552,0.943,0.985,5.21498146041923e-12
"Rprm",2.91173432226764e-16,-0.721318084390953,0.462,0.632,5.36370579504921e-12
"Glul",5.32671171033995e-16,-0.405813386953646,0.442,0.647,9.81233564161723e-12
"Psmb1",6.24595920410533e-16,-0.26708385719982,0.929,0.941,1.15056814498824e-11
"Nkiras1",7.17237844718525e-16,-0.254905698766153,0.923,0.956,1.321223833756e-11
"Rwdd2a",7.27932223227257e-16,-0.430863351539736,0.394,0.507,1.34092394840693e-11
"Efhd2",7.76030588664151e-16,-0.324378731558203,0.975,0.993,1.42952594737823e-11
"Psma5",8.5571811832715e-16,-0.266516891418514,0.795,0.949,1.57631834577044e-11
"Tmem59",1.23274276556503e-15,-0.252481504238358,0.949,0.985,2.27083544844734e-11
"Aig1",1.99362186338638e-15,-0.271487888737422,0.815,0.882,3.67245083454405e-11
"Psmd4",2.2353139992192e-15,-0.252682552753044,0.874,0.941,4.11767191796168e-11
"Foxp2",2.32428713649174e-15,-0.596627753233178,0.204,0.412,4.28156933413143e-11
"Taldo1",3.29326091436988e-15,-0.300842197476018,0.58,0.654,6.06651593036076e-11
"Ramp3",3.47843185229503e-15,-0.360569738352688,0.641,0.779,6.40761931511268e-11
"Ppa1",4.5828690477626e-15,-0.279747632506259,0.788,0.838,8.4421030728835e-11
"Ngef",4.68103196665071e-15,-0.270534838473707,0.924,0.941,8.62292898576727e-11
"Tecr",5.50182250170826e-15,-0.251106147818232,0.973,1,1.01349072303968e-10
"3110035E14Rik",5.63062929026641e-15,-0.255241975346764,0.966,1,1.03721822155998e-10
"Cuedc2",5.73198494023299e-15,-0.258558033487588,0.841,0.89,1.05588894584032e-10
"Psmb2",7.00177560472456e-15,-0.275603840515054,0.699,0.765,1.28979708414631e-10
"Ubc",8.4723921467511e-15,-0.264035027727081,0.984,1,1.56069935735302e-10
"Tubb4b",8.60696279841519e-15,-0.350899167594442,0.887,0.963,1.58548861709606e-10
"Ssb",9.11774732675405e-15,-0.278022895498106,0.929,0.956,1.67958023506136e-10
"Atxn10",1.41377077593592e-14,-0.287248638728004,0.903,0.963,2.60430714635157e-10
"Ndufv1",1.44451415518679e-14,-0.28836955629211,0.802,0.89,2.66093952526958e-10
"Prdx1",1.56280944731466e-14,-0.295287993051322,0.888,0.949,2.87885128289834e-10
"Atp6ap2",1.67176619535148e-14,-0.267578102125496,0.984,0.993,3.07956050845697e-10
"Cacybp",2.09749728273019e-14,-0.251174608718626,0.951,0.993,3.86379974451728e-10
"Cyth2",2.25571531285735e-14,-0.299440926918178,0.736,0.816,4.15525317781453e-10
"Nrip3",3.1298000943642e-14,-0.518851011960398,0.395,0.618,5.7654047538283e-10
"Rraga",3.29870038856684e-14,-0.256636500746716,0.895,0.963,6.07653598577898e-10
"Psmd14",3.64738162551945e-14,-0.306561462090072,0.677,0.794,6.71884169236939e-10
"Dusp1",3.92234156748033e-14,-0.375609096627897,0.743,0.941,7.22534540145552e-10
"Uqcrc1",4.09383632758419e-14,-0.291724310913586,0.81,0.846,7.54125589904284e-10
"Cyr61",4.48749609299362e-14,-0.873745946292679,0.149,0.368,8.26641655290355e-10
"Eno1",5.46465114309706e-14,-0.251289365552183,0.964,0.985,1.00664338706991e-09
"Ndufs2",7.13923190421825e-14,-0.254490256539271,0.842,0.897,1.31511790907604e-09
"Ckb",8.36483637045245e-14,-0.267387600735355,0.985,1,1.54088650780105e-09
"Uqcrc2",9.62972431183141e-14,-0.285825442440614,0.828,0.853,1.77389151548246e-09
"Rabac1",9.86825818133648e-14,-0.250808207213469,0.956,0.971,1.81783183958399e-09
"Tle4",2.23533267419473e-13,-0.474678146080405,0.362,0.529,4.11770631913412e-09
"Sdhb",2.34352474164914e-13,-0.270157729225782,0.852,0.919,4.31700692659188e-09
"Junb",2.46301942592229e-13,-0.305040547106731,0.978,0.993,4.53712808449145e-09
"Syt6",2.63892480727986e-13,-0.455854554522493,0.099,0.338,4.86116338749024e-09
"Slc25a5",2.77381044747643e-13,-0.280307898429317,0.801,0.831,5.10963622529634e-09
"Cldnd1",2.81145387356599e-13,-0.266496669613564,0.905,0.949,5.1789791804959e-09
"Psmd13",3.9961467467043e-13,-0.259567889483513,0.647,0.772,7.36130192210398e-09
"Npas4",4.84920033309326e-13,-0.423977940299384,0.702,0.919,8.93271193359109e-09
"Cct8",5.53485377689704e-13,-0.262758030409259,0.893,0.963,1.0195754142422e-08
"Psmc3",6.114939120977e-13,-0.250907685258494,0.853,0.926,1.12643293547517e-08
"Plxna2",6.70097337276303e-13,-0.254525002291299,0.879,0.926,1.23438630499668e-08
"Psmb3",7.04483216039349e-13,-0.268266938108693,0.727,0.809,1.29772853226608e-08
"Rala",7.25760098261272e-13,-0.259833018950749,0.822,0.919,1.33692267700709e-08
"Bcl2",7.29071766981995e-13,-0.307822732025845,0.487,0.669,1.34302310195753e-08
"Rnf152",8.64879932356719e-13,-0.377486184453261,0.086,0.324,1.59319532339431e-08
"Psmc4",9.35248503907585e-13,-0.261378226485117,0.64,0.794,1.72282126904816e-08
"Nxph3",1.01536387396112e-12,-0.498275459876176,0.218,0.5,1.87040179222378e-08
"Cct3",1.15175007468059e-12,-0.276431524341464,0.669,0.735,2.12163881256911e-08
"Clu",1.35658241084781e-12,-0.291221882645442,0.691,0.801,2.49896045902275e-08
"Psma6",1.6151884810278e-12,-0.275455236849424,0.742,0.846,2.9753387009013e-08
"Prpf19",1.84587586947917e-12,-0.258983317306346,0.732,0.824,3.40028793916758e-08
"Psmb6",2.06807081627239e-12,-0.271691348725375,0.864,0.919,3.80959325065536e-08
"Arc",2.16451033625643e-12,-0.323372499990054,0.818,0.941,3.98724449041796e-08
"Ppp1r1b",2.43874687701883e-12,-0.362539779563654,0.282,0.485,4.49241562215638e-08
"Mgst3",3.1320365723391e-12,-0.263215249560223,0.873,0.949,5.76952456990586e-08
"Nfia",3.23913331145401e-12,-0.35419016589758,0.435,0.5,5.96680747302943e-08
"Garnl3",4.60098215630795e-12,-0.286359563665961,0.614,0.794,8.47546923013488e-08
"Lmo3",5.06727713834729e-12,-0.355040752762519,0.485,0.581,9.33443121654955e-08
"Cct2",5.78810205674909e-12,-0.253507309199968,0.871,0.949,1.06622627987375e-07
"Lmo1",6.55061494243145e-12,-0.348961586174181,0.278,0.412,1.2066887785453e-07
"Scg3",8.11844210616306e-12,-0.258988519188477,0.646,0.706,1.4954982203763e-07
"Cxcl12",9.63399656880491e-12,-0.362390981333722,0.318,0.551,1.77467850793955e-07
"Arhgap25",1.28333687373094e-11,-0.331212438483365,0.219,0.419,2.36403485509976e-07
"Adora1",1.47136638376131e-11,-0.285276154075575,0.828,0.919,2.71040401552671e-07
"Wasf3",1.49390938318177e-11,-0.256177162185059,0.681,0.765,2.75193047475913e-07
