"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",2.06929709002461e-285,1.32580665720263,0.939,0.601,3.81185216953433e-281
"Crym",2.34679750060429e-239,-0.861234397279642,0.722,0.99,4.32303567586317e-235
"Nrn1",1.15928206175964e-219,1.01247803610359,0.933,0.601,2.13551348596744e-215
"Nptxr",8.90367065929495e-217,0.938191125209819,0.972,0.635,1.64014517214872e-212
"Slc30a3",8.87070141256061e-197,0.918665249495987,0.812,0.069,1.63407190720779e-192
"Rprm",6.25018834975968e-193,-1.37999260689599,0.462,0.88,1.15134719590923e-188
"Nrip3",1.35702485375249e-183,-0.841964652848038,0.395,0.976,2.49977548309746e-179
"Bcl11b",5.7315832621812e-175,-0.810424865912452,0.451,0.982,1.0558149527264e-170
"Ccdc12",1.03272125989119e-173,-0.623937386424897,0.813,0.957,1.90237583284556e-169
"Camk2d",2.75146299275595e-171,0.900753224070034,0.895,0.287,5.06846997895573e-167
"Cnr1",8.89566309472029e-164,0.875471957657623,0.914,0.395,1.63867009867842e-159
"Ptprk",1.07027659879059e-162,0.698842672335838,0.745,0.067,1.97155652263215e-158
"Lmo3",1.03440064342297e-160,-0.684380496478105,0.485,0.984,1.90546942524946e-156
"Nfia",8.69457742195161e-160,-0.833041749130999,0.435,0.912,1.60162810689771e-155
"Syt6",1.3946577234912e-158,-0.89463038620662,0.099,0.743,2.56909899244314e-154
"Nwd2",6.08781834944989e-158,0.751571113514093,0.9,0.383,1.12143701815216e-153
"C1ql3",8.31498862070317e-158,0.86631247870703,0.925,0.389,1.53170405381973e-153
"Lmo1",4.7952649999033e-156,-0.815082863565676,0.278,0.859,8.83335765632188e-152
"Ubb",2.25482723582789e-152,-0.584159531177015,1,1,4.15361725111856e-148
"Foxp2",4.83999660655047e-152,-0.940741138455388,0.204,0.821,8.91575774892662e-148
"Nfib",3.30808513405344e-149,-0.580338103474386,0.835,1,6.09382362543983e-145
"Cpne5",1.53694966668196e-145,0.665450785541949,0.844,0.232,2.83121498099484e-141
"Ldhb",1.1887708243872e-142,-0.617974080196776,0.913,0.98,2.18983473560367e-138
"Uchl1",2.05800303557395e-140,-0.47140080502523,0.996,0.998,3.79104739183077e-136
"Hs3st4",3.26181243525698e-140,-0.954968442159106,0.393,0.88,6.00858468698688e-136
"Pcdh15",3.38257010120262e-139,0.683468378796388,0.769,0.153,6.23103238342535e-135
"Sema5a",6.15016202979208e-136,-0.902103940874927,0.123,0.731,1.132921347508e-131
"Plcb4",1.48464122066609e-134,-0.752951060879494,0.421,0.876,2.73485759258901e-130
"Ndn",1.41161141739602e-133,-0.62170775172404,0.971,0.994,2.6003293919852e-129
"Ifi27",2.98392667098515e-132,-0.761365468846696,0.206,0.788,5.49669132062174e-128
"Rnf152",3.51820300782555e-131,-0.806109597559543,0.086,0.662,6.48088176071545e-127
"Tle4",1.37605980140814e-130,-0.790144225837918,0.362,0.866,2.53483976017393e-126
"Ccl27a",1.75023913897552e-130,-0.427545977000567,0.962,0.998,3.22411551790681e-126
"Col12a1",5.17235847639554e-130,-0.784154953560564,0.105,0.66,9.52800154936822e-126
"Fez1",5.74210327598129e-128,-0.491266768091597,0.883,0.986,1.05775284446851e-123
"Stum",1.32010173791521e-127,0.623550902312801,0.851,0.246,2.43175941141362e-123
"Cxcl12",8.90796916869838e-127,-0.729002100373541,0.318,0.851,1.64093700056593e-122
"Car10",1.3379923993422e-126,0.650114910160755,0.922,0.55,2.46471579882826e-122
"Nos1ap",7.18935528789086e-126,-0.491215668982816,0.895,0.982,1.32435113758238e-121
"Mdh1",4.59444986282479e-123,-0.482387556177572,0.993,0.998,8.46343609230955e-119
"Necab1",6.32897648059938e-123,0.662234053495678,0.924,0.587,1.16586075749121e-118
"Ntm",8.20104264561929e-123,0.644901299651577,0.956,0.652,1.51071406574953e-118
"Sla",1.99869281892811e-122,-0.595425897410206,0.086,0.648,3.68179204174747e-118
"Kcnab1",1.02995165410925e-120,0.607410554442438,0.851,0.305,1.89727394203465e-116
"Sparcl1",1.16064379238577e-120,-0.472750470072978,0.955,0.998,2.13802192995384e-116
"Rabac1",1.01025256764409e-119,-0.439116844143784,0.956,0.994,1.86098625485718e-115
"Calm2",1.21395782570864e-119,-0.280895564881067,0.999,1,2.23623171073788e-115
"Ckb",3.445954692513e-119,-0.49046432144632,0.985,0.998,6.34779313907819e-115
"Rimbp2",7.81612019764393e-118,0.61363905224381,0.934,0.595,1.43980750160799e-113
"Camk2n1",2.96327653383762e-117,0.464649747704569,1,0.998,5.45865170298228e-113
"Psma4",3.7452856182313e-117,-0.577579566368914,0.709,0.9,6.89919063734387e-113
"Ppp1r1b",5.17948398801584e-117,-0.649910108194682,0.282,0.813,9.54112745432397e-113
"Prdx1",1.3553251867961e-115,-0.485398973190501,0.888,0.967,2.4966445265971e-111
"Gapdh",2.17308815421706e-113,-0.559570951144878,0.99,0.998,4.00304568888324e-109
"Sebox",3.23810943658639e-113,-0.572645641930172,0.038,0.517,5.9649213931358e-109
"Hsp90ab1",1.4045518407412e-112,-0.448588613317965,1,1,2.58732494582937e-108
"Rwdd2a",3.2020472441116e-112,-0.710647451549904,0.394,0.825,5.89849122837798e-108
"Arpc3",6.3452634318431e-111,-0.415263560863687,0.97,0.988,1.16886097677982e-106
"Mdh2",1.74597524750012e-109,-0.501273721575115,0.924,0.974,3.21626100341998e-105
"Wnt4",3.31898697919589e-109,0.619881852633909,0.706,0.151,6.11390591437675e-105
"Cdh10",4.58001297683618e-109,0.547464421867812,0.828,0.326,8.43684190462994e-105
"Atp5c1",2.70359794948073e-108,-0.357082435749092,0.984,0.996,4.98029778273845e-104
"Nxph3",1.5918256343772e-107,-0.683633741831834,0.218,0.772,2.93230200108625e-103
"Hsp90aa1",2.32683599304508e-107,-0.371015811263623,0.999,1,4.28626458278834e-103
"Prdx2",3.79771628649237e-107,-0.372389349702813,0.971,0.994,6.9957731713476e-103
"Glra2",1.30555352390489e-106,-0.561336848681416,0.192,0.741,2.4049601463852e-102
"Srgap3",3.97289400339354e-106,0.5295298742792,0.906,0.436,7.31846804365123e-102
"Vdac3",4.80381713032271e-106,-0.378243214620963,0.959,0.992,8.84911153576747e-102
"Auts2",5.46606057769034e-105,0.499179302104549,0.952,0.798,1.00690301901634e-100
"Psma6",1.15314881936366e-103,-0.475857186835433,0.742,0.916,2.12421544014979e-99
"Cyr61",1.35133133776287e-103,-1.14250344711771,0.149,0.656,2.48928745729299e-99
"Psmb6",4.91903293146514e-103,-0.428292708436694,0.864,0.947,9.06135056305193e-99
"Mef2c",6.70588235378737e-103,0.402403072202948,1,1,1.23529058839117e-98
"Ckmt1",7.67874409763179e-103,-0.469104924431165,0.825,0.961,1.41450145022475e-98
"Ramp3",7.86516123187515e-103,-0.542974466968492,0.641,0.933,1.44884135052372e-98
"Atp5f1",1.35831853335092e-102,-0.368777535246766,0.992,1,2.50215857028572e-98
"Tecr",1.58598952433508e-102,-0.439393353921689,0.973,0.994,2.92155130277765e-98
"Efhd2",2.30427290736952e-102,-0.472143527710005,0.975,0.988,4.24470112266539e-98
"Fndc5",6.54208348773611e-102,0.564962019749435,0.726,0.202,1.20511719927587e-97
"Sdhb",6.64561744792952e-101,-0.442686607312291,0.852,0.969,1.2241891900831e-96
"Glul",3.42629671628102e-100,-0.614170311482671,0.442,0.819,6.31158118106126e-96
"Cyth2",1.46415047334793e-99,-0.474112216194638,0.736,0.894,2.69711158695422e-95
"Pdzrn4",5.30477479244168e-98,-0.517119599227909,0.312,0.802,9.77192564515682e-94
"Rab26",9.35637035103722e-98,-0.445823683653565,0.791,0.914,1.72353698236457e-93
"Gnb2",1.11036230913502e-97,-0.343415586553068,0.986,0.992,2.04539840965761e-93
"Tmsb10",1.6161116214624e-96,-0.473271654846042,0.943,0.998,2.97703921789589e-92
"Ddah1",3.95462351716986e-96,-0.743393758337367,0.181,0.697,7.2848119809786e-92
"Epha4",4.09863817610157e-96,0.5538875239968,0.951,0.864,7.5501013841967e-92
"Nr2f1",5.04034169474456e-96,0.492336621339123,0.943,0.778,9.28481343588895e-92
"Atp1b2",1.31462365559432e-95,0.66765717334573,0.738,0.289,2.4216682359703e-91
"Kcnip4",1.3226927395585e-95,0.507872567244562,0.874,0.456,2.4365322955407e-91
"Ajap1",3.41157141591762e-95,0.507151346735986,0.756,0.218,6.28445570526186e-91
"Psmb5",5.14967739931772e-95,-0.426625901486793,0.892,0.969,9.48622073728317e-91
"Slc25a5",1.08191725836454e-94,-0.475791069404684,0.801,0.953,1.99299978163333e-90
"Slc39a10",1.33417418499448e-94,0.377662098047302,0.996,0.971,2.45768226617834e-90
"Bok",1.34445637801736e-94,0.622344859170001,0.755,0.297,2.47662309394578e-90
"Slc24a3",1.96405553361756e-94,0.697837472975684,0.63,0.13,3.6179866984769e-90
"Psmb1",4.36473311722815e-94,-0.40271220512095,0.929,0.982,8.04027487524597e-90
"Tusc3",5.24698424911715e-94,-0.37794147101359,0.96,0.988,9.6654696852987e-90
"Itm2b",1.01951236922212e-93,-0.414506084248,0.993,1,1.87804373534406e-89
"Trp53i11",1.39919357181248e-93,0.647808018722031,0.662,0.147,2.57745447863576e-89
"Tmem178",4.66556051786245e-93,-0.490658070761119,0.645,0.937,8.59442902995443e-89
"Igfbp4",1.40146501645856e-92,-0.868043227000689,0.056,0.481,2.58163870681831e-88
"Stmn4",3.54297019788792e-92,-0.304075019106699,0.993,0.998,6.52650540152934e-88
"Park7",6.74662902082005e-92,-0.334913297804755,0.961,0.98,1.24279653192526e-87
"Slc25a3",1.34426531096135e-91,-0.360733270302857,0.994,0.998,2.4762711293219e-87
"Ina",2.10292605238045e-91,-0.394805679671032,0.966,0.998,3.87380008109002e-87
"Tagln3",2.3527307390325e-91,-0.391640180026055,0.993,0.994,4.33396529437178e-87
"Psmb2",3.42419914563211e-91,-0.457874436144897,0.699,0.921,6.30771724616891e-87
"Arpc1a",8.52747045255226e-91,-0.349642683568922,0.951,0.99,1.57084533206465e-86
"Dscaml1",9.1401422877946e-91,-0.509040679031624,0.218,0.717,1.68370561083464e-86
"Anp32a",9.48044068041991e-91,-0.351686976754678,0.971,0.994,1.74639197774015e-86
"Pkib",1.30084083174492e-90,0.672798814825998,0.701,0.218,2.39627889615732e-86
"Psmb3",1.5033738876786e-90,-0.464643737867719,0.727,0.927,2.76936503849275e-86
"Myl6",1.57483434340872e-90,-0.298615359111071,0.997,0.998,2.90100234399321e-86
"Rprml",5.63682813207838e-90,-0.36393820624698,0.952,0.986,1.03836011021016e-85
"Mgst3",2.52456621942444e-89,-0.423616323613704,0.873,0.974,4.65050343280176e-85
"Slc2a13",6.73145363404511e-89,0.519263342918622,0.813,0.377,1.24000107392745e-84
"Garnl3",1.66810410478749e-88,-0.491650317057403,0.614,0.919,3.07281457142903e-84
"Cuedc2",2.13648728356506e-88,-0.430903023702872,0.841,0.961,3.9356232250552e-84
"Syt17",3.28026294858682e-88,0.42795232020375,0.736,0.218,6.04257237759177e-84
"Psmb4",1.31150241928097e-87,-0.380066730990355,0.885,0.982,2.41591860655747e-83
"Wls",1.69794032281495e-87,0.567406956915219,0.548,0.073,3.12777586865742e-83
"Suclg1",2.02354051923414e-87,-0.428677412972054,0.787,0.943,3.72756399048121e-83
"Mgat5",4.53014235169236e-87,0.517410951055443,0.813,0.399,8.3449752260525e-83
"Slc25a4",5.87801219327236e-87,-0.368632991420923,0.999,1,1.0827886261227e-82
"Ndufs3",7.47496889600732e-87,-0.431832209880612,0.777,0.937,1.37696402033351e-82
"Ndufc2",2.23160132734111e-86,-0.344110953108919,0.966,0.986,4.11083280509506e-82
"Mgat4c",7.62868835228064e-86,-0.523225245844945,0.466,0.809,1.40528068137362e-81
"Hpca",2.37210242994846e-85,0.482833915585578,0.961,0.79,4.36964988620806e-81
