"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Crym",1.01164775432912e-178,-1.00228983067871,0.722,1,1.86355632824966e-174
"Ccdc12",1.3714772340265e-174,-0.774734355113814,0.813,0.974,2.52639821280021e-170
"Rprm",9.97399547548571e-174,-1.63589246312043,0.462,0.944,1.83730970653922e-169
"Ubb",1.09948138600751e-169,-0.749641822224309,1,1,2.02535466116444e-165
"Cck",1.34542214883955e-167,1.42629085468616,0.939,0.592,2.47840214037733e-163
"Uchl1",4.67832657329878e-149,-0.608625795083592,0.996,1,8.61794538067368e-145
"Ndn",2.20128002903485e-140,-0.796902023386974,0.971,0.995,4.0549779414851e-136
"Ldhb",1.14588310013691e-136,-0.762938876311779,0.913,0.985,2.1108312587622e-132
"Gapdh",1.91948959197901e-132,-0.734337675653369,0.99,1,3.53589177738453e-128
"Nptxr",4.1960910489874e-129,1.04078848485639,0.972,0.587,7.72961932133969e-125
"Mdh1",5.8582822525425e-128,-0.621493380347498,0.993,1,1.07915417374085e-123
"Hsp90ab1",7.05940582823452e-128,-0.576905847013839,1,1,1.30041314761908e-123
"Syt6",9.26457232288283e-124,-0.999410611507039,0.099,0.903,1.70662686759825e-119
"Arpc3",1.14258148063504e-123,-0.557337645988441,0.97,0.995,2.10474934547781e-119
"Fez1",3.23937677012968e-122,-0.631592509968763,0.883,0.99,5.96725594825589e-118
"Nfia",1.96996896387607e-120,-0.969141366859747,0.435,0.959,3.6288798283561e-116
"Ifi27",3.92796556310737e-120,-0.966591118180051,0.206,0.964,7.23570536380009e-116
"Foxp2",6.86213790905765e-120,-1.13991419780145,0.204,0.939,1.26407442422751e-115
"Psma4",1.80457617480558e-119,-0.726035157422015,0.709,0.949,3.32420977160936e-115
"Hsp90aa1",4.97402926532231e-117,-0.500750578327175,0.999,1,9.16265930965023e-113
"Ckb",6.12573480220415e-117,-0.616587252994508,0.985,1,1.12842160791403e-112
"Tagln3",1.30979447694064e-114,-0.540372678838037,0.993,0.995,2.41277240597234e-110
"Plcb4",2.85160717679556e-114,-0.928409858448981,0.421,0.923,5.25294558037511e-110
"Prdx1",4.8362230650542e-114,-0.630009214984197,0.888,0.99,8.90880650813634e-110
"Itm2b",6.56895778092065e-114,-0.576877384288397,0.993,1,1.21006771282339e-109
"Slc25a3",1.58683535844834e-113,-0.505407724973536,0.994,1,2.92310941379769e-109
"Slc30a3",2.444116938596e-113,0.973818951770313,0.812,0.015,4.50230781258769e-109
"Rabac1",8.3816771899534e-113,-0.558386576311909,0.956,1,1.54398875516132e-108
"Lmo1",7.74089889812605e-112,-0.949051784589793,0.278,0.893,1.4259509860238e-107
"Nrn1",4.34099296371459e-111,1.04755429064605,0.933,0.51,7.99654313845864e-107
"Mdh2",4.16184173477694e-110,-0.616339740937124,0.924,0.985,7.6665286596326e-106
"Slc25a4",1.74228683859158e-109,-0.513815517157402,0.999,1,3.20946658536955e-105
"Gnb2",4.84730141063516e-108,-0.461705028939801,0.986,1,8.92921392853103e-104
"C1ql3",1.33791317381848e-107,1.05369060988084,0.925,0.306,2.46456985749102e-103
"Prdx2",2.96358676930121e-105,-0.480111696181851,0.971,0.995,5.45922318772975e-101
"Calm2",2.29790023836234e-104,-0.34781973954141,0.999,1,4.23296202908726e-100
"Cyth2",4.11340963882709e-104,-0.624564804306755,0.736,0.959,7.57731189568339e-100
"Sdhb",4.93301046982801e-104,-0.571835315206432,0.852,1,9.08709858647017e-100
"Vdac3",2.77593222074681e-103,-0.494205808669349,0.959,1,5.1135447438377e-99
"Atp5c1",2.13334571488896e-102,-0.460060220493145,0.984,1,3.92983614139695e-98
"Hs3st4",2.95520026855076e-102,-1.08723287044563,0.393,0.949,5.44377441469736e-98
"Tecr",5.28139498789551e-102,-0.548149433598022,0.973,1,9.72885770720233e-98
"Ccl27a",5.80272892954718e-102,-0.487278934016269,0.962,1,1.06892069611189e-97
"Cnr1",4.27277936462136e-101,0.981797253018719,0.914,0.306,7.87088686756901e-97
"Rab26",6.12944695619591e-99,-0.585167728127415,0.791,0.969,1.12910542380085e-94
"Nrip3",6.29446474260627e-99,-0.8809167386984,0.395,0.985,1.1595033502355e-94
"Tuba1a",1.86792294224596e-98,-0.647518177438909,0.995,0.995,3.44090085191129e-94
"Cpne5",3.48133988903105e-98,0.757512310739361,0.844,0.102,6.41297620958409e-94
"Psma6",8.76228400970027e-98,-0.616071587807651,0.742,0.98,1.61410033742689e-93
"Psmb1",1.01587292995773e-97,-0.527486390694001,0.929,0.99,1.87133952427513e-93
"Psmb6",2.43352598634464e-97,-0.566967365584199,0.864,0.99,4.48279821944546e-93
"Tmem59",4.00228289874252e-97,-0.48498702057846,0.949,0.99,7.3726053277736e-93
"Park7",4.06961223092867e-96,-0.477211075668158,0.961,0.995,7.4966326905937e-92
"Cuedc2",5.67597513182444e-96,-0.56585545118307,0.841,0.974,1.04557137903338e-91
"Itm2c",3.26715327377681e-95,-0.46216313842115,0.998,1,6.01842304562427e-91
"Stum",4.3558484218395e-95,0.816741957956137,0.851,0.117,8.02390837787054e-91
"Rwdd2a",8.28081534058809e-94,-0.84520161185099,0.394,0.923,1.52540899388973e-89
"Psmb5",3.21457886399321e-93,-0.537737257875108,0.892,0.99,5.9215757253619e-89
"Ywhah",8.46173280201805e-93,-0.317872109104266,0.999,1,1.55873579945974e-88
"Atp5f1",1.01382278829193e-92,-0.464070283634462,0.992,1,1.86756295831256e-88
"Camk2d",1.4029445012921e-92,0.940490903301779,0.895,0.26,2.58436406583017e-88
"Sla",1.77400200370424e-92,-0.684824158057041,0.086,0.781,3.26788909102359e-88
"Bcl11b",3.7186781280137e-92,-0.779652858876628,0.451,0.995,6.85017697961404e-88
"Caly",1.13800833262322e-91,-0.459019706016504,0.989,0.995,2.09632514952524e-87
"Rprml",1.9274193660318e-91,-0.482535179539653,0.952,1,3.55049921416719e-87
"Ndufs3",1.97827211071173e-91,-0.566390720801034,0.777,0.99,3.64417505514207e-87
"Ppp1r1b",2.09468170867968e-91,-0.801757305954313,0.282,0.898,3.85861317555884e-87
"Slc25a5",2.81474616346634e-91,-0.589807387334007,0.801,0.985,5.18504390772135e-87
"Myl6",6.70127492157896e-91,-0.400432769024129,0.997,1,1.23444185330406e-86
"Lmo3",8.8295501409219e-91,-0.719229928814906,0.485,0.995,1.62649143145922e-86
"Sparcl1",1.11565062991396e-90,-0.517978342507515,0.955,0.995,2.05514002536451e-86
"Psmb3",2.34063579535539e-90,-0.596445627827016,0.727,0.969,4.31168519862415e-86
"Clta",8.79842923621448e-89,-0.409818483553626,0.993,0.995,1.62075864960307e-84
"Ppia",1.05511695843654e-88,-0.397279063442601,0.997,1,1.94363094913595e-84
"Glul",1.33726322975827e-88,-0.812848908527511,0.442,0.918,2.46337259553771e-84
"Txnl1",2.29065511585597e-88,-0.501830931906435,0.901,0.98,4.21961578891829e-84
"Nos1ap",2.38486634681371e-88,-0.532268010621507,0.895,0.99,4.39316229746553e-84
"Ina",3.4362844561981e-88,-0.547499134551884,0.966,1,6.32997959676252e-84
"Vdac2",4.8825087005786e-88,-0.464458414074392,0.966,1,8.99406927733583e-84
"Cxcl12",1.73327724970836e-87,-0.845730362976255,0.318,0.918,3.19287002168777e-83
"Tusc3",9.95434628786282e-87,-0.464829442681148,0.96,0.995,1.83369012968721e-82
"Cyr61",1.19429514268343e-86,-1.38898152323614,0.149,0.791,2.20001108233715e-82
"Nwd2",1.47466539411601e-86,0.791863843775622,0.9,0.311,2.71648112250111e-82
"Efhd2",3.58355677491154e-86,-0.561090656412567,0.975,1,6.60126993506455e-82
"Sema5a",8.75389733571276e-86,-0.917107532848397,0.123,0.806,1.61255542821165e-81
"Uqcrc1",3.62407854296025e-85,-0.568437375608835,0.81,0.964,6.67591508398707e-81
"Tle4",3.71264862026246e-85,-0.789304281957941,0.362,0.944,6.83907002338549e-81
"Rnf152",1.23217174223322e-84,-0.731525797271341,0.086,0.745,2.26978356636782e-80
"Psma5",1.24428426643826e-84,-0.534814433532606,0.795,0.985,2.29209604720591e-80
"Psmd14",2.08694992185538e-84,-0.582183599924413,0.677,0.923,3.84437045104979e-80
"Psmb2",2.96656998684877e-84,-0.556849199642474,0.699,0.939,5.46471857277412e-80
"Gde1",3.84385278034263e-84,-0.429745190966634,0.989,1,7.08076120666917e-80
"Crip2",3.99704151924685e-84,-0.40310129148225,0.975,0.99,7.36295018260462e-80
"Kcnab1",7.79487577036407e-84,0.703989780651827,0.851,0.173,1.43589406565877e-79
"Ptprk",1.10446837628927e-82,0.725244984696368,0.745,0.056,2.03454119596246e-78
"Ndufc2",1.47107146413822e-82,-0.448110938602737,0.966,1,2.70986074408901e-78
"Aldoa",7.66941697646779e-82,-0.381100392109821,0.999,1,1.41278330123513e-77
"Anp32a",8.21193333198079e-82,-0.443739780474581,0.971,1,1.51272023908418e-77
"Tubb2a",2.19096019185439e-81,-0.660423437565669,0.959,0.98,4.03596776941498e-77
"Scg5",1.57062876975443e-80,-0.426521835682243,0.975,1,2.89325525676463e-76
"Ntm",2.00648041859777e-80,0.766721721104669,0.956,0.622,3.69613757909895e-76
"Hspa8",5.90666210609164e-80,-0.582280976885747,0.999,1,1.08806622656314e-75
"Arpc1a",6.74207995102565e-80,-0.426160549555107,0.951,0.99,1.24195854777844e-75
"Ttc9b",7.4298520946852e-80,-0.416208473061353,0.995,1,1.36865305436196e-75
"Calm1",1.77384705376204e-79,-0.366755998550358,1,1,3.26760365773506e-75
"Col12a1",2.74401840635732e-79,-0.746643525959978,0.105,0.724,5.05475630635082e-75
"Fdps",5.92785624176582e-79,-0.595173942241339,0.734,0.934,1.09197039829568e-74
"Nxph3",1.86897593920691e-78,-0.789244857978951,0.218,0.883,3.44284057761304e-74
"Ogfrl1",3.88711657899674e-78,-0.430299394471131,0.989,1,7.1604574501699e-74
"Tmsb10",1.13076431132375e-77,-0.599291632353168,0.943,1,2.08298093788947e-73
"Suclg1",1.66206364537299e-77,-0.517584261908528,0.787,0.98,3.06168744114159e-73
"Stk32c",5.03415786265115e-77,-0.472584897869817,0.95,0.995,9.27342219878969e-73
"Tceal5",7.96026439692522e-77,-0.453481145623883,0.881,0.985,1.46636030455759e-72
"Psmb4",1.22303279436452e-76,-0.465457972210167,0.885,1,2.25294871049887e-72
"Hagh",1.2761387172102e-76,-0.49321185689224,0.818,1,2.35077513097292e-72
"Ramp3",1.5522941326005e-76,-0.614271738172601,0.641,0.969,2.85948102166338e-72
"Capza2",1.55628215952138e-76,-0.334886908124128,0.989,1,2.86682736605433e-72
"Atp5o.1",2.20144648410065e-76,-0.39382249923784,0.962,1,4.0552845683618e-72
"Stmn4",2.28507452565393e-76,-0.371059812402395,0.993,1,4.2093357837071e-72
"Cd81",2.50273710564067e-76,-0.406697645194301,0.964,1,4.61029202230067e-72
"Mgst3",3.79659414287983e-76,-0.522936005782606,0.873,0.995,6.99370607059893e-72
"Ndufa11",5.93048385972398e-76,-0.424886070436136,0.926,0.995,1.09245443179975e-71
"Taldo1",1.11237644007242e-75,-0.593753603193046,0.58,0.908,2.0491086402574e-71
"Ckmt1",1.15523490374886e-75,-0.543022157424002,0.825,0.98,2.12805821619578e-71
"Ptma",1.30510536842039e-75,-0.350211011577951,0.998,1,2.4041345991672e-71
"Psmd6",1.94242608955074e-75,-0.632947517756369,0.571,0.898,3.57814309956141e-71
"Eif4a1",3.56091154875033e-75,-0.411729965879353,0.962,1,6.55955516395299e-71
"Emc4",9.08316861155686e-75,-0.49622707627406,0.786,0.939,1.67321048993489e-70
"Ppa1",2.00992740814375e-74,-0.523629912751758,0.788,0.949,3.70248727854161e-70
"Nfib",2.88930208191537e-74,-0.560190984630336,0.835,1,5.3223833650963e-70
"Tmem50a",8.08937358540496e-74,-0.388210626863067,0.975,0.99,1.49014350816745e-69
"Ndufb5",9.48520748963521e-74,-0.357135162730912,0.989,1,1.7472700716657e-69
"Uqcrc2",1.58990346150809e-73,-0.558477484780706,0.828,0.949,2.92876116644405e-69
"Bsg",6.15635065706737e-73,-0.353951608654001,0.993,1,1.13406135453838e-68
"Laptm4a",2.74664233852114e-72,-0.440524063115355,0.886,0.974,5.05958985178979e-68
"Ly6h",3.49747156438613e-72,-0.335867399272306,0.998,1,6.44269236875569e-68
"Sebox",4.20279028564e-72,-0.639384907693974,0.038,0.566,7.74195998517744e-68
"Tubb4b",5.09228283561584e-72,-0.596035655487736,0.887,0.954,9.38049421148795e-68
"Atp5b",7.81847180598256e-72,-0.444508872894484,0.995,1,1.44024069138005e-67
"Naca",9.8225147747944e-72,-0.324305847045042,0.99,1,1.80940544666488e-67
"Got1",1.09131307713477e-71,-0.395001864274067,0.98,0.995,2.01030781938996e-67
"Myl12b",1.38848654704377e-71,-0.37647277781502,0.98,0.99,2.55773106830932e-67
"Ddah1",4.77358147227467e-71,-0.794373673598229,0.181,0.821,8.79341443007718e-67
"Kcnip4",9.46587822769986e-71,0.628510790092515,0.874,0.311,1.74370942832459e-66
"Gstm5",1.3579654615773e-69,-0.545757801313719,0.654,0.934,2.50150817677154e-65
"Srgap3",1.52574885971465e-69,0.651044707019435,0.906,0.403,2.81058197448036e-65
"Rraga",3.02909803182955e-69,-0.451297655539917,0.895,0.99,5.57990148443321e-65
"Cox5a",4.4996228622085e-69,-0.385925295415558,0.987,1,8.28875527447428e-65
"Ndufv1",7.78093525419505e-69,-0.513687791875855,0.802,0.954,1.43332608317527e-64
"Cct7",1.31523387131846e-68,-0.52502308704417,0.824,0.949,2.42279231435573e-64
"Ajap1",1.79447713683396e-68,0.632832703797566,0.756,0.112,3.30560633376183e-64
"Psmc2",4.67821803988011e-68,-0.610557247948619,0.614,0.893,8.61774545126315e-64
"Psmd7",5.24782509867895e-68,-0.397905972267333,0.949,0.99,9.6670186142765e-64
"Btf3",7.1533031873316e-68,-0.357954953732623,0.968,1,1.31770998013835e-63
"Tmed9",1.52995858605438e-67,-0.378234867299591,0.966,0.995,2.81833671137077e-63
"Mgat4c",2.23887770481897e-67,-0.608192715776576,0.466,0.898,4.12423662004702e-63
"3110035E14Rik",1.72340587757705e-66,-0.444261200948586,0.966,1,3.17468596708469e-62
"Dnaja1",1.72957417673876e-66,-0.355186110323936,0.998,1,3.18604859097046e-62
"Sar1b",1.96207026433315e-66,-0.431153512903105,0.782,0.974,3.61432963392809e-62
"Rheb",1.14220505692196e-65,-0.355890287061112,0.99,1,2.10405593535594e-61
"Lsp1",1.72482385351386e-65,-0.686397430974586,0.093,0.617,3.17729802055789e-61
"Ahsa1",3.65584795251102e-65,-0.451472072221527,0.805,0.939,6.73443751332055e-61
"Pcdh15",5.26509237658792e-65,0.685179928859918,0.769,0.184,9.6988266669126e-61
"Arl4d",9.14645312867611e-65,-1.12060431445209,0.453,0.801,1.68486813083343e-60
"Polr1d",9.38179279746861e-65,-0.349387399974346,0.962,1,1.72822005122169e-60
"H3f3a",1.28044836688454e-64,-0.313399626000281,0.988,1,2.35871393663802e-60
"Atp6ap2",1.56231046072272e-64,-0.435293312052391,0.984,0.995,2.87793209969732e-60
"Tmem178",2.67163419383653e-64,-0.544173500083177,0.645,0.949,4.92141734846627e-60
"Atp6v1e1",2.87020855745651e-64,-0.307487206316025,0.995,1,5.28721118369064e-60
"Arl6ip1",3.8938653830952e-64,-0.332214728044504,0.999,1,7.17288942219967e-60
"Stmn1",6.39881228538136e-64,-0.355393936987362,0.998,1,1.1787252110901e-59
