"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",0,1.48239848002391,0.939,0.524,0
"C1ql3",0,1.19884883161426,0.925,0.291,0
"Nptxr",0,1.09456079787077,0.972,0.528,0
"Ubb",0,-0.731049042891233,1,1,0
"Ccdc12",0,-0.805875651635894,0.813,0.999,0
"Crym",0,-1.01643918849879,0.722,0.996,0
"Syt6",0,-1.07122487122819,0.099,0.956,0
"Foxp2",0,-1.18052752592871,0.204,0.981,0
"Rprm",0,-1.68086650839172,0.462,0.984,0
"Uchl1",1.15901539398755e-305,-0.605958399576794,0.996,1,2.13502225726446e-301
"Hs3st4",2.32493708118717e-299,-1.14439081938597,0.393,0.99,4.28276659725489e-295
"Nrn1",1.09124595505737e-292,1.06940987704625,0.933,0.488,2.01018417381119e-288
"Cnr1",1.67480588467574e-291,1.04416076128696,0.914,0.201,3.08515992016118e-287
"Slc30a3",8.50990990152603e-290,0.969985673018683,0.812,0.022,1.56761050296011e-285
"Ndn",1.78719134484072e-281,-0.818350861338121,0.971,0.999,3.29218517633109e-277
"Nfia",1.95755449486825e-279,-1.00297819820451,0.435,0.965,3.60601113499681e-275
"Stum",6.54589007404005e-278,0.889778952604048,0.851,0.072,1.20581841053892e-273
"Sema5a",4.14030402454406e-274,-0.994345311084818,0.123,0.908,7.62685404361262e-270
"Plcb4",3.26269153495457e-272,-1.02185771144845,0.421,0.958,6.01020407653982e-268
"Calm2",1.01809690167137e-270,-0.357940668285721,0.999,1,1.87543630256883e-266
"Ifi27",2.17520252378974e-266,-0.941881036627338,0.206,0.937,4.00694056907308e-262
"Tagln3",3.11536914113592e-266,-0.55814055402369,0.993,1,5.73882149488649e-262
"Tle4",7.41549211475731e-265,-0.901529855172746,0.362,0.974,1.36600780245944e-260
"Hsp90ab1",7.93958130838498e-264,-0.587627828273158,1,1,1.4625502728176e-259
"Rabac1",1.93390173978141e-258,-0.552029320972969,0.956,1,3.56244039485133e-254
"Arpc3",7.42641978686225e-257,-0.538414390699906,0.97,1,1.36802078893789e-252
"Gapdh",2.08519150042672e-256,-0.729844209986267,0.99,1,3.84113126293605e-252
"Prdx1",2.73790623720063e-256,-0.630445963067647,0.888,0.999,5.04349707954727e-252
"Psma4",4.10117655697596e-251,-0.749708548765999,0.709,0.975,7.55477733560541e-247
"Ldhb",8.14679913243269e-251,-0.738091106654003,0.913,0.996,1.50072186818543e-246
"Ttc9b",1.00245769930834e-250,-0.479012995813577,0.995,1,1.84662732789589e-246
"Nxph3",2.39281339764676e-250,-0.85166257452016,0.218,0.952,4.4078015598051e-246
"Nrip3",2.07142207346678e-249,-0.906265126007358,0.395,0.984,3.81576660153315e-245
"Fez1",5.14943396616422e-249,-0.594423462730613,0.883,0.999,9.48577230907111e-245
"Sla",1.7174128749245e-247,-0.798430195802599,0.086,0.831,3.16364625689842e-243
"Cpne5",3.37688562559135e-247,0.763134284568484,0.844,0.111,6.22056101090183e-243
"Rnf152",6.08837931018086e-246,-0.872482989181004,0.086,0.825,1.12154035272842e-241
"Kcnab1",1.772763007591e-241,0.769670772089085,0.851,0.145,3.26560673628339e-237
"Ckb",8.43628064357849e-239,-0.613377971683513,0.985,0.999,1.55404725735359e-234
"Rab26",2.12645806155243e-236,-0.59950816261372,0.791,0.987,3.91714839518573e-232
"Lmo1",1.83415982041291e-235,-0.970385104613522,0.278,0.899,3.37870580518263e-231
"Psmb6",2.84133016698314e-235,-0.583049726651662,0.864,0.994,5.23401430059964e-231
"Rprml",7.36869376720475e-235,-0.50971290766475,0.952,0.999,1.35738707885679e-230
"Lmo3",4.88810086446828e-234,-0.722534889990801,0.485,0.997,9.00437060243701e-230
"Itm2c",6.58489314848705e-234,-0.4895369174716,0.998,1,1.2130031668828e-229
"Mdh1",2.34132467230249e-231,-0.619000097868325,0.993,1,4.31295417884842e-227
"Psmb5",4.11397551670408e-230,-0.585696216445438,0.892,0.994,7.57835429932058e-226
"Nwd2",9.27751865689205e-230,0.81016366486882,0.9,0.308,1.70901171178608e-225
"Prdx2",4.05859744612293e-229,-0.476891068714823,0.971,1,7.47634235550306e-225
"Gnb2",3.73721975513096e-228,-0.463162899345942,0.986,0.999,6.88433251092674e-224
"Psmb1",3.8368640292827e-228,-0.550400130843965,0.929,0.991,7.06788722834166e-224
"Ntm",9.36713003102724e-228,0.816774204977473,0.956,0.566,1.72551902301553e-223
"Rwdd2a",1.43178444446013e-227,-0.884052325701868,0.394,0.939,2.63749012514001e-223
"Ppp1r1b",2.61682213205471e-226,-0.864702227459926,0.282,0.908,4.82044804945798e-222
"Ccl27a",1.68550097593543e-222,-0.487820239904612,0.962,0.999,3.10486134777065e-218
"Srgap3",2.68728669003144e-222,0.73673922935885,0.906,0.286,4.95025081170691e-218
"Bcl11b",3.41349360979368e-222,-0.768971971216522,0.451,0.982,6.28799657860094e-218
"Ramp3",5.06351448160445e-220,-0.704547064056761,0.641,0.988,9.32750002656356e-216
"Psma6",6.79046601808594e-220,-0.629996869971015,0.742,0.975,1.25087174519161e-215
"Syt17",1.04982041519123e-219,0.745542522997251,0.736,0.041,1.93387418682377e-215
"Efhd2",1.31630036755245e-219,-0.582642172120758,0.975,0.999,2.42475690706836e-215
"Park7",2.65167289502576e-219,-0.462684916197807,0.961,0.999,4.88464663992695e-215
"Camk2d",3.9145135441201e-219,0.909477356624201,0.895,0.282,7.21092539962364e-215
"Vdac3",5.38928574559643e-219,-0.471808144143153,0.959,0.994,9.92760327196318e-215
"Col12a1",9.80961933688036e-219,-0.832692091439836,0.105,0.793,1.80702997804673e-214
"Hsp90aa1",6.37782364535831e-218,-0.485391435478406,0.999,1,1.17485889371145e-213
"Itm2b",1.23523478187361e-217,-0.539104948209195,0.993,1,2.27542599168938e-213
"Slc25a4",1.23763582887837e-216,-0.508432601922644,0.999,1,2.27984896037685e-212
"Myl6",1.18382101564038e-214,-0.395895694446494,0.997,1,2.18071669291114e-210
"Atp5c1",2.58195426158973e-214,-0.458276121140057,0.984,1,4.75621794527444e-210
"Sdhb",4.72642994516998e-213,-0.573535603755166,0.852,0.99,8.70655660199761e-209
"Ppia",1.00897287125599e-212,-0.401942482977726,0.997,1,1.85862892614065e-208
"Sparcl1",3.10075734160757e-212,-0.561696741335874,0.955,1,5.7119050989753e-208
"Psmb2",2.87990630974987e-211,-0.606573261939555,0.699,0.959,5.30507541319024e-207
"Ajap1",5.84161073096887e-210,0.696312760149121,0.756,0.069,1.07608311275178e-205
"Cyth2",5.33892248761057e-209,-0.631101545734067,0.736,0.961,9.83482911442743e-205
"Ptprk",9.94911857064156e-208,0.712460701583342,0.745,0.072,1.83272713189788e-203
"Atp5f1",1.49853032340841e-207,-0.463950260749959,0.992,0.999,2.76044270875062e-203
"Clta",4.98763292760004e-206,-0.409669747396266,0.993,1,9.18771861593204e-202
"Ywhah",6.80603062873339e-206,-0.30736617353879,0.999,1,1.25373890211898e-201
