"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",9.0039601471151e-190,-1.50527001832269,0.601,0.985,1.65861949870007e-185
"Nrn1",4.86329136516575e-144,-1.08914632591825,0.601,0.969,8.95866902377184e-140
"Nptxr",2.24947524700042e-142,-1.01340507425956,0.635,0.988,4.14375835249947e-138
"Crym",7.45613989243709e-119,0.954634099115683,0.99,0.581,1.37349552958584e-114
"Nrip3",7.30821370300221e-117,0.997765108811859,0.976,0.335,1.34624604623004e-112
"Ptprk",5.64356908538556e-105,-0.760621999457582,0.067,0.815,1.03960186121887e-100
"Rprm",1.24669089801542e-97,1.60469043853155,0.88,0.396,2.2965293032342e-93
"Camk2d",3.56507650292023e-90,-0.862005064803101,0.287,0.888,6.56722742602936e-86
"Foxp2",8.34726168859964e-90,1.092305213096,0.821,0.131,1.53764907565694e-85
"Cnr1",1.28447482733726e-89,-0.916667397715697,0.395,0.927,2.36613107943797e-85
"C1ql3",2.60869242388935e-88,-0.969269898590616,0.389,0.965,4.80547231404656e-84
"Cpne5",2.7714504230726e-88,-0.747395504823343,0.232,0.888,5.10528882434203e-84
"Bcl11b",7.79006584027699e-88,0.828129470026468,0.982,0.473,1.43500802843742e-83
"Pcdh15",3.22857188626881e-85,-0.697523515554372,0.153,0.823,5.94735227169578e-81
"Hs3st4",1.79245946078532e-84,1.14314264413781,0.88,0.315,3.30188957271264e-80
"Syt6",1.19250770932237e-83,1.00211179924996,0.743,0.073,2.19671845134274e-79
"Sparcl1",8.71990661663741e-83,0.629262401137791,0.998,0.892,1.60629399785078e-78
"Tmsb10",3.34913854488568e-81,0.62076224582041,0.998,0.95,6.16944811353391e-77
"Htr2a",5.68977293658052e-80,-0.762216690274348,0.02,0.615,1.0481130726475e-75
"Lmo3",1.56748425732625e-79,0.677018941044087,0.984,0.646,2.88746275042068e-75
"Slc30a3",2.23190448991853e-79,-0.92995339499844,0.069,0.696,4.11139126087892e-75
"Nwd2",1.35275379221966e-78,-0.663003241030136,0.383,0.9,2.49190776064784e-74
"Car10",3.92853609447811e-78,-0.673142817415928,0.55,0.958,7.23675633963812e-74
"Sema5a",2.2484619234739e-77,1.0818925162526,0.731,0.077,4.14189170923127e-73
"Ccdc12",1.21284131701158e-76,0.6723138687949,0.957,0.842,2.23417499006704e-72
"Nr2f1",7.4281788366278e-76,-0.601215797254574,0.778,0.962,1.36834482349521e-71
"Rimbp2",9.86611422063488e-76,-0.578234720785988,0.595,0.958,1.81743690058315e-71
"Lmo1",1.04390788440284e-75,0.870601362734016,0.859,0.285,1.92298271385847e-71
"Tle4",9.25366040643443e-75,0.903879606755768,0.866,0.323,1.70461678346929e-70
"Camk2n1",3.92116000586215e-74,-0.51594789397488,0.998,0.992,7.22316884679867e-70
"Ramp3",8.87068520007235e-74,0.717315782979319,0.933,0.469,1.63406892070533e-69
"Cdh10",9.04863524830568e-73,-0.593581912997393,0.326,0.892,1.66684909909039e-68
"Nxph3",1.84776873435666e-70,0.845892611473819,0.772,0.131,3.40377478555841e-66
"Kcnab1",4.81829475919028e-70,-0.716911078159127,0.305,0.869,8.87578077590442e-66
"Ubb",4.85449882159044e-70,0.668064386388764,1,1,8.94247227925176e-66
"Ldhb",6.86868991258796e-70,0.706511751078794,0.98,0.904,1.26528136879783e-65
"Nfib",4.27604085573354e-69,0.549273623560569,1,0.915,7.87689486034675e-65
"Unc5d",1.09745629506782e-67,-0.612339701634597,0.045,0.615,2.02162424114443e-63
"Ifi27",1.13506695427439e-67,0.837702067508552,0.788,0.208,2.09090683646885e-63
"Zfpm2",1.83582839971296e-67,0.628517043421551,0.766,0.146,3.38177949511124e-63
"Camk2n2",3.06836752202311e-67,-0.856642783846502,0.305,0.819,5.65223981231877e-63
"Cxcl12",9.48306799644329e-67,0.789147027242899,0.851,0.273,1.74687595562482e-62
"Nfia",5.47595869693674e-66,0.813380622355234,0.912,0.535,1.00872635156272e-61
"Rnf152",3.91004255321012e-65,0.86082970671717,0.662,0.058,7.20268938726836e-61
"Ppp1r1b",4.21216882607639e-65,0.736569234369593,0.813,0.246,7.75923619451533e-61
"Fez1",4.88165191036151e-65,0.547602985084943,0.986,0.885,8.99249098407693e-61
"Ajap1",6.16501835387672e-65,-0.539419702290814,0.218,0.85,1.13565803096763e-60
"Kcnip4",1.63238583225908e-64,-0.582472813427241,0.456,0.927,3.00701794160445e-60
"Stum",2.53648715692551e-64,-0.575902788826356,0.246,0.873,4.67246299177247e-60
"Necab1",8.85595565368738e-64,-0.618211297307886,0.587,0.888,1.63135559096575e-59
"Mgat5",2.94442216285049e-63,-0.600436294777294,0.399,0.865,5.42392006618689e-59
"Ndn",3.64368992616834e-63,0.7234073204246,0.994,0.962,6.7120412129947e-59
"Ccl27a",1.39194963185058e-61,0.45401070412074,0.998,0.973,2.56411041683195e-57
"Cpne9",1.73080348448292e-61,-0.56095808430813,0.016,0.504,3.188313098766e-57
"Rabac1",2.26398321726688e-61,0.482750143929539,0.994,0.962,4.17048348452731e-57
"Fhl1",3.18640428101772e-61,-0.559802075955376,0.206,0.754,5.86967532606275e-57
"Slc39a10",3.34121759040071e-61,-0.389794656301601,0.971,0.996,6.15485692327714e-57
"Rtn4rl1",5.46448634100345e-61,-0.591787520488794,0.155,0.758,1.00661302887625e-56
"Calm2",7.20620304320833e-61,0.301129847426356,1,0.996,1.32745466258941e-56
"Fezf2",3.72268745890938e-60,0.651689797702989,0.896,0.388,6.85756256805697e-56
"Anp32a",1.12613819497712e-59,0.456279624534572,0.994,0.965,2.07445916896735e-55
"Sla",1.18752162324432e-59,0.649459593978302,0.648,0.065,2.18753358217836e-55
"Syt17",1.23678527811926e-59,-0.51091969653703,0.218,0.823,2.2782821608235e-55
"Uchl1",1.25422347914646e-59,0.507397436048356,0.998,1,2.31040507093569e-55
"6430548M08Rik",2.6051247052819e-59,-0.539822234539174,0.609,0.931,4.79890021959979e-55
"Ntm",3.52210439779977e-59,-0.547975115755478,0.652,0.985,6.48806851118695e-55
"Bok",4.03108527970523e-59,-0.676473397366974,0.297,0.781,7.425662193745e-55
"Rwdd2a",5.4234776526215e-59,0.806632887654803,0.825,0.385,9.99058818389406e-55
"Wnt4",3.88983806236587e-58,-0.627627935184837,0.151,0.708,7.16547069468417e-54
"Atp5f1",4.10957884255378e-58,0.437718035161726,1,0.992,7.57025518586833e-54
"Mef2c",5.63647095380897e-58,-0.386847717935204,1,1,1.03829431440115e-53
"Efhd2",9.8976567913021e-58,0.545873951603655,0.988,0.985,1.82324735752576e-53
"Sorbs2",1.13910666521964e-57,-0.384005935481644,0.945,0.996,2.09834838800111e-53
"Tmem178",1.49742927454904e-57,0.588470768228692,0.937,0.569,2.75841446664678e-53
"Lypd1",2.76989346554781e-57,1.01359352091534,0.766,0.177,5.10242075288562e-53
"Fndc5",5.64838568076253e-57,-0.608936028133189,0.202,0.731,1.04048912625327e-52
"Slc2a13",7.13565818763677e-57,-0.567106827058322,0.377,0.865,1.31445959474457e-52
"Ckb",1.02946403170567e-56,0.541127270555828,0.998,0.996,1.89637569280502e-52
"Igfbp6",1.1888386050829e-56,-0.775310327733921,0.222,0.758,2.1899595944232e-52
"Glra2",1.35383645468114e-56,0.609154742931526,0.741,0.162,2.49390213316813e-52
"Psmb6",1.50136155962889e-56,0.489065777719983,0.947,0.862,2.76565812899239e-52
"Nos1ap",2.34358759311867e-56,0.527121760970992,0.982,0.877,4.3171227052839e-52
"Prdx1",3.64087855178871e-56,0.538326450986427,0.967,0.904,6.70686238024998e-52
"Mgat4c",6.31566028561856e-56,0.655241215656831,0.809,0.331,1.16340778121379e-51
"Prdx2",6.38596794989889e-56,0.413504911624275,0.994,0.973,1.17635915605087e-51
"Ndufs3",1.69710300220654e-55,0.544329566194891,0.937,0.719,3.12623344036466e-51
"Slc24a3",1.89954660746664e-55,-0.743936832817139,0.13,0.646,3.4991548056143e-51
"BC030499",2.09787075115873e-55,-0.556399734548105,0.138,0.681,3.8644877107095e-51
"Mgst3",2.34226545161611e-55,0.494091747431506,0.974,0.9,4.31468718842203e-51
"Psma4",8.64948077408541e-55,0.647754889244527,0.9,0.669,1.59332085339427e-50
"Cyr61",9.82348544839068e-55,1.30688247156439,0.656,0.115,1.80958425444805e-50
"Glul",1.42659842752565e-54,0.715419969310364,0.819,0.381,2.627936963345e-50
"Hsp90ab1",1.53045505803521e-54,0.524914171472941,1,1,2.81925126240667e-50
"Srgap3",3.88735367405061e-54,-0.501178629653795,0.436,0.935,7.16089420296864e-50
"Garnl3",8.7761615311086e-54,0.583868123473308,0.919,0.512,1.61665671564552e-49
"Ckmt1",2.44475379381687e-53,0.538866579083501,0.961,0.815,4.50348096359005e-49
"Plcb4",2.55463230857965e-53,0.729808047412438,0.876,0.408,4.70588817563458e-49
"Psma6",3.33462670190964e-53,0.525858944608259,0.916,0.769,6.14271584758775e-49
"Auts2",5.12297768565456e-53,-0.437164089239532,0.798,0.962,9.43703719474426e-49
"Rab26",2.16722585474396e-52,0.530669521798759,0.914,0.754,3.99224674702385e-48
"Mdh1",2.49856612608976e-52,0.524184247643301,0.998,0.996,4.60260866086995e-48
"Wls",2.80807482050579e-52,-0.542244698190473,0.073,0.565,5.17275462685371e-48
"Atp5c1",4.45272190001547e-52,0.385005037306629,0.996,0.988,8.20235901201849e-48
"Hsp90aa1",1.64639446027915e-51,0.42713039685137,1,1,3.03282323528021e-47
"Rmst",2.73890522337061e-51,-0.749386327235677,0.128,0.635,5.04533731197101e-47
