"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nptxr",3.38268149295349e-94,-1.14522100494766,0.635,1,6.23123757816963e-90
"Cck",1.21346839836907e-89,-1.15339697990882,0.601,0.975,2.23533013663567e-85
"Crym",1.31569398768364e-71,0.937720427680977,0.99,0.639,2.42363989471203e-67
"C1ql3",2.61603765186098e-65,-1.13766736703079,0.389,0.984,4.8190029584931e-61
"Cnr1",1.81812003315537e-62,-1.00354125928925,0.395,0.918,3.34915891307551e-58
"Nrip3",7.61430241236083e-62,0.848059955059426,0.976,0.377,1.40263064738099e-57
"Ptprk",2.38621475159101e-61,-0.745019253579199,0.067,0.787,4.3956461939058e-57
"Camk2d",4.20835733661612e-61,-0.893812628403593,0.287,0.902,7.75221504978056e-57
"Rprm",2.43917746693611e-58,1.60309638138099,0.88,0.295,4.49320881184302e-54
"Ccl27a",9.97438643952119e-58,0.606630400357941,0.998,0.877,1.8373817260242e-53
"Necab1",1.96097213966157e-55,-0.68161289810885,0.587,0.926,3.61230677847057e-51
"Nrn1",1.76092778277788e-54,-0.71101568770604,0.601,0.959,3.24380506865514e-50
"Trp53i11",3.15935503919368e-52,-0.829489853832144,0.147,0.836,5.81984791769868e-48
"Rimbp2",2.14895088804324e-51,-0.649439280895336,0.595,0.902,3.95858243086445e-47
"Calm2",4.90408577262623e-51,0.376807231912669,1,1,9.03381640175478e-47
"Pcp4",2.38323044732962e-50,1.01813626361373,0.943,0.615,4.39014880702588e-46
"6430548M08Rik",5.10450095938733e-50,-0.609820992073829,0.609,0.902,9.40300121728741e-46
"Unc5d",6.70857221379839e-49,-0.626619189553603,0.045,0.664,1.2357860875038e-44
"Tmsb10",9.67491991629444e-49,0.622621197790719,0.998,0.967,1.7822169977806e-44
"Ckb",2.98420283542987e-47,0.680325103467434,0.998,0.984,5.49720004314537e-43
"Nr2f1",1.07523972789261e-46,-0.528267123465212,0.778,0.975,1.98069910275097e-42
"Hs3st4",2.65213274139733e-46,1.06168240803328,0.88,0.287,4.88549372292802e-42
"Rprml",4.88162604702455e-45,0.542756044562443,0.986,0.893,8.99244334122392e-41
"Mgst3",6.49100118654366e-45,0.622087772074723,0.974,0.746,1.19570732857321e-40
"Pcdh15",1.14816767529288e-44,-0.619017990517797,0.153,0.77,2.11503967465702e-40
"Foxp2",1.51655163793967e-44,1.00636659355403,0.821,0.189,2.79363977224867e-40
"Syt6",3.38846142850538e-44,0.929116518847971,0.743,0.074,6.24188479744975e-40
"Stum",4.83326807249695e-44,-0.642791123457725,0.246,0.918,8.90336311634664e-40
"Ccdc12",4.96668230476715e-44,0.700649337913068,0.957,0.754,9.14912547361157e-40
"Kctd4",3.39495288825285e-43,-0.68165291654908,0.318,0.885,6.25384271545057e-39
"Sema5a",4.14495931291727e-43,0.924098889831691,0.731,0.066,7.6354295503249e-39
"Nwd2",8.67741899790399e-43,-0.663507239361931,0.383,0.852,1.59846735360389e-38
"Tle4",1.60260317630419e-42,0.873604569056837,0.866,0.328,2.95215531106994e-38
"Cox5a",3.1020460188686e-42,0.43728112930033,1,0.959,5.71427897135785e-38
"Plcb4",4.63073457463941e-42,0.819045728584472,0.876,0.295,8.53027615994326e-38
"Ubb",4.70306361553194e-42,0.701736896622398,1,1,8.66351348617138e-38
"Ldhb",8.54018055850941e-42,0.73795918429944,0.98,0.861,1.57318666068302e-37
"Atp5f1",4.46034081020836e-41,0.496542830424411,1,0.984,8.21639380648482e-37
"Auts2",5.39929274763227e-41,-0.503188556860788,0.798,0.975,9.94603717041341e-37
"Grin3a",2.64530202493191e-40,-0.679824115166692,0.069,0.631,4.87291086012707e-36
"Nxph3",6.27315652945655e-40,0.791076435268772,0.772,0.131,1.15557816429119e-35
"Syt17",6.32179073091083e-40,-0.728902397941839,0.218,0.861,1.16453707054108e-35
"Stmn1",8.8814977025971e-40,0.415606631099511,1,1,1.63606069179541e-35
"Ndufc2",1.02530207937233e-39,0.482814716487243,0.986,0.943,1.88870896041177e-35
"Camk2n1",1.06917034938074e-39,-0.446934523124379,0.998,1,1.96951870059425e-35
"Efhd2",1.53552886963785e-39,0.620676719415631,0.988,0.902,2.82859773075988e-35
"Pitpnc1",1.59513602196067e-39,0.580346554356438,0.784,0.139,2.93840006605375e-35
