"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",2.29192819594199e-204,-1.52085025296011,0.601,0.996,4.22196092974474e-200
"Nrn1",2.01699646707523e-178,-1.25357776935822,0.601,0.996,3.71550919199928e-174
"Nptxr",1.35938122680847e-170,-1.21004689559131,0.635,1,2.50411615790389e-166
"Cnr1",7.50527822459944e-135,-1.18281088742386,0.395,0.981,1.38254730175346e-130
"Camk2d",7.47506267432781e-118,-1.09101249047254,0.287,0.955,1.37698129523793e-113
"Nrip3",5.11827273098256e-117,1.00264482085725,0.976,0.472,9.42837019774298e-113
"Crym",5.63475333103181e-113,0.889213109689726,0.99,0.738,1.03797791110937e-108
"Slc30a3",1.16548394902164e-111,-1.00753371410138,0.069,0.835,2.14693798249277e-107
"C1ql3",4.20285542683332e-108,-1.07596679802813,0.389,0.996,7.74207998176965e-104
"Car10",2.89861179487246e-106,-0.815348955241501,0.55,0.978,5.33953278733457e-102
"Ptprk",1.96456508459001e-103,-0.739160503661007,0.067,0.809,3.61892534232325e-99
"Bcl11b",1.12593094427034e-99,0.881061789082124,0.982,0.408,2.07407739244039e-95
"Stum",3.68848915906645e-99,-0.889709959315165,0.246,0.963,6.79456587991631e-95
"Pcdh15",2.58376954972841e-98,-0.782258033372923,0.153,0.861,4.75956188755471e-94
"Kcnab1",1.00441223099112e-96,-0.795684289347311,0.305,0.955,1.85022777070875e-92
"Nwd2",1.35633246989482e-96,-0.814180270447948,0.383,0.94,2.49850004279324e-92
"Rimbp2",2.55367337858802e-96,-0.714003364207952,0.595,0.978,4.70412173069699e-92
"Foxp2",2.37248264312552e-95,1.12875521291156,0.821,0.15,4.37035027690152e-91
"Rprm",3.14320407107061e-94,1.521682642599,0.88,0.547,5.79009621931918e-90
"Cpne5",1.99058280629934e-93,-0.803259571178498,0.232,0.895,3.66685258748401e-89
"Wnt4",3.28856371270537e-91,-0.804800864166957,0.151,0.835,6.05786321517456e-87
"Camk2n1",1.08308354430559e-90,-0.536903162316866,0.998,1,1.99514819696534e-86
"Slc24a3",2.6249872628812e-90,-0.995459856666814,0.13,0.783,4.83548903695346e-86
"Syt6",2.77638466859323e-90,1.01685782281152,0.743,0.049,5.1143781980156e-86
"Cdh10",5.22030815501177e-88,-0.736882269019914,0.326,0.899,9.61632965234718e-84
"Ntm",2.31707048802524e-87,-0.748691404819308,0.652,0.989,4.2682755459913e-83
"Hs3st4",3.11935893849258e-87,1.17077180281653,0.88,0.412,5.74617110059717e-83
"Sparcl1",1.4415886075283e-85,0.632135307014641,0.998,0.921,2.65555037392789e-81
"Mef2c",1.55716300071979e-85,-0.483905916467275,1,1,2.86844996362593e-81
"Tle4",1.30536984189811e-84,0.971013390954486,0.866,0.307,2.40462178576051e-80
"Slc39a10",1.53034180072762e-84,-0.497466489187632,0.971,1,2.81904263112035e-80
"Epha4",2.28444496159409e-84,-0.654805086410146,0.864,0.985,4.20817606375247e-80
"Nrsn1",2.38236252918875e-84,-0.654981445341806,0.967,0.993,4.3885500150186e-80
"Lmo3",4.48262584893089e-83,0.69202184920624,0.984,0.633,8.25744507631559e-79
"Necab1",9.34329711736566e-83,-0.78993713512466,0.587,0.903,1.72112876198993e-78
"Auts2",1.08464998757268e-81,-0.578225960750763,0.798,0.985,1.99803374210764e-77
"Slc2a13",7.14278541939177e-81,-0.69292043599118,0.377,0.921,1.31577250210616e-76
"Nfia",1.16756813307373e-80,0.904473510398972,0.912,0.457,2.15077725793512e-76
"Rnf152",5.74801049677737e-80,0.9258071123147,0.662,0.019,1.05884101361136e-75
"Nr2f1",1.34842043806426e-78,-0.562948511923758,0.778,0.985,2.48392528895817e-74
"6430548M08Rik",1.57295247172468e-78,-0.654001469447294,0.609,0.933,2.89753574816403e-74
"Bok",2.05618151763938e-78,-0.780184950666842,0.297,0.858,3.7876919736435e-74
"Sema5a",4.16598430917052e-78,1.083594281923,0.731,0.086,7.67415969592302e-74
"Ptprs",2.61489561135562e-76,-0.409465806767878,0.992,1,4.81689920567819e-72
"Nell1",5.25358416056847e-75,-0.651018753396207,0.051,0.655,9.67762738218318e-71
"Sla",5.67150476272258e-75,0.714460307024627,0.648,0.022,1.04474789234113e-70
"Fhl1",7.29215060320705e-75,-0.644894924244217,0.206,0.816,1.34328706261677e-70
"Cnih3",1.03433658313577e-74,-0.596828389196728,0.76,0.97,1.9053514197944e-70
"Srgap3",4.55608194360405e-74,-0.634899844750052,0.436,0.97,8.39275854831303e-70
"Nxph3",1.34491791464643e-73,0.946320911642953,0.772,0.191,2.47747329057019e-69
"Ppp1r1b",2.3571480339375e-73,0.767380722245757,0.813,0.199,4.34210239331627e-69
"Cxcl12",1.08394586714396e-72,0.827163937579476,0.851,0.262,1.9967366818659e-68
"Ccdc12",8.79112258597187e-72,0.645196346998552,0.957,0.831,1.61941269156188e-67
"Wls",9.03963114148821e-72,-0.726027894075195,0.073,0.655,1.66519045257354e-67
"Lmo1",1.77416066837447e-71,0.84047266242841,0.859,0.318,3.26818136721262e-67
"Ajap1",2.2936005774478e-71,-0.665556401926358,0.218,0.861,4.2250416237166e-67
"Ldhb",2.35522505014995e-70,0.701717838119326,0.98,0.903,4.33856006488121e-66
"Ramp3",3.19709175609784e-70,0.692004214172829,0.933,0.491,5.88936272390783e-66
"Syn1",1.1240592342645e-69,-0.374023927074915,1,0.996,2.07062951543864e-65
"Zfpm2",1.0123938678893e-68,0.63117718748457,0.766,0.15,1.86493074403888e-64
"Ubb",2.07294160914429e-68,0.652544376637485,1,1,3.8185657382047e-64
"Fat3",2.72752192466286e-68,-0.658147161269454,0.572,0.809,5.02436813742146e-64
"Nfib",3.05077477002639e-68,0.540735153561911,1,0.895,5.61983220386562e-64
"Ptgfrn",1.30769027503918e-67,-0.641842113319862,0.008,0.506,2.40889625564968e-63
"Syt4",4.81574156467567e-67,-0.394018477276571,1,1,8.87107753628906e-63
"Lingo1",6.58272128861975e-67,-0.433979311527923,0.976,1,1.21260308857664e-62
"Atp1b2",9.29824391735785e-67,-0.809967340212722,0.289,0.775,1.71282951201649e-62
"Sorbs2",5.71478968410638e-66,-0.431972663111166,0.945,0.996,1.05272140770924e-61
"Fndc5",8.63188574459014e-65,-0.614377031710857,0.202,0.768,1.59007967301095e-60
"Igfbp6",1.03248994380868e-64,-0.834006312038521,0.222,0.801,1.90194972548996e-60
"Fbxw7",1.91662556502195e-64,-0.383538769305027,0.988,1,3.53061595332693e-60
"Galnt17",3.31225634298798e-63,-0.608131654785059,0.475,0.899,6.10150740941816e-59
"Pou3f2",3.42048104857412e-63,-0.573522044196112,0.033,0.554,6.30086813957839e-59
"R3hdm1",6.42600048093026e-63,-0.456625843984724,0.998,1,1.18373354859216e-58
"Dgkb",1.05936972058533e-62,-0.705628769629266,0.591,0.94,1.95146496229024e-58
"Sox9",1.33675161319014e-62,-0.807600893638397,0.033,0.551,2.46243014665756e-58
"Sccpdh",1.40913284101523e-62,-0.745435101647639,0.525,0.858,2.59576360643416e-58
"Lmo4",3.6314872622862e-62,-0.382410270222818,0.98,1,6.68956268585741e-58
"Mgat5",5.43022773437221e-62,-0.594345194448724,0.399,0.891,1.00030225094871e-57
"Rtn4r",7.03742671088483e-62,-0.527506545985537,0.444,0.929,1.2963643744121e-57
"Ifi27",1.24202878416667e-61,0.797032976093156,0.788,0.255,2.28794122331342e-57
"Syn2",1.31234043399254e-61,-0.384054021751417,1,1,2.41746231345765e-57
"Fez1",2.20682009298653e-61,0.52192140297659,0.986,0.906,4.06518329329048e-57
"Ptn",6.11249446152676e-61,-0.879869610482661,0.705,0.861,1.12598260475784e-56
"Rwdd2a",4.70957214193409e-60,0.803935306819881,0.825,0.371,8.67550284265678e-56
"Syt17",2.01850309092207e-59,-0.555039003609695,0.218,0.82,3.71828454378754e-55
"Rabac1",2.57256292897274e-59,0.465831512825519,0.994,0.97,4.73891817146069e-55
"Htr2a",2.88901835854493e-59,-0.650910107150152,0.02,0.494,5.32186071827562e-55
"Edil3",3.86741245424691e-59,-0.688201167730612,0.387,0.861,7.12416048196824e-55
"Unc5d",7.47988550193759e-59,-0.528530787237283,0.045,0.562,1.37786970831192e-54
"Robo2",9.66449234197207e-59,-0.660912380113779,0.438,0.914,1.78029613431468e-54
"Tspan17",1.49807378164422e-58,-0.582380820863729,0.43,0.861,2.75960171316681e-54
"Col12a1",2.21401464703046e-58,0.808943579841647,0.66,0.109,4.07843638129482e-54
"Pkib",2.26456542153309e-58,-0.652941494609021,0.218,0.742,4.1715559630061e-54
"Prdx1",1.35268575811258e-57,0.529607767937038,0.967,0.933,2.49178243501918e-53
"Rapgef5",1.55705439756337e-57,-0.5427776932579,0.517,0.966,2.86824990575148e-53
"Rtn4rl1",2.20688793190997e-57,-0.596851583353854,0.155,0.734,4.06530825937136e-53
"Sebox",3.64864881187557e-57,0.621667772282947,0.517,0.011,6.72117597635599e-53
"Ndn",6.61960563734181e-57,0.676287518686591,0.994,0.985,1.21939755445473e-52
"Ckb",2.6086785035709e-56,0.531990956212732,0.998,0.996,4.80544667142795e-52
"Tenm4",3.66829458981327e-56,-0.517897008224963,0.662,0.978,6.75736546389503e-52
"Scube1",7.15713021907991e-56,-0.699378896378246,0.13,0.64,1.31841495765671e-51
"Kcnq3",7.42713065338581e-56,-0.522444842322113,0.89,0.951,1.3681517376602e-51
"Cyr61",7.84982492527845e-56,1.31405942004104,0.656,0.109,1.44601624948554e-51
"Rims3",1.09897754297337e-55,-0.607068323045049,0.277,0.772,2.02442653191124e-51
"C130074G19Rik",1.26545528407828e-55,-0.519508007789741,0.049,0.547,2.3310951788006e-51
"Pgbd5",2.239796345971e-55,-0.426276278798335,0.866,0.974,4.12592884891317e-51
"Ccl27a",3.08575183501768e-55,0.424718708280684,0.998,0.959,5.68426345528607e-51
