"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",7.90897458242945e-112,-1.39063258314996,0.601,1,1.45691220782933e-107
"Nptxr",1.02589011051193e-106,-1.29989056346962,0.635,1,1.88979217257402e-102
"Nrn1",7.24042175697898e-102,-1.16398033406407,0.601,1,1.3337580918531e-97
"Necab1",3.819466030249e-86,-0.995663991784787,0.587,0.99,7.03583837432169e-82
"Cnr1",7.66645804146486e-77,-1.21710692595072,0.395,0.97,1.41223823581824e-72
"Camk2d",3.61554989051941e-75,-1.18427634128084,0.287,0.96,6.66020445332581e-71
"Nwd2",1.23692060674589e-69,-0.954379568878005,0.383,0.96,2.27853144968661e-65
"Rimbp2",4.74342652988606e-68,-0.797324400905324,0.595,0.949,8.73786601070312e-64
"Nrsn1",2.18395487365713e-66,-0.62531113752719,0.967,0.99,4.02306327276379e-62
"Crym",1.33184037853246e-65,0.973515812977941,0.99,0.758,2.45338316129464e-61
"C1ql3",1.06606882141356e-62,-1.1792335631732,0.389,1,1.96380537592593e-58
"Nrip3",1.66636659309788e-61,1.03554339788459,0.976,0.434,3.0696139011456e-57
"Epha4",3.05130504697717e-61,-0.710738889636343,0.864,1,5.62080902703664e-57
"Camk2n1",9.6993186070407e-61,-0.592456379744072,0.998,1,1.78671148060297e-56
"6430548M08Rik",2.43405501326434e-60,-0.761841027238497,0.609,0.919,4.48377273993424e-56
"Cnih3",5.51495245986561e-60,-0.699784980657626,0.76,0.97,1.01590939263184e-55
"Mef2c",5.81984004724539e-60,-0.551305315245565,1,1,1.07207273510307e-55
"Cpne5",7.12825519744711e-59,-0.826880122973717,0.232,0.96,1.31309588992173e-54
"Pcdh15",4.64645073992704e-58,-0.769680575255562,0.153,0.899,8.55922690801961e-54
"Nr2f1",3.181673419949e-57,-0.585218784868198,0.778,0.99,5.86096060688805e-53
"Wnt4",3.2789353688735e-55,-0.883111754301706,0.151,0.869,6.04012684300188e-51
"Slc24a3",6.01764080364566e-54,-1.08189454158835,0.13,0.788,1.10850961243957e-49
"Ptprk",8.59327794345108e-54,-0.700870048177663,0.067,0.798,1.58296772996312e-49
"Kcnab1",9.19764725662598e-53,-0.860499822427727,0.305,0.929,1.69429860114307e-48
"Stum",4.50066000822588e-52,-0.969898702128525,0.246,0.98,8.2906658011529e-48
"Mgat5",8.60960513796373e-52,-0.716552157060564,0.399,0.949,1.5859753624643e-47
"Slc30a3",1.5107548517444e-50,-0.964459175097604,0.069,0.758,2.78296151239836e-46
"Car10",1.69674584903707e-50,-0.743625392095238,0.55,0.99,3.12557552851119e-46
"Slc39a10",2.03510919619579e-49,-0.493579008009253,0.971,1,3.74887465031226e-45
"Fhl1",5.90845158118573e-48,-0.651052996832529,0.206,0.879,1.08839586577022e-43
"Rprm",9.00368938070807e-48,1.63351694090711,0.88,0.384,1.65856962082023e-43
"Syn2",8.30088896834521e-47,-0.466409440328541,1,1,1.52910675685887e-42
"Syt4",1.87984480442597e-46,-0.45774665089081,1,1,3.46286211423308e-42
"Cdh10",3.64190168605568e-46,-0.716146069690087,0.326,0.909,6.70874709588317e-42
"Ntm",3.75356165244849e-46,-0.819754795339757,0.652,0.99,6.91443591997537e-42
"Nell1",9.16368146211702e-46,-0.762737084816958,0.051,0.687,1.68804176213658e-41
"Pgbd5",1.19775895532767e-45,-0.489862935571841,0.866,0.99,2.20639177160911e-41
"Atp1b2",1.30849758437005e-45,-0.842754068083995,0.289,0.747,2.41038340016808e-41
"Syt6",4.80927218228985e-45,1.04377245550792,0.743,0.03,8.85916028699614e-41
"Slc2a13",6.11277101389976e-45,-0.753265075232025,0.377,0.919,1.12603354847048e-40
"Lmo4",6.72156502277516e-45,-0.433485746054555,0.98,1,1.23817949284541e-40
"Lmo3",7.22642771934004e-45,0.707729966219555,0.984,0.535,1.33118025017963e-40
"Fat3",2.1215924219379e-44,-0.687609031818677,0.572,0.818,3.90818540045181e-40
"Nectin1",6.8285984742479e-44,-0.869954908041711,0.063,0.687,1.25789612494121e-39
"Srgap3",2.11125145679833e-43,-0.771289103133088,0.436,0.96,3.8891363085682e-39
"Ptprs",2.78318605003903e-43,-0.440798525954419,0.992,1,5.1269070227769e-39
"Bcl11b",3.62402837528629e-43,0.806371548392056,0.982,0.556,6.67582267011488e-39
"Foxp2",1.68698927614226e-42,1.09822430807114,0.821,0.172,3.10760294558166e-38
"Pkib",1.8444622499167e-42,-0.784848557693082,0.218,0.838,3.39768391057155e-38
"Sccpdh",3.91681254328146e-42,-0.793495112527312,0.525,0.848,7.21516038597877e-38
"Wls",5.0539593829199e-42,-0.7424695995229,0.073,0.697,9.30989857927675e-38
"Edil3",5.81708100270093e-42,-0.793698075626937,0.387,0.929,1.07156449150754e-37
"Syn1",6.09268069386487e-42,-0.396268386493449,1,1,1.12233271061685e-37
"Sema5a",1.04755237794672e-41,1.07165614688857,0.731,0.03,1.92969623541565e-37
