"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Kcnab1",8.18844065923619e-24,-0.533001790782359,0.305,0.817,1.5083926538379e-19
"Ntm",3.2229415987523e-23,-0.632974031877115,0.652,0.902,5.93698071906161e-19
"Ntng1",1.99613344111681e-20,-0.75662860251059,0.208,0.744,3.67707741188128e-16
"Cpne7",3.0066213438963e-19,-0.569781737103229,0.189,0.707,5.53849717759138e-15
"Bhlhe40",3.90093413532163e-19,-0.440557122219295,0.285,0.817,7.18591077067598e-15
"Cnr1",5.70832776578868e-19,-0.489657180570196,0.395,0.817,1.05153105773593e-14
"Mef2c",1.42144463851688e-18,-0.306752467201664,1,1,2.61844316861195e-14
"Robo2",2.4697035329986e-18,-0.506081738578901,0.438,0.878,4.54944087813673e-14
"Rprm",2.68159462018727e-18,0.743117181095385,0.88,0.573,4.93976544984697e-14
"Stum",2.86028424793013e-18,-0.516992034201339,0.246,0.756,5.26892961311209e-14
"C1ql3",9.37175328386187e-18,-0.610562369625187,0.389,0.829,1.72637067242019e-13
"Nxph3",1.37867000169973e-17,0.511336011284039,0.772,0.268,2.53964801013107e-13
"Syt6",5.42213570672371e-17,0.536309437345017,0.743,0.244,9.98811618535574e-13
"Nptxr",1.31748388771758e-16,-0.399608703363586,0.635,0.902,2.42693706956455e-12
"Pou3f1",1.43757904583248e-16,-0.755019821741905,0.206,0.683,2.64816436032802e-12
"Syt17",1.96079258456234e-16,-0.558030959515782,0.218,0.695,3.6119760200223e-12
"Foxp2",7.66883788720791e-16,0.576804421833316,0.821,0.378,1.41267662720257e-11
"Fam19a1",8.38688263670912e-16,-0.653676553870192,0.185,0.646,1.54494765050819e-11
"Col12a1",2.3327916591099e-15,0.569661782249595,0.66,0.183,4.29723551524635e-11
"Timp2",2.60517969056927e-15,-0.470947534610094,0.837,0.976,4.79900150799765e-11
"Dner",6.14289969035729e-15,-0.6022153244454,0.365,0.805,1.13158355196072e-10
"Rtn4rl1",1.15281632239908e-14,-0.395852211506077,0.155,0.585,2.12360294749135e-10
"Lypd1",1.27951292915582e-14,-0.782963682546163,0.766,0.841,2.35699076679794e-10
"Ajap1",1.46230345490776e-14,-0.377621766375073,0.218,0.671,2.69370919428558e-10
"Reln",1.86954153812004e-14,-0.522369528288411,0.079,0.451,3.44388246737092e-10
"Dgkb",7.25593812105793e-14,-0.434455352757988,0.591,0.902,1.33661636128008e-09
"Trpc5",9.60038056274947e-14,-0.36968091543145,0.153,0.561,1.76848610346408e-09
"Ttc9b",9.91236315252626e-14,0.362023923426377,0.986,0.976,1.82595641632686e-09
"Srgap3",1.06259297108079e-13,-0.406213487855363,0.436,0.829,1.95740251202793e-09
"Bcl6",1.39521546122304e-13,-0.547405773993905,0.151,0.549,2.57012640111896e-09
"Trbc2",1.74610701407482e-13,0.532437711349976,0.762,0.341,3.21650373062722e-09
"Rab3c",1.98843424635874e-13,-0.593874083620705,0.906,0.963,3.66289472521744e-09
