"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nrn1",1.05947150388676e-68,-0.947244440736221,0.601,0.816,1.9516524573098e-64
"Cck",2.66081591327791e-57,-1.05892523353163,0.601,0.809,4.90148899384924e-53
"Nptxr",1.81751001388519e-48,-0.816469138637983,0.635,0.875,3.34803519657791e-44
"Camk2d",4.65621543002068e-48,-0.845776056023495,0.287,0.801,8.57721444364109e-44
"Slc30a3",4.48369799545575e-44,-0.831392019130503,0.069,0.603,8.25942007742903e-40
"Nwd2",6.37622855063208e-43,-0.638047889819545,0.383,0.846,1.17456506131194e-38
"Necab1",1.85018218721214e-42,-0.614611838824682,0.587,0.875,3.40822060706347e-38
"Nr2f1",4.28570822586963e-41,-0.466182034526368,0.778,0.956,7.89470312287445e-37
"Camk2n1",4.93483230372994e-41,-0.458983066290373,0.998,1,9.09045458670092e-37
"Atp1b2",5.93388318608538e-41,-0.725065273965503,0.289,0.772,1.09308062170879e-36
"Cnr1",6.23406854659188e-41,-0.769381521806617,0.395,0.706,1.14837776696769e-36
"Bcl11b",6.73174370731262e-41,0.505801704544618,0.982,0.522,1.24005450832406e-36
"Nrsn1",2.4966476364751e-40,-0.49362174641451,0.967,1,4.59907461115077e-36
"Pcdh15",8.29380748843087e-40,-0.656132343825292,0.153,0.632,1.52780227744385e-35
"Mef2c",1.17242133481739e-39,-0.433104635820929,1,1,2.15971734086712e-35
"Slc39a10",1.29233767407369e-37,-0.38448934868053,0.971,0.978,2.38061522941114e-33
"Epha4",1.36237703446683e-37,-0.549133191745905,0.864,0.926,2.50963473519134e-33
"Ptgfrn",6.05942967264519e-37,-0.538249662305474,0.008,0.412,1.11620753999797e-32
"Dnajc21",9.11250571953596e-37,-0.674843108299327,0.556,0.86,1.67861467859572e-32
"Wnt4",1.0253503878784e-36,-0.578320607502201,0.151,0.684,1.88879794951081e-32
"Slc24a3",1.17383023388581e-36,-0.746198864029508,0.13,0.588,2.16231267384106e-32
"Ptprk",5.52907236349136e-36,-0.530427603195842,0.067,0.559,1.01851042007874e-31
"Car10",6.22366263332867e-36,-0.59421684244686,0.55,0.824,1.14646089368547e-31
"R3hdm1",2.62651207424178e-34,-0.441234346102968,0.998,1,4.83829789196079e-30
"Fat3",5.23842475780513e-34,-0.524977184769378,0.572,0.831,9.64970224635284e-30
"Lmo3",8.47530168208494e-34,0.329339743715586,0.984,0.581,1.56123532285687e-29
"Cpne5",1.33026900610394e-33,-0.597595706489215,0.232,0.662,2.45048853614406e-29
"Rimbp2",1.08187708114061e-32,-0.495425012877727,0.595,0.838,1.99292577116913e-28
"Dkkl1",1.31388539449637e-32,-0.685088349441591,0.171,0.603,2.42030828520176e-28
"Rims3",1.35373186702897e-32,-0.632321030563426,0.277,0.662,2.49370947225406e-28
"Hpca",2.75447099866111e-32,-0.453112436079133,0.79,0.985,5.07401102663363e-28
"Pkib",1.53814477686601e-31,-0.660866701646708,0.218,0.625,2.83341649346488e-27
"Nectin1",1.66982629844837e-31,-0.613067845740282,0.063,0.5,3.07598702437175e-27
"Cnih3",1.07062107286308e-30,-0.42557264057152,0.76,0.926,1.97219107832108e-26
"Camk2n2",1.22561152154411e-30,-0.680494836392722,0.305,0.765,2.25769898383641e-26
"Scube1",4.36417150554642e-30,-0.540727913753712,0.13,0.596,8.03924033036706e-26
"Auts2",6.31877918436659e-30,-0.43660797234966,0.798,0.941,1.16398231355217e-25
"Wls",1.03138471901213e-29,-0.52336910873891,0.073,0.515,1.89991379089225e-25
"Syt4",2.75238472065392e-29,-0.323255615918788,1,1,5.07016789391659e-25
