"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",2.06929709002531e-285,-1.32580665720263,0.601,0.939,3.81185216953563e-281
"Crym",2.34679750060376e-239,0.861234397279642,0.99,0.722,4.32303567586219e-235
"Nrn1",1.15928206175977e-219,-1.01247803610359,0.601,0.933,2.13551348596768e-215
"Nptxr",8.90367065929799e-217,-0.938191125209819,0.635,0.972,1.64014517214928e-212
"Slc30a3",8.87070141256061e-197,-0.918665249495987,0.069,0.812,1.63407190720779e-192
"Rprm",6.25018834975897e-193,1.37999260689599,0.88,0.462,1.1513471959091e-188
"Nrip3",1.35702485375265e-183,0.841964652848038,0.976,0.395,2.49977548309775e-179
"Bcl11b",5.7315832621812e-175,0.810424865912452,0.982,0.451,1.0558149527264e-170
"Ccdc12",1.03272125989119e-173,0.623937386424897,0.957,0.813,1.90237583284556e-169
"Camk2d",2.75146299275595e-171,-0.900753224070034,0.287,0.895,5.06846997895573e-167
"Cnr1",8.8956630947213e-164,-0.875471957657623,0.395,0.914,1.63867009867861e-159
"Ptprk",1.07027659879035e-162,-0.698842672335838,0.067,0.745,1.9715565226317e-158
"Lmo3",1.03440064342297e-160,0.684380496478105,0.984,0.485,1.90546942524946e-156
"Nfia",8.69457742195062e-160,0.833041749130999,0.912,0.435,1.60162810689752e-155
"Syt6",1.39465772349152e-158,0.89463038620662,0.743,0.099,2.56909899244373e-154
"Nwd2",6.08781834944989e-158,-0.751571113514093,0.383,0.9,1.12143701815216e-153
"C1ql3",8.31498862070317e-158,-0.86631247870703,0.389,0.925,1.53170405381973e-153
"Lmo1",4.79526499990276e-156,0.815082863565676,0.859,0.278,8.83335765632087e-152
"Ubb",2.25482723582789e-152,0.584159531177015,1,1,4.15361725111856e-148
"Foxp2",4.83999660654992e-152,0.940741138455388,0.821,0.204,8.9157577489256e-148
"Nfib",3.30808513405344e-149,0.580338103474386,1,0.835,6.09382362543983e-145
"Cpne5",1.53694966668214e-145,-0.665450785541949,0.232,0.844,2.83121498099516e-141
"Ldhb",1.1887708243872e-142,0.617974080196776,0.98,0.913,2.18983473560367e-138
"Uchl1",2.05800303557395e-140,0.47140080502523,0.998,0.996,3.79104739183077e-136
"Hs3st4",3.26181243525698e-140,0.954968442159106,0.88,0.393,6.00858468698688e-136
"Pcdh15",3.38257010120262e-139,-0.683468378796388,0.153,0.769,6.23103238342535e-135
"Sema5a",6.15016202979278e-136,0.902103940874927,0.731,0.123,1.13292134750813e-131
"Plcb4",1.48464122066559e-134,0.752951060879494,0.876,0.421,2.73485759258808e-130
"Ndn",1.41161141739594e-133,0.62170775172404,0.994,0.971,2.60032939198505e-129
"Ifi27",2.98392667098515e-132,0.761365468846696,0.788,0.206,5.49669132062174e-128
"Rnf152",3.51820300782515e-131,0.806109597559543,0.662,0.086,6.48088176071472e-127
"Tle4",1.3760598014083e-130,0.790144225837918,0.866,0.362,2.53483976017422e-126
"Ccl27a",1.75023913897512e-130,0.427545977000567,0.998,0.962,3.22411551790607e-126
"Col12a1",5.17235847639554e-130,0.784154953560564,0.66,0.105,9.52800154936822e-126
"Fez1",5.74210327598129e-128,0.491266768091597,0.986,0.883,1.05775284446851e-123
"Stum",1.32010173791567e-127,-0.623550902312801,0.246,0.851,2.43175941141445e-123
"Cxcl12",8.90796916869737e-127,0.729002100373541,0.851,0.318,1.64093700056574e-122
"Car10",1.3379923993422e-126,-0.650114910160755,0.55,0.922,2.46471579882826e-122
"Nos1ap",7.18935528789127e-126,0.491215668982816,0.982,0.895,1.32435113758245e-121
"Mdh1",4.59444986282583e-123,0.482387556177572,0.998,0.993,8.46343609231147e-119
"Necab1",6.3289764806001e-123,-0.662234053495678,0.587,0.924,1.16586075749134e-118
"Ntm",8.20104264561929e-123,-0.644901299651577,0.652,0.956,1.51071406574953e-118
"Sla",1.998692818928e-122,0.595425897410206,0.648,0.086,3.68179204174726e-118
