"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Pou3f1",5.79456711177346e-27,0.728841554503005,0.206,0.019,1.06741720765979e-22
"Rprm",8.54984998888487e-27,-0.300873901495726,0.88,0.984,1.57496786645248e-22
"C1ql3",3.58241227336884e-24,0.332536352907226,0.389,0.291,6.59916164877274e-20
"Syt17",6.50139730781665e-24,0.317590202793501,0.218,0.041,1.1976223980729e-19
"Ntng1",1.15807686330163e-23,0.429545270504875,0.208,0.029,2.13329338988792e-19
"Dner",1.1914237198797e-23,0.377700548761111,0.365,0.241,2.19472163439039e-19
"Stxbp6",2.07186920289618e-23,0.615675600418618,0.193,0.028,3.81659025865506e-19
"Fam19a1",1.59889128385236e-22,0.454656085559198,0.185,0.02,2.94531763398443e-18
"Stum",1.95075302052737e-21,0.266228050291247,0.246,0.072,3.59348213911347e-17
"Gabra2",1.8475137405343e-20,0.339477082374261,0.568,0.4,3.40330506143823e-16
"Lamp5",1.94954193015973e-20,0.394262142392669,0.228,0.053,3.59125118954724e-16
"Zfp703",3.88968766616386e-19,0.296548372312729,0.269,0.102,7.16519364984045e-15
"Bhlhe22",7.46126848491761e-19,0.25050472954981,0.175,0.028,1.37444026760667e-14
"Fras1",3.17018908067608e-18,0.250664874610978,0.22,0.055,5.83980530551341e-14
"Plcb4",1.77553805419536e-17,-0.26890665056896,0.876,0.958,3.27071864963327e-13
"Lsp1",5.45498430974835e-17,-0.266383031950422,0.43,0.68,1.00486265969874e-12
"1190002N15Rik",1.72882233021741e-16,0.250052206252565,0.324,0.19,3.1846636144935e-12
"Cntnap5a",9.25147577556611e-16,0.283450920320019,0.261,0.099,1.70421435261703e-11
"Igfbp4",3.08202055487971e-15,0.433936136184823,0.481,0.38,5.67739006414392e-11
"Ppfia2",3.13168079584415e-15,0.252702514944688,0.776,0.653,5.76886919402451e-11
"Tmem47",9.9997083979923e-15,0.275456405162475,0.303,0.152,1.84204628399416e-10
"Fam126a",3.4175650084689e-14,0.256865921671924,0.279,0.175,6.29549650210055e-10
"Bhlhe40",1.37765928630782e-13,0.283373189913138,0.285,0.169,2.53778617130764e-09
"Sema3c",2.1523733493359e-11,-0.270275581623284,0.328,0.517,3.96488694681166e-07
"Rab3c",3.37995854330727e-11,0.279823584742626,0.906,0.926,6.22622163262633e-07
"Vat1l",5.82215425200424e-11,0.271432450450029,0.285,0.188,1.0724990347617e-06
"Etv1",2.15186423332061e-10,0.260303248599026,0.556,0.46,3.96394910419989e-06
"Lypd1",2.22495911430361e-08,0.409722812957075,0.766,0.799,0.000409859718445868
"Myl4",3.55142110895745e-05,0.293941159497922,0.365,0.346,0.654207282481051
