"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",6.92247879627877e-277,-1.66186184114397,0.524,0.985,1.27518981906251e-272
"Nptxr",1.30435056993069e-232,-1.16977474692051,0.528,0.988,2.40274418486933e-228
"Rprm",3.59325770675373e-225,1.90556434002727,0.984,0.396,6.61914002161105e-221
"Foxp2",1.7216161031779e-182,1.33209160056933,0.981,0.131,3.17138902366401e-178
"Ccdc12",1.44406213254001e-181,0.854252134005897,0.999,0.842,2.66010685435196e-177
"C1ql3",1.48252720195337e-179,-1.30180625149784,0.291,0.965,2.7309633587183e-175
"Nrn1",6.9293632544664e-177,-1.14607816686091,0.488,0.969,1.27645800510526e-172
"Syt6",5.87540541874593e-171,1.17870628427153,0.956,0.073,1.08230843218719e-166
"Hs3st4",5.72513708660608e-170,1.33256502136467,0.99,0.315,1.05462750272371e-165
"Crym",2.02573420316742e-167,1.10983889033483,0.996,0.581,3.73160497565471e-163
"Tmsb10",1.1810234800499e-163,0.728989925438419,1,0.95,2.17556335259991e-159
"Calm2",4.83797114663034e-153,0.37817495083101,1,0.996,8.91202664920775e-149
"Ubb",1.13525273067123e-152,0.814953898102981,1,1,2.09124905516947e-148
"Nxph3",2.17816396148708e-145,1.01392144416215,0.952,0.131,4.01239583345536e-141
"Tle4",3.17920417552558e-145,1.0152652360906,0.974,0.323,5.85641201173568e-141
"Cnr1",9.68206880132049e-144,-1.08535620134503,0.201,0.927,1.78353389389125e-139
"Nrip3",1.00867077130484e-142,1.06206558197118,0.984,0.335,1.85807242782064e-138
"Sema5a",1.56064331699643e-141,1.17413388646249,0.908,0.077,2.87486105423913e-137
"Stum",2.22987048909189e-138,-0.842130839117603,0.072,0.873,4.10764442795618e-134
"Rabac1",1.33531529955885e-135,0.595662620758724,1,0.962,2.45978431331736e-131
"Syt17",2.06859038617151e-133,-0.828509899330531,0.041,0.823,3.81055035036654e-129
"Cpne5",2.12285499697575e-133,-0.845079003849878,0.111,0.888,3.91051118992903e-129
"Uchl1",2.70275753842006e-133,0.641955030599919,1,1,4.97874966152358e-129
"Rtn4rl1",7.38446837911282e-133,-0.760366556572654,0.013,0.758,1.36029292011637e-128
"Ramp3",3.28130303647828e-132,0.878888380067588,0.988,0.469,6.04448832349664e-128
"Stmn1",3.37825964559222e-132,0.419581279339605,1,0.996,6.22309209314542e-128
"Tagln3",3.41273663178627e-131,0.620223160448036,1,0.996,6.28660214941349e-127
"Sparcl1",5.51408578926671e-128,0.718208672400687,1,0.892,1.01574974324082e-123
"Ifi27",6.72536581546246e-128,1.01821763528919,0.937,0.208,1.23887963686634e-123
"Mef2c",2.27735146359059e-127,-0.488392988471078,1,1,4.19510913108023e-123
"Rprml",1.16248058345237e-126,0.569349750942861,0.999,0.919,2.14140548277761e-122
"Ajap1",1.42550416965697e-126,-0.728581115703949,0.069,0.85,2.6259212309251e-122
"Kcnab1",3.89922021699183e-126,-0.879171295805774,0.145,0.869,7.18275356172065e-122
"Ptprk",8.82748815212148e-125,-0.774240028705086,0.072,0.815,1.6261115925023e-120
"Ndn",1.21616461202701e-124,0.920050430038681,0.999,0.962,2.24029683181496e-120
"Fez1",6.59352803989022e-124,0.650759679723959,0.999,0.885,1.21459380022818e-119
"Hsp90ab1",1.01328733073133e-123,0.663953386428134,1,1,1.86657659194018e-119
"Efhd2",5.9890189678767e-123,0.656372596014409,0.999,0.985,1.10323718407257e-118
"Prdx1",6.04706226575006e-122,0.683373440863573,0.999,0.904,1.11392933997382e-117
"Rab26",4.58145589271136e-120,0.684354000758914,0.987,0.754,8.43949989996359e-116
"Psmb6",3.12093188822907e-119,0.643822795934951,0.994,0.862,5.74906863130677e-115
"Kcnip4",1.66797568080115e-118,-0.745991569104035,0.293,0.927,3.07257800160381e-114
"Prdx2",6.36812279136119e-117,0.518006630636285,1,0.973,1.17307189939665e-112
"Ndufs3",2.85339776770255e-116,0.677627593619869,0.984,0.719,5.25624402788487e-112
"Arpc3",3.3060824415968e-116,0.562976574479005,1,0.977,6.09013446566547e-112
"Ldhb",4.28600648479702e-116,0.82662877753602,0.996,0.904,7.89525254564458e-112
"Ntm",2.95105203196234e-115,-0.719848021081374,0.566,0.985,5.43613294807783e-111
"Psmb5",1.08420365128448e-114,0.648281061205323,0.994,0.904,1.99721154603114e-110
"Slc30a3",1.95052966343364e-114,-0.981273818521136,0.022,0.696,3.59307069301111e-110
"Nfia",3.82893230101426e-114,0.983317071428747,0.965,0.535,7.05327619169837e-110
"Psma4",1.14198048323025e-113,0.819883871641611,0.975,0.669,2.10364224815845e-109
"Srgap3",7.69305013171723e-113,-0.708387984733445,0.286,0.935,1.41713676476363e-108
"Rnf152",2.08269173097963e-112,0.927203098338631,0.825,0.058,3.83652643763758e-108
"Lmo3",1.0721176085825e-111,0.715173334556783,0.997,0.646,1.97494784676981e-107
"Sla",1.41916295390544e-111,0.852463892370695,0.831,0.065,2.61424007738922e-107
"Ppp1r1b",1.25001048745001e-110,0.951361353634837,0.908,0.246,2.30264431893167e-106
"Rwdd2a",2.63526466972802e-110,0.980037761806767,0.939,0.385,4.85442104810599e-106
"Ckb",8.49624052543422e-110,0.664040920793021,0.999,0.996,1.56509246719024e-105
"Nwd2",2.10409507258025e-108,-0.721595792384863,0.308,0.9,3.87595353320009e-104
"Atp5f1",3.86898395405566e-108,0.532890760664918,0.999,0.992,7.12705534176593e-104
"Pcp4",4.43832242423609e-108,0.716305258903278,0.997,0.754,8.1758337376853e-104
"Mgst3",8.87122014616631e-108,0.589302840573299,0.996,0.9,1.6341674631253e-103
"Camk2d",7.95952044035106e-107,-0.870729197357269,0.282,0.888,1.46622326031707e-102
"Gnb2",8.39911591588812e-107,0.505417984004314,0.999,0.988,1.54720114286575e-102
"Anp32a",3.11221709583066e-106,0.55549491794011,0.999,0.965,5.73301511222965e-102
