"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nptxr",4.19762181539253e-159,-1.30159067760861,0.528,1,7.73243914613458e-155
"Cck",4.21504376580115e-152,-1.3099888027301,0.524,0.975,7.76453212098229e-148
"C1ql3",2.53543586843703e-139,-1.47020371993802,0.291,0.984,4.67052641324785e-135
"Rprm",1.0504322567434e-131,1.90397028287672,0.984,0.295,1.93500126014701e-127
"Calm2",1.52803337318245e-123,0.453852335317323,1,1,2.81479027673939e-119
"Pcp4",4.96587137890577e-118,1.12881941072077,0.997,0.615,9.14763166708232e-114
"Ccdc12",4.55581492080852e-109,0.882587603124065,0.999,0.754,8.39226666562137e-105
"Stmn1",1.02053302324135e-108,0.502154638832705,1,1,1.87992388211289e-104
"Tmsb10",7.43532533456713e-105,0.730848877408728,1,0.967,1.36966127988061e-100
"Rprml",5.14106851212197e-103,0.688530745980214,0.999,0.893,9.47036230617988e-99
"Crym",1.54645105267704e-100,1.09292521890013,0.996,0.639,2.84871748413638e-96
"Foxp2",4.32438338101447e-100,1.24615298102735,0.981,0.189,7.96594662616675e-96
"Syt6",9.88224951198203e-98,1.10571100386954,0.956,0.074,1.82040918260221e-93
"Hs3st4",5.02979217024286e-97,1.25110478526014,0.99,0.287,9.26538015680438e-93
"Ubb",1.85730107545404e-93,0.848626408336616,1,1,3.42133431109389e-89
"Cnr1",3.86382519363357e-93,-1.17223006291859,0.201,0.918,7.11755238919239e-89
"Stum",1.56223891410093e-92,-0.909019173748972,0.072,0.918,2.87780030366533e-88
"Syt17",9.40539290171425e-92,-1.04649260073534,0.041,0.861,1.73256742642478e-87
"Ccl27a",4.87858746522701e-89,0.666904663261986,0.999,0.877,8.98684596969468e-85
"Rabac1",9.85238488865575e-87,0.631441268241449,1,0.926,1.81490782033928e-82
"Ttc9b",1.27222596356902e-85,0.585385391822268,1,0.975,2.34356744749049e-81
"Rtn4rl1",2.25396812150849e-85,-0.772304888862079,0.013,0.77,4.15203467663078e-81
"Nxph3",3.86030574809765e-85,0.959105267957098,0.952,0.131,7.11106921857068e-81
"Ckb",9.58849976196355e-85,0.803238753704627,0.999,0.984,1.76629754115131e-80
"Tle4",1.08258946655783e-84,0.984990198391665,0.974,0.328,1.99423805634617e-80
"Efhd2",7.83925010531386e-84,0.731175363826384,0.999,0.902,1.44406826189987e-79
"Ndufc2",9.50121265799722e-84,0.57661203245491,1,0.943,1.75021838372967e-79
"Mgst3",6.86933777510695e-82,0.717298865216516,0.996,0.746,1.26540071155245e-77
"Trbc2",8.19178802511553e-82,0.990722742131347,0.966,0.254,1.50900927210653e-77
"Sema5a",6.5881358805708e-81,1.01634026004158,0.908,0.066,1.21360051055995e-76
"Cox5a",8.81912742293467e-81,0.518962477627751,1,0.959,1.6245714625788e-76
"Dctn3",1.11110735056087e-79,0.50288016748091,1,0.951,2.04677085046818e-75
"Park7",7.62197091994592e-79,0.574259122716314,0.999,0.885,1.40404326316324e-74
"Tagln3",9.15987116813069e-79,0.63905644780235,1,0.992,1.68733986788136e-74
"Ppia",1.40334807558027e-78,0.490732457200271,1,1,2.58510749002642e-74
"Ywhah",1.05853312932748e-75,0.383287880658595,1,1,1.94992387753416e-71
"Uchl1",1.12865969980296e-74,0.641520761268852,1,0.992,2.07910403300702e-70
"Nrip3",1.39185471413527e-74,0.912360428218746,0.984,0.377,2.56393556890857e-70
"3110035E14Rik",1.6591482541296e-74,0.619930432527858,0.999,0.926,3.05631699893214e-70
"Plcb4",2.5789261361507e-74,1.08795237915343,0.958,0.295,4.7506398354032e-70
"Dgkb",3.60289365136113e-74,-0.818480854392457,0.488,0.926,6.63689039517234e-70
"Arpc3",3.79519047911472e-74,0.602557497606701,1,0.951,6.99112038157722e-70
"Fez1",3.93392561939233e-74,0.665852478940722,0.999,0.861,7.24668438348261e-70
"Atp5f1",9.89175204135482e-74,0.591715555927603,0.999,0.984,1.82215964353797e-69
"Prdx1",4.13038722240161e-73,0.700767960844192,0.999,0.91,7.60858630238601e-69
"Prdx2",4.52925168630907e-73,0.547304143566675,1,0.959,8.34333453134993e-69
"Trp53i11",2.05003364812494e-72,-0.902659772368439,0.088,0.836,3.77636698321096e-68
"Ptprk",1.06729723903311e-71,-0.758637282826703,0.072,0.787,1.96606824402289e-67
"Scg5",2.04218520400025e-71,0.560358700410688,1,0.967,3.76190936428886e-67
"Ajap1",2.85304781580208e-71,-0.839352747759051,0.069,0.803,5.25559938148901e-67
"Myl6",5.81572941577612e-71,0.438068698793091,1,1,1.07131551568012e-66
"Kcnab1",5.83450641890228e-71,-0.821250107667356,0.145,0.828,1.07477442742599e-66
"Atp6v1f",6.73876577364714e-71,0.415366090185078,0.999,0.992,1.24134804316354e-66
"Snap25",2.56586930192096e-70,0.33219185616635,1,1,4.7265878410686e-66
"Camk2d",3.38136185447407e-70,-0.90253676095776,0.282,0.902,6.22880667212669e-66
"Hsp90ab1",3.73133115065306e-70,0.670694078236406,1,1,6.873485112618e-66
"Vdac3",3.82705276334483e-70,0.565654094930077,0.994,0.926,7.04981389535752e-66
"Atp5h",6.28911147742474e-70,0.363735646461121,1,0.992,1.15851722525641e-65
"Nrn1",8.33747947954751e-70,-0.767947528648698,0.488,0.959,1.53584709492745e-65
"Ldhb",1.39053478821443e-69,0.858076210756666,0.996,0.861,2.56150413336981e-65
"Clta",2.48679580177608e-69,0.481107667861616,1,0.992,4.58092654645171e-65
"Mef2c",2.6034581158106e-69,-0.43782225197484,1,1,4.7958301951347e-65
"Ndufs3",4.34886120492257e-69,0.695528175500324,0.984,0.705,8.01103722558786e-65
"Psmb6",4.5700664366503e-69,0.65288567168096,0.994,0.803,8.41851938295352e-65
"Kcnip4",1.00302899341463e-68,-0.706363639528506,0.293,0.918,1.8476797087691e-64
"Psmb5",3.22766537984807e-68,0.675131074354584,0.994,0.811,5.94568239621813e-64
"Rimbp2",4.09467646463112e-68,-0.661525250309791,0.603,0.902,7.54280351549698e-64
"Rheb",6.88128310142787e-68,0.474290752288554,0.999,0.975,1.26760116011403e-63
"Unc5d",1.17295511808379e-67,-0.661442780580398,0.016,0.664,2.16070062302215e-63
"Gnb2",1.69134949230448e-67,0.537181042375353,0.999,0.992,3.11563489977408e-63
