"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",4.87809067423442e-296,-1.67744207578139,0.524,0.996,8.98593083100722e-292
"Nptxr",1.34151929342269e-260,-1.36641656825227,0.528,1,2.47121269041394e-256
"Rprm",1.36918525234821e-228,1.82255654409473,0.984,0.547,2.52217615335064e-224
"Nrn1",2.67454619323919e-215,-1.31050961030088,0.488,0.996,4.9267815425659e-211
"C1ql3",1.20442171052801e-202,-1.40850315093536,0.291,0.996,2.21866523296365e-198
"Foxp2",1.17886118151e-192,1.36854160038488,0.981,0.15,2.17158018245958e-188
"Cnr1",2.06534700947449e-190,-1.3514996910532,0.201,0.981,3.80457572615296e-186
"Stum",9.88786370442143e-183,-1.15593800960641,0.072,0.963,1.82144337299147e-178
"Syt6",1.35890073043734e-181,1.19345230783309,0.956,0.049,2.50323103553863e-177
"Hs3st4",1.87415988614778e-177,1.36019418004339,0.99,0.412,3.45238992627282e-173
"Ccdc12",2.32393540615294e-175,0.82713461220955,0.999,0.831,4.28092141167433e-171
"Mef2c",2.12706778643729e-170,-0.585451187003148,1,1,3.91827156939614e-166
"Crym",3.27525596005151e-164,1.04441790090888,0.996,0.738,6.03334900401088e-160
"Tle4",1.39486021179127e-160,1.08239902028931,0.974,0.307,2.56947199614069e-156
"Kcnab1",3.08576250349195e-160,-0.957944506993957,0.145,0.955,5.68428310768252e-156
"Ntm",1.38582044360435e-154,-0.920564310145204,0.566,0.989,2.55281983916358e-150
"Slc30a3",1.73521216753572e-154,-1.05885413762408,0.022,0.835,3.19643433381755e-150
"Ubb",3.01060332160363e-150,0.799433888351703,1,1,5.54583237872604e-146
"Nxph3",4.21542196970225e-147,1.11434974433128,0.952,0.191,7.76522881038852e-143
"Sema5a",8.93156424799538e-143,1.17583565213289,0.908,0.086,1.64528345012323e-138
"Nrip3",8.0007334356836e-142,1.06694529401658,0.984,0.472,1.47381510618728e-137
