"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",1.57894387846085e-185,-1.54722440597124,0.524,1,2.90857251851273e-181
"Nptxr",1.03215442242617e-180,-1.45626023613058,0.528,1,1.90133166155124e-176
"C1ql3",1.71589649440065e-137,-1.51176991608042,0.291,1,3.16085293233545e-133
"Mef2c",1.49216058908044e-127,-0.652850585781438,1,1,2.74870902114507e-123
"Nrn1",1.24764270142237e-120,-1.22091217500673,0.488,1,2.29828262029015e-116
"Rprm",2.9647255610965e-116,1.93439084240284,0.984,0.384,5.46132095609586e-112
"Necab1",3.09803540724667e-105,-0.997356931996497,0.612,0.99,5.7068910236891e-101
"Cnr1",4.56639978972583e-103,-1.38579572958005,0.201,0.97,8.41176505265395e-99
"Stum",2.3253323667692e-96,-1.23612675241977,0.072,0.98,4.28349475282554e-92
"Syt6",3.41988573448532e-93,1.22036694052949,0.956,0.03,6.2997715114954e-89
"Foxp2",7.42052205792297e-93,1.33801069554447,0.981,0.172,1.36693436828999e-88
"Crym",1.50262104176289e-92,1.12872060419709,0.996,0.758,2.76797822103142e-88
"Ccdc12",2.09325960228077e-92,0.850945923165746,0.999,0.869,3.85599351336142e-88
"Rimbp2",2.39655409608418e-89,-0.809410370319779,0.603,0.949,4.41469230039667e-85
"Nwd2",2.6832246616199e-89,-1.01297212023273,0.308,0.96,4.94276814917001e-85
"Syt17",1.34519864158654e-88,-1.07740709751146,0.041,0.909,2.47799041766657e-84
"Hs3st4",2.13037809025752e-88,1.36323585737297,0.99,0.424,3.92436948006337e-84
"Srgap3",1.1714408268645e-87,-0.978498458212738,0.286,0.96,2.1579111471671e-83
"Ntm",1.5909660068269e-87,-0.991627700665653,0.566,0.99,2.93071848117583e-83
"Kcnab1",2.33113698048961e-86,-1.02276004007437,0.145,0.929,4.2941874317599e-82
"Camk2d",2.81270040119117e-86,-1.193000473835,0.282,0.96,5.18127540903425e-82
"Cpne5",6.20045664506985e-83,-0.924563622000252,0.111,0.96,1.14218611858832e-78
"Calm2",7.13070862246306e-83,0.379844311345058,1,1,1.31354783534392e-78
"Rtn4rl1",9.64159559703372e-83,-0.807240019858111,0.013,0.828,1.77607832492958e-78
"Camk2n1",1.21556186770075e-80,-0.607850681256479,0.999,1,2.23918651649156e-76
"Epha4",2.71563811354207e-80,-0.722930212026355,0.901,1,5.00247696895585e-76
"Slc39a10",2.50275882144642e-78,-0.552407451403767,0.965,1,4.61033202498645e-74
"Dgkb",5.22614204478166e-78,-0.978743753442806,0.488,0.939,9.6270762606923e-74
"Tle4",2.28553961023922e-77,1.07423243670907,0.974,0.343,4.21019251602167e-73
"Ubb",7.31167852047423e-77,0.832596578157335,1,1,1.34688430025656e-72
"Stmn1",7.56372880056998e-76,0.430963398931527,1,1,1.393314482353e-71
"Rabac1",1.20017343336476e-75,0.637666145007697,1,0.929,2.21083948160122e-71
"Sema5a",3.38729540819822e-75,1.16389751709846,0.908,0.03,6.23973687144195e-71
"Ajap1",3.81973757178782e-74,-0.94209583889392,0.069,0.889,7.03633858099034e-70
"Nxph3",1.68769953158714e-73,1.13320051469805,0.952,0.182,3.10891130713667e-69
"Mgat5",6.28262905522194e-73,-0.783722525690199,0.326,0.949,1.15732309826243e-68
"Nrip3",2.80948391766963e-72,1.09984387104391,0.984,0.434,5.17535032473922e-68
"Rapgef5",3.94118262620085e-72,-0.807041026818856,0.413,0.98,7.26005251572459e-68
"Syt4",1.48411562960701e-71,-0.505668705465159,1,1,2.73388940129908e-67
"Slc30a3",8.72255250939915e-71,-1.0157795986203,0.022,0.758,1.60678139775642e-66
"Fez1",4.8441483649108e-69,0.694110388471757,0.999,0.919,8.92340570300219e-65
"6430548M08Rik",1.19724205548075e-68,-0.748599107422404,0.62,0.919,2.20543959040108e-64
"Slc2a13",1.90506390698894e-67,-0.840106223229826,0.296,0.919,3.50931822306433e-63
"Wnt4",2.20385294901041e-67,-0.902547366520669,0.149,0.869,4.05971751737207e-63
"Sla",2.50884786442898e-66,0.941745958702761,0.831,0,4.62154865106463e-62
"Tenm4",6.73254399286569e-66,-0.699069847501573,0.62,0.939,1.24020192892579e-61
"Ptprs",8.66777178043968e-66,-0.474408062388412,0.988,1,1.59669023967479e-61
"Slc24a3",1.28356577129035e-65,-1.1180670163481,0.08,0.788,2.36445650729395e-61
"Nrsn1",1.50792934380535e-65,-0.594644624266826,0.977,0.99,2.77775664422384e-61
"Ifi27",2.18201560480759e-65,1.03671676426156,0.937,0.182,4.01949094561606e-61
"Rnf152",2.87674181637752e-65,1.00855105442053,0.825,0,5.29924609994903e-61
"Ndufc2",4.39983215263476e-65,0.534128788537632,1,0.98,8.10493080836849e-61
"Fam19a1",5.64425147086105e-65,-1.09541555335485,0.02,0.737,1.03972756344731e-60
"Tagln3",6.85156030837874e-65,0.625327538142336,1,1,1.26212592440645e-60
"Slc4a3",1.38174671990907e-64,-0.624922634416079,0.524,0.99,2.5453156327445e-60
"Bhlhe22",3.40235210753458e-64,-0.884878283494856,0.028,0.747,6.26747281728945e-60
"Prdx1",3.99561856204546e-64,0.719917158538965,0.999,0.859,7.36032895314394e-60
"Fhl1",5.32774789973527e-64,-0.70704560641651,0.128,0.879,9.81424440610234e-60
"Cnih3",4.11049503282445e-63,-0.665781790978203,0.81,0.97,7.57194289996593e-59
"Ptprk",1.40102298223084e-62,-0.714488077425166,0.072,0.798,2.58082443556744e-58
"Kcnip4",3.85246365745503e-62,-0.744947416154996,0.293,0.899,7.09662330339791e-58
"Arpc3",4.88138984021259e-62,0.589313679810851,1,0.99,8.99200822465561e-58
"Tmem178b",9.06920340639697e-62,-0.722118949125522,0.472,0.949,1.67063795949239e-57
"Edil3",1.31960470151322e-61,-0.897915349392183,0.298,0.929,2.43084382065751e-57
"Ckb",1.57922682290414e-61,0.730095016168763,0.999,0.99,2.90909373047171e-57
"Lmo3",1.66575641211562e-61,0.745884359732251,0.997,0.535,3.06848988675818e-57
"Rprml",2.46583233730426e-61,0.54143604086989,0.999,0.939,4.54230974854819e-57
"Timp2",2.91285521620526e-61,-0.789414187585312,0.858,0.98,5.36577059377172e-57
"Gm26917",3.96422394767799e-61,-0.622875538262899,0.804,1,7.30249693401763e-57
"Mgst3",9.37661365291298e-61,0.632200844827538,0.996,0.909,1.7272660010031e-56
"Park7",2.23109872059927e-59,0.513386477727969,0.999,0.97,4.10990695321591e-55
"Wls",3.36713939490657e-59,-0.784632150329727,0.026,0.697,6.20260747935739e-55
"Psmb6",3.42531068361354e-59,0.650652518428907,0.994,0.848,6.3097648102845e-55
"Ppp1r1b",4.36363883637951e-59,1.00011715173419,0.908,0.182,8.0382591004947e-55
"Car10",5.65765054001174e-59,-0.740485352370733,0.594,0.99,1.04219580597556e-54
"Etv1",8.74931144473918e-59,-1.39541966376535,0.46,0.717,1.6117106612354e-54
"R3hdm1",8.76774430541408e-59,-0.537760265625689,0.993,0.99,1.61510617850033e-54
"Nfia",1.76432231292999e-58,1.02843138065119,0.965,0.465,3.25005813264833e-54
"Cdh10",2.13240052716348e-58,-0.755714044858064,0.27,0.909,3.92809501108784e-54
"Auts2",2.14993754400728e-58,-0.614507399482794,0.771,0.97,3.96039994981581e-54
"Pkib",3.9732565066633e-58,-0.84277904834249,0.165,0.838,7.31913581092446e-54
"Pcdh15",7.43706916596118e-58,-0.723857760654009,0.228,0.899,1.36998251106171e-53
"Psmb5",8.45164055277996e-58,0.664729663008523,0.994,0.899,1.5568767062276e-53
"Ccl27a",1.24717690691121e-57,0.550598346629976,0.999,0.98,2.29742458022114e-53
"Ldhb",1.51589553465377e-57,0.841872381452732,0.996,0.859,2.79243116438571e-53
"Tmsb10",2.76118454756463e-57,0.541258070945982,1,0.98,5.08637805506881e-53
"Efhd2",3.45267417390863e-57,0.637032990012387,0.999,0.939,6.36017109575709e-53
"Cox5a",3.79580694012464e-57,0.450188084744754,1,1,6.9922559644036e-53
"Lmo4",4.01510547613353e-57,-0.402577640343666,0.999,1,7.39622579758558e-53
"Kctd4",4.47968077392889e-57,-0.777060860910892,0.216,0.899,8.25201995365441e-53
"Plcb4",1.0158267224109e-56,1.06758348113481,0.958,0.404,1.87125440535313e-52
"Ndufs3",1.35173085916775e-56,0.676925952660224,0.984,0.747,2.49002341567291e-52
"Uchl1",2.18014329800725e-56,0.599235420664873,1,1,4.01604196925916e-52
"Pcp4",2.30797620101296e-56,0.685704856032923,0.997,0.818,4.25152295988597e-52
"Fbxw7",5.16476705456924e-56,-0.464130616566476,0.991,1,9.514017391222e-52
"Ddah1",5.33025068510299e-56,1.11543650201902,0.864,0.111,9.81885478702823e-52
"Ntng1",1.33532336754969e-55,-0.897961651179522,0.029,0.697,2.45979917536327e-51
"Myl6",1.61830945539312e-55,0.414759996506795,1,1,2.98108784777966e-51
"Nell1",3.25940504657816e-55,-0.779744288004815,0.035,0.687,6.00415003630162e-51
"Rab26",3.37178254420915e-55,0.663802118613519,0.987,0.768,6.21116062468768e-51
"Sparcl1",6.85430543705277e-55,0.656296323091282,1,0.97,1.26263160455949e-50
"Robo2",8.24083897329632e-55,-0.758052428285227,0.407,0.909,1.51804494727091e-50
"Ppia",1.12228118251176e-54,0.433193722534111,1,1,2.06735416630491e-50
"Zbtb18",1.49327524740798e-54,-0.448648369815405,0.984,1,2.75076233325024e-50
"Psma4",2.39103865941097e-54,0.830774661314518,0.975,0.667,4.40453231450094e-50
"Prdx2",5.96340766812008e-54,0.498204331767551,1,0.99,1.0985193265444e-49
"Gpc6",1.08629356751984e-53,-0.641584236233208,0.01,0.596,2.0010613807283e-49
"Gabra2",1.4921143832481e-53,-0.726890751573622,0.4,0.929,2.74862390538133e-49
"Nr2f1",1.56695307745169e-53,-0.528495155711404,0.829,0.99,2.88648426397375e-49
"Cpne7",1.84292773893997e-53,-0.817221478179578,0.051,0.717,3.39485718790132e-49
"Nectin1",2.16278387942855e-53,-0.887544183735041,0.042,0.687,3.98406418429533e-49
"Dctn3",3.76983006758818e-53,0.427094392008781,1,0.98,6.94440396750418e-49
"Itm2c",4.98216597348049e-53,0.513468596950234,1,1,9.17764793974842e-49
"Ndn",7.17360565380955e-53,0.874859994316262,0.999,0.98,1.32144989748826e-48
"Rwdd2a",7.38635819773066e-53,0.982125269578589,0.939,0.374,1.36064104360397e-48
"Man1a",4.16244406204327e-52,-0.778545294140972,0.102,0.778,7.66763820668991e-48
"Vstm2l",4.36345706792896e-52,-0.851739087463238,0.14,0.798,8.03792426483193e-48
"Unc5d",1.15504823092528e-51,-0.601405827385313,0.016,0.606,2.12771434618746e-47
"Ndufa4",1.32179632572424e-51,0.33077091543313,1,1,2.43488101161661e-47
"Sox9",2.47540420032167e-51,-0.845294457667715,0.018,0.606,4.55994207741256e-47
"Psmb3",3.01840674789507e-51,0.725019790945828,0.971,0.646,5.56020707029752e-47
"Ramp3",4.2998738124677e-51,0.754794519677847,0.988,0.727,7.92079754994675e-47
"Kcnb2",8.8458436715705e-51,-0.702317516853822,0.347,0.859,1.62949286274e-46
"Psmb2",1.66178967749919e-50,0.701643324295479,0.959,0.636,3.06118276492126e-46
"Atp1b2",2.38949988293331e-50,-0.780015702070478,0.374,0.747,4.40169773435144e-46
"Ttc9b",6.211146528726e-50,0.459940483566179,1,1,1.14415530205662e-45
"Dner",8.26003118704775e-50,-0.864281472235114,0.241,0.828,1.52158034496607e-45
"Kcnq3",9.87350640501969e-50,-0.591553514732935,0.901,0.96,1.81879861486868e-45
"Bcl11b",1.30139722415054e-49,0.764918653696126,0.982,0.556,2.39730382660772e-45
"Dock4",1.60275910870216e-49,-0.583712747843258,0.661,0.96,2.95244255414025e-45
"Sdhb",2.32834522529179e-49,0.641388131776125,0.99,0.869,4.28904473951e-45
"Sccpdh",2.54876065124342e-49,-0.766388322353699,0.568,0.848,4.6950719956555e-45
"Fras1",3.51820586758639e-49,-0.708069838104567,0.055,0.707,6.48088702868089e-45
"Gucy1a1",1.13346816936958e-48,-0.722995100369079,0.178,0.838,2.08796171479571e-44
"Trp53i11",1.52565508008777e-48,-0.782680373263239,0.088,0.727,2.81040922302968e-44
"Slc12a5",1.79943355592688e-48,-0.397136549231971,0.99,1,3.3147365533729e-44
"Psma6",2.04652259036457e-48,0.678415003412468,0.975,0.788,3.76989926371057e-44
"Scg5",2.99916334888783e-48,0.486178714934759,1,0.99,5.52475880498627e-44
"Fat3",1.02959534206495e-47,-0.662854189165168,0.587,0.818,1.89661757961784e-43
"Unc5c",1.48305835944762e-47,-0.637723392351425,0.088,0.727,2.73194180393846e-43
"Atp5f1",1.53885314114046e-47,0.501923149312758,0.999,0.99,2.83472137129484e-43
"Cyr61",2.56214486798168e-47,1.46970194048427,0.8,0.081,4.71972706130904e-43
"St6galnac5",3.01122303247924e-47,-0.672780409290961,0.648,0.929,5.54697394813e-43
"Lhx2",4.20810028178909e-47,-0.798660346679649,0.048,0.636,7.75174152908368e-43
"Gapdh",6.28068417184656e-47,0.781951585324082,1,1,1.15696483129585e-42
"Rtn4r",1.42068158744112e-46,-0.611617831416168,0.298,0.909,2.61703755222529e-42
"Mmd",1.92614783131297e-46,-0.405391130150877,0.993,1,3.54815692006162e-42
"Gpr22",2.59340976981981e-46,-0.50612652311352,0.742,0.949,4.77732013698508e-42
"Atp6v1f",3.1960209107419e-46,0.350435208406356,0.999,1,5.88739011967766e-42
"Cxcl12",3.42670141349049e-46,0.945777676531966,0.896,0.283,6.31232667379082e-42
"Vdac3",3.43518539814677e-46,0.489690056267579,0.994,0.929,6.32795502192617e-42
"Pgbd5",3.55838934550728e-46,-0.470158596903797,0.876,0.99,6.55490901335896e-42
"Lrfn5",3.99236317372403e-46,-0.456136403169155,0.936,0.99,7.35433220231703e-42
"Atp5c1",4.48747840577962e-46,0.485486070018756,1,0.99,8.26638397128664e-42
"Fkbp3",5.28484686068309e-46,0.446826371955343,0.999,0.97,9.73521640206432e-42
"Syn1",1.16780846695966e-45,-0.372495363680339,1,1,2.15121997698639e-41
"Psmb1",1.57840293138479e-45,0.555799703919888,0.991,0.97,2.90757603990392e-41
"Ptn",2.24883100154362e-45,-0.804412205351595,0.699,0.818,4.1425715879435e-41
"Ndufa11",3.07066360293404e-45,0.452977821013084,0.997,0.909,5.65646942296479e-41
"Gnb2",5.07257381972975e-45,0.465818388114925,0.999,1,9.34418823332418e-41
"Mn1",5.84276127311355e-45,-0.619955222916995,0.092,0.727,1.07629505412025e-40
"Nkiras1",6.90557438795827e-45,0.493608665627141,1,0.919,1.27207585800579e-40
"Oxr1",1.06853514796506e-44,-0.443699928015937,0.996,1,1.96834859606644e-40
"Trpc5",1.19013086423705e-44,-0.564291045362432,0.018,0.556,2.19234006501107e-40
