"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"C1ql3",3.96931753587301e-64,-0.943098722532413,0.291,0.829,7.31187983283167e-60
"Rprm",1.8045641771512e-58,1.04399108259111,0.984,0.573,3.32418767073022e-54
"Ntng1",2.48816895576848e-55,-1.18617387301547,0.029,0.744,4.58345603342112e-51
"Nptxr",7.15298433061029e-53,-0.555978376024542,0.528,0.902,1.31765124354172e-48
"Ntm",9.58228575281397e-53,-0.804846937203011,0.566,0.902,1.76515285852586e-48
"Kcnab1",2.3461968194961e-52,-0.695262008429006,0.145,0.817,4.32192916119377e-48
"Lypd1",4.52691509140119e-52,-1.19268649550324,0.799,0.841,8.33903028987013e-48
"Mef2c",1.66995483772425e-51,-0.408297737737538,1,1,3.07622380657184e-47
"Pou3f1",2.88253835776224e-51,-1.48386137624491,0.019,0.683,5.30992390883382e-47
"Ttc9b",3.39111460862018e-51,0.501499494622391,1,0.976,6.24677222053924e-47
"Syt17",1.94840999440478e-50,-0.875621162309284,0.041,0.695,3.58916605069305e-46
"Stum",3.34074243062315e-50,-0.783220084492586,0.072,0.756,6.15398163145091e-46
"Syt6",1.2168485426609e-49,0.712903922366588,0.956,0.244,2.24155670043564e-45
"Dner",2.14680439852171e-49,-0.979915873206512,0.241,0.805,3.95462838251684e-45
"Foxp2",1.06315428980687e-48,0.816590809306642,0.981,0.378,1.95843651725323e-44
"Timp2",5.91392730774462e-47,-0.665740505074242,0.858,0.976,1.08940454935964e-42
"Fam19a1",1.24664100829165e-46,-1.10833263942939,0.02,0.646,2.29643740137404e-42
"Rab3c",6.27431217060022e-46,-0.873697668363331,0.926,0.963,1.15579104494627e-41
"Ncald",1.06371281735037e-45,0.519464493744414,0.997,0.866,1.95946538084112e-41
"Nxph3",1.29946648086648e-45,0.679364843972365,0.952,0.268,2.39374720440415e-41
"Ccdc12",1.42942827260404e-45,0.57522789267307,0.999,0.902,2.6331498209639e-41
"Cpne7",2.81321969628696e-45,-0.81568318584312,0.051,0.707,5.1822320025302e-41
"Trbc2",5.21492529446685e-44,0.687902935863392,0.966,0.341,9.60641388493738e-40
"Rtn4rl1",6.17592663803806e-44,-0.564431247589937,0.013,0.585,1.13766744599299e-39
"Rapgef5",2.37789426864397e-43,-0.678501108351848,0.413,0.841,4.38031903226906e-39
"Cnr1",5.12456477541389e-43,-0.658345984199532,0.201,0.817,9.43996077278992e-39
"Nptx1",8.13768321183231e-43,0.536268042258013,0.994,0.659,1.49904262445163e-38
"Gabra2",8.68590473663512e-43,-0.76598865575531,0.4,0.829,1.60003051153556e-38
"St6galnac5",9.63370299688308e-42,-0.693145333214986,0.648,0.915,1.77462442905583e-37
"Pcp4",5.95005195312254e-41,0.57010540108499,0.997,0.854,1.0960590702847e-36
"Robo2",2.03535330345013e-40,-0.654583574234395,0.407,0.878,3.74932432028549e-36
"Srgap3",6.97875112997229e-40,-0.613422842935012,0.286,0.829,1.2855557456522e-35
"Pex5l",7.03997173816663e-40,-0.725724695856588,0.756,0.902,1.29683319388767e-35
"Hs3st4",1.44501734360161e-39,0.733578087664914,0.99,0.646,2.66186644864852e-35
"Trpc5",1.91903438469773e-39,-0.564582483165015,0.018,0.561,3.53505324005169e-35
"Dgkb",2.31702796889994e-39,-0.64225400687118,0.488,0.902,4.26819722151057e-35
"1190002N15Rik",6.22915895007743e-39,-0.699176283479945,0.19,0.756,1.14747337019376e-34
"Bcl6",9.35130007292729e-38,-0.756501055287674,0.019,0.549,1.72260298643394e-33
"Tmem47",1.0552018955117e-37,-0.804702495430149,0.152,0.707,1.94378741172211e-33
"Bhlhe40",1.30322719016106e-37,-0.723930312132434,0.169,0.817,2.40067480699569e-33
"Cacna2d3",1.84593323636312e-37,-0.697248693553025,0.054,0.646,3.40039361470451e-33
"Bhlhe22",1.020054199089e-36,-0.560629933065481,0.028,0.573,1.87904184014184e-32
"Fras1",1.14437987200695e-36,-0.710713869804685,0.055,0.634,2.10806216222401e-32
"Lamp5",2.04053371040745e-36,-1.01979345693628,0.053,0.622,3.75886714794156e-32
"Etl4",3.41698328875377e-36,0.428585748291123,0.981,0.488,6.29442491621332e-32
"Zfp703",5.70914168349276e-36,-0.838475111882008,0.102,0.646,1.0516809895162e-31
"Rtn4",7.68844760831381e-36,0.371344729809691,1,1,1.41628893392749e-31
"Ajap1",1.35691005730443e-35,-0.566783179788208,0.069,0.671,2.49956401656049e-31
"Pid1",5.0761050922787e-35,-0.588458364666868,0.429,0.817,9.35069319048659e-31
"Etv1",1.41749382999983e-34,-0.904515698732068,0.46,0.829,2.61116538424269e-30
"Cck",2.52858515548839e-34,-0.677817626536693,0.524,0.78,4.65790671492517e-30
"Tagln3",3.17997189649736e-34,0.436618464506007,1,1,5.85782623053779e-30
"Kcng1",4.13029425015561e-34,-0.728278662108229,0.092,0.683,7.60841503821164e-30
"Stxbp6",2.59647989502703e-33,-1.11970405250533,0.028,0.524,4.78297561462929e-29
"Sema5a",2.94478496502665e-32,0.663124052490153,0.908,0.305,5.4245883840756e-28
"Ndst3",5.18067861900502e-31,-0.696488581224161,0.226,0.707,9.54332808406914e-27
"Tle4",8.44128697325069e-31,0.561539749267302,0.974,0.622,1.55496947334251e-26
"Stmn1",1.01066942089718e-30,0.266484619091495,1,1,1.86175414023469e-26
"Fxyd7",2.79408025947987e-30,0.332940464130729,0.999,0.963,5.14697524598788e-26
"Ppfia2",5.69255077463457e-30,-0.555482797894137,0.653,0.915,1.04862477819543e-25
"Rph3a",9.25589558671281e-30,0.482787884412577,0.984,0.61,1.70502852602837e-25
"Adcyap1",1.34449497146268e-29,-0.572833205915628,0.022,0.476,2.47669418693139e-25
"Itm2c",2.31346036701179e-29,0.371417970369111,1,1,4.26162534207242e-25
"Lrrtm4",2.56210554505665e-29,-0.540759745623389,0.27,0.707,4.71965462454885e-25
"Sla",2.75636624336282e-29,0.588163961355681,0.831,0.207,5.07750225689866e-25
"Slc16a2",3.78515381631731e-29,-0.63976584159753,0.22,0.72,6.97263184503812e-25
"Sulf1",3.98989975338126e-29,0.498294499200845,0.835,0.22,7.34979433570362e-25
"Reln",4.60845510757534e-29,-0.645758102576977,0.02,0.451,8.48923515366454e-25
"Cntnap5a",1.11714020179513e-28,-0.757168361651219,0.099,0.585,2.05788396572681e-24
"Vstm2l",4.58978213684234e-28,-0.660110823710459,0.14,0.634,8.45483767427728e-24
"Kirrel3",5.70955388396132e-28,-0.56120730272654,0.023,0.451,1.05175692096452e-23
"Rab3b",6.47674856995976e-28,0.54663040588144,0.912,0.366,1.19308185407229e-23
"Serpine2",7.14750102534085e-28,-0.701393731528802,0.031,0.488,1.31664116387804e-23
"Col12a1",3.94478553301817e-27,0.618198920128867,0.793,0.183,7.26668943037276e-23
"Chst8",4.26731535729344e-27,-0.525715936521777,0.042,0.512,7.86082161967025e-23
"Rab26",5.57718085946534e-27,0.447498210910868,0.987,0.732,1.02737248612211e-22
"Tiam1",5.8812907295943e-27,-0.550141249570621,0.562,0.841,1.08339256529857e-22
"Fam84b",6.93380193138785e-27,-0.583447793287021,0.035,0.488,1.27727565378096e-22
"Pcdh8",7.50346689121371e-27,-0.699933013624895,0.086,0.561,1.38221363603048e-22
"Zbtb18",8.38459615949065e-27,-0.363366697920156,0.984,1,1.54452645853977e-22
"Ubb",1.42889097551971e-26,0.45414326217088,1,1,2.63216006600486e-22
"Arpc3",1.44178544659117e-26,0.383090581692156,1,1,2.6559129711656e-22
"Opcml",1.46008791730735e-26,-0.334289212320721,0.999,1,2.68962795247187e-22
"Efhd2",1.57787795953823e-26,0.394699942475931,0.999,1,2.90660898926537e-22
"Nebl",3.73917343566594e-26,-0.498952307996631,0.2,0.695,6.88793138584022e-22
"Fam126a",4.25016755271372e-26,-0.741947879995899,0.175,0.61,7.82923364885395e-22
"Galnt14",4.48934264235637e-26,-0.435045274073086,0.035,0.476,8.26981808148466e-22
"Rasl11b",4.76181074288019e-26,0.510715409621369,0.921,0.427,8.77173156945961e-22
"3110035E14Rik",5.59962977773987e-26,0.365469090343507,0.999,1,1.03150780135746e-21
"Sphkap",9.14012218412403e-26,-0.424165912302294,0.901,0.988,1.68370190753749e-21
"Slc1a2",3.02283775303763e-25,0.408529329537054,0.997,0.915,5.56836942487061e-21
"Lhx2",3.54281757957318e-25,-0.575006885963601,0.048,0.476,6.52622426333175e-21
"Tmsb10",3.54822372141594e-25,0.337976071291752,1,1,6.53618291722031e-21
"Sorl1",4.11004268220512e-25,-0.431897443439867,0.943,0.951,7.57110962489005e-21
"Prdx1",4.46682016648252e-25,0.428528783460633,0.999,0.927,8.22832942867744e-21
"Tmem200c",1.06500518712037e-24,-0.321541668809197,0.003,0.317,1.96184605519443e-20
"Rai14",1.30346793918357e-24,0.422303743832225,0.816,0.244,2.40111829077005e-20
"Tmem200a",1.65399420380494e-24,-0.395783752813216,0.034,0.451,3.04682272282908e-20
"Gprc5b",1.7036534513201e-24,-0.553699936462527,0.034,0.451,3.13830002267676e-20
"Cntn4",1.88266248203764e-24,-0.460259947482076,0.12,0.61,3.46805255816153e-20
"Efna5",1.96069694641226e-24,-0.542462564712816,0.126,0.573,3.61179984498603e-20
"Camk1",2.18859698690347e-24,0.425897882030051,0.977,0.695,4.03161450957489e-20
"Lingo2",3.15612345120687e-24,-0.501132832584598,0.476,0.89,5.81389500946817e-20
"Gm3764",5.54395498536023e-24,-0.437682493878994,0.511,0.829,1.02125194785321e-19
"Kcnip4",7.85511227669718e-24,-0.444252103200603,0.293,0.78,1.44699023249039e-19
"Tbr1",1.00978641250182e-23,0.342676441440449,0.999,0.939,1.86012755046961e-19
"Tenm4",1.02327109303499e-23,-0.426470826498316,0.62,0.841,1.88496768047976e-19
"Mgat4c",1.04062344574536e-23,0.499165738007443,0.933,0.5,1.91693244940753e-19
"Tenm1",1.35354446638043e-23,0.392929113119321,0.971,0.61,2.49336426151939e-19
"Tle3",1.76708621773052e-23,-0.325235790181082,0.013,0.366,3.25514952168138e-19
"Mbp",2.03029816540066e-23,-0.536932592907842,0.327,0.756,3.74001225048456e-19
"Tmem178b",2.81674005887757e-23,-0.417254346728704,0.472,0.878,5.18871686245836e-19
"Uchl1",4.14412024781411e-23,0.355629828730629,1,1,7.63388390849838e-19
"Zdhhc22",5.82909556539238e-23,0.269415789659377,0.908,0.415,1.07377769410093e-18
"Psmb5",7.8317263002651e-23,0.405339965968204,0.994,0.939,1.44268230177183e-18
"Ogfrl1",7.96214294300385e-23,0.331673720920154,1,0.976,1.46670635153074e-18
"Arhgef26",8.77446924098235e-23,-0.434032868458833,0.016,0.366,1.61634497888136e-18
"Meg3",1.09112252875262e-22,-0.261572848976727,1,1,2.00995681021519e-18
"Vat1l",1.60797580324888e-22,-0.661352497230439,0.188,0.659,2.96205222716476e-18
"Hcn1",1.87484134516429e-22,-0.439437175988562,0.904,0.902,3.45364524192714e-18
"Brinp3",1.99344568363585e-22,-0.452538843898758,0.05,0.476,3.67212629382559e-18
"Rimklb",2.02394562594778e-22,-0.471472426246808,0.274,0.732,3.72831023755841e-18
"Psmb6",2.09922873550355e-22,0.380884572501759,0.994,0.963,3.86698925367109e-18
"Unc5c",2.13064591733713e-22,-0.419397081122188,0.088,0.537,3.92486284432673e-18
"Kcnn2",2.13935976510673e-22,-0.537171614440218,0.474,0.768,3.9409146233031e-18
"Fam84a",2.53801064954144e-22,-0.57212224178619,0.082,0.537,4.67526941752028e-18
"Tenm2",3.45881135475949e-22,-0.422459637618943,0.75,0.878,6.37147639660245e-18
"Rprml",3.96031235694747e-22,0.304661926645875,0.999,0.988,7.29529139273294e-18
"Rhbdl3",4.18965788637144e-22,-0.390819673380276,0.02,0.378,7.71776879248483e-18
"Man1a",4.29160465502447e-22,-0.413952048402485,0.102,0.585,7.90556493502058e-18
"Crip2",4.63561621188769e-22,0.303991709378916,1,0.988,8.53926862391831e-18
"Tmeff1",5.00861202512508e-22,-0.478447819876783,0.599,0.854,9.2263642114829e-18
"Adamts2",5.17844915360927e-22,-0.79186989416041,0.064,0.427,9.53922118586363e-18
"Lrp1b",5.36351566751829e-22,0.269847670425705,0.98,0.646,9.88013221113544e-18
"Glul",5.84653665569591e-22,0.512770338883656,0.934,0.549,1.07699051734574e-17
"Igfbp4",6.06807227661186e-22,-0.965554114248844,0.38,0.646,1.11779959407467e-17
"Mgll",7.27993426696032e-22,0.45920741986906,0.918,0.488,1.34103669131676e-17
"Gm26917",8.90332094968667e-22,-0.392709080071602,0.804,0.89,1.64008075214178e-17
"Hsp90ab1",9.23482294485758e-22,0.384213065870042,1,1,1.70114673467221e-17
"Ptma",1.13171058702639e-21,0.25708174427207,1,1,2.08472407236131e-17
"Ifi27",1.26703333113858e-21,0.517146762687901,0.937,0.537,2.33400209929038e-17
"Park7",1.28787429694953e-21,0.299422820839296,0.999,0.988,2.37239324241073e-17
"Cacna1g",1.32557546035124e-21,-0.393362818952067,0.14,0.634,2.44184255551302e-17
"Gnb2",1.32559019895156e-21,0.32407049229804,0.999,1,2.44186970548867e-17
"Gapdh",1.41439958677136e-21,0.503508338591746,1,1,2.60546547879152e-17
"Cdk17",1.43599492584755e-21,-0.354227158776152,0.924,0.988,2.64524625290378e-17
"A830036E02Rik",1.7390189062093e-21,-0.388857706737546,0.038,0.427,3.20344672712815e-17
"Ldb2",1.74693620918094e-21,-0.362481237145517,0.934,0.988,3.2180311909322e-17
"Clta",2.3986033006875e-21,0.274186793896471,1,0.976,4.41846714019644e-17
"Cntnap4",2.85258698375954e-21,0.469370991973894,0.892,0.427,5.25475048278344e-17
"Cdh7",3.45502633417934e-21,-0.494372751992574,0.107,0.512,6.36450401019176e-17
"Rassf3",3.63413322904126e-21,-0.432038229644918,0.045,0.439,6.69443682121691e-17
"Gucy1b1",4.18076300119537e-21,-0.331225105818352,0.904,0.988,7.701383524502e-17
"Cdk2ap1",4.21255882319112e-21,-0.414436807636264,0.28,0.695,7.75995460820036e-17
"Ramp3",5.88444359574265e-21,0.439780715162329,0.988,0.793,1.08397335477175e-16
"Fam135b",5.99317303489668e-21,-0.404179356993882,0.737,0.866,1.10400240475832e-16
"Gcnt2",6.31982031111559e-21,-0.31501803649287,0.018,0.354,1.1641740995106e-16
"Itgav",9.11522703548831e-21,-0.528024696700358,0.28,0.646,1.6791159722073e-16
"Lsp1",9.15406572084369e-21,0.677276352715228,0.68,0.146,1.68627044643662e-16
"Nov",1.19125790873874e-20,-0.492719735817058,0.587,0.902,2.19441619368764e-16
"Luzp2",1.20511104954331e-20,-0.550208453421843,0.034,0.402,2.21993506436374e-16
"Sec14l1",2.0310890195555e-20,-0.44904724580689,0.74,0.902,3.74146908292318e-16
"Psmb2",2.37100998651425e-20,0.427774048621986,0.959,0.793,4.36763749615791e-16
"Grik2",2.66061625597344e-20,-0.437952221830682,0.527,0.78,4.90112120512868e-16
"Ddah1",3.15873726689928e-20,0.577070564021973,0.864,0.378,5.81870991935515e-16
"Slc30a3",3.27154345031921e-20,-0.328560907890285,0.022,0.354,6.02651018983301e-16
"Rwdd2a",3.34607746736434e-20,0.534787209320538,0.939,0.61,6.16380930263185e-16
"Cacna1h",3.82084440153522e-20,-0.530695866048399,0.165,0.561,7.03837747206804e-16
"Psma4",3.97524620519426e-20,0.461689793826572,0.975,0.817,7.32280103458835e-16
"Kcnb2",4.37554782727094e-20,-0.3845323198006,0.347,0.744,8.06019665261581e-16
"Ccng1",5.47024607292556e-20,-0.41494370389466,0.666,0.854,1.00767402909362e-15
"6430573F11Rik",6.32962501418917e-20,-0.425333500732438,0.018,0.341,1.16598022386379e-15
"Slc12a5",6.42707883399364e-20,-0.263754868045181,0.99,1,1.18393219200997e-15
"Itm2b",7.8445977451524e-20,0.374571122462801,1,0.988,1.44505335063452e-15
"Basp1",8.21454808840121e-20,0.262441636991208,1,1,1.51320190336439e-15
"Doc2b",8.70827903419784e-20,-0.355000743059098,0.004,0.268,1.60415208088958e-15
"Pcdh9",9.85001853103646e-20,0.338922447628152,0.991,0.89,1.81447191360223e-15
"Islr2",1.01358603082726e-19,0.418851330583503,0.888,0.439,1.86712682738689e-15
"Kctd4",1.08631684585119e-19,-0.430736232825545,0.216,0.634,2.00110426174248e-15
"Cdkl4",1.12270974018975e-19,-0.451991735569101,0.314,0.707,2.06814361240354e-15
"Itpr1",1.46039700638599e-19,0.275369269763046,0.999,0.902,2.69019732546362e-15
"Pbx1",1.51506486640997e-19,0.273505470072034,1,1,2.79090099041381e-15
"Tcerg1l",1.61373758360618e-19,-0.551841330499706,0.026,0.366,2.97266600276094e-15
"Lrrtm2",1.76832006638198e-19,0.370890625981836,0.99,0.866,3.25742239428225e-15
"Gng7",2.04447044528237e-19,-0.472270179303898,0.128,0.512,3.76611900725466e-15
"Arhgap25",2.11343963614222e-19,0.434855202489919,0.764,0.244,3.89316715373759e-15
"Gucy1a1",3.05249927697833e-19,-0.480514739153487,0.178,0.61,5.62300891812178e-15
"Drd1",3.09051290338123e-19,0.284644090245117,0.689,0.195,5.69303381931856e-15
"Plcb4",3.27895984789462e-19,0.594925056459865,0.958,0.72,6.04017193580668e-15
"Nr3c2",3.30191996016587e-19,-0.460122936432047,0.147,0.537,6.08246675862156e-15
"Ckb",3.69019467450887e-19,0.396465620055599,0.999,0.988,6.79770760991279e-15
