"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cck",6.88394039255178e-101,-1.21551705635291,0.524,0.809,1.26809065971196e-96
"Nptxr",6.38474258612121e-96,-0.972838811298939,0.528,0.875,1.17613343178939e-91
"Mef2c",1.12495066354221e-89,-0.534649906356803,1,1,2.07227161731111e-85
"Nrn1",1.06848705886893e-83,-1.00417628167888,0.488,0.816,1.96826001114246e-79
"C1ql3",6.00661478926615e-78,-0.993411127484656,0.291,0.765,1.10647851033072e-73
"Rprm",1.83772976968984e-69,0.959548424000763,0.984,0.632,3.38528200874565e-65
"Cnr1",1.5764071490329e-65,-0.938070325435953,0.201,0.706,2.9038996092335e-61
"Slc30a3",2.65217738638059e-64,-0.882712442653199,0.022,0.603,4.88557596345168e-60
"Slc39a10",3.80755834954561e-63,-0.443317792075044,0.965,0.978,7.01390323569796e-59
"Fam19a1",1.98140840604487e-62,-0.846171283195845,0.02,0.618,3.64995242477525e-58
"Ntm",7.08216013235585e-61,-0.759444390900008,0.566,0.846,1.30460471798127e-56
"Kcnab1",1.19186779702084e-60,-0.704096793255781,0.145,0.75,2.19553966889209e-56
"R3hdm1",1.76435966489346e-60,-0.523206335765558,0.993,1,3.25012693870025e-56
"Nwd2",4.24594015509623e-60,-0.696640441174271,0.308,0.846,7.82144635970277e-56
"Foxp2",5.36641494613721e-59,0.583899772695535,0.981,0.412,9.88547297227935e-55
"Srgap3",7.6381089542919e-58,-0.715755553548806,0.286,0.816,1.40701605047011e-53
"Syt6",9.13691684572436e-58,0.615370316705698,0.956,0.338,1.68311145215088e-53
"Stum",1.22773243874079e-56,-0.796224100002316,0.072,0.64,2.2616059254044e-52
"Camk2d",1.90789583461527e-56,-0.854500188577662,0.282,0.801,3.51453491694479e-52
"Camk2n1",2.29401237845074e-55,-0.47437736780278,0.999,1,4.22580020234411e-51
"Cpne5",1.13214031765472e-53,-0.695279205515749,0.111,0.662,2.08551567915176e-49
"Necab1",1.52725128830039e-52,-0.616304779036392,0.612,0.875,2.81334959817816e-48
"Epha4",1.75116485742177e-52,-0.561324514135918,0.901,0.926,3.22582078385664e-48
"Syt17",4.8637044045457e-50,-0.630985816809635,0.041,0.581,8.95942988361364e-46
"Kcnb2",5.76297472197057e-50,-0.644946993876869,0.347,0.779,1.0615975735342e-45
"Gpc6",5.90444066866996e-50,-0.587431457579694,0.01,0.478,1.08765701557569e-45
"Ccdc12",5.30799596749972e-49,0.470603280932722,0.999,0.941,9.77785937173123e-45
"Syt4",6.68920363648419e-49,-0.371177670493136,1,1,1.23221820187675e-44
"Vstm2l",1.40752071544923e-48,-0.779770204891382,0.14,0.662,2.59279390992903e-44
"Slc24a3",7.16506230927171e-48,-0.782371338789256,0.08,0.588,1.31987612799094e-43
"Lmo3",1.03287261823716e-47,0.367494137228282,0.997,0.581,1.90265465005467e-43
"Nfia",6.30555035878171e-47,0.648788032306932,0.965,0.5,1.16154543159118e-42
"Wls",1.66044384185471e-46,-0.565531659545737,0.026,0.515,3.05870360108056e-42
"Bcl11b",2.28642836035206e-46,0.464348809848689,0.982,0.522,4.21182968260452e-42
"Pkib",3.05227761206184e-46,-0.718797192296116,0.165,0.625,5.62260058917912e-42
"Wnt4",1.21911491637133e-45,-0.597756219721164,0.149,0.684,2.24573158744762e-41
"Slc2a13",2.52058628574479e-45,-0.611271676001244,0.296,0.75,4.64317199697048e-41
"Car10",1.13039196076949e-44,-0.591076802722356,0.594,0.824,2.08229503093348e-40
"Etv1",1.19836375285372e-44,-1.04460750125832,0.46,0.647,2.20750586913184e-40
"Auts2",1.55957716139032e-44,-0.480587014309654,0.771,0.941,2.87289708899711e-40
"Bhlhe22",3.53616737540862e-44,-0.555085818596871,0.028,0.507,6.51397392224022e-40
"Rimbp2",3.95677327917617e-44,-0.507510982292182,0.603,0.838,7.28877205757042e-40
"Ajap1",5.47817314398431e-44,-0.616923700736696,0.069,0.588,1.00913427485335e-39
"Ptprk",1.05871847599677e-43,-0.544045632443345,0.072,0.559,1.95026530463365e-39
"Ifi27",1.49413575850839e-43,0.446538118675458,0.937,0.397,2.75234748074831e-39
"Rtn4rl1",3.42190815607153e-43,-0.426584749746691,0.013,0.449,6.30349701429936e-39
"Pcdh15",7.53299785212772e-43,-0.610309529223739,0.228,0.632,1.38765353434045e-38
"Ptgfrn",1.35555532486822e-42,-0.538222120431719,0.007,0.412,2.49706846393974e-38
"Efna5",1.4901923651289e-42,-0.633016256895308,0.126,0.64,2.74508335580394e-38
"Sema5a",1.62323881953924e-42,0.508728715740937,0.908,0.346,2.99016822947323e-38
"Ntng1",2.24563978038558e-42,-0.498041865358554,0.029,0.5,4.13669303944828e-38
"Robo2",6.53974037504237e-42,-0.568504914924803,0.407,0.765,1.20468557448656e-37
"Scube1",1.11466099002045e-41,-0.582372944102584,0.083,0.596,2.05331700971668e-37
"Kcnip4",1.32932127748971e-41,-0.535538173277728,0.293,0.743,2.44874272526379e-37
"Cntn4",1.75027378053722e-41,-0.534325979179797,0.12,0.647,3.22417933112761e-37
"Gm26917",1.87103929988652e-41,-0.509801461922795,0.804,0.963,3.44664149432095e-37
"Tle4",3.57306564611147e-41,0.426851709092341,0.974,0.529,6.58194422670195e-37
"Dnajc21",4.29716743038594e-41,-0.660479063533813,0.555,0.86,7.91581212351394e-37
"Atp1b2",1.55802057002609e-40,-0.662326907951986,0.374,0.772,2.87002969204506e-36
"Fbxw7",2.34606900680338e-40,-0.348543466223567,0.991,1,4.32169371743251e-36
"Nectin1",2.87164754473106e-40,-0.630657121433611,0.042,0.5,5.28986194214908e-36
"Nrsn1",5.20696095830227e-40,-0.462955233154146,0.977,1,9.59174278128862e-36
"Hlf",7.04748764940444e-40,-0.481924262646161,0.908,0.985,1.29821769989679e-35
"Rapgef5",7.91404610065019e-40,-0.505515745804043,0.413,0.809,1.45784643220077e-35
"Nyap2",1.16824483397941e-39,-0.504956747343955,0.454,0.765,2.15202380867348e-35
"Tmem178b",1.62247595760211e-39,-0.487537218895706,0.472,0.838,2.98876296149885e-35
"Hs3st4",2.3602765279025e-39,0.456567756507888,0.99,0.669,4.34786539204919e-35
"Cpne4",3.15200542281204e-39,-0.688758425670556,0.184,0.684,5.80630918936205e-35
"Trpc5",3.58913570617142e-39,-0.432817457109427,0.018,0.434,6.61154688433838e-35
"Dkkl1",1.13267753766177e-38,-0.701335220577868,0.152,0.603,2.08650529212674e-34
"Tenm2",1.91808287808672e-38,-0.489295082506354,0.75,0.971,3.53330046972354e-34
"Ptn",2.70224140335894e-38,-0.643809226820464,0.699,0.831,4.9777988891275e-34
"Lhx2",5.26619614113443e-38,-0.685550233504451,0.048,0.463,9.70085991158373e-34
"Cdh10",8.29604343063977e-38,-0.483829732875418,0.27,0.713,1.52821416035815e-33
"Rims3",2.30832735354271e-37,-0.608273638203098,0.315,0.662,4.25216981796103e-33
"Rora",2.64122412769359e-37,-0.707858870570138,0.388,0.691,4.86539896562436e-33
"Crym",2.73558984511348e-37,0.477577700377998,0.996,0.868,5.03923005368354e-33
"Plcxd2",6.5260398147475e-37,-0.580797282354864,0.128,0.596,1.20216179427464e-32
"Nr2f1",8.63458698840893e-37,-0.409458405369574,0.829,0.956,1.59057726913481e-32
"Coch",9.02124616979874e-37,-0.543268028455726,0.004,0.346,1.66180375693863e-32
"Cacng3",1.5398463478259e-36,-0.409995016104364,0.632,0.816,2.83655095733009e-32
"Thrb",2.40283032327012e-36,-0.457401432442298,0.701,0.912,4.42625373849588e-32
"Marcksl1",2.56420062812724e-36,-1.18490748974506,0.074,0.412,4.7235139770732e-32
"Camk2n2",3.26907945776013e-36,-0.675210785011303,0.365,0.765,6.02197126913993e-32
"Pdzrn3",5.00484506134655e-36,-0.382104066746524,0.012,0.382,9.21942508750649e-32
"Fhl1",7.81482965685015e-36,-0.45217682716098,0.128,0.581,1.43956977108837e-31
"Nrip3",1.02397950291189e-35,0.38741411404696,0.984,0.618,1.88627264231399e-31
"Arpp21",1.23036817597137e-35,-0.336442766469491,1,1,2.26646121695686e-31
"Sox9",1.36973197492215e-35,-0.694904034228802,0.018,0.39,2.52318327100409e-31
"Timp2",1.48422010475495e-35,-0.500313320923279,0.858,0.941,2.7340818549691e-31
"Nxph3",2.60962930270952e-35,0.353387114643984,0.952,0.5,4.80719813852121e-31
"Lmo1",4.06267750105138e-35,0.621423518439342,0.899,0.412,7.48385822468675e-31
"Oxr1",4.24492313023009e-35,-0.341333638127787,0.996,0.985,7.81957289819684e-31
"Fat3",4.87825426861315e-35,-0.500222342115868,0.587,0.831,8.98623218821228e-31
"Unc5d",7.74426545003231e-35,-0.383130337505816,0.016,0.39,1.42657113855045e-30
"Zbtb18",8.73722600401938e-35,-0.353253357155587,0.984,1,1.60948440220041e-30
"Il1rapl2",1.13536599117766e-34,-0.447009344478096,0.006,0.338,2.09145769234837e-30
"Syndig1",1.94714604304593e-34,-0.421729540562201,0.039,0.449,3.58683772589491e-30
"1190002N15Rik",2.22557528845228e-34,-0.505464426120449,0.19,0.603,4.09973223885794e-30
"Tagln3",2.25515749733782e-34,0.3561812815968,1,1,4.15422562584599e-30
"Gabra2",4.49300522436029e-34,-0.522297499742701,0.4,0.801,8.27656492379409e-30
"Crhr1",5.52495273753623e-34,-0.368656599162789,0.026,0.419,1.01775154378155e-29
"Unc5c",6.95837797262666e-34,-0.427819252983194,0.088,0.537,1.28180280633756e-29
"Plxnd1",9.35040803077403e-34,-0.406159908063095,0.01,0.353,1.72243866334888e-29
"Slc4a3",1.10573442227152e-33,-0.401911265033975,0.524,0.831,2.03687337926637e-29
"Galnt17",1.2396822837745e-33,-0.498842080895464,0.502,0.794,2.28361873494101e-29
"Deptor",2.17975744681898e-33,-0.686394544981244,0.524,0.669,4.01533119278525e-29
"Bok",2.21420690370439e-33,-0.53592637026887,0.364,0.662,4.07879053731386e-29
"Tle3",2.35227732823823e-33,-0.363493772119918,0.013,0.368,4.33313006634765e-29
"Klhdc8a",3.70098326977739e-33,-0.516573011007684,0.083,0.485,6.81758128125692e-29
"Plcb4",2.99174917907982e-32,0.600341277202883,0.958,0.64,5.51110116278294e-28
"Slc12a5",3.5281479809177e-32,-0.294857001571134,0.99,1,6.4992013956485e-28
"Rwdd2a",3.64837309153074e-32,0.453188974162131,0.939,0.507,6.72066807190878e-28
"Man1c1",3.80823200023597e-32,-0.318587599441954,0.009,0.338,7.01514416763469e-28
"Lin7a",4.84929834746397e-32,-0.495617968015928,0.343,0.757,8.93289248586339e-28
"Bhlhe40",5.07235046244448e-32,-0.644136392156194,0.169,0.603,9.34377678686897e-28
"Fndc5",6.47217502481512e-32,-0.492922723865674,0.229,0.61,1.19223936132119e-27
"Tenm4",7.19349934511977e-32,-0.441893648933992,0.62,0.875,1.32511451436451e-27
"Man1a",7.81081013138813e-32,-0.559381700222321,0.102,0.529,1.43882933430301e-27
"Hdac9",8.38483771605533e-32,-0.518205687655881,0.166,0.574,1.54457095567455e-27
"Sla",9.60326722582765e-32,0.491058356460797,0.831,0.309,1.76901785566971e-27
"Rab3c",1.84490487474937e-31,-0.549032024002488,0.926,0.993,3.39849926977582e-27
"Lingo1",2.19943585207292e-31,-0.310197989299204,0.98,0.985,4.05158078310353e-27
"Lmo4",2.48624855214571e-31,-0.278517588296334,0.999,1,4.57991845790761e-27
"Psmb5",2.51205562980163e-31,0.378381397320211,0.994,0.963,4.62745767565758e-27
"Edil3",2.62598085902439e-31,-0.538367553975043,0.298,0.706,4.83731934040883e-27
"Kcnq3",3.49167626394271e-31,-0.42232504814792,0.901,0.949,6.43201684580886e-27
"Mn1",6.26848116303854e-31,-0.407574383767366,0.092,0.544,1.15471691504333e-26
"Ptprs",6.95005529603791e-31,-0.27771430408696,0.988,1,1.28026968608314e-26
"Spon1",9.52156885571098e-31,0.299374280881271,0.945,0.522,1.75396819891052e-26
"Rabac1",2.4790409141121e-30,0.3012211137595,1,0.971,4.56664126788589e-26
"Fras1",2.76791338257848e-30,-0.461894463004993,0.055,0.463,5.09877324204782e-26
"Cnih3",4.52720687626383e-30,-0.391569450892098,0.81,0.926,8.3395677867656e-26
"Tcf4",5.77772922884955e-30,-0.274958685709586,0.999,0.993,1.06431550124638e-25
"6430548M08Rik",7.64605378193633e-30,-0.428088924962891,0.62,0.875,1.40847956717049e-25
"Dock4",2.13548372336931e-29,-0.362846937276564,0.661,0.882,3.93377456681861e-25
"Ubb",3.04896909074559e-29,0.367101259602906,1,1,5.61650596206245e-25
"Rnf152",3.6285501836168e-29,0.494996804727743,0.825,0.324,6.68415229324052e-25
"Dgkb",4.16962227933293e-29,-0.504913654392698,0.488,0.787,7.68086120075919e-25
"Ppp1r1b",4.23168615768837e-29,0.502162447896272,0.908,0.485,7.79518907107774e-25
"Htr2a",5.60228489194928e-29,-0.360783409646453,0.009,0.309,1.03199689994598e-24
"Ddah1",8.29381781734179e-29,0.384269145868992,0.864,0.39,1.52780418013253e-24
"Gpr88",9.26488221779417e-29,-0.74462584169976,0.076,0.331,1.70668395333986e-24
"Rasgrf2",1.3568421441619e-28,-0.571899234965598,0.184,0.625,2.49943891376064e-24
"Mgat5",1.59072329869543e-28,-0.41899656516746,0.326,0.662,2.93027138852684e-24
"Prag1",2.16434191117043e-28,-0.333655539477512,0.006,0.287,3.98693423456705e-24
"A830036E02Rik",2.55227222238263e-28,-0.435771153967095,0.038,0.397,4.70154066085105e-24
"Kctd4",4.75788164066659e-28,-0.442141294580204,0.216,0.64,8.76449377027192e-24
"Grin3a",9.29681343941043e-28,-0.557022452354113,0.045,0.382,1.7125660036738e-23
"St6galnac5",1.07375785724178e-27,-0.433841393254191,0.648,0.838,1.97796934882508e-23
"Kcna2",2.50833830113124e-27,-0.455118535749818,0.793,0.949,4.62060998451385e-23
"Nptx1",2.65096067841848e-27,0.315010568360506,0.994,0.985,4.88333466571468e-23
"Pou3f2",2.80140279686063e-27,-0.433526790334385,0.036,0.39,5.16046409209696e-23
