"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rprm",0,1.68086650839172,0.984,0.462,0
"Foxp2",0,1.18052752592871,0.981,0.204,0
"Syt6",0,1.07122487122819,0.956,0.099,0
"Crym",0,1.01643918849879,0.996,0.722,0
"Ccdc12",0,0.805875651635894,0.999,0.813,0
"Ubb",0,0.731049042891233,1,1,0
"Nptxr",0,-1.09456079787077,0.528,0.972,0
"C1ql3",0,-1.19884883161426,0.291,0.925,0
"Cck",0,-1.48239848002391,0.524,0.939,0
"Uchl1",1.15901539398755e-305,0.605958399576794,1,0.996,2.13502225726446e-301
"Hs3st4",2.32493708118717e-299,1.14439081938597,0.99,0.393,4.28276659725489e-295
"Nrn1",1.09124595505775e-292,-1.06940987704625,0.488,0.933,2.01018417381187e-288
"Cnr1",1.67480588467593e-291,-1.04416076128696,0.201,0.914,3.08515992016153e-287
"Slc30a3",8.50990990152699e-290,-0.969985673018683,0.022,0.812,1.56761050296029e-285
"Ndn",1.78719134484092e-281,0.818350861338121,0.999,0.971,3.29218517633146e-277
"Nfia",1.95755449486825e-279,1.00297819820451,0.965,0.435,3.60601113499681e-275
"Stum",6.54589007404079e-278,-0.889778952604048,0.072,0.851,1.20581841053905e-273
"Sema5a",4.14030402454406e-274,0.994345311084818,0.908,0.123,7.62685404361262e-270
"Plcb4",3.26269153495494e-272,1.02185771144845,0.958,0.421,6.0102040765405e-268
"Calm2",1.01809690167126e-270,0.357940668285721,1,0.999,1.87543630256862e-266
"Ifi27",2.17520252378974e-266,0.941881036627338,0.937,0.206,4.00694056907308e-262
"Tagln3",3.11536914113592e-266,0.55814055402369,1,0.993,5.73882149488649e-262
"Tle4",7.415492114759e-265,0.901529855172746,0.974,0.362,1.36600780245976e-260
"Hsp90ab1",7.93958130838498e-264,0.587627828273158,1,1,1.4625502728176e-259
"Rabac1",1.93390173978097e-258,0.552029320972969,1,0.956,3.56244039485052e-254
"Arpc3",7.42641978685972e-257,0.538414390699906,1,0.97,1.36802078893743e-252
"Gapdh",2.08519150042672e-256,0.729844209986267,1,0.99,3.84113126293605e-252
"Prdx1",2.73790623720094e-256,0.630445963067647,0.999,0.888,5.04349707954785e-252
"Psma4",4.10117655697549e-251,0.749708548765999,0.975,0.709,7.55477733560455e-247
"Ldhb",8.14679913243269e-251,0.738091106654003,0.996,0.913,1.50072186818543e-246
"Ttc9b",1.00245769930834e-250,0.479012995813577,1,0.995,1.84662732789589e-246
"Nxph3",2.39281339764649e-250,0.85166257452016,0.952,0.218,4.4078015598046e-246
"Nrip3",2.07142207346701e-249,0.906265126007358,0.984,0.395,3.81576660153358e-245
"Fez1",5.14943396616305e-249,0.594423462730613,0.999,0.883,9.48577230906895e-245
"Sla",1.7174128749245e-247,0.798430195802599,0.831,0.086,3.16364625689842e-243
"Cpne5",3.37688562559058e-247,-0.763134284568484,0.111,0.844,6.22056101090041e-243
"Rnf152",6.08837931018155e-246,0.872482989181004,0.825,0.086,1.12154035272854e-241
"Kcnab1",1.77276300759121e-241,-0.769670772089085,0.145,0.851,3.26560673628376e-237
"Ckb",8.43628064357657e-239,0.613377971683513,0.999,0.985,1.55404725735324e-234
"Rab26",2.12645806155195e-236,0.59950816261372,0.987,0.791,3.91714839518484e-232
"Lmo1",1.83415982041291e-235,0.970385104613522,0.899,0.278,3.37870580518263e-231
"Psmb6",2.84133016698314e-235,0.583049726651662,0.994,0.864,5.23401430059964e-231
"Rprml",7.36869376720642e-235,0.50971290766475,0.999,0.952,1.35738707885709e-230
"Lmo3",4.88810086446717e-234,0.722534889990801,0.997,0.485,9.00437060243497e-230
"Itm2c",6.58489314848705e-234,0.4895369174716,1,0.998,1.2130031668828e-229
"Mdh1",2.34132467230223e-231,0.619000097868325,1,0.993,4.31295417884793e-227
"Psmb5",4.11397551670361e-230,0.585696216445438,0.994,0.892,7.57835429931972e-226
"Nwd2",9.27751865689205e-230,-0.81016366486882,0.308,0.9,1.70901171178608e-225
"Prdx2",4.05859744612293e-229,0.476891068714823,1,0.971,7.47634235550306e-225
"Gnb2",3.73721975513139e-228,0.463162899345942,0.999,0.986,6.88433251092752e-224
"Psmb1",3.83686402928357e-228,0.550400130843965,0.991,0.929,7.06788722834327e-224
"Ntm",9.3671300310283e-228,-0.816774204977473,0.566,0.956,1.72551902301572e-223
"Rwdd2a",1.43178444446029e-227,0.884052325701868,0.939,0.394,2.63749012514031e-223
"Ppp1r1b",2.61682213205471e-226,0.864702227459926,0.908,0.282,4.82044804945798e-222
"Ccl27a",1.68550097593514e-222,0.487820239904612,0.999,0.962,3.10486134777012e-218
"Srgap3",2.68728669003174e-222,-0.73673922935885,0.286,0.906,4.95025081170748e-218
"Bcl11b",3.41349360979484e-222,0.768971971216522,0.982,0.451,6.28799657860308e-218
"Ramp3",5.0635144816033e-220,0.704547064056761,0.988,0.641,9.32750002656144e-216
"Psma6",6.79046601808517e-220,0.629996869971015,0.975,0.742,1.25087174519147e-215
"Syt17",1.04982041519123e-219,-0.745542522997251,0.041,0.736,1.93387418682377e-215
"Efhd2",1.3163003675526e-219,0.582642172120758,0.999,0.975,2.42475690706864e-215
"Park7",2.65167289502576e-219,0.462684916197807,0.999,0.961,4.88464663992695e-215
