"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tle4",2.00768192742282e-90,-1.16842985077118,0.451,0.712,3.89269448908011e-86
"C1ql3",7.0379446693137e-86,0.989949833685782,0.824,0.501,1.36458709193323e-81
"Nptxr",3.59727440744385e-83,0.93275624030513,0.906,0.704,6.97475534859288e-79
"Ccdc12",5.62107108357937e-82,-0.800753645208323,0.842,0.906,1.0898694723952e-77
"6430548M08Rik",8.86171822934574e-80,0.792310024719565,0.865,0.63,1.71819854748785e-75
"Nsf",4.79515638250454e-79,0.4288165575504,0.999,0.997,9.29732871003805e-75
"Cnr1",6.08248764290685e-79,1.00562362715562,0.775,0.498,1.17933352908321e-74
"Rimbp2",1.88892065543875e-78,0.781010913095279,0.886,0.645,3.66242825883019e-74
"Cck",2.65460952613573e-77,0.938866101647518,0.878,0.632,5.14702241022456e-73
"Syn2",6.22156840713289e-77,0.47943900058472,0.998,0.996,1.206299898459e-72
"Rnf152",2.04387034526526e-75,-1.32378887647851,0.222,0.529,3.96286021243481e-71
"Lingo1",4.48252225387967e-74,0.54499588798221,0.993,0.964,8.6911623980473e-70
"Stum",1.4439354889546e-72,0.840354115927299,0.717,0.394,2.79964651953406e-68
"Srgap3",2.78633132005651e-71,0.722325189504608,0.826,0.533,5.40241779645756e-67
"Syt17",1.16487562167947e-67,0.775291265675486,0.65,0.332,2.25857734287432e-63
"Tenm4",1.86188559852036e-66,0.677581963057087,0.898,0.69,3.61000998697112e-62
"Ajap1",1.25647729376599e-65,0.645722998282164,0.653,0.34,2.43618382488288e-61
"Camk2n1",1.03336359411557e-64,0.587944870687434,0.998,0.993,2.00358867263068e-60
"Mgat4c",1.93897602093642e-64,-0.913990540479938,0.502,0.703,3.75948060699363e-60
"Camk2a",9.93918469790657e-64,0.504742126599939,1,0.981,1.9271085210771e-59
"Mef2c",2.46016902402326e-63,0.551156153464958,1,0.999,4.77002172067869e-59
"Ckb",5.0188742938974e-62,-0.596785481922792,0.994,0.988,9.73109536843767e-58
"Sema5a",1.09095308855673e-61,-1.08293837598064,0.266,0.558,2.11524894340265e-57
"Cpne5",1.94753070974945e-61,0.70492412996857,0.711,0.413,3.77606729313321e-57
"Unc5c",1.80441178318521e-60,0.591937094354035,0.609,0.311,3.4985740064178e-56
"Pgbd5",9.40330727553295e-60,0.529184486257853,0.963,0.851,1.82320724765308e-55
"Sparcl1",3.99910079743724e-59,-0.483913508841088,0.953,0.977,7.75385653615106e-55
"Ptprk",4.18194819758812e-59,0.537561432214328,0.629,0.335,8.1083793603036e-55
"Cnih3",4.47574250854393e-59,0.625083481038676,0.919,0.758,8.67801714981582e-55
"Rapgef5",2.06358876806357e-58,0.63824018606528,0.829,0.573,4.00109226239845e-54
"Nxph3",2.58469151369499e-58,-0.88921652122505,0.35,0.618,5.01145837590323e-54
"Nrip3",3.78204798100941e-58,-0.785981926768787,0.525,0.737,7.33301283037915e-54
"Bc1",4.708435552255e-58,0.700113756282437,0.991,0.981,9.12918569226721e-54
"Bsn",1.4623545862733e-57,0.4654503500209,0.993,0.96,2.8353593073253e-53
"Rprm",4.04758717619894e-57,-0.978278073409613,0.553,0.728,7.84786677593212e-53
"Epha4",1.01123865594513e-55,0.598705509533897,0.963,0.813,1.96069063001202e-51
"Ntm",2.87071825076274e-55,0.679395866506387,0.894,0.726,5.56603561640388e-51
"Bok",3.13926033627884e-55,0.664521996646254,0.709,0.426,6.08671186601103e-51
"Col12a1",4.17751411267117e-55,-1.074221302032,0.273,0.502,8.09978211305813e-51
"Slc30a3",4.72830135047295e-55,0.747067595261807,0.591,0.307,9.16770348843201e-51
"Mgst3",6.57925815431573e-55,-0.541141256041817,0.904,0.915,1.27565236354028e-50
"App",6.77371205196649e-55,0.299809934980444,1,0.999,1.31335502975578e-50
"Hs3st4",6.94634413539606e-55,-0.689852856478198,0.516,0.707,1.34682666441194e-50
"Hrh3",9.46907177250501e-55,0.723670338678094,0.677,0.399,1.835958325971e-50
"Dgkb",9.74670401431424e-55,0.708300862445545,0.815,0.572,1.88978844133539e-50
"Slc2a13",1.63591623446529e-54,0.652089881047688,0.749,0.49,3.17187798700475e-50
"Nwd2",2.02076108912076e-54,0.65699336439655,0.796,0.547,3.91805367569624e-50
"Slc24a3",2.2051236543855e-54,0.809484431170744,0.548,0.279,4.27551425348806e-50
"Nrn1",2.5958145486583e-54,0.746323821363224,0.862,0.709,5.03302482839358e-50
"Kcnab1",2.8599964763486e-54,0.664499703671093,0.728,0.451,5.54524716799231e-50
"Syn1",4.50629092959556e-54,0.36347844876407,0.999,0.992,8.73724748339283e-50
"Wnt4",1.58168501362099e-53,0.684369946967402,0.612,0.335,3.06672907290974e-49
"Plxna4",4.47649324386275e-53,0.643545819419923,0.829,0.606,8.67947275052549e-49
"Mgat5",1.01529932095818e-52,0.624630170132304,0.769,0.507,1.96856385340582e-48
"Ttc3",1.78579088138228e-52,0.26068974863458,1,1,3.4624699399121e-48
"Lmo3",2.47000045327649e-52,-0.6926620649179,0.704,0.818,4.78908387885778e-48
"Nell1",5.01375453559597e-52,0.629495578726298,0.412,0.169,9.72116866906702e-48
"Foxp2",5.68194795856851e-52,-0.824741798066012,0.349,0.615,1.10167288968685e-47
"Rabac1",7.45184346913465e-52,-0.498501233901978,0.966,0.968,1.44483793023052e-47
"Nr2f1",1.53831557763521e-51,0.589381533990177,0.947,0.812,2.98264007347692e-47
"Ptprs",2.49472812338897e-51,0.4243280764261,0.996,0.984,4.83702835843888e-47
"Pcdh15",2.483993306791e-50,0.584989048753421,0.692,0.418,4.81621462253706e-46
"Trpc5",3.27385471918374e-50,0.514162840719722,0.476,0.223,6.34767691502535e-46
"Rtn4rl1",4.72795008337742e-50,0.614326151736689,0.563,0.294,9.16702241666049e-46
"Ramp3",1.87624735380931e-49,-0.697362713049198,0.668,0.793,3.63785599430088e-45
"Crym",2.51060710441401e-49,-0.603875267220707,0.722,0.861,4.86781611474832e-45
"Rhou",4.49382213597728e-49,0.560434872956576,0.809,0.576,8.71307173944635e-45
"Ubb",4.70154088969953e-49,-0.503288609328866,1,0.996,9.11581763103842e-45
"Calm2",6.37009407797479e-49,-0.342296708478645,0.999,0.999,1.23509754077853e-44
"Ywhag",8.43746307079156e-49,0.253193637574044,0.998,0.998,1.63593971479578e-44
"Scg5",1.04329880242269e-48,-0.417020641045583,0.991,0.979,2.02285204801735e-44
"Tmem178",4.20579632188605e-48,-0.615341621442794,0.713,0.81,8.15461848850487e-44
"Cacna1g",1.17070100921318e-47,0.486919017919954,0.591,0.328,2.26987218676343e-43
"Sox9",1.54224059258777e-47,0.830058838552866,0.404,0.171,2.99025028496842e-43
"Ntng1",1.7835644774987e-47,0.678992269357483,0.488,0.237,3.45815316542224e-43
"Cacna1b",2.14067986439531e-47,0.489110886924784,0.894,0.716,4.15056418907606e-43
"Auts2",3.20901325526118e-47,0.503080256186341,0.933,0.786,6.22195580062591e-43
"Pcp4",3.42861394975402e-47,-0.752155747803401,0.837,0.892,6.64773958717807e-43
"Olfm1",3.80256084951946e-47,0.341241731670407,1,0.999,7.37278523113329e-43
"Tecr",4.1936368833064e-47,-0.527943503858701,0.983,0.973,8.13104255304278e-43
"Slc6a17",4.49380636494756e-47,0.450384875119295,0.989,0.956,8.71304116099682e-43
"Syt4",1.09743106080259e-46,0.430123912922397,1,0.998,2.12780908379013e-42
"Tmem178b",2.13435170284159e-46,0.529541555026831,0.819,0.582,4.13829451663956e-42
"Fbxw7",2.90800411782689e-46,0.397238560486045,0.996,0.982,5.63832918405456e-42
"Bex3",6.96280233608039e-46,-0.31096531707434,0.999,0.99,1.35001774494263e-41
"Cdh10",7.58447764245303e-46,0.575772582866384,0.734,0.486,1.47055437009522e-41
"Slc39a10",7.59892107831019e-46,0.473505610984675,0.99,0.958,1.47335480787356e-41
"Htr2a",1.94538078051671e-45,0.671365309723282,0.384,0.161,3.77189879534385e-41
"Bex1",3.62663535556748e-45,-0.409576387960385,0.978,0.969,7.03168329090978e-41
"Atp5h",5.27663977928429e-45,-0.318057430362044,0.995,0.991,1.02308768680543e-40
"Cacna2d3",7.84466467165559e-45,0.337908580434678,0.472,0.247,1.5210020331873e-40
"Pdzrn4",1.15407777773772e-44,-0.754971276215145,0.407,0.6,2.23764140325566e-40
"Syt6",2.09982996317233e-44,-0.772070833613951,0.271,0.526,4.07136031559482e-40
"Ndufc2",2.64236509244257e-44,-0.407471173382451,0.968,0.976,5.12328167773689e-40
"Ndufa4",3.3326345844744e-44,-0.275238500065044,0.996,0.993,6.46164519583741e-40
"H3f3a",5.63893823101308e-44,-0.337181595588953,0.986,0.987,1.09333373361113e-39
"Trbc2",8.86194979191586e-44,-0.735251691547231,0.635,0.701,1.71824344515457e-39
"Fndc5",1.00195046056876e-43,0.56914690111828,0.629,0.376,1.94268174799677e-39
"Camk2d",1.08474512849798e-43,0.626577288990889,0.775,0.55,2.10321232964474e-39
"Cox5a",1.43662380454431e-43,-0.379434203202023,0.983,0.981,2.78546989463096e-39
"Ndufv2",1.48508457084547e-43,-0.424627655762826,0.929,0.944,2.87943047441228e-39
"Prdx1",1.49068882052836e-43,-0.528809911364042,0.93,0.937,2.89029655412243e-39
"Bcl11b",1.6432193973402e-43,-0.641411247029998,0.617,0.795,3.18603808950291e-39
"Ptprt",2.94583442422983e-43,0.558481311858243,0.832,0.606,5.71167836513922e-39
"Trim2",3.13486890279267e-43,0.373625506566091,0.998,0.989,6.0781973156247e-39
"Vstm2l",3.71882604556061e-43,0.706255604954608,0.563,0.315,7.21043181973747e-39
"Robo2",4.11332909437304e-43,0.61225701002913,0.747,0.541,7.97533378107989e-39
"Slc4a3",5.01770737393106e-43,0.484483139544634,0.846,0.639,9.72883282731493e-39
"Kif1b",8.28004720412358e-43,0.300564685789822,0.999,0.998,1.60541835240752e-38
"Park7",1.10369298210621e-42,-0.400809826658086,0.963,0.966,2.13995032300574e-38
"Fez1",1.24341645721345e-42,-0.413433524787745,0.928,0.933,2.41086016889116e-38
"Pitpnc1",1.28484239105802e-42,-0.886835253461334,0.468,0.637,2.4911809120224e-38
"Stmn3",1.45322794434424e-42,-0.305157893191379,0.999,0.997,2.81766366128905e-38
"Dad1",1.80534200063613e-42,-0.410620831770886,0.938,0.954,3.5003776050334e-38
"Prkar1b",2.16525605211252e-42,0.315860587864752,0.998,0.995,4.19821495944096e-38
"Uqcrb",2.52579784016829e-42,-0.277505542838142,0.993,0.983,4.89726943230229e-38
"Nsg2",3.23017404612872e-42,0.285703947005031,0.999,0.999,6.26298445803897e-38
"Dctn3",3.32945479052775e-42,-0.378064835391326,0.973,0.973,6.45547989335426e-38
