"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nptxr",2.89615615412855e-40,1.30262291440638,0.988,0.717,5.61535716723985e-36
"C1ql3",1.31017014752081e-36,1.36597876962568,0.908,0.522,2.5402888990281e-32
"Syt17",1.39466170441841e-36,1.29205984846533,0.791,0.351,2.70410957869685e-32
"Ckb",3.60442593445541e-36,-1.09456129148433,0.982,0.989,6.9886214443156e-32
"Ndufa4",1.88512901392093e-35,-0.522493981016509,1,0.993,3.6550766450913e-31
"Pcp4",2.95354523603874e-35,-1.68197427741812,0.724,0.89,5.72662885815551e-31
"6430548M08Rik",2.80596855284425e-34,1.02940457587733,0.933,0.645,5.44049242710972e-30
"Cox5a",6.37425164470665e-34,-0.788603182490409,0.969,0.982,1.23590365139217e-29
"Snrpn",1.2258218865721e-33,-0.469601443730639,1,0.996,2.37674605587464e-29
"Calm2",2.61382546222578e-33,-0.590105077329378,1,0.999,5.06794618870956e-29
"Cnr1",1.21835315610589e-32,1.27585725165238,0.883,0.515,2.36226493437372e-28
"Timp2",1.36675629437628e-32,1.02144878923095,0.988,0.818,2.65000377916616e-28
"Rtn4rl1",1.95934209997135e-32,0.917934112617571,0.773,0.309,3.79896839763445e-28
"Stmn3",6.76674782487983e-32,-0.549571744426746,1,0.997,1.31200473576595e-27
"Atp5h",1.26490418188859e-31,-0.589261137321436,0.988,0.991,2.45252271826378e-27
"Tle4",3.14374718782533e-31,-1.58704787504587,0.411,0.694,6.09541142247453e-27
"Fkbp3",7.61397220755718e-31,-0.620091121547564,0.982,0.977,1.47627307132326e-26
"Plxna4",2.48872877194089e-30,0.913456936817482,0.951,0.619,4.82539621591619e-26
"Pea15a",3.68488343026481e-30,0.740632638131033,1,0.968,7.14462048294044e-26
"Trim2",7.71695634686633e-30,0.664067397913175,1,0.989,1.49624066609391e-25
"Park7",8.63096270870314e-30,-0.793419840120061,0.92,0.967,1.67345735959045e-25
"Rimbp2",9.92004072718383e-30,0.999702215393695,0.933,0.661,1.92339669659367e-25
"Scg5",1.98917779715379e-29,-0.752714854349481,0.988,0.98,3.85681683090148e-25
"Ndufc2",2.37042350566886e-29,-0.790932616252009,0.957,0.976,4.59601413514136e-25
"Stum",3.22633591515879e-29,1.00524112530158,0.84,0.414,6.25554270590138e-25
"Ubb",9.87035772545387e-29,-0.867900830156588,1,0.996,1.91376365938825e-24
"Dctn3",1.26103391030999e-28,-0.747855540725328,0.945,0.974,2.44501864870004e-24
"Crym",1.67498614497746e-28,-1.12939951480041,0.742,0.851,3.24763063649679e-24
"Snap25",2.20764682951916e-28,-0.458680702672553,1,1,4.28040643775469e-24
"Ppia",3.72961389352505e-28,-0.637234753485539,1,0.995,7.23134837815571e-24
"Srgap3",3.85672367011241e-28,0.925699099700798,0.914,0.552,7.47780152398096e-24
"Ccl27a",5.50228366472354e-28,-0.946973073568154,0.926,0.969,1.06683777975325e-23
"Syn2",5.63647175405495e-28,0.633296338218803,1,0.996,1.09285550839371e-23
"Prdx5",6.16638808564969e-28,-0.59713141763666,0.982,0.982,1.19560098592662e-23
"Pomp",6.34711350293362e-28,-0.548560329140728,0.969,0.981,1.2306418370838e-23
"Rprm",1.06698719635213e-27,-1.67769245832128,0.399,0.718,2.06878147500714e-23
