"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nsf",3.68386688561648e-168,0.526144264976597,1,0.997,7.1426495045218e-164
"Bc1",4.4209895345991e-163,0.960485791047529,0.995,0.98,8.57185660863419e-159
"C1ql3",1.00007210740957e-151,1.05078541870615,0.837,0.482,1.93903980905641e-147
"Nptxr",5.22355310018131e-148,1.00147177081613,0.924,0.691,1.01279471059415e-143
"Ccdc12",1.74600669150053e-144,-0.928483871623845,0.837,0.911,3.38533237415038e-140
"Stmn3",1.14072806859036e-141,-0.43850021999223,1,0.996,2.21175765218985e-137
"Srgap3",1.43883122249497e-138,0.882233608638376,0.841,0.516,2.7897498572955e-134
"Tle4",2.4867925611787e-138,-1.15849711656885,0.467,0.723,4.82164209686939e-134
"Camk2n1",1.71895710745335e-134,0.709204036556971,1,0.993,3.3328859356413e-130
"Rimbp2",4.70497944063193e-134,0.854025301242908,0.899,0.63,9.12248463744125e-130
"Stum",7.3828354515211e-133,0.943702397478303,0.734,0.374,1.43145796569543e-128
"Slc30a3",4.95607121522012e-132,0.96247197365897,0.647,0.284,9.6093264791903e-128
"Camk2a",1.03909834139247e-130,0.620025744586282,0.995,0.981,2.01470777412586e-126
"Cnr1",9.56062857778649e-129,0.975855670612503,0.795,0.48,1.85371027494702e-124
"Syn2",1.29234265615504e-128,0.520235514943437,0.999,0.996,2.505723176019e-124
"Rnf152",6.31401613655865e-125,-1.38383267056116,0.22,0.546,1.22422458871736e-120
"Mef2c",8.91346402041368e-121,0.634740737445647,1,0.999,1.72823153891801e-116
"Ttc3",3.09252613451173e-118,0.32410018090237,1,1,5.9960989222048e-114
"Col12a1",3.48973491632559e-117,-1.31000726194514,0.233,0.52,6.76624702926368e-113
"Ntm",7.20726089469135e-117,0.872184018145847,0.902,0.716,1.39741581487171e-112
"Cox5a",5.02578182062953e-115,-0.498363841090107,0.984,0.981,9.7444883720186e-111
"Syt17",8.33961344605622e-115,0.815850941340521,0.656,0.314,1.61696765105584e-110
"Tenm4",4.46813331987648e-114,0.755130415399357,0.903,0.678,8.66326369390852e-110
"Cck",7.12945115445103e-114,0.902127411447358,0.871,0.62,1.38232928433651e-109
"Rprm",3.07262581300769e-113,-1.17737655937223,0.555,0.737,5.95751418884062e-109
"Lingo1",3.54819717758265e-113,0.541735523891173,0.996,0.962,6.879599507615e-109
"Ndufa11",7.4530204954678e-113,-0.559452239060096,0.917,0.963,1.44506614386625e-108
"6430548M08Rik",2.7242520717758e-112,0.766252252447405,0.866,0.617,5.2820523419661e-108
"Rabac1",4.46683324239752e-111,-0.613824552898533,0.957,0.97,8.66074297368456e-107
"Ckb",1.64630739835523e-110,-0.689647236895222,0.987,0.989,3.19202541467095e-106
"Epha4",1.01637623052182e-108,0.785445240950701,0.953,0.807,1.97065187335876e-104
"Ndufa4",1.57519646613413e-108,-0.355302449677704,0.998,0.993,3.05414842818746e-104
"Calm2",3.30983073371309e-108,-0.42347069002069,0.999,0.999,6.41743080959631e-104
"Cox5b",1.19284234529012e-107,-0.380896735019705,0.994,0.988,2.31280202328302e-103
"Syt1",2.34560607413402e-107,0.398444925299984,1,1,4.54789561713846e-103
"Ajap1",4.08985216721404e-107,0.697754949833449,0.655,0.323,7.92981436701131e-103
"Nwd2",1.57793320169169e-106,0.789812601437478,0.813,0.531,3.05945468476002e-102
"Park7",4.00354891789212e-106,-0.52475156007933,0.958,0.967,7.76248099690104e-102
"Ndufc2",1.76456102224194e-104,-0.516598512813046,0.965,0.977,3.42130736602489e-100
"H3f3a",4.71774116806948e-103,-0.41360653380126,0.99,0.987,9.14722835076992e-99
"Rapgef5",8.6173965554293e-103,0.697620865162973,0.836,0.558,1.67082701813219e-98
"Ttc9b",9.02284642347814e-103,-0.632244802633218,0.996,0.985,1.74943969304818e-98
"Gapdh",2.00727273147665e-101,-0.685838294270166,0.992,0.99,3.89190109906008e-97
"App",3.00671434964722e-101,0.343607816572955,1,0.999,5.82971845253099e-97
"Tmem178b",3.46784541181074e-101,0.688382770625383,0.844,0.565,6.72380546895983e-97
"Sema5a",6.50561154048417e-100,-1.09391794982086,0.262,0.574,1.26137302158448e-95
"Stmn1",8.27370428514037e-100,-0.505463431313581,0.997,0.997,1.60418852384587e-95
"Fxyd7",1.32344305695886e-99,-0.502984467961947,0.98,0.984,2.56602374313754e-95
"Auts2",2.90023844634576e-99,0.65203718745633,0.942,0.777,5.62327232361979e-95
"Atp5h",2.49220930598499e-98,-0.396738636382745,0.992,0.991,4.8321446233743e-94
"Rgs7bp",2.55768116155829e-98,0.489983635676224,0.998,0.986,4.95908800414536e-94
"Nxph3",2.70594575880394e-98,-0.87257525729898,0.325,0.636,5.24655823174496e-94
"Cpne5",3.40411649116325e-98,0.758065787097226,0.707,0.397,6.60024146471643e-94
"Ppia",4.01435453762995e-98,-0.44000711533425,0.998,0.995,7.78343201301071e-94
"Mgst3",1.06727779216773e-97,-0.636279670016126,0.871,0.921,2.06934491123401e-93
"Myl6",1.39350527717928e-97,-0.409417398054789,0.998,0.99,2.7018673819229e-93
"Ptprk",1.16173939013285e-95,0.657488374041322,0.631,0.319,2.25249650352859e-91
"Bsn",2.55301323655471e-95,0.509621992528379,0.992,0.958,4.95003736435592e-91
