"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",1.1518153158203e-60,-0.506632964934708,1,1,2.23325471584398e-56
"Nrn1",1.69808791155257e-54,-1.84179472574507,0.605,0.727,3.29242265170927e-50
"Calm1",4.08653430194066e-53,0.4459986445388,1,1,7.92338135803274e-49
"mt-Cytb",1.55315242977608e-49,-0.438754182380524,1,1,3.01140724609284e-45
"mt-Atp6",2.09876253666511e-49,-0.376976686931068,1,1,4.06929068233997e-45
"Crym",4.04503745896546e-48,0.759718007877168,0.988,0.843,7.84292312918814e-44
"mt-Nd1",8.51310959463066e-48,-0.406116190926437,1,1,1.65060681930294e-43
"mt-Co2",2.72230746926411e-47,-0.376831042334747,1,1,5.27828195215618e-43
"Hsp90ab1",4.15915235841437e-46,0.612354794485526,1,0.999,8.06418050772962e-42
"Hsp90aa1",2.55271562723401e-45,0.547632068835649,1,0.999,4.94946032964402e-41
"Camk2d",8.5322485406118e-42,-1.65904900049137,0.284,0.58,1.65431766953922e-37
"mt-Co1",5.03847973563861e-41,-0.302474066695778,1,1,9.76910835942971e-37
"Cck",1.20434380932865e-40,-2.33346187144137,0.629,0.654,2.33510221190732e-36
"mt-Nd2",4.36106815531276e-40,-0.343962769741282,1,1,8.45567504633592e-36
"Atp1b1",6.92874133205975e-40,0.327242106090339,1,0.999,1.34341365687307e-35
"Rtn1",2.50436498310554e-38,0.348331497089558,1,1,4.85571326574334e-34
"Nrip3",2.82214367777202e-37,0.608311017240645,0.955,0.71,5.47185437683217e-33
"Cyr61",6.40633390077261e-37,1.23350830060806,0.704,0.397,1.2421240800208e-32
"Bcl11b",3.80813233582503e-35,0.666733046646899,0.967,0.772,7.38358778593115e-31
"Nfib",1.26847412156336e-34,0.541230203537354,1,0.941,2.4594444742992e-30
"Nptxr",2.33372425267896e-34,-1.39946173653249,0.68,0.723,4.52485795351924e-30
"Dnajb1",2.57078317723434e-33,0.913929034133853,0.898,0.793,4.98449150233966e-29
"Ina",1.04425262111637e-32,0.564410488346744,1,0.975,2.02470140708253e-28
"Car10",2.12694964694688e-32,-1.07174151456976,0.575,0.731,4.12394267046531e-28
"Ppp1r1b",2.55882437482505e-32,0.645329309274513,0.835,0.525,4.96130458034829e-28
"Nwd2",4.59336474491563e-32,-1.17853705785118,0.395,0.574,8.90607490391692e-28
"Pcdh15",6.83429739116303e-32,-1.1604758017907,0.195,0.451,1.3251019211726e-27
"Ptprk",6.84455866794728e-32,-1.24893186539973,0.096,0.37,1.3270914801283e-27
"Nfia",9.42628983867444e-32,0.658061682730388,0.922,0.692,1.82766333682059e-27
"Sorbs2",4.33941376526402e-31,-0.624614230452417,0.973,0.959,8.41368934947041e-27
"Slc25a4",4.79878469134464e-31,0.516261881386423,1,0.993,9.30436363804812e-27
"Necab1",3.67888900200692e-30,-0.962716302136777,0.638,0.711,7.13299788599121e-26
"Lmo1",6.09605547617084e-30,0.395287253588257,0.877,0.584,1.18196419627476e-25
"Ctsb",8.67898449694695e-30,0.418748921582469,0.997,0.986,1.68276830411304e-25
