"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",1.1854806970567e-159,-0.709326447890014,1,1,2.29852852352325e-155
"mt-Atp6",2.23704365699952e-149,-0.559073101416519,1,1,4.33740394655636e-145
"mt-Co2",5.43545143131014e-146,-0.55836067858565,1,1,1.05387967801672e-141
"mt-Nd1",3.33176937619231e-145,-0.629111567415931,1,1,6.45996764349928e-141
"mt-Cytb",8.14278110853989e-138,-0.616860511139637,1,1,1.5788038291348e-133
"Calm1",1.01320499081747e-130,0.550724613724707,1,1,1.96450315669599e-126
"Hsp90ab1",2.17253650271624e-125,0.742866667943598,1,0.999,4.21233102511652e-121
"mt-Co1",1.32883424835739e-123,-0.441145836072169,1,1,2.57647672414015e-119
"mt-Nd2",2.48068126849864e-116,-0.489951899132031,1,1,4.809792911492e-112
"mt-Nd4",3.22665727409596e-96,-0.411334938064844,1,1,6.25616578874466e-92
"Hsp90aa1",3.35172175600916e-95,0.602293507536221,1,0.999,6.49865331272617e-91
"Slc25a4",1.79589961902543e-92,0.660938147816136,1,0.993,3.48206977132841e-88
"Rtn1",2.89624379193097e-90,0.413764715819498,1,1,5.61552708817495e-86
"Psma4",4.03342277145819e-85,0.813021009347697,0.939,0.792,7.82040341158028e-81
"Syt6",1.91199821267611e-82,0.795339190670179,0.875,0.48,3.70717333455772e-78
"Hs3st4",1.46704676808376e-78,0.846993183058522,0.95,0.674,2.8444569786376e-74
"Cck",5.69251225781473e-78,-2.46061832741984,0.592,0.657,1.1037212016677e-73
"Foxp2",1.4698583228805e-77,0.815250123700756,0.907,0.572,2.84990830223301e-73
"Chchd10",1.92745850215823e-77,-0.57579918193893,1,0.99,3.73714928983459e-73
"Crym",1.22808980560668e-76,0.825871700610575,0.971,0.841,2.3811433240908e-72
"Ppp1r1b",5.86774786562501e-76,0.845768540644833,0.859,0.515,1.13769763366603e-71
"C1ql3",2.55729851488705e-75,-1.40858364571951,0.385,0.538,4.9583460905145e-71
"Lsp1",2.6207069334958e-73,0.937340173631735,0.631,0.253,5.08128867335501e-69
"Plcb4",1.03580226686809e-72,0.889158335682671,0.911,0.663,2.00831701523055e-68
"Cyr61",1.04053861157373e-72,1.12667165717642,0.759,0.385,2.01750031398031e-68
"Rprm",1.55973190601595e-71,0.913193549626584,0.934,0.698,3.02416419257433e-67
"Glul",1.87072148979614e-71,0.782593645702993,0.913,0.623,3.62714189656574e-67
"Nfia",4.83036456465844e-71,0.817958714875977,0.93,0.685,9.36559385441624e-67
"Ifi27",9.95697627102826e-69,0.806221150850226,0.859,0.518,1.93055812918967e-64
"Ndn",1.20807114131867e-68,0.751078477192035,0.996,0.975,2.34232913590277e-64
"Rwdd2a",1.56932556225444e-68,0.808767857466524,0.891,0.599,3.04276533265512e-64
"Nptxr",1.7525250135507e-68,-1.38802679520033,0.622,0.728,3.39797074877345e-64
