"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",1.10151207151699e-52,4.27066785529336,0.982,0.743,1.92500249618309e-48
"Nptxr",6.87115448607419e-44,2.73853163516871,0.982,0.743,1.20080295798633e-39
"Hsp90ab1",8.04295357139529e-40,-1.60686821774372,1,1,1.40558656613704e-35
"Nrn1",3.21636009296492e-38,3.10557592985424,0.963,0.571,5.62091089846549e-34
"Rprm",5.00289558967762e-35,-4.24596719726542,0.356,0.914,8.74306033252061e-31
"Crym",4.46608430649761e-30,-2.62518268272813,0.534,0.971,7.80492893403523e-26
"Foxp2",1.39832097821445e-29,-3.14638979717603,0.137,0.914,2.44370574152757e-25
"mt-Co1",5.17431218830803e-29,0.84909230365377,1,1,9.04262798028712e-25
"Hsp90aa1",1.8832573812918e-28,-1.36609905652097,1,1,3.29118059954554e-24
"Hs3st4",2.38765795906665e-28,-3.21843887279718,0.288,0.971,4.17267104926488e-24
"Psma4",3.80050035733041e-28,-1.9682588405003,0.671,0.886,6.64175442447062e-24
"Calm1",2.78451612729827e-27,-1.03086273468725,1,1,4.86622038406645e-23
"Ppp1r1b",3.22598189777255e-27,-2.26289720193077,0.228,0.886,5.63772596454731e-23
"Syt6",1.14036616009981e-26,-2.60693473350767,0.091,0.886,1.99290390139043e-22
"Ndn",1.24049245545615e-26,-2.00782725672702,0.95,1,2.16788461515517e-22
"C1ql3",2.78060973744911e-26,2.4188576975226,0.95,0.457,4.85939357716607e-22
"Glul",2.27702200615666e-25,-2.07447938456194,0.411,0.943,3.97932365795938e-21
"Ccdc12",7.66227324869659e-25,-1.72447986902848,0.808,1,1.33905887294222e-20
"Rwdd2a",1.47170975225039e-24,-2.04788947149294,0.393,0.857,2.57195996303278e-20
"Plcb4",1.77204164190238e-24,-2.37415807637707,0.388,0.943,3.0968199733886e-20
"mt-Co3",1.53323054156948e-23,1.56688396339144,1,1,2.67947369444683e-19
"Lmo1",2.25699133963127e-23,-2.22093461353596,0.311,0.886,3.94431806513961e-19
