"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",2.11903186339603e-47,2.50075041763907,0.982,0.625,3.70322008447091e-43
"Rprm",1.84519923280405e-38,-3.66938896309072,0.356,0.823,3.22467017924835e-34
"Hsp90ab1",7.37228940219859e-35,-1.25938358955805,1,1,1.28838129592823e-30
"Hs3st4",5.18748470567826e-33,-2.63318638959656,0.288,0.833,9.06564827164333e-29
"Syt6",1.42660455850202e-32,-2.30023958561937,0.091,0.688,2.49313412643812e-28
"Nptxr",1.47792983222844e-32,1.28711135875452,0.982,0.76,2.58283017480242e-28
"Psma4",4.46635665304372e-32,-1.67178669240175,0.671,0.812,7.80540488685921e-28
"Crym",2.42601456874119e-31,-2.35048916628965,0.534,0.927,4.2397030603321e-27
"Foxp2",8.92877987629341e-31,-2.49293166546,0.137,0.74,1.56039357118104e-26
"Nrn1",1.67451387006404e-30,1.56279186920961,0.963,0.615,2.92638043932392e-26
"Calm1",1.88922333972207e-30,-0.7813248646053,1,1,3.30160670849829e-26
"mt-Co1",1.55478478568448e-29,0.587148289428752,1,1,2.71714189146219e-25
"Ccdc12",2.15058083377601e-28,-1.5763703515926,0.808,0.948,3.75835506510696e-24
"Sorbs2",4.72737516606702e-28,1.07499908461088,0.991,1,8.26156084021872e-24
"Slc25a4",9.73746494322563e-28,-1.12232618424981,0.991,1,1.70171937347811e-23
"Glul",1.83476980100856e-27,-1.62694081451443,0.411,0.823,3.20644370424256e-23
"mt-Co2",2.45207322015651e-27,0.805778744718006,1,1,4.28524315954551e-23
"mt-Atp6",2.97434266193175e-27,0.811117411366283,1,1,5.19796123599193e-23
"Rwdd2a",4.72195059125498e-27,-1.86168845752828,0.393,0.771,8.2520808532772e-23
"Rab26",5.11720739554521e-27,-1.29227284352972,0.753,0.948,8.94283164445481e-23
"Nrip3",1.96522674262273e-26,-2.02743082713348,0.342,0.844,3.43443025540747e-22
"Rtn1",1.61556390005115e-25,-0.590542232374534,1,1,2.82335947172939e-21
"Cyr61",1.8059155330959e-25,-2.78378622350468,0.114,0.656,3.1560179856384e-21
"mt-Co3",2.95627215395892e-25,1.0727885367561,1,1,5.1663812162586e-21
"Tle4",9.96531892681622e-25,-1.92654552383605,0.269,0.729,1.7415391356504e-20
"mt-Cytb",1.72154136902556e-24,0.957447725694265,1,1,3.00856569650907e-20
"Zfpm2",2.00983570851079e-24,-1.445701155385,0.137,0.719,3.51238888419346e-20
"mt-Nd1",3.22288309747416e-24,0.842309476549867,1,1,5.63231050114583e-20
