"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nrp2",2.14046010865491e-07,0.607904220944419,0.621,0.461,0.00374066808588533
"Negr1",3.5713836773383e-06,0.346580962967794,0.968,0.987,0.062413501145164
"Deptor",3.95366565647163e-06,-0.858772341986872,0.461,0.601,0.0690942610124982
"Gabra1",5.01797192410246e-06,-0.41868320168785,0.95,0.99,0.0876940773456147
"Arc",7.91692318171558e-06,-0.651530031889625,0.671,0.83,0.138356149523662
"Adcy1",1.66491964707719e-05,-0.329003633629977,0.995,0.993,0.29096135752321
"Tspan5",1.85583587009489e-05,-0.396271585000072,0.95,0.961,0.324325876657782
"Grm2",2.68213464026588e-05,-0.361243457576004,0.388,0.588,0.468729849732866
"Lhx2",2.88722327557941e-05,-0.501959340000624,0.301,0.497,0.504571139640257
"Rwdd1",2.89147304067381e-05,-0.301663854808121,0.868,0.951,0.505313828588156
"Gm26699",3.48372915702035e-05,0.40650192734813,0.621,0.503,0.608816507480876
"Brinp2",5.52087816355241e-05,0.337962417382324,0.954,0.876,0.96482866786242
"Gpx3",6.71188140885952e-05,0.449462722686005,0.119,0.056,1
"Dkk3",7.02386185186264e-05,-0.335297377952616,0.986,0.974,1
"Etv1",7.35423514276179e-05,-0.874511062320528,0.461,0.575,1
"Fam3c",7.46331174509419e-05,-0.631024070198683,0.534,0.654,1
"Igsf9b",8.03585194758845e-05,-0.311944512004071,0.772,0.895,1
"Myh9",8.35931137938907e-05,-0.291880540235467,0.384,0.569,1
"Dnajc21",8.87604413410172e-05,-0.477735767960522,0.676,0.778,1
"Hspa4",9.01194856909173e-05,-0.280519743788169,0.881,0.948,1
"Serpini1",9.886588382167e-05,-0.354284067324834,0.982,0.98,1
"Ier2",0.000103183663193601,-0.497060148154782,0.658,0.814,1
"Tom1l1",0.000104442410342306,0.450716539215023,0.461,0.327,1
"Grm3",0.000108349859208068,-0.41899027649526,0.393,0.565,1
"Spock1",0.000112661099761581,-0.25380248160692,0.932,0.984,1
"Ppp4r4",0.000115859457758214,0.366500707925501,0.434,0.301,1
"Atp2c1",0.000119173532548928,0.310809361972376,0.945,0.948,1
"Psmg1",0.000153477191155504,-0.277279459657698,0.151,0.297,1
"Calb1",0.000156472586443273,0.558287517417629,0.434,0.261,1
"Bnip3",0.00020352720322665,-0.28602786520057,0.863,0.915,1
"Ndst3",0.0002129282749479,-0.435068098932053,0.338,0.513,1
