"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",2.81777363707891e-46,4.24316587908737,0.982,0.629,4.92434120815911e-42
"Nrn1",2.78024897329894e-40,3.15696154765143,0.963,0.571,4.85876310573723e-36
"Nptxr",1.45957745955483e-30,2.0517348645865,0.982,0.886,2.55075756831802e-26
"Nrip3",2.99664089813631e-27,-2.52732325223307,0.342,1,5.23692963358302e-23
"Crym",2.70937352876314e-26,-2.34562601748822,0.534,1,4.73490117886646e-22
"Bcl11b",4.90355988092657e-25,-2.32138369743152,0.525,1,8.56946124790728e-21
"Pcdh10",1.11650409298559e-24,1.51131220804077,1,0.829,1.95120255290162e-20
"Sorbs2",1.20857727292444e-22,1.4371790597081,0.991,1,2.11210964216274e-18
"Car10",2.66239159135188e-22,2.45941240226913,0.941,0.371,4.65279554504655e-18
"Sparcl1",1.293361844397e-21,-1.66704199554986,0.9,1,2.2602791592682e-17
"Atp1b1",9.73977117158624e-21,-0.736531744196378,0.995,1,1.70212240994641e-16
"Ptprk",1.15130565953765e-20,2.43258379440507,0.772,0,2.01202177060799e-16
"Lmo3",4.02958647051124e-20,-1.63490189463031,0.694,1,7.04210531586545e-16
"Lypd1",2.43183967742962e-19,-3.66643292539534,0.178,0.886,4.249883020276e-15
"Fezf2",4.43039372217217e-19,-1.96180040546751,0.402,0.943,7.74255606886809e-15
"Cdh6",1.00739390010541e-18,-1.82534411876613,0.119,0.857,1.76052157982421e-14
"Hsp90ab1",3.38187696508622e-18,-1.23108756485996,1,1,5.91016818418468e-14
"Nfia",4.21748079092596e-18,-1.75966640691605,0.566,0.971,7.3704694302222e-14
"Camk2d",2.09880809462214e-17,2.59153911001045,0.886,0.257,3.66787702616165e-13
"Lmo4",1.52838098853584e-16,1.21204062053148,0.995,0.971,2.67099861556523e-12
"Nwd2",2.65379756397051e-16,1.8907751533426,0.9,0.543,4.63777662279487e-12
"mt-Co3",1.196321066541e-15,1.1426755499311,1,1,2.09069069588706e-11
"Lmo1",3.80323834832217e-15,-1.53703050708704,0.311,0.886,6.64653933752783e-11
"Dscaml1",4.92964061149795e-15,-1.4627337278111,0.279,0.914,8.61503993265381e-11
"Calm1",5.80738377680586e-15,-0.72532924615146,1,1,1.01489838883459e-10
"Pcdh15",5.90461148365227e-15,2.15091323449861,0.813,0.2,1.03188990288307e-10
"Cpne5",7.6589913089847e-15,1.89176793372574,0.868,0.229,1.33848532115817e-10
"Gprc5b",8.77914208465246e-15,-1.38977930420427,0.009,0.486,1.53424287071386e-10
"Cdh10",1.2535492257982e-14,1.76763503513867,0.89,0.4,2.19070262700494e-10
"Auts2",1.45922209932266e-14,1.25664885583387,0.95,0.886,2.55013654077628e-10
"mt-Cytb",2.03063618225445e-14,1.02145945724391,1,1,3.54873979210789e-10
"Hs3st4",2.4381168034046e-14,-2.57678764624531,0.288,0.829,4.26085292562988e-10
"Rimbp2",2.69123426540516e-14,1.40148358409342,0.954,0.886,4.70320100222205e-10
"Nos1ap",3.14358645476283e-14,-1.12240001777602,0.895,1,5.49373168834352e-10
"mt-Co1",4.31830379647357e-14,0.526865917951524,1,1,7.5466677147172e-10
"Bok",5.11347942632227e-14,2.25459774529001,0.753,0.143,8.93631664544081e-10
"Syn1",7.47313426621159e-14,0.754329743337757,1,1,1.30600494436314e-09
"Igfbp6",8.64341957380085e-14,2.67667587138736,0.74,0.2,1.51052400471744e-09
"Hsp90aa1",1.1447896853435e-13,-1.04253485873392,1,1,2.0006344541063e-09
"Fam84b",1.16824141236021e-13,-1.13464631375254,0.009,0.457,2.0416186922407e-09
"Nfib",1.18453380929596e-13,-1.29492813504203,0.941,1,2.07009128512561e-09
"Ina",1.30160359259967e-13,-1.20316035369897,0.982,1,2.27468243842718e-09
"Necab1",1.30739959986933e-13,1.80356678844706,0.886,0.686,2.28481154073165e-09
"mt-Atp6",1.43210569669476e-13,0.757958906828204,1,1,2.50274791554376e-09
