"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",9.54918692395508e-61,4.29912087302515,0.982,0.549,1.66881590683039e-56
"Hsp90ab1",6.43690164276883e-53,-1.66634688650095,1,1,1.12491293109028e-48
"Nptxr",1.29220075907356e-51,2.63671505492363,0.982,0.667,2.25825004655696e-47
"Rprm",2.55173183246066e-46,-4.15609711632955,0.356,0.98,4.45940655040825e-42
"mt-Co1",3.29097068408417e-45,0.991375037378093,1,1,5.7513003675055e-41
"Hs3st4",8.00718075895763e-43,-3.24883024752242,0.288,0.941,1.39933490943544e-38
"C1ql3",5.34136430937686e-41,3.01697101397253,0.95,0.471,9.33456826706701e-37
"Nrn1",3.23707661024953e-40,2.87321054150321,0.963,0.412,5.65711508407208e-36
"mt-Atp6",6.76973941053991e-39,1.31444302180624,1,1,1.18307965938595e-34
"Crym",1.58339553784356e-38,-2.68401595614222,0.534,0.98,2.76714204193541e-34
"mt-Co2",2.8473641488443e-38,1.2882219129722,1,1,4.97605358652029e-34
"mt-Co3",4.99245495377216e-38,1.85775399929814,1,1,8.72481427721222e-34
"Hsp90aa1",1.12222007993949e-36,-1.3803212592162,1,1,1.96119181170225e-32
"Foxp2",6.22956098618075e-36,-2.99985541418588,0.137,0.922,1.08867807794495e-31
"Syt6",1.99109850671571e-35,-2.66720446392946,0.091,0.902,3.47964375033637e-31
"mt-Nd1",2.27422677680169e-35,1.3876115379676,1,1,3.97443871513863e-31
"Calm1",6.72188006352784e-35,-1.0176336278438,1,1,1.17471575990212e-30
"Ndn",2.15453725447364e-34,-1.98617380207908,0.95,1,3.76526930591813e-30
"mt-Cytb",2.67241351341474e-34,1.55827878571165,1,1,4.67030985604361e-30
"Ccdc12",4.83382186271892e-34,-1.76659043239679,0.808,0.98,8.44758708728759e-30
"Psma4",1.05128550142505e-33,-1.8710907196317,0.671,0.98,1.83722654229042e-29
"Sema5a",1.08841817281741e-33,-2.68609513054375,0.096,0.922,1.90211959881571e-29
"Glul",2.81800479571206e-33,-2.1104192671417,0.411,0.98,4.92474518098639e-29
"Slc25a4",3.57649301755317e-33,-1.34903589960574,0.991,1,6.25027919747593e-29
"Nxph3",1.36913586581929e-32,-2.32924156553411,0.151,0.961,2.3927018391058e-28
"Rwdd2a",1.05852798257679e-31,-2.11279441856337,0.393,0.882,1.8498835023512e-27
"mt-Nd4",1.73069391421381e-31,0.866203206461511,1,1,3.02456068448005e-27
"Ppp1r1b",2.76721994349805e-31,-2.20374868568801,0.228,0.902,4.83599357325719e-27
"Sla",4.19288993783369e-31,-1.98784730667417,0.068,0.882,7.32749445535816e-27
"Nrip3",6.33086364204844e-31,-2.49360790392602,0.342,0.98,1.10638173008438e-26
"Plcb4",1.55765779661818e-30,-2.37836717032971,0.388,0.961,2.72216276536994e-26
"Ncald",1.15683793357075e-29,-1.18668582900462,0.991,1,2.02168997270824e-25
"Tle4",1.19967300674855e-29,-2.3115107257562,0.269,0.922,2.09654854659376e-25
"mt-Nd2",1.34123960632729e-29,1.00260424823975,1,1,2.34395033601757e-25
"Efhd2",2.84932510361e-29,-1.56852233801236,0.982,1,4.97948055106884e-25
"Ldhb",3.31564620118688e-29,-1.87960868365285,0.872,1,5.7944233011942e-25
"Rnf152",4.94612825088962e-28,-2.17498589892268,0.073,0.824,8.6438537312547e-24
"Ubb",5.67117797595117e-28,-1.72251226479271,1,1,9.91095063077226e-24
"Cnr1",7.86800477785699e-28,2.67854382446685,0.918,0.176,1.37501251497829e-23
"Ntm",8.25869237976571e-28,1.78315949148972,0.973,0.588,1.44328908028786e-23
"Sparcl1",1.85595467594723e-27,-1.70444987107796,0.9,1,3.24346639168538e-23
"Uchl1",2.09026275087913e-26,-1.27721113006993,1,1,3.65294318343636e-22
"Cpne5",3.55838012334481e-26,2.30416091218848,0.868,0.098,6.2186251035574e-22
"Zfpm2",4.34870949700664e-26,-1.83370123479536,0.137,0.882,7.5998047169688e-22
"Mgat4c",8.07050233649604e-26,-1.83582932905731,0.324,0.961,1.41040098832605e-21
