"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",2.97293488014716e-29,3.73200946568233,0.983,0.743,5.19550099654517e-25
"Efhd2",1.01284787270242e-26,-2.22234025671407,0.917,1,1.77005294233475e-22
"Nptxr",1.81474024580053e-26,3.0112871714521,1,0.743,3.17144005356101e-22
"Rprm",3.806850802951e-23,-4.8307972092994,0.283,0.914,6.65285246323717e-19
"C1ql3",2.60470298919081e-22,2.70762574383755,1,0.457,4.55197894390986e-18
"Foxp2",8.30209458356408e-22,-3.33857311220292,0.15,0.914,1.45087404942366e-17
"Hs3st4",1.36925876848312e-20,-3.73760656167584,0.217,0.971,2.39291662380111e-16
"Nxph3",7.00831533866575e-19,-3.02880326812335,0.083,0.886,1.22477318858523e-14
"Hsp90ab1",1.96370812419321e-18,-1.5576329003035,1,1,3.43177631784005e-14
"Plcb4",1.12070747383325e-17,-2.83860578327544,0.283,0.943,1.95854838127099e-13
"Pcp4",1.96903747984948e-17,-3.12429171215058,0.583,0.971,3.44108989978495e-13
"Pitpnc1",2.49030928789543e-17,-2.52163126556556,0.05,0.886,4.35206451152606e-13
"Ddah1",5.72620359892609e-17,-2.53871755231754,0.067,0.886,1.00071134094832e-12
"Syt6",5.75169352297423e-17,-2.64871775307313,0.067,0.886,1.00516596007498e-12
"Crym",9.60960919651064e-17,-2.34582346902928,0.683,0.971,1.6793753031822e-12
"Adora1",1.07215953852695e-16,-1.87743702662863,0.7,0.971,1.8737060095297e-12
"Ppp1r1b",1.27605809246005e-16,-2.35600822158181,0.183,0.886,2.23003912238318e-12
"Tle4",1.46295582974383e-16,-2.3550062453082,0.3,0.971,2.55666160806032e-12
"Nrip3",4.10601973971866e-16,-2.4922533212425,0.333,0.914,7.17568009713234e-12
"Kcnip4",4.12986146522044e-16,2.17573159380115,0.967,0.343,7.21734589661925e-12
"mt-Co1",4.3940086100836e-16,0.879438557594576,1,1,7.6789694469821e-12
"Sema5a",5.64004904335793e-16,-2.91633957473472,0.033,0.8,9.85654970817231e-12
"mt-Co3",1.42429102199636e-15,1.55335174601507,1,1,2.48909099004083e-11
"mt-Cytb",1.45881938747166e-15,1.33000686661239,1,1,2.54943276154547e-11
