"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Efhd2",8.58215655816512e-26,-1.99544571647907,0.917,1,1.49981768010494e-21
"Trbc2",2.37392652014026e-22,-2.77856436761384,0.2,0.906,4.14867398659712e-18
"Pcp4",2.53943082467099e-22,-2.79788581652662,0.583,0.969,4.43790930919502e-18
"Rprm",5.18345147542441e-22,-4.25421897512471,0.283,0.823,9.05859979845171e-18
"Pitpnc1",6.12464266014446e-21,-2.23925942202128,0.05,0.781,1.07034255128685e-16
"3110035E14Rik",6.62460319897627e-21,-1.44397435661819,0.917,1,1.15771565505309e-16
"Slc1a2",1.21267008876832e-20,-1.85620316561806,0.85,0.969,2.11926224713152e-16
"Adora1",4.9520102595704e-20,-1.6823816482396,0.7,0.99,8.65413312962523e-16
"Hs3st4",7.2236049883644e-20,-3.15235407847522,0.217,0.833,1.26239720776656e-15
"Cck",7.28198668807366e-19,1.96209202802804,0.983,0.625,1.27259999360775e-14
"Mgll",2.46398940746672e-18,-1.90511101185647,0.317,0.906,4.30606788848884e-14
"Ccl27a",2.67129681584996e-18,-1.48053430533838,0.85,1,4.6683583153794e-14
"Arc",9.67466479869624e-18,-2.04547913909121,0.4,0.938,1.69074442022016e-13
"C1ql3",1.13667392299155e-17,1.65477364722485,1,0.573,1.98645134782003e-13
"Nxph3",1.57128696894715e-17,-2.46951133278431,0.083,0.729,2.74598110693204e-13
"Garnl3",2.19612265276689e-17,-1.5553770620124,0.417,0.938,3.83794394797541e-13
"Nptxr",3.27340926577695e-17,1.55986689503791,1,0.76,5.7206100328718e-13
"Nov",3.49061991186362e-17,1.49505624603092,0.967,0.677,6.10020735797287e-13
"Col12a1",4.36388484317821e-17,-1.8741857298654,0.017,0.646,7.62632515193825e-13
"Lsp1",6.13971987522697e-17,-1.65651218239126,0,0.573,1.07297744539466e-12
"Foxp2",1.80185159344028e-16,-2.6851149804869,0.15,0.74,3.14891584469623e-12
"Tle4",2.0569285911386e-16,-2.20884966207663,0.3,0.729,3.59468840587382e-12
"Ddah1",3.87219141245816e-16,-2.37976101010483,0.067,0.698,6.76704171241187e-12
"Syt6",4.49984840603198e-16,-2.34202260518483,0.067,0.688,7.86393507438149e-12
"Kcnip4",4.91820854966585e-16,1.46129678306913,0.967,0.5,8.59506126139604e-12
"Sema5a",5.30180469245499e-16,-2.73409379371613,0.033,0.615,9.26543388053435e-12
"Rtn4rl1",5.85645525687694e-16,1.50280887123938,0.867,0.219,1.02347412069181e-11
"Plcb4",7.93243624860032e-16,-2.32147464651444,0.283,0.844,1.38627255880539e-11
"mt-Co2",8.77524306429082e-16,0.842288563621542,1,1,1.53356147791546e-11
"Cyr61",1.70596458394501e-15,-3.26024395863448,0.067,0.656,2.98134370690229e-11
"Ndrg3",1.71878305922082e-15,-0.803044211841076,1,1,3.0037452742943e-11
"Vsnl1",1.81527320721545e-15,-0.918378823189594,0.983,1,3.17237145692972e-11
"mt-Nd4",2.28655701988447e-15,0.614542181164873,1,1,3.9959870479501e-11
"Rph3a",2.98826170989766e-15,-1.6714336050187,0.683,0.958,5.22228616421715e-11
"Snap25",4.44763906202239e-15,-0.641640455565517,1,1,7.77269402479032e-11
"Tmsb10",5.5823277121968e-15,-1.46449989613882,0.967,0.99,9.75567590983513e-11
"mt-Co1",8.07710598168134e-15,0.617494543369558,1,1,1.41155504135863e-10
"Ctsb",1.48112158815205e-14,-0.818477851436706,1,1,2.58840808745452e-10
"Rnf152",1.96721871094884e-14,-1.79982072463998,0.033,0.615,3.43791141925419e-10
"Rprml",2.10923264437496e-14,-1.31406663253341,0.9,0.99,3.68609496930968e-10
"mt-Cytb",2.34447645677676e-14,0.951683571136761,1,1,4.09720705586307e-10
"Basp1",3.69754074474596e-14,-0.602974332351149,1,1,6.46182220551804e-10
"mt-Atp6",3.84613028878945e-14,0.778708666103146,1,1,6.72149729268845e-10
"Fut9",4.05229097864232e-14,-0.99877041841854,0.967,1,7.08178371427531e-10
"Ptprk",4.56415400716993e-14,1.57623010278027,0.85,0.271,7.97631554293017e-10
"Nrip3",4.56464750168566e-14,-2.13878062209807,0.333,0.844,7.97717797394586e-10
"Zfpm2",4.81218263922337e-14,-1.56319658855321,0.117,0.719,8.40977038030676e-10
"Adcy1",4.8584427459138e-14,-0.900311549290143,0.983,0.99,8.49061454275896e-10
"Kctd4",1.09374513652678e-13,1.51458104989119,0.9,0.49,1.9114290005942e-09
"Arhgap25",1.09383818154399e-13,-1.3946106437927,0.05,0.625,1.91159160606628e-09
"Slc25a4",1.18467386008987e-13,-1.17856691121971,0.983,1,2.07033603789306e-09
"Satb1",1.19472359395085e-13,-1.65629194157189,0.45,0.896,2.0878989527885e-09
"Rtn1",1.48172554133309e-13,-0.590831640517016,1,1,2.5894635560337e-09
"Pea15a",1.5817870995619e-13,0.980687534460675,1,0.99,2.76433113519437e-09
"Akap7",1.66581629357936e-13,-1.24901878382349,0.383,0.917,2.9111805546593e-09
"Hsp90ab1",1.73953739865946e-13,-1.21014827211783,1,1,3.04001555789728e-09
"Tbr1",1.88938257305571e-13,-1.25444867401403,0.783,0.99,3.30188498467216e-09
"Sema5b",1.89543801210657e-13,-1.32630150343728,0.017,0.531,3.31246746995745e-09
"Crym",1.91485602227244e-13,-2.0711299525908,0.683,0.927,3.34640238452332e-09
"mt-Co3",2.53664843635698e-13,1.05925631937973,1,1,4.43304680737746e-09
"Thsd7b",2.84071704858582e-13,-1.05979241665494,0,0.469,4.96443711410859e-09
"Ppp1r1b",3.7115033475281e-13,-1.75225103694623,0.183,0.74,6.48622325014011e-09
"Glul",3.82725390276224e-13,-1.67641013828206,0.367,0.823,6.6885089204673e-09
"mt-Nd1",4.2016105188889e-13,0.808001944729575,1,1,7.34273454281025e-09
"Rala",4.40149955719622e-13,-1.06001585971925,0.767,0.969,7.69206062615611e-09
"Hs3st2",5.68326223242914e-13,-1.31626518637095,0.55,0.969,9.93206907739316e-09
"Cd47",5.77965716111052e-13,-0.748102530691392,1,1,1.01005288547567e-08
"Sla",5.98308970601005e-13,-1.8576244819496,0.05,0.583,1.04560475702232e-08
"Syt17",1.18386994816093e-12,1.51980031724639,0.867,0.333,2.06893112140604e-08
"Cnr1",1.29436809921505e-12,1.49205859563783,0.95,0.417,2.26203769018823e-08
"Sebox",1.34102722332051e-12,-1.2067178286024,0,0.448,2.34357917547493e-08
"Sec62",2.22158912641304e-12,-0.686501400685177,1,1,3.88244915731943e-08
"Ldha",2.51020240676081e-12,-0.876667137606022,0.983,1,4.3868297260552e-08
"Rab26",2.79995994926838e-12,-1.26137604355374,0.65,0.948,4.89321000734142e-08
"Cadps2",2.80422470575008e-12,-1.3948310881444,0.2,0.771,4.90066309576883e-08
"Rap1gds1",3.15174090697783e-12,-0.871330559494223,0.967,1,5.50798240903445e-08
"Dgkb",3.45068053550601e-12,1.32972638036064,0.917,0.719,6.03040930385031e-08
"Sorbs2",3.50837342539736e-12,1.14378576849366,1,1,6.13123339822443e-08
"Jup",3.95452304009134e-12,-1.19677511282685,0.25,0.812,6.91092446486363e-08
"Sept3",4.0451825226702e-12,-0.778484149483711,0.983,1,7.06936097661843e-08
"Epha5",4.92853589502846e-12,0.975408963718064,1,1,8.61310933015173e-08
"Prss35",5.07417193516669e-12,-1.39669645087501,0.05,0.573,8.86762287389732e-08
"Ablim2",6.17494579418554e-12,1.12928541042335,0.933,0.802,1.07913352699186e-07
"Calm1",6.30307914619479e-12,-0.750330388436254,1,1,1.101526111589e-07
"Gde1",6.40085557033774e-12,-0.939689489003012,0.983,0.979,1.11861351947222e-07
"mt-Nd2",7.06678971786829e-12,0.647783023696975,1,1,1.23499217109466e-07
"Trp53i11",7.86858958994349e-12,1.52020442979254,0.867,0.344,1.37511471673852e-07
"Gpr22",8.40660708791298e-12,1.1480628507967,0.967,0.792,1.46913865468367e-07
"Gnas",8.8051319836419e-12,-0.637051046250964,1,1,1.53878486546126e-07
"Arap2",1.05911385835439e-11,-1.09928756626469,0.7,0.958,1.85090737886012e-07
"Sept7",1.13903031397256e-11,-0.897395515215365,0.983,1,1.99056937669844e-07
"Gabra1",1.43258942604641e-11,-0.830264015649025,0.917,1,2.50359328095871e-07
"Arl4d",1.51047677797409e-11,-1.94656473536682,0.183,0.74,2.63970921718752e-07
"Ngef",1.61190921265325e-11,-1.29274387294436,0.817,0.99,2.81697254003281e-07
"Fos",1.87832417930729e-11,-1.41355044283641,0.733,0.979,3.28255933575742e-07
"Nkiras1",1.92754512061718e-11,-1.10127695140895,0.85,0.969,3.36857785279059e-07
"Bcl2",2.03632538299304e-11,-1.43045427307993,0.383,0.844,3.55868223931864e-07
"Npas4",2.27964760810499e-11,-1.85756826758621,0.5,0.854,3.98391215992427e-07
"Stum",2.60882279041439e-11,0.845005234140207,0.9,0.365,4.55917870852819e-07
"Arf1",2.63761839105417e-11,-0.575934528361037,0.983,1,4.60950190020626e-07
"Gabra2",2.71874576166913e-11,1.48060552425187,0.933,0.625,4.75128009309296e-07
"Cpne6",4.26399575118906e-11,1.2839790656962,0.867,0.594,7.45175897477801e-07
"Nrxn3",4.7623977496129e-11,-0.911604378513906,0.933,1,8.32276630722351e-07
"Masp1",5.49517808662063e-11,-0.990218542300082,0,0.396,9.60337322417821e-07
"Bnip3",6.33081430897781e-11,-0.795840594816077,0.75,0.99,1.10637310863696e-06
"Ier2",6.51518471882338e-11,-1.69572451350783,0.417,0.875,1.13859368146157e-06
"Rwdd2a",6.64761761932653e-11,-1.61894307800436,0.433,0.771,1.1617376551535e-06
"Ncald",7.03471923664948e-11,-1.05963543535318,0.967,1,1.22938753379686e-06
"Ifi27",7.26144333090682e-11,-1.87428171020173,0.217,0.677,1.26900983650928e-06
"Psma4",7.43764951721631e-11,-1.43354608087156,0.7,0.812,1.29980362962872e-06
"Ccdc12",8.41418438786614e-11,-1.44899084082078,0.783,0.948,1.47046286362349e-06
"Osbpl3",1.01385970072647e-10,-0.983481861298487,0.083,0.594,1.77182121298958e-06
"Tle3",1.08130279960007e-10,1.17933051389252,0.683,0.156,1.88968477258108e-06
"Wisp1",1.12454527516867e-10,-0.864193302540717,0,0.385,1.96525532288477e-06
"Abracl",1.36502993941618e-10,-1.2474846428921,0.283,0.802,2.38552632212372e-06
"Nfia",1.719777537267e-10,-1.65598334420437,0.517,0.854,3.0054832241278e-06
"Adamts18",1.72376649118407e-10,1.79427569391025,0.583,0.125,3.01245431999328e-06
"Got1",1.88017079342123e-10,-0.885483754801421,0.967,0.99,3.28578647858295e-06
"Ogfrl1",2.01356839608444e-10,-0.907658290804305,0.95,1,3.51891212899716e-06
"Kifap3",2.29664839284077e-10,-0.655063904968808,0.967,1,4.01362273132853e-06
"Cpne7",2.37544924687144e-10,1.66234406792141,0.7,0.25,4.15133510383253e-06
"Atp5f1",2.43606054746699e-10,-0.973333454233808,0.983,1,4.25725941275331e-06
"Ajap1",2.438974540853e-10,1.34935230718009,0.817,0.365,4.2623519075947e-06
"Hsp90aa1",2.56396031103461e-10,-0.981335568766418,1,1,4.48077703956409e-06
"Mamld1",2.6267144230909e-10,1.12043438942404,0.767,0.542,4.59044612579366e-06
"Sulf2",3.25038732299772e-10,-1.12749198519374,0.317,0.833,5.68037688567081e-06
"Slc17a6",4.59501253310794e-10,-0.821361855518288,0,0.365,8.03024390285944e-06
"Slc25a3",4.59922971874775e-10,-1.11337487831671,0.983,1,8.03761385648357e-06
"Nrp1",4.95537066062288e-10,-1.09340065291382,0.167,0.688,8.66000576650455e-06
"Rheb",5.77381953392153e-10,-0.845154621457851,0.967,0.99,1.00903270174813e-05
"Map1b",5.85151323214088e-10,-0.516715755182476,1,1,1.02261045244894e-05
"Slc25a5",5.97276095785338e-10,-1.3321458083177,0.667,0.917,1.04379970499446e-05
"Dusp1",5.99034788030499e-10,-1.70356192730308,0.617,0.885,1.0468731955621e-05
"Rell1",7.77011847080717e-10,-1.1049933812872,0.05,0.51,1.35790590395826e-05
"Psmc5",7.79032950020475e-10,-0.942369587635295,0.883,0.99,1.36143798345578e-05
"Nos1ap",8.05356651562052e-10,-1.16958472418687,0.883,0.99,1.40744128426984e-05
"Atg101",8.6508045161965e-10,-1.08022264396398,0.317,0.812,1.5118145972505e-05
"Unc5c",8.72688012980434e-10,1.12856761033848,0.817,0.344,1.52510957148461e-05
"Klf9",1.25422694694677e-09,-0.754388240357495,0.967,1,2.19188701248418e-05
"Dnm3",1.27309326801224e-09,-0.96986274561755,0.9,0.99,2.2248577951782e-05
"Rimklb",1.3131646320374e-09,1.10992319014742,0.733,0.385,2.29488651094856e-05
"Bcap31",1.65576520972868e-09,-1.11003032710631,0.483,0.885,2.89361528052185e-05
"Atp6v0d1",1.75812088332737e-09,-0.636113729846767,0.983,1,3.07249205570292e-05
"Epha3",1.77806935506741e-09,1.2132965261517,0.467,0.073,3.1073540049158e-05
"Slc16a2",2.03465090705569e-09,1.20780568556208,0.717,0.375,3.55575592517052e-05
"Npm1",2.08535235798222e-09,-0.774898098888474,0.933,1,3.64436178080972e-05
"Schip1",2.51754009688372e-09,1.12521228067782,0.883,0.698,4.39965307331399e-05
"Cxcl12",2.91206849380614e-09,-1.52421831905776,0.283,0.75,5.08913089977561e-05
"Aig1",2.96505973212051e-09,-1.08206622877019,0.7,0.938,5.1817383878538e-05
"Egr1",2.98072469722495e-09,-0.859759265870156,0.983,1,5.20911448087032e-05
"Lrfn5",3.0000760597372e-09,0.864132333370016,0.983,0.979,5.24293292199673e-05
"Lmo3",3.01759602622804e-09,-1.11935587312607,0.767,0.833,5.27355081543612e-05
"Lrrtm2",3.08358144473008e-09,-1.01930699328523,0.783,0.969,5.38886693281028e-05
"Sh3bgrl3",3.59413748689027e-09,0.838072882416974,0.983,1,6.28111467208944e-05
"Ptprs",3.64327773417944e-09,0.746722933374126,1,1,6.36699216825199e-05
"Limk1",3.99372824189718e-09,-1.26429912855463,0.183,0.667,6.97943947553952e-05
"Chrm3",4.09886640181997e-09,-0.799020108596379,0.25,0.74,7.16317892382058e-05
"Igfbp6",4.11320139904689e-09,1.68895032461982,0.717,0.281,7.18823076497434e-05
"Tmem178",4.12726907705093e-09,-1.25843114958035,0.55,0.865,7.21281543905421e-05
"Rexo2",4.27744971236072e-09,-0.779360147682481,0.8,0.979,7.47527111732159e-05
"Olfm3",5.02679972921711e-09,-1.11453486767319,0.183,0.677,8.78483520677982e-05
"Cuedc2",5.6353160262996e-09,-1.1677938653659,0.783,0.948,9.84827828756119e-05
"Nrn1",5.7795874370348e-09,0.750047382789094,0.983,0.615,0.00010100407004962
"Uchl3",5.96522258304031e-09,-1.06930380368505,0.483,0.885,0.000104248229861212
"Spock1",5.99297190774335e-09,-0.713330739502807,0.95,0.979,0.000104733177059723
"Ntng1",6.42318702057049e-09,1.65840111513321,0.667,0.292,0.00011225161637149
"Slc4a3",6.57641966286482e-09,1.12400472385146,0.883,0.677,0.000114929510028226
"Drd5",6.99571617304325e-09,-0.679552288549387,0,0.323,0.000122257135840104
"Ptprt",7.27919354460644e-09,0.868917653752751,0.983,0.729,0.000127211186385542
"Kcnab1",7.30677176738924e-09,1.34849871677314,0.833,0.469,0.000127693143406894
"Gm10600",7.33936539551122e-09,-1.05135838172099,0.467,0.885,0.000128262749651954
"Ywhah",7.50399609178136e-09,-0.527153269770052,1,1,0.000131139835699971
"Gng12",7.68498063660951e-09,-0.98223097716942,0.333,0.812,0.000134302721605388
"Cpne5",7.7020724783942e-09,0.760286535568419,0.833,0.354,0.000134601418632417
"Ap2s1",7.88886642085274e-09,-0.754250881226884,0.983,1,0.000137865829570823
"Cfl1",7.96106597629991e-09,-0.565043834672994,1,1,0.000139127589001817
"Camk2n1",8.19079740071331e-09,0.825360676909249,1,1,0.000143142375374866
"Gadd45a",8.52917474960487e-09,-1.24889798426124,0.083,0.531,0.000149055857924095
"Itm2b",8.67402197283362e-09,-1.02533142453722,0.983,1,0.00015158720799724
"Rxfp1",8.92793507378415e-09,1.38281489933926,0.7,0.271,0.000156024593349452
"Arl1",9.40620398581437e-09,-0.749632369001227,0.883,1,0.000164382820856092
"Sec11a",1.02335071012412e-08,-0.720968348558073,0.25,0.729,0.000178840770101291
"Kcnk2",1.02439053986865e-08,-1.43221268568869,0.1,0.542,0.000179022490747445
"Eif3c",1.03561283284957e-08,-0.742844568792941,0.867,0.99,0.00018098369866879
"Ndn",1.04347093064191e-08,-1.41506405687489,0.967,0.99,0.00018235697983898
"Etl4",1.0657577153737e-08,-0.895005547361045,0.8,0.969,0.000186251818338707
"Cltb",1.08109688703202e-08,-0.68077904375213,0.917,0.99,0.000188932491977715
"Clmn",1.12302425997208e-08,1.12069048821092,0.783,0.552,0.000196259719672721
"Unc5d",1.32864109924845e-08,1.14607028003374,0.667,0.198,0.000232193318504659
"Mef2a",1.35487147195365e-08,-0.685805488052115,0.883,1,0.00023677733843862
"Ahnak",1.35719359860992e-08,-0.709928435620133,0,0.312,0.00023718315329307
"Gm26917",1.36460515334598e-08,0.943069777957393,1,0.885,0.000238478396598743
"Ndfip2",1.69687328703174e-08,-0.761327455272193,0.95,1,0.000296545575641667
"Mef2c",1.74832334929874e-08,0.645565086710663,1,1,0.000305536988523448
"2010300C02Rik",1.87643342555823e-08,0.895040621688396,0.95,0.865,0.000327925505450557
