"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bok",3.88560640056968e-14,-1.13150846299376,0.35,0.853,6.79048574563557e-10
"Nrn1",1.00798826828611e-12,-0.890298012453832,0.983,0.974,1.7615602976568e-08
"Nov",4.83371057876394e-12,0.97621646642265,0.967,0.725,8.44739260744787e-08
"Slc1a2",4.44605782547627e-11,-1.38702683031401,0.85,0.895,7.76993065580234e-07
"Egr1",4.50760194199399e-11,-0.883485902589275,0.983,0.997,7.8774851538287e-07
"Arc",5.80329766065608e-11,-1.34551966674735,0.4,0.83,1.01418429917626e-06
"Nfib",7.23653734234306e-11,0.928040883760341,0.967,0.869,1.26465726594787e-06
"Syt1",9.03036824569779e-11,-0.528822523917477,1,1,1.57814715461815e-06
"Hap1",9.84896433545027e-11,0.918478050843777,0.9,0.745,1.72120500726329e-06
"Ier2",6.59408637479162e-10,-1.33054604935223,0.417,0.814,1.15238253485858e-05
"Trbc2",1.26855225530303e-09,-1.74684113109274,0.2,0.595,2.21692192136758e-05
"Sult4a1",1.31946271416484e-09,-0.558841236316512,0.983,0.993,2.30589303927447e-05
"Col23a1",1.77407569112658e-09,1.25429136427918,0.517,0.157,3.10037467781281e-05
"Lhfp",2.63082804579908e-09,-1.06933225234853,0.117,0.533,4.59763509283848e-05
"Sorl1",5.89515940933873e-09,-1.01094221783445,0.7,0.931,0.000103023805837604
"Nrp2",6.58732170993056e-09,1.0360492588254,0.733,0.461,0.000115120034202746
"Dkk3",1.24009783065097e-08,-0.817730877944324,0.967,0.974,0.000216719496884563
"Efhd2",1.26725270124623e-08,-0.970829895812285,0.917,0.974,0.000221465082069792
"Satb1",1.48381245415588e-08,-1.27299601551325,0.45,0.732,0.000259311064488281
"Mgll",1.59508018274737e-08,-1.18222128054382,0.317,0.676,0.000278756212736931
"Epha5",1.63466434883797e-08,0.667899256179118,1,0.984,0.000285673941602923
"Snap25",1.66641924156505e-08,-0.519741993644866,1,1,0.000291223426655907
"Necab2",2.82836367073836e-08,1.16548662050082,0.417,0.163,0.000494284835098237
"Tcerg1l",3.22772033090233e-08,0.895779159576985,0.317,0.046,0.000564076405028492
"Cdh13",4.36853732310206e-08,0.972267058338588,0.917,0.588,0.000763445582585317
"Dusp6",4.62234497069509e-08,-1.22168622507374,0.333,0.699,0.000807801007078675
"Pitpnc1",6.59147391150914e-08,-1.17294784067909,0.05,0.386,0.00115192598077534
"Smoc2",1.005306890225e-07,1.03331765251309,0.583,0.268,0.00175687432135721
"Nectin3",1.35863198030296e-07,1.01520703514522,0.267,0.222,0.00237434524877745
"Rgs4",1.67294728301583e-07,-1.37611979204401,0.9,0.908,0.00292364267179846
"Slc17a7",1.71745324977239e-07,-0.331625946455016,1,1,0.00300142129930222
"Pcp4",1.88408514361886e-07,-1.91075750146419,0.583,0.824,0.00329262719698831
"Rbms1",2.03169496337836e-07,-0.846348092899105,0.05,0.373,0.00355059011800002
"Arap2",2.19815413250351e-07,-0.866108493118117,0.7,0.892,0.00384149416196313
"Wfs1",2.48591854677243e-07,1.15505269718443,0.583,0.376,0.00434439125233949
"Slco3a1",2.62838911803e-07,0.75113661475367,0.733,0.618,0.00459337282266923
"Gabra1",3.01648188691365e-07,-0.798284079081288,0.917,0.99,0.0052716037455703
"Pea15a",3.03081441257389e-07,0.579457682260688,1,0.993,0.00529665126741413
"Nr4a1",3.89631734072432e-07,-1.117810067481,0.433,0.765,0.00680920418464982
"Osbpl3",4.19506367705063e-07,-0.968872400694775,0.083,0.418,0.00733129328201369
"Psmc5",5.52254504363142e-07,-0.587158868729336,0.883,0.987,0.00965119971825027
"Abracl",5.96512253786114e-07,-0.988146404910055,0.283,0.641,0.0104246481471661
"Hpca",8.77274688384194e-07,-0.602608686574462,0.85,0.984,0.0153312524542022
"1110008P14Rik",9.42015538500154e-07,-0.738452527133558,0.967,0.997,0.0164626635508287
"Rab3b",9.83163537128089e-07,0.85214645055593,0.667,0.317,0.0171817659748505
"Kif5c",1.04681417236473e-06,-0.446312916620862,0.967,0.997,0.018294124476246
"Kalrn",1.05538779800431e-06,-0.443521927951319,1,1,0.0184439571579233
"Gabra2",1.11161720957921e-06,0.811377272077259,0.933,0.886,0.0194266223546063
"Fgf13",1.22468093541271e-06,0.318469818098148,0.583,0.768,0.0214025240272726
"Dclk1",1.23158622252668e-06,-0.494729945805384,1,1,0.0215232008248763
"Rims3",1.24735662733336e-06,-0.989720045689428,0.383,0.706,0.0217988044192779
"Fndc5",1.45969187937091e-06,-0.813709167611364,0.417,0.752,0.0255095752838861
"Efnb3",1.47544504870165e-06,0.784759243147298,0.867,0.575,0.02578487767111
"Dnajc21",1.48788827257568e-06,-0.980528688229849,0.683,0.778,0.0260023354515326
"Homer1",1.50630830911861e-06,-0.60595718090954,0.9,0.98,0.0263242440101568
"Rock2",1.61462094503433e-06,-0.393696769780697,0.983,1,0.0282171156354199
"Arhgef25",1.62111168349478e-06,-0.720171917019397,0.767,0.944,0.0283305477807547
"Atp2b2",2.09943312988015e-06,-0.582105008854363,0.967,1,0.0366896933777855
"Pclo",2.13916544143367e-06,-0.431789814415827,1,1,0.0373840552544948
"Klhdc8a",3.36338704413423e-06,-0.963937179335381,0.15,0.474,0.0587785519832899
"Slc16a2",3.38720012168828e-06,0.536124217985178,0.717,0.663,0.0591947093266244
"Mcur1",3.46867427609566e-06,0.70509864101488,0.533,0.34,0.0606185516490478
"Bhlhe22",3.48276575928539e-06,1.06155234276486,0.65,0.569,0.0608648144092715
"Gfra2",3.5749612050743e-06,-0.38890988421263,0.7,0.941,0.0624760220198785
"Ptch1",3.57826718214125e-06,0.722567270472258,0.533,0.268,0.0625337972751005
"Fos",3.78562793787299e-06,-1.01081162106242,0.733,0.928,0.0661576338422684
"Psrc1",3.90577392264635e-06,0.872977743726675,0.483,0.255,0.0682573050721676
"Pim3",3.95337995462686e-06,-0.763482461494073,0.217,0.559,0.0690892680870589
"Rfx3",4.12236123678078e-06,0.515971483282403,0.55,0.556,0.072042384973981
"Kcnk2",4.19881594223791e-06,-1.33458296911035,0.1,0.389,0.0733785074065497
"Gaa",4.30355171993815e-06,0.541974473366345,0.95,0.856,0.0752088698576392
"Uhmk1",4.35568552345958e-06,-0.270618492614504,0.833,0.99,0.0761199602079796
"Midn",4.41617426855904e-06,-0.533906984710587,0.25,0.592,0.0771770615173378
"Rph3a",4.67942625191595e-06,-1.03351763990212,0.683,0.817,0.0817776531784831
"Ntm",5.10771443417122e-06,-0.549428976720901,0.967,0.977,0.0892624174515762
"Fam126a",5.63264889277423e-06,0.827004507402723,0.367,0.141,0.0984361720501224
"Fat3",5.85081085462498e-06,-0.99522598227734,0.483,0.719,0.102248770495426
"Cpne7",5.87715712363363e-06,0.812211751373338,0.7,0.582,0.102709197892621
"2010300C02Rik",6.66978226592424e-06,0.57659417240645,0.95,0.912,0.116561114879292
"Pgm2l1",6.87447857008445e-06,-0.53046634201588,0.983,1,0.120138387490796
"Tenm1",7.58675324315962e-06,-0.340088638507893,0.65,0.908,0.132586099677457
"Stxbp1",8.22613893648299e-06,-0.375063813771194,1,1,0.143760004053977
"Fkbp1a",8.52411406891473e-06,0.368533332252141,0.983,1,0.148967417468354
"Htr1b",8.86769227646307e-06,0.361243312975118,0.233,0.301,0.154971790223469
"Slc30a3",9.07069269070812e-06,-0.702309774532083,0.583,0.837,0.158519425462815
"Pip5k1c",9.68602103244036e-06,-0.512061280539933,0.9,0.987,0.169272903562928
"Ccl27a",9.72678079443731e-06,-0.637212607773582,0.85,0.954,0.169985221163586
"Rimklb",1.02616604869208e-05,0.633390125746771,0.733,0.542,0.179332778669428
"Egr4",1.03728745421402e-05,-1.41834120077931,0.6,0.781,0.181276355498442
"Pcdh8",1.11201189765273e-05,0.945738187586387,0.467,0.19,0.194335199233791
"Clmn",1.12316285241033e-05,0.744522604823245,0.783,0.572,0.196283940087229
"Ptchd4",1.16998205205497e-05,-0.722636355249378,0,0.17,0.204466063417126
"Pcsk1",1.19138062404458e-05,-0.896146907206399,0.317,0.614,0.20820567785803
"Gprin3",1.27777604001932e-05,0.330347055650077,0.483,0.526,0.223304140753776
"Ly6e",1.43958133354178e-05,-0.637966378487289,0.817,0.954,0.251581233849761
"Asap1",1.47613580276801e-05,-0.528827348190034,0.933,0.961,0.257969492891737
"BC030500",1.58016768213561e-05,-0.571036029149152,0.017,0.239,0.27615010413002
"Calb1",1.62161653853179e-05,1.20507022461343,0.417,0.261,0.283393706273815
"Slc25a17",1.62174576476049e-05,0.41352327601211,0.483,0.487,0.283416289849543
"Tppp3",1.63988824020875e-05,0.649638307776226,0.65,0.464,0.286586868858881
"Nav1",1.64978471270317e-05,0.45588434371482,1,0.856,0.288316376392006
"Deptor",1.68240531276535e-05,-1.21567273117891,0.35,0.601,0.294017152458872
"Rilpl1",1.7120266555848e-05,0.675345720480595,0.683,0.65,0.29919377833
"Ablim2",1.77881096985703e-05,0.591482150143043,0.933,0.869,0.310865005092215
"Fam20c",1.94926399712446e-05,0.655867501927998,0.467,0.261,0.34065337613747
"Pdcd4",1.95375726248983e-05,0.524080236637781,0.95,0.941,0.341438619192722
"Rps6ka2",1.98164598982737e-05,0.687188402205639,0.6,0.471,0.346312453182231
"Adamts18",1.99258260217748e-05,1.02152856108258,0.583,0.294,0.348223735556536
"Zfyve27",2.07090986376822e-05,0.327928526802917,0.583,0.67,0.361912207792134
"Ncald",2.08177783990955e-05,-0.433957063483972,0.967,1,0.363811495302593
"Pou6f2",2.22136269881702e-05,-0.884193934575797,0.2,0.484,0.388205345245263
"1700020I14Rik",2.32184088978647e-05,-0.644565611707945,0.983,0.997,0.405764913899084
"Ndrg3",2.45585256459094e-05,-0.407378016600007,1,0.993,0.429184794187912
"Lrp1b",2.47837789322686e-05,0.393911955371614,0.883,0.98,0.433121320620327
"3110035E14Rik",2.56004002159254e-05,-0.54633480013801,0.917,0.977,0.447392594173512
"Frrs1l",2.59564036151667e-05,-0.441273045250527,1,0.997,0.453614109578653
"Nlk",2.71284354967724e-05,-0.843820842711495,0.733,0.85,0.474096538741595
"Rgs13",2.80071899575521e-05,0.77352443927434,0.317,0.098,0.489453651698181
"Gsg1l",2.90040622260602e-05,0.883260183077869,0.45,0.271,0.506874991462628
"Osbp2",3.10952456277778e-05,-0.630163522537757,0.667,0.797,0.543420512591044
"Onecut2",3.143635379546e-05,-0.799840469359873,0.15,0.448,0.54938171892946
"AC149090.1",3.15506298147479e-05,-0.628116779277996,0.867,0.82,0.551378806642534
"Syt17",3.1647218657857e-05,0.553012446023459,0.867,0.797,0.553066793264709
"Nrep",3.33590435775991e-05,-0.976412165988688,0.25,0.556,0.582982645562121
"Ncdn",3.34933457945986e-05,0.425357999512244,0.983,1,0.585329711106406
"Tbr1",3.42888163633027e-05,-0.729865630664885,0.783,0.928,0.599231354765078
"Plppr3",3.55571368312317e-05,0.696361902017317,0.65,0.412,0.621396523262606
"Rora",3.58173470914224e-05,-1.05186119925842,0.433,0.667,0.625943957769697
"Synpo2",3.85796834818534e-05,0.425523570350211,0.183,0.026,0.67421854852887
"Igfbp2",4.27181758043027e-05,0.555944796508406,0.167,0.016,0.746542840355994
"Olfm3",4.30681933634041e-05,-1.01710056448997,0.183,0.48,0.75265974721885
"Cntfr",4.31529151179197e-05,0.714995357508255,0.533,0.356,0.754140344600765
"Kitl",4.33054273579351e-05,0.78535315934656,0.7,0.48,0.756805648507274
"Atp2b4",4.42396099801716e-05,0.449424437633942,1,0.944,0.77313142401348
"Caln1",4.76178032841707e-05,0.492299551891522,0.983,0.863,0.832168730194168
"Trp53inp1",4.81264947976651e-05,0.572389679014697,0.267,0.082,0.841058623083995
"Ldha",5.04427792932418e-05,-0.321944769071656,0.983,0.993,0.881538010928694
"Serpini1",5.12927246700785e-05,-0.666337763366359,1,0.98,0.896391656334291
"Dcaf7",5.13360318249663e-05,0.441898008501804,0.967,0.928,0.897148492173111
"Dpy19l3",5.26778389809807e-05,0.664003688826176,0.367,0.19,0.920597914031619
"Npas4",5.34986270106444e-05,-1.22379251095756,0.5,0.729,0.934942005638021
"Neurod6",5.39387165061118e-05,-0.435629858584264,0.9,0.987,0.94263300966081
"Bnip3",5.41878151224409e-05,-0.503844995956825,0.75,0.915,0.946986257079776
"Thra",5.69707947441054e-05,0.318995565674079,0.983,1,0.995621608947986
"Peli1",5.72058201063973e-05,0.556387545229255,0.9,0.794,0.999728912179399
"Myh7",5.72556763306721e-05,0.878109079648382,0.433,0.186,1
"Wdr6",5.79954743028607e-05,0.533501093784279,0.95,0.794,1
"Fosb",5.90220871110718e-05,-0.584914685117017,0.567,0.837,1
"Grik2",5.92483642714443e-05,0.450649313559053,0.6,0.598,1
"Ncam1",6.16096459656068e-05,0.383628237208479,1,0.99,1
"Chn2",6.16117616724598e-05,-1.14274042780139,0.217,0.451,1
"Cdkn1a",6.33908544546514e-05,-0.756298259110807,0.367,0.663,1
"Adcy2",6.52808218672943e-05,-0.711089942780761,0.35,0.65,1
"Egr3",6.55817399615115e-05,-0.85843266229659,0.933,0.984,1
"Nsf",6.59342952992059e-05,-0.292190609182794,1,1,1
"Utrn",6.69485002368121e-05,-0.941264111402866,0.083,0.314,1
"Robo2",6.79725874314218e-05,-0.66241186515325,0.733,0.876,1
"Pafah1b3",6.88077235869882e-05,0.536118671847265,0.383,0.333,1
"Tsen2",7.05665579493957e-05,0.636022690158317,0.483,0.268,1
"Fhl1",7.11139981002215e-05,0.421034441688187,0.667,0.735,1
"Kctd4",7.39845153464138e-05,0.612508195861193,0.9,0.778,1
"Jph4",7.40343823832654e-05,0.404210806570979,0.983,0.987,1
"R3hdm1",7.42951350960454e-05,-0.266741270028892,1,1,1
"Gatm",7.75050585438847e-05,0.61472476606441,0.467,0.31,1
"Iglon5",8.67920437273211e-05,-0.587934384782417,0.117,0.386,1
"Mapk3",8.68774674094599e-05,0.530879550278611,0.967,0.859,1
"Pdyn",8.83342951604758e-05,0.711143651903105,0.15,0.033,1
"Adcy1",9.02827997521362e-05,-0.495654861929189,0.983,0.993,1
"Fam110b",9.41935105314673e-05,0.589594756104685,0.633,0.516,1
"Trib2",9.61888330562743e-05,-0.830400746586712,0.15,0.395,1
"Gpr22",9.66184295207885e-05,0.499102660292715,0.967,0.938,1
"Meis2",0.000103629574647122,0.846231872829775,0.917,0.742,1
"Tspan5",0.000105274618119472,-0.654560421054924,0.883,0.961,1
"Tmem59l",0.000108135633481288,-0.394599468268794,0.9,0.984,1
"Gng7",0.000108428296089924,0.552269697930628,0.35,0.118,1
"Dscaml1",0.000110195464750436,0.694422782466662,0.467,0.209,1
"Btbd3",0.000113328571793415,0.522670349509031,0.367,0.392,1
"Osbpl1a",0.000116328209464561,-0.508180509959496,0.95,0.99,1
"Scn1b",0.000121422831645163,-0.400421638903043,0.967,0.99,1
"Irs2",0.000124223323113315,-0.751935154575022,0.3,0.595,1
"Gabrg1",0.000124480437767967,0.496699475292616,0.233,0.056,1
"Wrap73",0.00012498751734255,0.386537279069202,0.267,0.245,1
"Etv5",0.000125606515994523,-0.547547876689964,0.55,0.81,1
"Inhbb",0.000125871108380558,-0.340168026398073,0,0.134,1
"Dpp4",0.00012587110838057,-0.403540195263195,0,0.134,1
"Gm13601",0.00012587110838057,-0.346672236883972,0,0.134,1
"Arpp19",0.000130601266954343,-0.410947479410766,1,0.997,1
"Scube1",0.000130828968198947,-0.729570226268472,0.283,0.572,1
"Clstn1",0.000134368031844975,-0.266244596050457,1,1,1
"Sox11",0.000140976415926351,0.582361968593829,0.917,0.699,1
"Scn2b",0.0001469488830614,-0.287634874538168,0.917,0.997,1
"Kctd1",0.000147483290435996,0.583921947445088,0.383,0.464,1
"Diras2",0.00014955855123045,-0.52978441264323,0.95,0.954,1
"Rgs20",0.000152816104554987,-0.537218191689606,0.067,0.294,1
