"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",1.44592266851614e-26,3.70450748947634,0.983,0.629,2.52689445549881e-22
"Nrip3",7.97389657017323e-20,-2.63867304719766,0.333,1,1.39351816460347e-15
"Nptxr",4.38957409567143e-19,2.32449040086989,1,0.886,7.6712196895954e-15
"Ptprk",7.4466187829864e-19,2.65666226195138,0.85,0,1.3013710985147e-14
"Lmo3",6.3188890549717e-17,-1.70925013153175,0.767,1,1.10428905124685e-12
"Atp1b1",2.00261866034883e-15,-0.754023941923633,1,1,3.49977637082562e-11
"Cadps2",3.93460785141119e-15,-2.12394721987405,0.2,0.971,6.8761206811262e-11
"Crym",4.81177927833036e-15,-2.06626680378937,0.683,1,8.40906546681014e-11
"Nrn1",5.70732220680299e-15,2.34421706123091,0.983,0.571,9.97411628860891e-11
"Bcl11b",7.34666935718744e-15,-2.01568702804881,0.7,1,1.28390393686208e-10
"Camk2d",5.12569944979245e-14,2.65306820893106,0.883,0.257,8.95767235845729e-10
"Cdh6",5.98228460817954e-14,-2.00306586284412,0.117,0.857,1.04546405812546e-09
"Ccl27a",7.27064859156129e-14,-1.60308181135191,0.85,1,1.27061854786125e-09
"Pitpnc1",1.51412496490673e-13,-2.4496302534701,0.05,0.771,2.646084788671e-09
"Necab1",3.20685598710817e-13,1.8733757869121,0.933,0.686,5.60430152307023e-09
"Car10",4.29614384281091e-13,2.04970964967008,0.95,0.371,7.50794097969634e-09
"Sparcl1",8.41993300802252e-13,-1.3731318052572,0.967,1,1.47146749248202e-08
"Efhd2",9.25528704445064e-13,-1.88112316892833,0.917,1,1.61745396388819e-08
"Auts2",1.04371523526435e-12,1.46277821154639,0.983,0.886,1.82399674514797e-08
"Lmo4",3.56686058646643e-12,1.20795538165114,0.983,0.971,6.23344556090874e-08
"Sorbs2",8.79924843321865e-12,1.50596574359088,1,1,1.53775665618929e-07
"Nfia",8.82103496482358e-12,-1.77392875222902,0.517,0.971,1.54156407045257e-07
"Nos1ap",2.56048260658072e-11,-1.2577167103897,0.883,1,4.47469940326047e-07
"6430548M08Rik",2.69606589605779e-11,1.59184861905738,0.917,0.743,4.7116447599506e-07
"Trp53i11",3.60700901677785e-11,2.28021775201259,0.867,0.286,6.30360895772097e-07
"Hs3st4",4.32262588622676e-11,-3.09595533512397,0.217,0.829,7.55422099876988e-07
"C1ql3",5.75376218153113e-11,1.61253567205208,1,0.629,1.00552747884438e-06
"Slc17a6",8.06378680331133e-11,-1.48670025512613,0,0.514,1.40922738174669e-06
"Rimbp2",8.19537777247725e-11,1.47674941551239,0.917,0.886,1.43222421951812e-06
"Dnm3",1.75296469653176e-10,-1.20099091774721,0.9,1,3.0634811036589e-06
"Unc5d",2.24746903163391e-10,1.70096665498984,0.667,0.029,3.92767687968342e-06
"mt-Cytb",2.41787389072974e-10,1.01569530268641,1,1,4.22547641143929e-06
"Pcdh15",2.6508122789725e-10,2.17123044059783,0.783,0.2,4.63255953873235e-06
